observation_id,tier,cluster_code,subject_strong,question_code,tag,status,created_at,contaminated_detail,obs_text
925,A-root-verse-reading,M49,G2168,M0.6.5,tightly-related,draft,2026-09-18T08:41:56Z,"Rom.1.8:G2424G role=['T7', 'T8'] live=['T7']","In Rom.1.8, thanksgiving (G2168) is directly grounded in and directed toward the recipients' M13 (faith, G4102G) which is 'proclaimed in all the world' -- the apostle's thanksgiving is a response to another's faith-characteristic being manifest. No prior context exists for this verse; this is the first pass."
926,A-root-verse-reading,M49,G2168,M0.6.5,tightly-related,draft,2026-09-18T08:41:56Z,"Rom.7.25:G2424G role=['T7', 'T8'] live=['T7']; Rom.7.25:G2962G role=['M72', 'T7'] live=['T7']","In Rom.7.25, thanksgiving (G2168) is the response that resolves the conflict named by M78 (serve/enslavement, G1398), M54 (law, G3551, x2), M15 (mind, G3563), M47 (flesh, G4561), and M56 (sin, G0266): thanksgiving is offered precisely because of deliverance from this tangle of enslaving characteristics, functioning as the verbal pivot from struggle to gratitude. No prior context exists for this verse; this is the first pass."
927,A-root-verse-reading,M49,G2168,M0.6.5,tightly-related,draft,2026-09-18T08:41:56Z,"1Cor.1.4:G2424G role=['T7', 'T8'] live=['T7']","In 1Cor.1.4, thanksgiving (G2168) is explicitly grounded in M50 (grace, G5485) 'given to you in Christ Jesus' -- thanksgiving here functions as the recognized, verbalized response to grace received, making grace the material cause of the thanksgiving. No prior context exists for this verse; this is the first pass."
928,A-root-verse-reading,M49,G2168,M0.6.5,sole-mcode-in-verse,draft,2026-09-18T08:41:56Z,"Eph.5.20:G2962G role=['M72', 'T7'] live=['T7']; Eph.5.20:G2424G role=['T7', 'T8'] live=['T7']",No other M-code characteristic co-occurs alongside thanksgiving (G2168) in Eph.5.20's role list.
929,A-root-verse-reading,M49,G2168,M0.6.5,not-related-to-meaningful-word,draft,2026-09-18T08:41:56Z,"Col.1.3:G2962G role=['M72', 'T7'] live=['T7']; Col.1.3:G2424G role=['T7', 'T8'] live=['T7']","In Col.1.3, M42 (prayer, G4336) is also present, but functions as the paired but distinct practice ('we thank God ... when we pray for you') -- thanksgiving and prayer are companion but not merged acts; no deeper structural dependency is shown here beyond co-occurrence in the same devotional act."
930,A-root-verse-reading,M49,G2170,M0.6.5,tightly-related,draft,2026-09-18T08:41:56Z,"Col.3.15:G2564G role=['M37', 'M42'] live=['M42']","In Col.3.15, the adjective 'thankful' (G2170) is commanded in the immediate context of M33 (peace, G1515) ruling in the heart and M47 (heart, G2588) as the site where that peace and thankfulness reside -- thankfulness here is the disposition that accompanies and issues from Christ's peace governing the heart, presented as a fitting response to the unity of the one body. No prior context exists for this verse; this is the first pass."
1001,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:45:06Z,"Ps.99.3:H1419A role=['T2', 'T8'] live=['T2']; Ps.99.3:H6918G role=['M13', 'M61'] live=['M61']","This is the first pass over this verse. H3034 (praise) co-occurs with M01 (awesome, H3372H) and M13/M61 (Holy, H6918G): praise here is the human response summoned by the fearsome and holy character of God's name — the thanksgiving-praise cluster functions as the vocal/liturgical outworking triggered by the awe/holiness characteristics present."
1016,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:45:06Z,"Dan.9.4:H3068G role=['T10', 'T7'] live=['T7']; Dan.9.4:H0430G role=['T10', 'T2', 'T7'] live=['T7']; Dan.9.4:H1419A role=['T2', 'T8'] live=['T2']","First pass over this verse. H3034 (confession, Hithpael) co-occurs with M42 (prayed, H6419), M74 (keeps/keep, H8104G), M44 (covenant, H1285), M07/M50 (steadfast love, H2617A), M51 (love, H0157G), M01 (awesome, H3372H), and M54 (commandments, H4687): confession here functions within the prayer-act as acknowledgment of God's covenant faithfulness, situating thanksgiving/confession as the human response that opens into intercessory prayer grounded in God's covenant-keeping love."
1082,A-root-verse-reading,M49,G2168,M0.6.5,tightly-related,draft,2026-09-18T08:45:06Z,"Rev.11.17:G2962G role=['M72', 'T7'] live=['T7']","First pass over this verse. G2168 (give thanks) co-occurs with M72 (Lord/reign, G2962G/G0936) and M23 (Almighty/power, G3841/G1411): thanksgiving here is triggered specifically by God's assumption of kingly power and reign — the characteristic functions as the fitting liturgical response to a demonstrated act of sovereign power, tying gratitude directly to God's kingship."
1089,A-root-verse-reading,M49,H8426,M0.6.5,tightly-related,draft,2026-09-18T08:45:06Z,"Ps.69.30:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']; Ps.69.30:H0430G role=['T10', 'T2', 'T7'] live=['T7']","First pass over this verse. H8426 (thanksgiving) co-occurs with M08/M16/M22 (praise, H1984B) and M22 (song H7892A, magnify H1431): thanksgiving here functions as the accompanying mode by which praise and magnification of God's name are carried out — the characteristic is instrumental, the means through which the larger act of exalting God's name is enacted."
1112,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"Ps.138.2:H6944G role=['M61', 'T2'] live=['M61']; Ps.138.2:H2617A role=['M07', 'M50'] live=['M50']; Ps.138.2:H0565A role=['M65', 'T2'] live=['M65']","In Ps.138.2, thanksgiving (H3034) is directed at the divine name and stands alongside steadfast love (M07/M50, H2617A), faithfulness (M13, H0571G), and exaltation (M22, H1431) -- thanksgiving here is the responsive verbal act that answers and publicly announces those other divine attributes; it is the vehicle by which love/faithfulness/exaltation become spoken acknowledgment."
1113,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"2Chr.30.22:H1696G role=['M42', 'T3'] live=['M42']; 2Chr.30.22:H3820A role=['M47', 'T10'] live=['M47']; 2Chr.30.22:H7919A role=['M16', 'T3'] live=['M16']","In 2Chr.30.22, thanksgiving (H3034) co-occurs with skill/insight (M15, H7922), goodness (M05/M18, H2896A), and encouragement (M47, H3820A) -- thanksgiving is the culminating liturgical act performed by those already characterised by skilled, good service, showing thanksgiving as the fitting outward expression of an already-formed disposition."
1114,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"Dan.9.20:H1696G role=['M42', 'T3'] live=['M42']; Dan.9.20:H5971A role=['T11', 'T2'] live=['T11']; Dan.9.20:H5307N role=['M02', 'T3'] live=['T3']","In Dan.9.20, confession (H3034, penitential sense) is paired tightly with prayer/plea (M42, H6419/H8467) and sin (M56, H2403B) -- here thanksgiving's confessional branch functions not as praise but as the verbal admission accompanying supplication, distinguishing this occurrence from the praise-cluster co-occurrences seen elsewhere in the batch."
1115,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"1Chr.16.4:H6440G role=['M02', 'M50', 'T14', 'T2'] live=['T14']; 1Chr.16.4:H3068G role=['T10', 'T7'] live=['T7']; 1Chr.16.4:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']","In 1Chr.16.4, thanksgiving (H3034) is grouped with invocation (M81, H2142) and praise (M08/M16/M22, H1984B) as the threefold liturgical service assigned to the Levites -- thanksgiving occupies the middle term between remembering/invoking God and praising him, marking it as the responsive acknowledgment phase of worship."
1116,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"1Chr.23.30:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']; 1Chr.23.30:H3068G role=['T10', 'T7'] live=['T7']","In 1Chr.23.30, thanksgiving pairs with praise (M08/M16/M22, H1984B) in a fixed daily (morning/evening) liturgical routine -- thanksgiving here is scheduled, habitual acknowledgment rather than a one-time response, distinguishing this occurrence's temporal-repetition framing from the other verses."
1117,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"1Chr.25.3:H3027H role=['M23', 'M72', 'T14', 'T2'] live=['M72', 'T14']; 1Chr.25.3:H0001G role=['T2', 'T8'] live=['T2']; 1Chr.25.3:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']","In 1Chr.25.3, thanksgiving co-occurs with prophesying (M43, H5012) and praise (M08/M16/M22, H1984B) -- thanksgiving is bound here to musical prophecy, showing the characteristic operating within an inspired/prophetic musical office rather than simple spoken response."
1118,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"1Chr.29.13:H0430G role=['T10', 'T2', 'T7'] live=['T7']; 1Chr.29.13:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']","In 1Chr.29.13, thanksgiving and praise (M08/M16/M22, H1984B) are paired as the direct, corporate first-person response to God's glorious name -- thanksgiving here is the immediate communal reflex rather than an institutional office, contrasting with the priestly-office framing of 1Chr.16.4/23.30."
1119,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"2Chr.5.13:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']; 2Chr.5.13:H3068G role=['T10', 'T7'] live=['T7']; 2Chr.5.13:H7311A role=['M22', 'T2'] live=['M22']","In 2Chr.5.13, thanksgiving (H3034) is bound with praise, singing (M22, H7891), and steadfast love/goodness (M07/M50/M05/M18) at the climactic moment the cloud fills the house -- thanksgiving here functions as the trigger-response that precedes and accompanies the manifestation of divine presence, a distinct causal-adjacency role not seen in the other verses."
1120,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"2Chr.7.6:H3068G role=['T10', 'T7'] live=['T7']; 2Chr.7.6:H4428G role=['M72', 'T2', 'T7'] live=['M72']; 2Chr.7.6:H2617A role=['M07', 'M50'] live=['M50']","In 2Chr.7.6, thanksgiving (H3034) is set alongside priestly service (M36, H3548), ministry (M23/M72, H3027I), and steadfast love (M07/M50) as an institution established 'by David' -- thanksgiving here is historically anchored to a founding royal ordinance, a durational/institutional framing distinct from the spontaneous congregational thanks of 1Chr.29.13."
1121,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:47:08Z,"2Chr.20.21:H5971A role=['T11', 'T2'] live=['T11']; 2Chr.20.21:H3068G role=['T10', 'T7'] live=['T7']; 2Chr.20.21:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']","In 2Chr.20.21, thanksgiving (H3034) co-occurs with counsel (M63, H3289), singing (M22), holiness (M61, H6944G), and steadfast love (M07/M50) in a martial-liturgical setting -- thanksgiving here precedes and accompanies the army's advance, functioning as a vocalised expression of trust that goes before military action rather than in a temple setting."
1122,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"Ps.138.2:H6944G role=['M61', 'T2'] live=['M61']; Ps.138.2:H2617A role=['M07', 'M50'] live=['M50']; Ps.138.2:H0565A role=['M65', 'T2'] live=['M65']","In Ps.138.2 the psalmist (first person) initiates the thanksgiving-operation directed toward 'your name' (the Lord), a first-person-to-divine-second-person direction."
1123,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"2Chr.30.22:H1696G role=['M42', 'T3'] live=['M42']; 2Chr.30.22:H3820A role=['M47', 'T10'] live=['M47']; 2Chr.30.22:H7919A role=['M16', 'T3'] live=['M16']","In 2Chr.30.22 the Levites (party) initiate the thanksgiving-operation directed toward the Lord, God of their fathers, performed alongside peace-offering sacrifice."
1124,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"Dan.9.20:H1696G role=['M42', 'T3'] live=['M42']; Dan.9.20:H5971A role=['T11', 'T2'] live=['T11']; Dan.9.20:H5307N role=['M02', 'T3'] live=['T3']","In Dan.9.20 Daniel (first person, 'I') initiates the confessing-operation directed toward the Lord his God, alongside speaking and praying."
1125,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"1Chr.16.4:H6440G role=['M02', 'M50', 'T14', 'T2'] live=['T14']; 1Chr.16.4:H3068G role=['T10', 'T7'] live=['T7']; 1Chr.16.4:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']","In 1Chr.16.4 the Levites, appointed by David (implied party), initiate the thanksgiving-operation directed toward the Lord, God of Israel, before the ark."
1126,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"1Chr.23.30:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']; 1Chr.23.30:H3068G role=['T10', 'T7'] live=['T7']","In 1Chr.23.30 the Levites (implied by verse context) initiate the standing thanksgiving-operation directed toward the Lord, performed daily morning and evening."
1127,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"1Chr.25.3:H3027H role=['M23', 'M72', 'T14', 'T2'] live=['M72', 'T14']; 1Chr.25.3:H0001G role=['T2', 'T8'] live=['T2']; 1Chr.25.3:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']","In 1Chr.25.3 the sons of Jeduthun (party) initiate the thanksgiving-operation directed toward the Lord, performed with the lyre under prophetic inspiration."
1128,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"1Chr.29.13:H0430G role=['T10', 'T2', 'T7'] live=['T7']; 1Chr.29.13:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']","In 1Chr.29.13 'we' (the assembly, first person plural) initiate the thanksgiving-operation directed toward 'you, our God'."
1129,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"2Chr.5.13:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']; 2Chr.5.13:H3068G role=['T10', 'T7'] live=['T7']; 2Chr.5.13:H7311A role=['M22', 'T2'] live=['M22']","In 2Chr.5.13 the trumpeters and singers (party) initiate the thanksgiving-operation directed toward the Lord, in unison with musical instruments."
1130,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"2Chr.7.6:H3068G role=['T10', 'T7'] live=['T7']; 2Chr.7.6:H4428G role=['M72', 'T2', 'T7'] live=['M72']; 2Chr.7.6:H2617A role=['M07', 'M50'] live=['M50']",In 2Chr.7.6 King David (party) is the initiating agent who made the instruments 'for giving thanks to the Lord'; the operation is directed toward the Lord and executed by the Levites/priests he established.
1131,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:47:08Z,"2Chr.20.21:H5971A role=['T11', 'T2'] live=['T11']; 2Chr.20.21:H3068G role=['T10', 'T7'] live=['T7']; 2Chr.20.21:H1984B role=['M08', 'M16', 'M22', 'T3'] live=['M22']","In 2Chr.20.21 those appointed to sing (party, appointed by Jehoshaphat) initiate the thanksgiving-operation ('Give thanks') directed toward the Lord, going before the army."
1184,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:54:41Z,"Isa.12.1:H3068G role=['T10', 'T7'] live=['T7']; Isa.12.1:H0639G role=['M02', 'T14', 'T2'] live=['M02', 'T14']; Isa.12.1:H7725I role=['M11', 'M81', 'T3'] live=['T3']","The verse's operation-tagged word is H7725I (turn away, role-T3), initiated by God's anger (subject) turning away from the speaker (object/beneficiary). H3034 itself (thanks) is not tagged role-T3 in this verse's role list (it carries only M49), so no D7.7.1 relation is recorded for H3034 as an operation-word; it is the responsive speech-act, not the operation."
1199,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:54:41Z,"Isa.12.1:H3068G role=['T10', 'T7'] live=['T7']; Isa.12.1:H0639G role=['M02', 'T14', 'T2'] live=['M02', 'T14']; Isa.12.1:H7725I role=['M11', 'M81', 'T3'] live=['T3']","Building on the prior finding (thanksgiving as capstone response to anger-turned-comfort): from thanksgiving's own vantage, this occurrence shows the characteristic functioning prospectively as well -- 'you will say... I will give thanks' -- meaning the thanksgiving is anticipated and rehearsed as the fitting future speech-act that will properly name and close the sequence of divine anger (M02) and comfort (M11/M45), underscoring that thanksgiving is the verbal seal that completes, not merely accompanies, the relational reversal."
1206,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:54:41Z,"2Chr.7.3:H7200G role=['T3', 'T7'] live=['T3']; 2Chr.7.3:H3068G role=['T10', 'T7'] live=['T7']; 2Chr.7.3:H1004B role=['T10', 'T2'] live=['T2']","Building on the prior finding (thanksgiving names/ratifies glory, goodness, and steadfast love just witnessed): from thanksgiving's own vantage, the act is performed corporately and physically embodied (bowing faces to the ground) alongside worship (H7812), showing that here thanksgiving is not a solitary verbal act but a communal liturgical response that binds the whole assembly's acknowledgment of God's glory (M22) and covenant love (M07/M50) into a single ritual moment."
1224,A-root-verse-reading,M49,G2168,M0.6.5,tightly-related,draft,2026-09-18T08:54:41Z,"Rom.1.8:G2424G role=['T7', 'T8'] live=['T7']","Building on the prior finding (thanksgiving grounded in the recipients' faith being proclaimed): from thanksgiving's own vantage, this shows the characteristic functioning here as an apostolic relational bridge -- Paul's thanks moves through Christ toward God and is triggered by observing another party's M13 (faith) at work in the world, illustrating thanksgiving's role as the verbal link connecting observed virtue in others to praise of God as its ultimate source."
1226,A-root-verse-reading,M49,G2168,M0.6.5,tightly-related,draft,2026-09-18T08:54:41Z,"Rom.7.25:G2424G role=['T7', 'T8'] live=['T7']; Rom.7.25:G2962G role=['M72', 'T7'] live=['T7']","Building on the prior finding (thanksgiving as the verbal pivot resolving the M78/M54/M15/M47/M56 conflict): from thanksgiving's own vantage, its exclamatory, non-finite grammatical form here (a bare nominal cry rather than a declared act) shows the characteristic bursting forth spontaneously at the resolution point, functioning less as a considered statement and more as an immediate relational release triggered by deliverance from the enslaving characteristics named in the verse."
1228,A-root-verse-reading,M49,G2168,M0.6.5,tightly-related,draft,2026-09-18T08:54:41Z,"1Cor.1.4:G2424G role=['T7', 'T8'] live=['T7']","Building on the prior finding (thanksgiving grounded in grace given in Christ Jesus): from thanksgiving's own vantage, the characteristic here operates as continual/habitual ('always') rather than a single act, showing thanksgiving functioning as a settled ongoing posture toward M50 (grace) rather than a one-time response."
1231,A-root-verse-reading,M49,G2168,M0.6.5,tightly-related,draft,2026-09-18T08:54:41Z,"Col.1.3:G2962G role=['M72', 'T7'] live=['T7']; Col.1.3:G2424G role=['T7', 'T8'] live=['T7']","Building on the prior finding (thanksgiving and prayer, G4336, as companion but distinct acts): from thanksgiving's own vantage, it is positioned temporally as the frame within which prayer occurs ('we thank... when we pray'), showing thanksgiving functions as the constant disposition of communication with God that specific petitionary prayer sits inside, rather than the two being interchangeable synonyms."
1249,A-root-verse-reading,M49,G2170,M0.6.5,tightly-related,draft,2026-09-18T08:54:42Z,"Col.3.15:G2564G role=['M37', 'M42'] live=['M42']","Building on the prior finding (thankfulness accompanying Christ's peace, M33, ruling the heart, M47): from thankfulness's own vantage, being commanded as the concluding imperative of the verse shows it functioning as the capstone disposition that should characterize the 'one body' called to peace -- thankfulness here is the fitting communal response that completes and stabilizes the peace-governed, united heart just described."
1251,A-root-verse-reading,M49,G2168,M0.6.5,sole-mcode-in-verse,draft,2026-09-18T08:54:42Z,"1Thess.5.18:G2424G role=['T7', 'T8'] live=['T7']","No other M-code characteristic co-occurs alongside thanksgiving (G2168) in 1Thess.5.18's role list (M18 'will' is present but that is a different M-code from a distinct characteristic, not overlapping here in a relational way the role list marks); recorded as the sole M-code characteristic directly relevant to thanksgiving's own field of view in this verse's role tags."
1281,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:56:57Z,"Ps.99.3:H1419A role=['T2', 'T8'] live=['T2']; Ps.99.3:H6918G role=['M13', 'M61'] live=['M61']","Building on the prior finding (praise as response to awe/holiness): from praise's own vantage point, the verb itself supplies the missing verbal enactment the awesome/holy name calls for — M01 and M13/M61 name the divine attributes that make the name praiseworthy, while H3034 supplies the community's required liturgical action, closing the loop between attribute and response."
1282,A-root-verse-reading,M49,H3034,D7.7.1,answered-no-flag,draft,2026-09-18T08:56:57Z,"Ps.99.3:H1419A role=['T2', 'T8'] live=['T2']; Ps.99.3:H6918G role=['M13', 'M61'] live=['M61']","H3034 ('let them praise') is the role-T3-tagged operation in this verse; it is initiated by the implied worshipping community ('them') and directed toward God, whose great, awesome, and holy name/person is the object of the praise-act."
