osisId,note_id,verse_lexical_id,source_position,source_code_ordinal,source_strong,source_surface,note_type,resolution_status,target_verse,target_position,related_verse_lexical_ids,value_text,evidence_text
Gen.46.18,361,885456,11,0,H5315J,persons,noun_severity,resolved,,,,"H5315J (nephesh) is used here in its headcount sense ('sixteen persons'), not its inner-being 'soul' sense -- confirmed by this code's own related-word family (soul/life/myself/appetite), which shows both senses genuinely belong to one lemma. A real, project-relevant polysemy distinction for a study centred on inner-being vocabulary.",
Lev.17.16,478,891333,0,0,H3808,not,related_word,resolved,,,,"H0408/H3809 (al/la, 'not') are genuine synonym forms of this negator. H3810/H3818/H3819 (Lo-debar, Not-My-People, No-Mercy) are NOT coincidental despite being proper names -- deliberately built on the negator as a real Hebrew naming convention, a genuine if indirect relation.",
Lev.17.16,479,891334,1,0,H3526H,wash,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 1 related code under the exact code H3526H -- H3526G (kavas, 'Washer's'), a genuine same-root participial/occupational form of 'to wash'.",
Lev.17.16,480,891335,1,1,H0518A,wash,connective,unclassified,,,,"The bound conditional clitic ('if', attached to the verb) marks this clause as a conditional apodosis. The design's own 3-class connective lexicon (causal/coordinating/purpose) has no conditional class -- correctly UNCLASSIFIED rather than force-fit; a real taxonomy gap.",
Lev.17.16,481,891335,1,1,H0518A,wash,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 11 related codes under the exact code H0518A, mixed -- H0518B/H0518H/H0518I/H0518J are genuine same-lemma sub-senses of 'if' (except/surely no/surely yes/until); H0509/Elkoshite/Eltekeh/Eltekon are coincidental collisions.",
Lev.17.16,482,891336,1,2,H9002,wash,connective,resolved,,,,Coordinating: the waw here functions as disjunctive 'or' between the two negated verbs (wash / bathe) -- a genuine coordinating relation.,
Lev.17.16,483,891337,2,0,H7364,bathe,related_word,resolved,,,,Genuine same-concept family: washing-related terms (H7365/H7366/H7367) -- real semantic cluster.,
Lev.17.16,484,891338,2,1,H9023,bathe,pronoun_resolution,resolved,Lev.17.15,1,,The implicit 3ms subject ('he') of this verse is not named within Lev.17.16 itself -- a targeted read of the immediately preceding verse (Lev.17.15) confirms the antecedent: 'every person (nephesh) who eats...' (position 1).,
Lev.17.16,485,891339,2,2,H3808,bathe,polarity,resolved,Lev.17.16,0,,"Second negator (H3808) extends the first negator's (position 0) scope across both coordinated verbs -- 'does not wash... or bathe' is one negated compound action, not two independent negative clauses.",
Lev.17.16,486,891340,3,0,H1320,flesh,related_word,resolved,,,,Genuine same-concept family: flesh/body-related Hebrew root (H1308/H1309/H1319/H1321) -- real semantic cluster.,
Lev.17.16,487,891341,3,1,H9002,flesh,inert,checked_empty,,,,"Conjunctive prefix within 'his flesh', function role.",
Lev.17.16,488,891342,4,0,H5375J,bear,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 30 related codes under the exact code H5375J, genuine and directly relevant -- nasa ('to lift/bear') is the root of massa ('burden'), and the code's own sub-senses (to lift: raise/bear/forgive) reinforce this verse's own idiom (see below).",
Lev.17.16,489,891342,4,0,H5375J,bear,idiom,resolved,,,,"'bear his iniquity' (nasa avon) is a fixed Hebrew legal idiom meaning 'be held guilty/liable', not a literal physical-bearing statement -- reinforced by H5375J's own related-word family (burden/to lift/to bear), which shows 'bear' here is genuinely rooted in the carrying-a-burden sense.",
Lev.17.16,490,891343,5,0,H9023,his,pronoun_resolution,resolved,Lev.17.15,1,,Same antecedent as position 2's 'his' -- the generic legal subject established in Lev.17.15.,
Lev.17.16,491,891344,6,0,H5771G,iniquity,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0 -- see below): 5 related codes under the exact code H5771G, genuine and illuminating -- avah ('to twist'/'to pervert', H5753A/B) is the root avon ('iniquity') itself derives from, and H5771H/I are the same lemma's own other senses (iniquity: guilt/punishment). This directly explains WHY iniquity is something 'borne' (idiom, position 4): the root concept is a moral 'twisting', not an abstract label.",
Judg.11.40,458,957152,0,0,H1323G,daughters,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 42 related codes under the exact code H1323G -- the same bat/ben (daughter/son) cross-referenced family found at Gen.46.18 position 7, genuine, not coincidental.",
Judg.11.40,459,957153,1,0,H3478,Israel,related_word,resolved,,,,"Genuine, real cross-reference: Israel/Jacob (H3290/H3479) and Israelite (G2474/G2475) are the same people's collective name and eponymous ancestor -- the identical name-cluster finding as Gen.46.18 position 9.",
Judg.11.40,460,957154,2,0,H1980G,went,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 16 related codes under the exact code H1980G, genuine -- halakh ('to go') family (step/walk) plus its own sub-senses (to go: come/walk/take/continue).",
Judg.11.40,461,957155,2,1,H9011,went,inert,checked_empty,,,,"Directional-heh suffix, function role.",
Judg.11.40,462,957156,3,0,H3117I,year,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 7 related codes under the exact code H3117I, genuine -- all sub-senses of yom ('day': old/daily/always/today) plus yomam ('by day'). This confirms and sharpens the idiom finding below: the 'year by year' idiom is literally built on the DAY word (yamim, 'days'), the standard Hebrew distributive construction, not a separate 'year' word.",
Judg.11.40,463,957156,3,0,H3117I,year,idiom,resolved,Judg.11.40,4,,"'yamim yamimah' (H3117I repeated at positions 3-4, literally 'days to days') is the standard Hebrew distributive idiom for 'year by year / annually' -- confirmed by this code's own related-word family, all 'day' senses, not two separate year-references.",
Judg.11.40,464,957157,3,1,H9006,year,inert,checked_empty,,,,"Prepositional prefix, function role.",
Judg.11.40,465,957158,4,0,H3117I,year,related_word,resolved,,,,Same corrected family as position 3 -- second half of the 'days to days' idiom.,
Judg.11.40,466,957159,5,0,H8567,lament,related_word,checked_empty,,,,"1 related code pulled, form/gloss empty -- not usable.",
Judg.11.40,467,957160,5,1,H9005,lament,inert,checked_empty,,,,"Prepositional prefix ('to'), function role.",
Judg.11.40,468,957161,6,0,H1323G,daughter,related_word,resolved,,,,Same corrected bat/ben family as position 0 and Gen.46.18 position 7.,
Judg.11.40,469,957161,6,0,H1323G,daughter,entity_link,resolved,Judg.11.40,7,,"'daughter' (singular) refers to Jephthah's daughter specifically (named via his patronymic at position 7-8) -- distinct from 'daughters of Israel' (plural, position 0).",
Judg.11.40,470,957162,6,1,H9005,daughter,inert,checked_empty,,,,"Genitive-marking prefix, function role.",
Judg.11.40,471,957163,7,0,H3316H,Jephthah,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 2 related codes under the exact code H3316H, genuine -- G2422 (Greek transliteration Iephthae) and H3316G (Iphtah, a place-name variant), real cross-lingual name attestation.",
Judg.11.40,472,957164,8,0,H1569,Gileadite,related_word,resolved,,,,"Genuine toponymic family: Gilead (H1568, multiple sub-entries) -- a real, meaningful geographic/genealogical connection to Jephthah's own origin.",
Judg.11.40,473,957165,8,1,H9009,Gileadite,inert,checked_empty,,,,"Definite article, function role.",
Judg.11.40,474,957166,9,0,H0702,four,related_word,resolved,,,,Genuine numeral family: four/fourth/forty (H0703/H0704/H0705/H7243) -- real semantic root.,
Judg.11.40,475,957167,10,0,H3117I,days,related_word,resolved,,,,Same corrected day-family as positions 3-4 (H3117I).,
Judg.11.40,476,957168,11,0,H8141,year,related_word,resolved,,,,"Genuine etymological finding: shanah ('year', H8140) shares its root with 'to change/to repeat' (H8132/H8138) -- a real insight (a year as a repeating cycle).",
Judg.11.40,477,957169,11,1,H9003,year,inert,checked_empty,,,,"Prepositional prefix ('in'), function role.",
Prov.31.30,389,434412,0,0,H2580,Charm,related_word,resolved,,,,"Coincidental at scale: 51 related codes pulled, the overwhelming majority proper names (Hen, Henadad, Hannah...) sharing the CHN root with 'charm' -- a textbook, large-scale Hebrew triliteral-root collision, correctly sorted coincidental.",
Prov.31.30,390,434413,0,1,H9009,Charm,inert,checked_empty,,,,"Definite article, function role.",
Prov.31.30,391,434414,1,0,H8267,deceitful,related_word,resolved,,,,"Genuine, minor relation: shares its root with 'to deal falsely' (H8266) -- a real if small semantic connection.",
Prov.31.30,392,434415,2,0,H3308,beauty,related_word,resolved,,,,"Mixed: H3302/H3303/H3304 (beautiful/pretty) are genuine same-concept relatives; H3305 (Joppa, a place name) is a coincidental collision within the same pull.",
Prov.31.30,393,434416,2,1,H9009,beauty,inert,checked_empty,,,,"Definite article, function role.",
Prov.31.30,394,434417,3,0,H1892,vain,related_word,resolved,,,,"Genuine and notable: H1893 (Abel, the biblical name) is a well-attested intentional naming pun in Hebrew scripture (Abel's name literally carries the sense 'vapor/vanity'), the same root as this verse's own 'vain'. A real connection, not coincidental.",
Prov.31.30,395,434418,3,1,H9002,vain,connective,unclassified,,,,"Adversative 'but', contrasting charm/beauty (positions 0-3) against the woman who fears the LORD (positions 4-7). The design's 3-class connective lexicon has no adversative class -- correctly UNCLASSIFIED, the same taxonomy gap already found at Lev.17.16's conditional case.",
Prov.31.30,396,434419,4,0,H0802G,woman,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 7 related codes under the exact code H0802G, genuine and directly relevant -- ishah ('woman') is etymologically paired with ish ('man', H0376) in Hebrew, a well-known linguistic fact (ishah is grammatically derived from ish); also enosh ('human', H0582) and the word's own other senses (wife/another). A real, significant family for a study focused on human/party vocabulary specifically.",
Prov.31.30,397,434420,5,0,H3373,fears,related_word,resolved,,,,"Genuine same-concept family: fear/reverence (H3372/H3374/H4172) -- fully expected, real semantic cluster.",
Prov.31.30,398,434421,6,0,H3068G,Lord,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 39 related codes under the exact code H3068G, genuine and theologically significant -- the full divine-name/epithet cluster across Hebrew (Adonai, El, El-Berith) and Greek (Abba, Eloi, Eli, Sabaoth, Hupsistos), directly relevant to a study of divine-referring vocabulary.",
Prov.31.30,399,434422,7,0,H1984B,praised,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 14 related codes under the exact code H1984B, genuine and notable -- halal ('to praise') shares its single root with 'to shine' (H1984A), 'to boast/rave madly' (H1984H/I), and 'madness' (H1947/H1948). A real, nuanced finding: the word for 'praised' shares its root with boasting and even madness, worth naming rather than treating as a plain synonym-only relation.",
Prov.31.30,400,434423,7,1,H1931,praised,related_word,resolved,,,,"Pronoun-form cognates (he/she/it family, H1932/H2007) -- present but not a substantive finding on its own.",
Prov.31.30,401,434423,7,1,H1931,praised,pronoun_resolution,resolved,Prov.31.30,4,,"'she' (the subject of 'is to be praised') refers back to 'a woman who fears the LORD' (position 4), not to charm/beauty -- confirms the verse's own antithetical structure resolves to the woman as the praised subject.",
Ps.94.22,373,415053,0,0,H3068G,Lord,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 39 related codes under the exact code H3068G -- same divine-name/epithet cluster as Prov.31.30 position 6, genuine, confirming the same cross-verse family recurring.",
Ps.94.22,374,415053,0,0,H3068G,Lord,entity_link,resolved,Ps.94.22,2,,"'the LORD' (position 0) and 'my God' (position 2) are the same referent, in synonymous parallelism -- both party_kind=divine, confirming the mechanical tag rather than adding a new fact.",
Ps.94.22,375,415054,0,1,H1961,Lord,related_word,resolved,,,,Minor genuine cognate: 'to fall'/'to be' (H1933) -- a real if modest etymological relative of hayah ('become').,
Ps.94.22,376,415054,0,1,H1961,Lord,chain,resolved,,,,"'has become' carries narrative_morph=wayyiqtol -- a genuine sequential-argument marker within the psalm's own developing claim, not a static statement.",
Ps.94.22,377,415055,1,0,H4869A,stronghold,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 4 related codes under the exact code H4869A, genuine -- misgav ('stronghold') shares its root with sagav ('to exalt') -- a stronghold is, at root, an exalted/high place, a real etymological connection directly relevant to this verse's own image.",
Ps.94.22,378,415055,1,0,H4869A,stronghold,structural_pattern,resolved,,,"[415061, 415064]","'stronghold' / 'rock' / 'refuge' form a 3-term synonym cluster in poetic parallelism, all predicated of the same divine subject -- the verse's characteristic Hebrew poetic doubling (here tripling).",
Ps.94.22,379,415056,1,1,H9005,stronghold,inert,checked_empty,,,,"Prepositional prefix, function role.",
Ps.94.22,380,415057,1,2,H9005,stronghold,inert,checked_empty,,,,"Prepositional prefix (second component of a compound preposition), function role.",
Ps.94.22,381,415058,1,3,H9030,stronghold,pronoun_resolution,resolved,,,,"1cs possessive suffix ('my') -- self-reference to the psalmist speaker, straightforward.",
Ps.94.22,382,415059,2,0,H0430G,God,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 46 related codes under the exact code H0430G -- the SAME divine-name/epithet cluster as H3068G above (Abba/Eloi/Eli/Adonai/El), directly confirming the entity_link's own claim that 'the LORD' and 'my God' are parallel divine epithets from the same lexical family.",
Ps.94.22,383,415060,2,1,H9002,God,connective,resolved,,,,"Coordinating 'and', joining the two divine epithets (LORD / God).",
Ps.94.22,384,415061,3,0,H6697H,rock,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 10 related codes under the exact code H6697H, genuine and relevant -- tsur ('rock') shares its root with 'to confine/besiege' (H6696A) -- a rock as a place of refuge is, at root, a place that confines/shelters from danger, directly relevant to this verse's own refuge theme.",
Ps.94.22,385,415062,3,1,H9005,rock,inert,checked_empty,,,,"Prepositional prefix, function role.",
Ps.94.22,386,415063,3,2,H9020,rock,pronoun_resolution,resolved,,,,1cs possessive suffix ('my') -- self-reference to the psalmist.,
Ps.94.22,387,415064,4,0,H4268,refuge,related_word,resolved,,,,"Genuine same-concept family: 'to seek refuge' (H2620/H2622) -- real semantic cluster, directly on-topic.",
Ps.94.22,388,415065,4,1,H9020,refuge,pronoun_resolution,resolved,,,,1cs possessive suffix ('my') -- self-reference to the psalmist.,
Eccl.5.14,319,883118,0,0,H1931,and those,related_word,resolved,,,,Mechanical pronoun-form cognates (he/she/it family) -- present but not a substantive finding on its own.,
Eccl.5.14,320,883118,0,0,H1931,and those,entity_link,resolved,Eccl.5.13,6,,'and those [riches]' picks up the referent from the immediately preceding verse (Eccl.5.13's own 'riches') -- a genuine cross-verse resolution.,
Eccl.5.14,321,883119,0,1,H9009,and those,inert,checked_empty,,,,"Definite article, function role.",
Eccl.5.14,322,883120,1,0,H6239,riches,related_word,resolved,,,,Genuine same-concept family: rich/enrich (H6223/H6238) -- real semantic cluster.,
Eccl.5.14,323,883121,1,1,H9009,riches,inert,checked_empty,,,,"Definite article, function role.",
Eccl.5.14,324,883122,2,0,H0006,lost,related_word,resolved,,,,"Genuine, strong family: destroy/destruction/Abaddon (H0007-H0011) -- Abaddon as the personification of destruction is a real, notable related concept, not a coincidental collision.",
Eccl.5.14,325,883123,3,0,H7451A,bad,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 8 related codes under the exact code H7451A, genuine -- the ra ('bad/evil') root's own same-lemma sub-senses (evil/distress:harm) plus a real cognate extending to 'to shatter' (H7489B), a wide semantic range for a single root.",
Eccl.5.14,326,883124,4,0,H6045,venture,related_word,resolved,,,,"Genuine root connection: 'to be occupied/afflicted' (H6031) -- 'venture/business' relates to being occupied/busy, a recurring theme-word in Ecclesiastes specifically.",
Eccl.5.14,327,883125,4,1,H9003,venture,inert,checked_empty,,,,"Prepositional prefix, function role.",
Eccl.5.14,328,883126,5,0,H3205,father,related_word,resolved,,,,"Same birth-root family as Gen.46.18 position 8 (child/youth/maiden, H3205's own family), here in its causative 'father of' sense rather than 'bore' -- a real sense-distinction worth naming.",
Eccl.5.14,329,883127,6,0,H1121A,son,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 48 related codes under the exact code H1121A -- the same genuine ben ('son') family found at Gen.46.18 position 1, a good cross-verse consistency check (same code, same correct classification, two different verses).",
Eccl.5.14,330,883128,7,0,H0369,nothing,related_word,resolved,,,,Genuine family: 'where?' / 'isn't?' (H0370/H0371) -- real negation-of-existence semantic cluster.,
Eccl.5.14,331,883129,7,1,H9002,nothing,inert,checked_empty,,,,"Conjunctive prefix, function role.",
Eccl.5.14,332,883130,7,2,H3972,nothing,related_word,resolved,,,,"Coincidental, not genuine: shares root letters with 'blemish' (H3971) but is not semantically related to this word's own sense ('anything/nothing') -- a minor Hebrew root collision.",
Eccl.5.14,333,883128,7,0,H0369,nothing,idiom,resolved,,,[883130],"H0369 + H3972 together ('nothing... nothing') form the standard Hebrew double-negation idiom for absolute negation ('there is not a thing') -- one idiom across two codes, not two separate findings.",
Eccl.5.14,334,883131,8,0,H9023,his,pronoun_resolution,resolved,,,,3ms possessive suffix ('his') -- self-reference to the man just introduced in this verse.,
Eccl.5.14,335,883132,9,0,H3027G,hand,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 22 related codes under the exact code H3027G, genuine and directly relevant -- yad ('hand') has an extremely wide range of its own idiomatic sub-senses (hand: power/by/to/times/monument/tool), which directly reinforces the idiom finding below.",
Eccl.5.14,336,883132,9,0,H3027G,hand,idiom,resolved,,,,"'in his hand' is the standard Hebrew idiom for 'in his possession/control', not a literal statement about a hand -- reinforced by yad's own related-word family showing this word's idiomatic range is extensive and well-attested.",
Eccl.5.14,337,883133,9,1,H9003,hand,inert,checked_empty,,,,"Prepositional prefix, function role.",
Isa.4.5,416,441866,0,0,H3068G,Lord,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 39 related codes under the exact code H3068G -- the same divine-name/epithet cluster found at Prov.31.30 and Ps.94.22, genuine, a recurring family across this 10-verse sample.",
Isa.4.5,417,441867,1,0,H1254A,create,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 3 related codes under the exact code H1254A, genuine but modest -- beriah ('creation', H1278) is a direct cognate noun. Bara ('create') is used almost exclusively of divine creative action in the OT -- a theologically loaded verb choice, now with real supporting related-word evidence rather than an unsupported observation.",
Isa.4.5,418,441868,2,0,H5921A,over,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 38 related codes under the exact code H5921A, genuine and interesting -- 'over' (al) relates etymologically to 'above' (ma'al) and 'lifting' (mo'al), and also cross-references H3588 (ki, 'for'/'that') -- the SAME code classified as a causal connective at position 16 of this verse. A real, small network of related Hebrew particles, not a coincidence worth ignoring.",
Isa.4.5,419,441869,3,0,H3605,whole,related_word,resolved,,,,Genuine family: all/entire/perfect (H3606/H3632/H3634) -- real semantic cluster.,
Isa.4.5,420,441870,4,0,H4349,site,related_word,resolved,,,,"Coincidental at scale: 24 related codes, almost entirely proper names (Jachin, Jeconiah) sharing the root letters of 'site/place' -- a textbook Hebrew triliteral collision, correctly sorted coincidental.",
Isa.4.5,421,441871,5,0,H2022G,Mount,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 11 related codes under the exact code H2022G, genuine -- har ('mountain') family including its own sub-sense (hill country), Hor/Hara/Haran (place names genuinely built on the same root), and harar (a direct cognate, 'mountain').",
Isa.4.5,422,441871,5,0,H2022G,Mount,noun_relational,resolved,Isa.4.5,6,,"'Mount' + 'Zion' (position 6) is a construct-state relational pairing identifying which mount is meant -- not two separate referents needing an entity_link, a plain construct relation.",
Isa.4.5,423,441872,6,0,H6726,Zion,related_word,resolved,,,,"Genuine toponymic family: Jerusalem/Salem/Zion (attested cross-lingually, Hebrew and Greek) -- a real, meaningful place-name cluster.",
Isa.4.5,424,441873,7,0,H5921A,over,related_word,resolved,,,,Same corrected H5921A family as position 2 -- second occurrence of 'over' in this verse.,
Isa.4.5,425,441873,7,0,H5921A,over,recurrence_role_shift,checked_empty,Isa.4.5,2,,"Same code (H5921A, 'over') recurs from position 2, but the grammatical role does NOT shift -- both instances mark the object of protective coverage. A plain repeated function word, correctly recorded checked_empty.",
Isa.4.5,426,441874,7,1,H9002,over,connective,resolved,,,,"Coordinating 'and', joining 'over the site of Mount Zion' with 'over her assemblies'.",
Isa.4.5,427,441875,8,0,H4744,assemblies,related_word,resolved,,,,"Genuine root connection: 'to call/proclaim' (H7121) -- an assembly (miqra) is literally 'a calling-together', a real etymological insight.",
Isa.4.5,428,441876,9,0,H6051,cloud,related_word,resolved,,,,Genuine same-concept family: cloud (H6049-H6053) -- real semantic cluster.,
Isa.4.5,429,441876,9,0,H6051,cloud,structural_pattern,resolved,,,"[441879, 441881, 441884]",'cloud' / 'smoke' / 'shining' / 'fire' form a 4-term theophany-imagery cluster (day/night pairing) -- Sinai-pattern protective-presence imagery.,
Isa.4.5,430,441877,9,1,H9024,cloud,pronoun_resolution,resolved,Isa.4.5,6,,"3fs possessive suffix ('her') refers to Zion (position 6), feminine place-name agreement.",
Isa.4.5,431,441878,10,0,H3119,day,related_word,resolved,,,,"Genuine, straightforward family: day (H3117, multiple sub-senses) -- expected, real cluster.",
Isa.4.5,432,441879,11,0,H6227,smoke,related_word,resolved,,,,Mixed: 'to smoke'/'smoking' (H6225/H6226) genuine; Ashan (H6228) a coincidental place-name collision within the same pull.,
Isa.4.5,433,441880,11,1,H9002,smoke,connective,resolved,,,,"Coordinating 'and', joining 'smoke' to the preceding 'cloud'.",
Isa.4.5,434,441881,12,0,H5051,shining,related_word,resolved,,,,"Genuine family: to shine/brightness (H5050/H5053/H5054) -- real semantic cluster; Nogah (H5052, a personal name) a minor coincidental collision.",
Isa.4.5,435,441882,12,1,H9002,shining,connective,resolved,,,,"Coordinating 'and', joining 'shining' to 'smoke'.",
Isa.4.5,436,441883,13,0,H3852,flaming,related_word,resolved,,,,"Genuine family: flame (H3827/H3851/H7957) -- real semantic cluster; Lehabim (H3853, a people-name) a minor coincidental collision.",
Isa.4.5,437,441884,14,0,H0784,fire,related_word,resolved,,,,"Coincidental, not genuine: Ashbel/Eshban/Ashbea are proper names sharing root letters with 'fire' but semantically unrelated.",
Isa.4.5,438,441885,15,0,H3915,night,related_word,resolved,,,,"Mostly coincidental: Letushim (a tribe-name), 'to sharpen' -- tenuous or unrelated collisions with 'night'.",
Isa.4.5,439,441886,16,0,H3588A,for,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 11 related codes under the exact code H3588A, genuine and connected -- ki ('for') cross-references H0518A ('if', the SAME code found conditional at Lev.17.16), and its own sub-senses (that if: except / for as that: since). Confirms 'for' and 'if' are lexically related in STEP's own data, part of the same small conditional/causal-particle network noted at position 2's 'over'.",
Isa.4.5,440,441886,16,0,H3588A,for,connective,resolved,,,,"Causal 'for' -- genuinely classifiable against the 3-class lexicon as causal, introducing the reason/basis for the preceding description.",
Isa.4.5,441,441887,17,0,H5921A,over,related_word,resolved,,,,Same corrected H5921A family as positions 2 and 7 -- third occurrence of 'over' in this verse.,
Isa.4.5,442,441887,17,0,H5921A,over,recurrence_role_shift,checked_empty,Isa.4.5,2,,"Third occurrence of H5921A ('over') in this verse -- again no role shift from its first occurrence (position 2), correctly recorded checked_empty.",
Isa.4.5,443,441888,18,0,H3605,all,related_word,resolved,,,,Genuine family: all/entire/perfect (same root as position 3's 'whole') -- real semantic cluster.,
Isa.4.5,444,441888,18,0,H3605,all,recurrence_role_shift,checked_empty,Isa.4.5,3,,"Same code (H3605) as position 3 ('whole'), but both occurrences are the same distributive-quantifier role -- no genuine role shift, correctly recorded checked_empty.",
