strong,language,gloss,m_code,other_live_codes,category,m_code_source,m_code_rationale,t2_source,t2_rationale,claude_recommendation,claude_reasoning,researcher_decision,researcher_notes
G2712,Greek,idolatrous,M55,,T2-REAL,old-system-migration," | relocated M27->M55 2026-09-06 (escalation #1525: 'merge M27 into M55', researcher verbatim)",heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Keep M55 only (retire T2),"Directly idolatry-thematic (""idolatrous"") -- same reasoning as G1494/G1495.",,
G2900,Greek,mighty,M23,,BOTH-STALE,old-system-migration,,old-system-migration,,Keep M23 only (retire T2),"BOTH-STALE, but ""mighty"" is a plausible, clean fit for a strength-themed M23 -- no red flag in the gloss itself.",,
G2999,Greek,ministry,M36,,BOTH-STALE,old-system-migration,,old-system-migration,,Retire M36 (keep T2),"BOTH-STALE, ""ministry"" reads as a general-vocabulary/role word, not obviously M36-characteristic on its face -- flagged as a likely mis-tag, your call.",,
G3873,Greek,be present,M15,,BOTH-REAL,llm-allocation-v1_3-20260811,no precedent; profile suggestion M15:5.9 | accepted,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Retire M15 (keep T2),"Same ""be present"" family as G1764/G3918/G4840 -- four separate lemmas glossed ""be present,"" all tagged M15; looks like a pattern-match sweep issue, not four independent M15 characteristics.",,
G3918,Greek,be present,M15,,BOTH-REAL,llm-allocation-v1_3-20260811,no precedent; profile suggestion M15:5.9 | accepted,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Retire M15 (keep T2),Same as G3873.,,
G4229,Greek,thing,M28,,BOTH-REAL,auto-precedent,,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Retire M28 (keep T2),"Bare generic noun ""thing"" (pragma) -- very hard to justify as a specific characteristic; same concern as H6640 below.",,
G4840,Greek,be present with,M15,,BOTH-REAL,llm-allocation-v1_3-20260811,no precedent; profile suggestion M15:5.9 | accepted,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Retire M15 (keep T2),"Same ""be present"" family as G1764/G3873/G3918.",,
G4894,Greek,be aware,M15,,T2-REAL,old-system-migration,,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Keep M15 only (retire T2),"T2-REAL, but ""be aware"" plausibly fits a Wisdom/perception theme better than the other M15 entries here.",,
G4997,Greek,mental soundness,M61,,M-REAL,heuristic-family-grouping-v1-20260905,family=purity-holiness-sanctification,old-system-migration,,Keep M61 only (retire T2),"M-REAL, and ""mental soundness"" is a direct, clean fit for its own M-code.",,
G5379,Greek,love of dispute,M51,,M-REAL,heuristic-family-grouping-v1-20260905,family=love-devotion,old-system-migration,,Keep M51 only (retire T2),"M-REAL, ""love of dispute"" directly names a characteristic -- clean fit.",,
G5400,Greek,fearful thing,M01,,BOTH-STALE,old-system-migration,,old-system-migration,,Keep M01 only (retire T2),"BOTH-STALE, but ""fearful thing"" directly fits M01 (Fear) -- clean gloss match despite no process on either side.",,
G5591,Greek,natural,M15,,BOTH-STALE,old-system-migration,,old-system-migration,,Needs content review,"BOTH-STALE, ""natural"" (psychikos, natural/soulish vs. spiritual) -- context-dependent (1 Cor 2 usage); not a clean either-way call from the gloss alone.",,
G5600,Greek,may be,M28,,BOTH-REAL,llm-allocation-v1_3-20260811,translit-only precedent (homonym risk) — single-cluster precedent (P3) | accepted,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Retire M28 (keep T2),"The subjunctive form of the copula ""to be"" (eimi) -- a grammatical form, not a characteristic word; strong candidate for M-code error.",,
H0034,Hebrew,needy,M09,,M-REAL,heuristic-family-grouping-v1-20260905,family=humility-lowliness-contrition,old-system-migration,,Keep M09 only (retire T2),"M-REAL, ""needy"" is a direct, clean fit for its M-code.",,
H0061,Hebrew,truly,M03,,BOTH-REAL,llm-allocation-v1_3-20260811,precedent conflict: M03[P3]; M26[P3]; T2[P1] | accepted,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Retire M03 (keep T2),"BOTH-REAL, but ""truly"" is an adverb of asseveration -- grammatical/emphatic, not characteristic content; concerning fit for M03.",,
H1544,Hebrew,idol,M55,T12,BOTH-REAL,llm-allocation-v1_3-20260811,"precedent conflict: M27[P1+P2]; T2[P1] | accepted | relocated M27->M55 2026-09-06 (escalation #1525: 'merge M27 into M55', researcher verbatim)",heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Keep both -- genuine dual,"BOTH-REAL. ""idol"" is simultaneously the idolatry theme (M55) AND a physical object (T12 already coexists here too) -- the clearest case in this list for a real, justified dual/triple membership.",,
H2632,Hebrew,authority,M72,,M-REAL,heuristic-family-grouping-v1-20260905,family=authority-dominion-rule,old-system-migration,,Keep M72 only (retire T2),"M-REAL, ""authority"" is a direct, clean fit.",,
H3027W,Hebrew,hand: owner,M23,,BOTH-STALE,old-system-migration,,old-system-migration,,Needs content review,"BOTH-STALE, ""hand: owner"" -- an idiomatic sense of ""hand,"" plausible M23 (Strength/power) fit but no process behind either tag.",,
H4751,Hebrew,bitter,M03,,BOTH-STALE,old-system-migration,,old-system-migration,,Keep M03 only (retire T2),"BOTH-STALE, ""bitter"" directly fits M03 (Bitterness) -- clean gloss match.",,
H4941I,Hebrew,justice: rule,M12,,M-REAL,heuristic-family-grouping-v1-20260905,family=righteousness-integrity,old-system-migration,,Keep M12 only (retire T2),"M-REAL, ""justice: rule"" -- direct fit for M12 (Justice).",,
H4941J,Hebrew,justice: custom,M12,,M-REAL,heuristic-family-grouping-v1-20260905,family=righteousness-integrity,old-system-migration,,Keep M12 only (retire T2),"M-REAL, same lemma family as H4941I, same reasoning.",,
H6094,Hebrew,injury,M10,,M-REAL,heuristic-family-grouping-v1-20260905,family=violence-cruelty,old-system-migration,,Keep M10 only (retire T2),"M-REAL, ""injury"" -- direct fit.",,
H6105A,Hebrew,be vast,M23,,T2-REAL,old-system-migration,,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Needs content review,"T2-REAL, ""be vast"" -- plausible M23 (Strength/magnitude) fit, but the deliberate sweep put it in T2; worth a real look.",,
H6640,Hebrew,thing,M28,,BOTH-REAL,llm-allocation-v1_3-20260811,"no precedent; profile suggestion M28:6.3, T2:4.1, M25:4.1 | accepted",heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Retire M28 (keep T2),"Bare generic noun ""thing"" -- same concern as G4229, likely a pattern-match mis-tag.",,
H6819,Hebrew,be little,M31,,BOTH-REAL,llm-allocation-v1_3-20260811,"no precedent; profile suggestion M31:7.1, T2:5.1 | accepted",heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Needs content review,"BOTH-REAL, ""be little"" -- plausible M31 fit but no strong signal either way.",,
H7218K,Hebrew,head: group,M24,,BOTH-REAL,llm-allocation-v1_3-20260811,translit-only precedent (homonym risk) — single-cluster precedent (P3) | accepted,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Needs content review,"BOTH-REAL, ""head: group"" -- idiomatic sense of ""head,"" plausible M24 fit but no strong signal either way.",,
H7293,Hebrew,Rahab,M08,,BOTH-STALE,old-system-migration,,old-system-migration,,Retire M08 (keep T2),"BOTH-STALE. ""Rahab"" is a PROPER NOUN (the person, or the poetic sea-monster name for Egypt) -- proper nouns are not normally characteristics; strong candidate for M-code error.",,
