cluster_code,strong,gloss,language,source,confidence,review_flag,rationale
T7,H0807,Ashima,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Ashima (אֲשִׁימָא) § a god of Hamath"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H1078,Bel,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Bel (בֵּל) § a chief Babylonian deity"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H1170,Baal-berith,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament;"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H1187,Baal of Peor,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament;"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H1408,Fortune,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Fortune (גַּד) § a Babylonian deity"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H1712,Dagon,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Dagon (דָּגוֹן) § a Philistine deity of fertility; represented with the face and hands of a man an"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H3068G,LORD,Hebrew,old-system-migration,,0," | relocated T2->T7 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). YHWH, gloss 'the LORD' -- evidence-checked live, escalation #1383 v32"
T7,H3069,YHWH/God,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""The Deity;"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H3594,Kiyyun,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Kiyyun (כִּיּוּן) § probably a statue of the Assyrian-Babylonian god of the planet Saturn and used"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H3645,Chemosh,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Chemosh (כְּמוֹשׁ) § the national deity of the Moabites and a god of the Ammonites"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H4428K,Milcom,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament;"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H4432,Molech,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament;"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H4445B,Milcom,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament;"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H4507,Destiny,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Destiny (מְנִי) § god of fate who the Jews worshipped in Babylonia"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H4781,Merodach,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Merodach (מְרֹדָךְ) § the chief deity of the Babylonians in the time of Nebuchadnezzar"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H5015B,Nebo,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Nebo (נְבוֹ) § a Babylonian deity who presided over learning and letters; corresponds to Greek Her"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H5026,Nibhaz,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Nibhaz (נִבְחַז) § a deity of the Avites introduced by them into Samaria in the time of Shalmanese"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H5180,Nehushtan,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Nehushtan (נְחֻשְׁתָּן) § name by which the brazen serpent made by Moses in the wilderness was wor"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H5268,Nisroch,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Nisroch (נִסְרֹךְ) § an idol of Nineveh worshipped by Sennacherib; symbolised by the eagle-headed"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H5370,Nergal,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Nergal (נֵרְגָּ֑ל) § one of the chief deities of Assyria and Babylon and worshipped by the men of"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H5522,Sikkuth,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Sikkuth (סִכּוּת)"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H5524,Succoth-benoth,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Succoth-benoth (סֻכּוֹת בְּנוֹת) § Assyrian or Babylonian deity worshipped by the Babylonians in S"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H5945B,Most High [God],Hebrew,claude-scan-20260908,medium,0,"Phase I (escalation #1598): surfaced via a coincidental root-relation to a T10 place member (""Upper Beth-horon""), but is actually a divine title (""Most High""/""Highest"") -- redirected to Party-Divine, not Places -- ""Most High [God]"""
T7,H5945H,[LORD] Most High,Hebrew,claude-scan-20260908,medium,0,"Phase I (escalation #1598): surfaced via a coincidental root-relation to a T10 place member (""Upper Beth-horon""), but is actually a divine title (""Most High""/""Highest"") -- redirected to Party-Divine, not Places -- ""[LORD] Most High"""
T7,H6253,Ashtoreth,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A female deity of Sidon in the time of the Old Testament, first mentioned at 1Ki.11.5, also known as Astarte;"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H7200N,Provider [God],Hebrew,claude-scan-20260908,high,0,"researcher instruction verbatim: 'Provider [God] (Jehovah-Jireh) is divine T word, and actually quite an important one.' Gen.22.14, a significant divine name/epithet. escalation #1598 Phase E2"
T7,H7417A,Rimmon,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Rimmon (רִמּוֹן) §n pr dei"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H8542,Tammuz,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Tammuz (תַּמּוּז) § a Sumerian deity of food or vegetation"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T7,H8662,Tartak,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Tartak (תַּרְתָּ֑ק) § one of the deities of the Avite people of Samaria"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
T8,G0002,Aaron,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A priest from the tribe of Levi living at the time of Egypt and Wilderness, first mentioned at Exo.4.14;"""
T8,G0006,Abel,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man living at the time before the Flood, first mentioned at Gen.4.2;"""
T8,G0007G,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Abijah"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent list)"""
T8,G0007H,Abijah,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man living at the time of Divided Monarchy, first mentioned at 1Ch.24.10;"""
T8,G0008,Abiathar,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A High Priest living at the time of United Monarchy, first mentioned at 1Sa.22.20;"""
T8,G0011,Abraham,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man living at the time of the Patriarchs, first mentioned at Gen.11.26;"""
T8,G0028,Hagar,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A woman living at the time of the Patriarchs, first mentioned at Gen.16.1;"""
T8,G0076,Adam,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man living at the time before the Flood, first mentioned at Gen.2.19;"""
T8,G0080,brother,Greek,heuristic-family-grouping-v1-20260905,heuristic,0,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term"
T8,G0128,Ethiopian,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A location first mentioned at Gen.2.13;"""
T8,G0284,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Amminadab"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent li"""
T8,G0295,Amphipolis,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A location only mentioned at Act.17.1;"""
T8,G0300,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Amos"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent list)"""
T8,G0435G,man,Greek,auto-precedent,,0," | relocated T2->T8 2026-09-05 (de-cfg-ification, researcher-approved, escalation #1500). aner, gloss 'man: husband' -- evidence-checked live"
T8,G0442,human,Greek,migration-20260905-decfgification,,0,"new assignment 2026-09-05 (no prior cluster_strong row) -- anthropinos, gloss 'human' -- evidence-checked live (no prior row)"
T8,G0444,a human,Greek,migration-20260905-decfgification,,0,"new assignment 2026-09-05 (no prior cluster_strong row) -- anthropos, gloss 'a human' -- evidence-checked live (no prior row)"
T8,G0755,head waiter,Greek,claude-scan-20260908,high,0,"Phase L (escalation #1598): surfaced via body-part gloss scan but is not itself a body part -- a person-role (master of ceremonies), not a body part -- matched via ""head"" substring. Gloss: ""head waiter"""
T8,G0760,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Asaph"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent list)"""
T8,G0768,Asher,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""Jacob's son who founded the tribe of Asher living at the time of the Patriarchs, first mentioned at Gen.30.13;"""
T8,G0881,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Ahaz"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent list)"""
T8,G0903,Balaam,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A prophet living at the time of Egypt and Wilderness, first mentioned at Num.22.5;"""
T8,G0904,Balak,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A king in Moab living at the time of Egypt and Wilderness, first mentioned at Num.22.2;"""
T8,G0913,Barak,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A Judge living before Israel's Monarchy, first mentioned at Jdg.4.6;"""
T8,G0914,Barachiah,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A High Priest living at the time of Divided Monarchy, first mentioned at 2Ki.11.4;"""
T8,G0958,Benjamin,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""Jacob's son who founded the tribe of Benjamin living at the time of the Patriarchs, first mentioned at Gen.35.18;"""
T8,G1003,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Boaz"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent list)"""
T8,G1007,Beor,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man living at the time of Egypt and Wilderness, first mentioned at Num.22.5;"""
T8,G1045,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Gad"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent list)"""
T8,G1066,Gideon,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A Judge living before Israel's Monarchy, first mentioned at Jdg.6.11;"""
T8,G1135,,,migration-20260905-decfgification,,0,"new assignment 2026-09-05 (no prior cluster_strong row) -- gyne, gloss 'woman' -- evidence-checked live (no prior cluster_strong row)"
T8,G1138,David,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A king of Judah living at the time of United Monarchy, first mentioned at Rut.4.17;"""
T8,G1158,Daniel,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A prophet living at the time of Exile and Return, first mentioned at Ezk.14.14;"""
T8,G1478,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Hezekiah"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent lis"""
T8,G1496,idolater,Greek,heuristic-family-grouping-v1-20260905,heuristic,0,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term | relocated T2->T8 2026-09-08 (escalation #1598, researcher-approved). 'idolater' -- Researcher, verbatim: 'idolater is a person, not an idol -- similar to labourer.' Confirmed via morph_code (N-NPM/N-NSM/N-DPM, a person noun) -- corrected from the original T12 proposal to T8, matching the H6001A/'labourer' precedent. escalation #1598 Phase A2"
T8,G1666,Elisha,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A prophet living at the time of Divided Monarchy, first mentioned at 1Ki.19.16;"""
T8,G1694,Immanuel,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man from the tribe of Judah living at the time of the New Testament, first mentioned at Mat.1.1;"""
T8,G1697,Hamor,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man living at the time of the Patriarchs, first mentioned at Gen.33.19;"""
T8,G1800,Enos,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man living at the time before the Flood, first mentioned at Gen.4.26;"""
T8,G1802,Enoch,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man living at the time before the Flood, first mentioned at Gen.5.18;"""
T8,G2074,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Hezron"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent list)"""
T8,G2096,Eve,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A woman living at the time before the Flood, first mentioned at Gen.3.20;"""
T8,G2187,Ephraim,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A location first mentioned at 2Sa.13.23;"""
T8,G2194,Zebulun,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""Jacob's son who founded the tribe of Zebulun living at the time of the Patriarchs, first mentioned at Gen.30.20;"""
T8,G2196,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Zerah"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent list)"""
T8,G2197G,Zechariah,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A priest living at the time of Divided Monarchy, first mentioned at 2Ch.24.20;"""
T8,G2197H,Zechariah,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A man living at the time of the New Testament, first mentioned at Luk.1.5;"""
T8,G2216H,,,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""surface=""Zerubbabel"" (no TIP/gloss row, identified via verse surface text -- named individual, Matthew 1 genealogy or equivalent l"""
T8,G2243,Elijah,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A prophet living at the time of Divided Monarchy, first mentioned at 1Ki.17.1;"""
T8,G2268,Isaiah,Greek,claude-scan-20260908,high,0,"Phase J (escalation #1598): T8/T11 family-expansion scan, TIP-marker or surface-text verified -- ""A prophet living at the time of Divided Monarchy, first mentioned at 2Ki.19.2;"""
