question_code,window,population_scope,per_verse_or_global,gating_condition,question_text
M0.7.13,relational,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, is [this word] extended by one person toward another, and if so how does it operate in that extension? Record none if it is not."
M0.7.14,relational,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, is [this word] taken up by a person from another, and if so how does it operate in that uptake? Record none if it is not."
M0.7.15,relational,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, does [this word] operate in relation to other spiritual beings -- angelic or adversarial -- and if so how? Record none if it does not."
M0.7.16,relational,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, is [this word] predicated of God or otherwise related to God; if so, in what relation (God as the one who bears it, acts, gives it, or is its object)? Record the relation, or record that it is not related to God here."
M0.7.2,affective,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, what first or most immediate inner-being response does [this word] show in the person it relates to, following from it? Record it, or record none."
M0.7.3,action-impact,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, what does [this word] produce in the inner being of the person it relates to, over time -- what states, qualities, capacities, or orientations does it establish? Record it, or record none."
M0.7.4,action-impact,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, does [this word] depict or relate to a change in a person's state, condition, or disposition -- and if so, what changes, is the change in their condition itself, their orientation/response to it, or both, and does the verse indicate whether the change is lasting or temporary? Record none if no such change is shown."
M0.7.5,action-impact,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, does [this word] describe a sequence of inner states the person it relates to moves through -- a before, during, and after -- and what are those states? Record none if no sequence is shown."
M0.7.6,operational,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, by what mechanism does [this word] produce change in the person it relates to -- discipline, encounter, gradual formation, sudden transformation, or other? Record none if no mechanism is shown."
M0.7.7,operational,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, in what distinct mode(s) does [this word] operate within the inner person -- the manner of its functioning? Record it, or record none if not determinable."
M0.7.8,constitutional,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, at which constitutional level(s) is [this word] located -- from {spirit, soul, heart, mind, other soul-subset, a named body part} -- and how is each engaged? Record every level evidenced, or none."
M0.7.9,origin,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, where does [this word] originate -- generated within the person, received from another person, bestowed by God, carried generationally, introduced by another spirit (angelic or adversarial), or not stated? Record the origin, or record that it is not stated."
