question_code,window,obs_count,question_text
F0.1.2,faculty,14,"Across the verses, what does the pattern of engagement and non-engagement with the faculties indicate about the characteristic's nature?"
M0.2.2,meaning,14,"Is the characteristic simple in structure, or does it combine constituent elements; if compound, which?"
M0.3.1,meaning,14,What stands against the characteristic as its structural opposite — the inner-being reality that excludes it?
M0.3.2,meaning,14,What does the characteristic exclude or resist at its edge?
M0.3.3,meaning,14,Where does the characteristic end and another thing begin — what is it not?
X0.1.1,relational,14,"Which adjacent characteristics appear alongside this one in the verse evidence, and how frequently? Record none if no significant co-occurrence appears."
X0.1.2,relational,14,What does the co-occurrence pattern show about this characteristic's place in the inner-being landscape?
X0.2.1,relational,14,"Does the evidence show this characteristic consistently preceding, following, or accompanying another in a sequence; if so, which and how? Record none if no sequence appears."
X0.2.2,relational,14,"What does the sequence show — is the relationship causal, developmental, or correlational?"
X0.3.1,relational,14,"Does this characteristic produce another in the evidence, and if so which, and by what mechanism? Record none if none is shown."
X0.3.2,relational,14,"Is this characteristic produced by another, and if so which?"
X0.3.3,relational,14,"Is this characteristic a constituent element of another, or another a constituent of this one?"
X0.5.1,relational,14,"Which adjacent characteristic most closely resembles this one, and what precisely distinguishes them?"
X0.5.2,relational,14,"Where the evidence shows apparent overlap, what is the precise boundary?"
X0.5.3,relational,14,"Is the distinction from the nearest neighbour one of degree, kind, direction, or constitutional level?"
D3.2.3,operational,13,What is the inner-being state of the person in whom the characteristic is present but does not take hold?
D5.2.2,relational,13,"What inner posture does this movement require, as the evidence shows?"
D5.2.3,relational,13,What does the human-to-God direction of the characteristic show about the person's relationship with God?
D7.1.3,relational,13,What does God's extension of the characteristic show about his disposition toward the human person?
D7.2.2,relational,13,What inner conditions or orientations in the giver accompany genuine extension of the characteristic?
D7.3.3,relational,13,What is the inner-being state of the person who meets the characteristic from another but does not take it up?
D7.4.2b,relational,13,What does that pattern show about the characteristic being a site of adversarial activity?
D7.4.3b,relational,13,"What does that pattern show about the characteristic being communicated, strengthened, or mediated through angelic ministry?"
D7.2.3,relational,12,What does the evidence show a person must have received or become before they extend the characteristic?
D10.1.1,action-impact,0,"Does this verse state any purpose, role, or effect the characteristic serves in the person — what it leads the person to be, do, or become? Record it if stated; otherwise record none."
D10.2.1,action-impact,0,"What first or most immediate inner-being response does this verse show following the characteristic? Record it, or record none."
D10.3.1,action-impact,0,"What does the characteristic produce in the inner being over time in this verse — what states, qualities, capacities, or orientations does it establish? Record it, or record none."
D10.4.1,action-impact,0,"In this verse, does the characteristic produce transformation in the person, and if so does it change the person's condition, their orientation to their condition, or both? Record none if no transformation is shown."
D10.5.1,action-impact,0,"Does this verse describe a sequence of inner states the characteristic moves the person through — a before, during, and after — and what are those states? Record none if no sequence is shown."
D10.6.1,action-impact,0,"In this verse, by what mechanism does the characteristic produce change — discipline, encounter, gradual formation, sudden transformation, or other? Record none if no mechanism is shown."
D11.2.1,origin,0,"Per the cluster's science extract, does genetics/evolutionary biology treat this characteristic (or its precursor) as part of innate human endowment, and how does that relate to D11.1's created-design/fallen-condition finding?"
D12.1.1,scientific,0,"Per the cluster's science extract, what does behavioural science show about how the characteristic expresses socially -- cooperatively or competitively -- and does the verse evidence show a comparable social pattern?"
D3.1.1,operational,0,In what distinct mode(s) does the characteristic operate within the inner person in this verse — the manner of its functioning?
D5.1.1,relational,0,"Across the characteristic's verses, is the characteristic ever predicated of God himself (not just present in a verse where God is also mentioned)?"
D5.2.1,relational,0,"In this verse, does the characteristic operate in the person's movement toward God — seeking, supplication, worship, covenant — and if so how? Record none if it does not."
D6.1.1,constitutional,0,"At which constitutional level(s) does this verse locate the characteristic — from {spirit, soul, heart, mind, other soul-subset, a named body part} — and how is each engaged? Record every level evidenced, or none."
D7.1.1,relational,0,"In this verse, does the characteristic operate from God toward the human person, and if so how? Record none if it does not."
D7.2.1,relational,0,"In this verse, is the characteristic extended by one person toward another, and if so how does it operate in that extension? Record none if it is not."
D7.3.1,relational,0,"In this verse, is the characteristic taken up by a person from another, and if so how does it operate in that uptake? Record none if it is not."
D7.4.1,relational,0,"In this verse, does the characteristic operate in relation to other spiritual beings — angelic or adversarial — and if so how? Record none if it does not."
D7.4.2a,relational,0,Does an adversarial-being code ever appear as an acting party in a verse carrying this characteristic?
D7.4.3a,relational,0,Does an angelic-being code ever appear as an acting party in a verse carrying this characteristic?
D7.5.1,origin,0,"Where does this verse say the characteristic originates — generated within the person, received from another person, bestowed by God, carried generationally, introduced by another spirit (angelic or adversarial), or not stated?"
D7.6.1,relational,0,"In this verse, is the characteristic predicated of God or otherwise related to God; if so, in what relation (God as the one who bears it, acts, gives it, or is its object)? Record the relation, or record that it is not related to God here."
D9.1.1,scientific,0,"Per the cluster's science extract, what does neuroscience or physiology show about the mechanism underlying this characteristic, and does the verse evidence engage or diverge from that mechanism?"
D9.2.1,scientific,0,"Per the cluster's science extract, does the scientific literature show the characteristic (or its pattern) transmitted generationally, and does the verse evidence show anything comparable (covenant, inheritance, generational language)?"
F0.1.1,faculty,0,"In this verse, does the characteristic engage or is affected by specific faculties — the inner senses (hearing, sight, taste, touch, smell), spiritual discernment, the cognitive faculty (knowing, understanding, discerning), the memory faculty (the holding and retrieving of inner-being reality across time), the affective faculty (feeling and emotional experience), the creative faculty (imagination and the capacity to originate), the volitional faculty (the capacity to choose), the agency faculty (the capacity to act, initiate, and make happen), the moral-evaluation faculty (the capacity to assess against a standard of right, wrong, good, and true), conscience (the acute inner witness of sin, guilt, and conviction), conscientiousness (the integrated response of moral awareness, volition, and action), or relational capacity (the constitutional equipment for genuine connection with another person) — and if so, which faculty/faculties and how? Record none if it does not."
M0.4.1,meaning,0,What is the grammatical/stem form of the characteristic's primary term in this verse?
M0.6.1,literary,0,"What is the function of the primary term within its primary verse -- (a) what role does it play in the sentence, and (b) what role does it play in the verse's own argument, if a connective/chain edge shows one?"
M0.6.2,literary,0,What is the logical structure of the key arguments in the verse evidence — premises and conclusions?
M0.6.3,literary,0,"Does any verse function as the primary anchor — the one most fully and directly expressing the characteristic's essential character? Record it, or none."
M0.6.4,literary,0,What does the primary anchor verse show that no other verse shows?
X0.4.1,relational,0,"Which vocabulary terms, if any, does this characteristic share with other characteristics in the programme? Record none if none is shown."
X0.4.2,relational,0,Does the sharing extend to root-level architecture — a shared root generating terms across two or more characteristics?
X0.4.3,relational,0,What does the vocabulary sharing show about the conceptual relationship between the characteristics?
