question_code,scope,window,mechanism,placement_verdict,placement_note,payload_verdict,payload_note,instruction_verdict,instruction_issue_type,writeback_verdict,writeback_note,question_text
D11.2.1,Characteristic (HIB behaviour),origin,EXCLUDED-SCIENCE-EXTRACT,"BLOCKED -- KNOWN, TRACKED","Deliberately excluded from Stage 4's own query (question_text LIKE '%science extract%') because the science-extract source data isn't wired in yet. NOT a wording or placement defect -- a real, prose-grounded (escalation #1805 v3) build gap, 0/4 answered live.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,science-extract-family,N/A,Never answered by any stage -- no write-back to audit.,"Per the cluster's science extract, does genetics/evolutionary biology treat this characteristic (or its precursor) as part of innate human endowment, and how does that relate to D11.1's created-design/fallen-condition finding?"
D12.1.1,Characteristic (HIB behaviour),scientific,EXCLUDED-SCIENCE-EXTRACT,"BLOCKED -- KNOWN, TRACKED","Deliberately excluded from Stage 4's own query (question_text LIKE '%science extract%') because the science-extract source data isn't wired in yet. NOT a wording or placement defect -- a real, prose-grounded (escalation #1805 v3) build gap, 0/4 answered live.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,science-extract-family,N/A,Never answered by any stage -- no write-back to audit.,"Per the cluster's science extract, what does behavioural science show about how the characteristic expresses socially -- cooperatively or competitively -- and does the verse evidence show a comparable social pattern?"
D2.1.1,Characteristic (HIB behaviour),affective,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",COMPLIANT,none,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","In this verse, what is the felt quality of the characteristic -- is it shown as a settled disposition or a transient response, and what emotion-language or bodily-feeling language, if any, accompanies it? Record it, or record none."
D2.1.2,Characteristic (HIB behaviour),affective,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the verses where a felt quality was found (per D2.1.1), is it consistent, or does it vary by context?"
D3.1.1,Verse-context,operational,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,In what distinct mode(s) does the characteristic operate within the inner person in this verse — the manner of its functioning?
D3.1.2,Characteristic (HIB behaviour),operational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing;grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, does its manner of functioning within the inner person vary by context, direction, or constitutional level; if so how?"
D3.1.3,Characteristic (HIB behaviour),operational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, does it ever operate through a communicative or speech-based mode (commanded, addressed, spoken); if so how? Record it, or record none."
D3.2.1,Characteristic (HIB behaviour),operational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, under what inner conditions does it take hold or operate rightly?"
D3.2.2,Characteristic (HIB behaviour),operational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing;grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, under what inner conditions is it blocked, distorted, resisted, or not taken up -- including, where shown, distortion or interference by another spirit (adversarial or angelic)?"
D3.2.3,The HIB,operational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing;subject-partial,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the verses where the characteristic is present but blocked, resisted, or not taken up (per D3.2.2), what is the inner-being state of the person?"
D4.1.1,Characteristic relational,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, does it operate differently within existing relational bonds versus across relational distance or difference; if so how?"
D4.1.2,Characteristic relational,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, does it operate within covenantal contexts only, or does it cross covenantal boundaries?"
D4.1.3,Characteristic relational,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, what is its relational scope -- who is included and who is not?"
D5.1.1,Word/term (lexical),relational,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,scope-mismatch-note,N/A,Never answered by any stage -- no write-back to audit.,"Across the characteristic's verses, is the characteristic ever predicated of God himself (not just present in a verse where God is also mentioned)?"
D5.1.2,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","At the characteristic level, what does the pattern of presence/absence found in D5.1.1 indicate for the characteristic's place in the human person and in the divine image?"
D5.2.1,Word/term (lexical),relational,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,scope-mismatch-note,N/A,Never answered by any stage -- no write-back to audit.,"In this verse, does the characteristic operate in the person's movement toward God — seeking, supplication, worship, covenant — and if so how? Record none if it does not."
D5.2.2,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show it operating in the person's movement toward God (seeking, supplication, worship, covenant), what inner posture does that movement require?"
D5.2.3,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show it operating in the person's movement toward God, what does that direction show about the person's relationship with God?"
D5.3.1,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","At the characteristic level, from its God-relation (D5.1/D7.6) and its role (D10.1/D11.1), what aspect of the divine likeness, if any, does it instantiate in the person? Record the aspect, or record none."
