question_code,verse_reference,strong,tag,obs_text,created_at
D7.7.1,2Cor.8.7,G4710,not-related-to-meaningful-word,"No operation/movement (role-T3) word co-occurs with earnestness itself as its own action in this verse; the excelling verbs (G4052) belong to the Corinthians generally, not specifically wired to earnestness as an operation.",2026-09-21T18:11:37Z
D7.7.1,2Cor.8.7,G5485,answered-no-flag,"The operation words are G4052 (excel, twice), directed by the Corinthians toward themselves as agents urged to excel also in this act of grace (the collection).",2026-09-22T07:02:21Z
D7.7.1,2Pet.1.5,G0703,answered-no-flag,"The operation words are G3923 (make effort) and G2023 (supplement), with the believer as agent, directed at adding virtue (G0703) onto faith and then knowledge onto virtue -- the believer actively builds this chain.",2026-09-22T11:19:09Z
D7.7.1,2Pet.1.5,G0703,answered-no-flag,"The operation words are G3923 (make effort) and G2023 (supplement), with the believer as agent, directed at adding virtue (G0703) onto faith and then knowledge onto virtue -- the believer actively builds this chain.",2026-09-22T11:19:09Z
D7.7.1,2Pet.1.5,G1108,answered-no-flag,"The operation words are G3923 (make effort) and G2023 (supplement), with the believer as agent, directed at adding knowledge (G1108) onto virtue as the final named term in the chain.",2026-09-22T11:19:09Z
D7.7.1,2Pet.1.5,G4710,qualifier-for-term,"In 2Pet.1.5 the operation word G2023 (supplement, role-T3) is initiated by the believer (party, implied 'you') directed toward their own faith, adding virtue -- G4710 (effort) is the manner/resource applied to this self-directed operation of spiritual growth.",2026-09-17T16:32:39Z
D7.7.1,2Pet.1.5,G4710,answered-no-flag,"In 2Pet.1.5, the operation word 'make every effort' (G3923) is initiated by the believer (addressee) and directed toward supplementing faith with virtue -- G4710 'effort' names the diligence-quality that this operation enacts, not the operation itself.",2026-09-21T18:22:19Z
D7.7.1,2Thess.3.7,G0812,answered-no-flag,"G0812 (idle) itself functions here as a negated operation word describing Paul's team's own past conduct (party: 'we', Paul and companions) directed toward the Thessalonians ('with you') as the setting of that non-idle behavior -- the negation clarifies that the operation of diligent labor, not idleness, was directed toward/among the addressees as an example to imitate.",2026-09-17T16:32:39Z
D7.7.1,2Thess.3.7,G0812,not-related-to-meaningful-word,"G0812 ('idle') is a state-verb negated ('not idle'), not an operation directed toward a party; no D7.7.1 operation relation applies.",2026-09-21T18:24:15Z
D7.7.1,2Thess.3.7,G6063,answered-no-flag,"2Thess.3.7: the operation is 'imitate' (G3401, mimeisthai); it is directed by the Thessalonians toward Paul and his companions ('us'), whom they know (G6063) ought to be imitated.",2026-09-22T07:03:30Z
M0.1.1,2Cor.7.12,G0091,answered-no-flag,ἀδικέω names the act of doing wrong/injuring another; its root signals injustice as an act against another party rather than an inner disposition.,2026-09-21T17:48:25Z
M0.1.1,2Cor.7.12,G0091,answered-no-flag,ἀδικέω names the act of doing wrong/injuring another; its root signals injustice as an act against another party rather than an inner disposition.,2026-09-21T17:48:25Z
M0.1.1,2Cor.8.16,G4710,answered-no-flag,"In the M67 programme this NT term names 'earnestness/diligence' (spoudē) -- signalling zealous, energetic application, whether to a task (2Pet 1:5, supplementing faith) or to caring for a person (2Cor 8:16, Titus's care for the Corinthians).",2026-09-17T16:32:39Z
M0.1.1,2Cor.8.7,G1108,answered-no-flag,"γνῶσις names 'knowledge,' rooted in γινώσκω (to know) -- signaling an essential nature of cognitive apprehension, here of Christian truth.",2026-09-21T17:48:26Z
M0.1.1,2Pet.1.5,G0703,answered-no-flag,"In 2Pet.1.5, G0703 (virtue) names moral excellence/goodness added to faith -- the name signals an active quality of moral uprightness rather than a mere disposition.",2026-09-21T18:22:19Z
M0.1.1,2Pet.1.5,G4710,answered-no-flag,"In the M67 programme this NT term names 'earnestness/diligence' (spoudē) -- signalling zealous, energetic application, whether to a task (2Pet 1:5, supplementing faith) or to caring for a person (2Cor 8:16, Titus's care for the Corinthians).",2026-09-17T16:32:39Z
M0.1.1,2Thess.3.7,G0812,answered-no-flag,"This term names the structural absence/opposite of this characteristic: 'to be idle/undisciplined' (ataktheō), signalling a failure to apply the earnest diligence the M67 characteristic names -- essential nature is negligence of duty, originally a military term for breaking rank.",2026-09-17T16:32:39Z
M0.1.2,2Cor.7.12,G0091,answered-no-flag,"Greek ἀδικέω at the definitional level denotes being ἄδικος in action -- to wrong, injure, treat unjustly, whether legally, physically, or relationally.",2026-09-21T17:48:25Z
M0.1.2,2Cor.7.12,G0091,answered-no-flag,"Greek ἀδικέω at the definitional level denotes being ἄδικος in action -- to wrong, injure, treat unjustly, whether legally, physically, or relationally.",2026-09-21T17:48:25Z
M0.1.2,2Cor.8.7,G1108,answered-no-flag,"Greek γνῶσις at the definitional level denotes knowing/knowledge, including higher or esoteric knowledge in later usage, and specifically Christian enlightenment in the NT.",2026-09-21T17:48:26Z
M0.1.2,2Pet.1.5,G0703,answered-no-flag,"Greek arete at the definitional level denotes goodness/excellence of any kind, extended in classical usage to manly valour, moral virtue, and (of God) glorious deeds -- here it denotes the moral-excellence sense supplemented onto faith.",2026-09-21T18:22:19Z
M0.1.2,2Pet.1.5,G4710,answered-no-flag,"G4710 (spoudē) at the definitional level denotes haste/speed root sense extended to zeal, earnestness, eagerness, and diligent application -- the LSJ confirms an original 'haste' sense broadened to earnestness, esteem, and good-will toward a person.",2026-09-17T16:32:39Z
M0.1.2,2Thess.3.7,G0812,answered-no-flag,"G0812 (atakteō) at the definitional level denotes to be undisciplined/out of order, extended to neglect one's duty or lead a disorderly life -- LSJ traces it from military insubordination to general failure to discharge obligation.",2026-09-17T16:32:39Z
M0.1.3,2Cor.7.12,G0091,answered-no-flag,"The name carries a relational, two-party implication: one who wrongs and one who is wronged, an act done TO another, not a solitary state.",2026-09-21T17:48:25Z
M0.1.3,2Cor.7.12,G0091,answered-no-flag,"The name carries a relational, two-party implication: one who wrongs and one who is wronged, an act done TO another, not a solitary state.",2026-09-21T17:48:25Z
M0.1.3,2Cor.8.7,G1108,answered-no-flag,"The name carries a constitutional implication: knowledge as an inward cognitive possession that can be excelled in and increased, listed among a set of graces.",2026-09-21T17:48:26Z
M0.1.3,2Pet.1.5,G0703,answered-no-flag,"The name carries a constitutional implication: virtue is positioned in the verse's chain as a quality built upon faith and itself building toward knowledge, so it denotes a link in a moral-formation sequence rather than a standalone trait.",2026-09-21T18:22:19Z
M0.1.3,2Pet.1.5,G4710,answered-no-flag,The name carries a relational implication of directed energy: earnestness is applied toward a goal (supplementing virtue onto faith) or toward a person (care for the Corinthians put into Titus's heart by God) -- always outward-directed effort rather than passive state.,2026-09-17T16:32:39Z
M0.1.3,2Thess.3.7,G0812,answered-no-flag,"The name carries a relational/constitutional implication of negation: Paul's negative use ('we were not idle') defines the apostolic example by exclusion, establishing a model of diligent labor others are called to imitate -- the term functions as the counter-example that throws diligence into relief.",2026-09-17T16:32:39Z
M0.5.1,2Cor.7.12,G0091,answered-no-flag,"Greek ἀδικέω, from ἄδικος (not-just), root shows injustice as departure from δίκη (right, justice).",2026-09-21T17:48:25Z
M0.5.1,2Cor.7.12,G0091,answered-no-flag,"Greek ἀδικέω, from ἄδικος (not-just), root shows injustice as departure from δίκη (right, justice).",2026-09-21T17:48:25Z
M0.5.1,2Cor.8.7,G1108,answered-no-flag,"γνῶσις, from γινώσκω, root shows the act/product of knowing, ranging from investigation to acquaintance to higher spiritual knowledge.",2026-09-21T17:48:26Z
M0.5.1,2Pet.1.5,G0703,answered-no-flag,"Primary Greek term arete: root sense is goodness/excellence of any kind, in classical usage extending to valour, moral virtue, and glorious deeds; in NT usage (as here) it denotes moral excellence.",2026-09-21T18:22:19Z
M0.5.1,2Pet.1.5,G4710,answered-no-flag,"Primary Greek term G4710 (spoudē) from spoudē/speudō root 'haste'; root shows movement from physical hurrying to moral/relational zeal and diligence, paralleling but distinct from the Hebrew/Aramaic diligence-root H0629 which centers on thoroughness of execution rather than speed.",2026-09-17T16:32:39Z
M0.5.1,2Thess.3.7,G0812,answered-no-flag,"Primary term G0812 (atakteō), root from a- privative + taktos (ordered) -- root meaning shows 'unordered/out of rank', extended metaphorically to laziness or dereliction of duty; direct structural opposite of the cluster's diligence terms.",2026-09-17T16:32:39Z
M0.5.10,2Cor.7.12,G0091,answered-no-flag,"Arc runs from generic 'do wrong/be unjust' (active) through legal, medical (harm), and financial-defrauding senses, to passive 'be wronged' -- here narrowed to the specific interpersonal offense at Corinth.",2026-09-21T17:48:25Z
M0.5.10,2Cor.7.12,G0091,answered-no-flag,"Arc runs from generic 'do wrong/be unjust' (active) through legal, medical (harm), and financial-defrauding senses, to passive 'be wronged' -- here narrowed to the specific interpersonal offense at Corinth.",2026-09-21T17:48:25Z
M0.5.10,2Cor.7.12,G4710,answered-no-flag,"The full arc moves from concrete physical haste/speed, through general zealous exertion and attentiveness (including political/partisan zeal in classical usage), to an ethical-relational sense in the NT epistles where earnestness becomes visible proof of sincere character (repentance, love, generosity) offered for others to observe and judge.",2026-09-17T16:26:59Z
M0.5.10,2Cor.8.16,G4710,answered-no-flag,"The vocabulary arc for G4710 spans literal haste, zealous exertion for a cause, esteem/good-will for a person, and religious zeal -- showing a full semantic range from physical urgency to relational devotion and moral effort, richer than the OT Aramaic administrative-thoroughness sense.",2026-09-17T16:32:39Z
M0.5.10,2Cor.8.7,G1108,answered-no-flag,Arc runs from judicial inquiry and general knowing in classical Greek to a NT-specific sense of higher/esoteric spiritual knowledge; here it names one item in a catalogue of graces to excel in.,2026-09-21T17:48:26Z
M0.5.10,2Cor.8.7,G4710,answered-no-flag,"The full arc moves from concrete physical haste/speed, through general zealous exertion and attentiveness (including political/partisan zeal in classical usage), to an ethical-relational sense in the NT epistles where earnestness becomes visible proof of sincere character (repentance, love, generosity) offered for others to observe and judge.",2026-09-17T16:26:59Z
M0.5.10,2Pet.1.5,G0703,answered-no-flag,The vocabulary arc of arete runs from Homeric valour/excellence-of-any-kind through classical moral virtue (opposed to kakia) to NT usage denoting moral goodness added to faith and to God's own glorious excellence (2Pet.1.3).,2026-09-21T18:22:19Z
M0.5.10,2Pet.1.5,G4710,answered-no-flag,"The vocabulary arc for G4710 spans literal haste, zealous exertion for a cause, esteem/good-will for a person, and religious zeal -- showing a full semantic range from physical urgency to relational devotion and moral effort, richer than the OT Aramaic administrative-thoroughness sense.",2026-09-17T16:32:39Z
M0.5.10,2Thess.3.7,G0812,answered-no-flag,"The vocabulary arc for atakteō spans military insubordination, general neglect of duty, disorderly living, and even riot/rebellion -- showing its full semantic range moves from literal military disorder to moral and social irresponsibility.",2026-09-17T16:32:39Z
M0.5.11,2Cor.7.12,G0091,no-impact,"This occurrence matches the term's ordinary interpersonal sense (one party wrongs, another suffers wrong); no divergence from usual usage.",2026-09-21T17:48:25Z
M0.5.11,2Cor.7.12,G0091,no-impact,"This occurrence matches the term's ordinary interpersonal sense (one party wrongs, another suffers wrong); no divergence from usual usage.",2026-09-21T17:48:25Z
M0.5.11,2Cor.7.12,G4710,no-impact,"Earnestness here for the Corinthians' care for Paul matches σπουδή's usual sense of zealous devotion/earnest care seen elsewhere (e.g. Rom.12.11, 2Cor.7.11), no divergence.",2026-09-21T18:10:46Z
M0.5.11,2Cor.8.16,G4710,surface-gloss-divergence,"Occurrence in 2Cor.8.16 rendered 'earnest care' shifts the base gloss from generic diligence/effort toward relational solicitude -- here the nuance is God-given personal concern for the Corinthians placed in Titus's heart, a warmer relational register than the task-oriented 'make every effort' sense of 2Pet 1:5; impact is to frame diligence as compassionate advocacy rather than self-directed striving.",2026-09-17T16:32:39Z
M0.5.11,2Cor.8.7,G1108,no-impact,This occurrence matches the term's usual NT sense of Christian knowledge/understanding as a virtue to grow in; no divergence.,2026-09-21T17:48:26Z
M0.5.11,2Cor.8.7,G4710,no-impact,"Here σπουδή carries its standard sense of earnestness/zeal in a virtue-list, matching its usual NT usage (e.g. Rom.12.8,11; 2Cor.7.11-12); no divergence from the term's ordinary sense.",2026-09-21T18:11:37Z
M0.5.11,2Pet.1.5,G0703,no-impact,"This occurrence uses arete in its standard NT moral-excellence sense (matching 2Pet.1.3), no divergence from the term's usual sense here.",2026-09-21T18:22:19Z
M0.5.11,2Pet.1.5,G4710,no-impact,"Occurrence in 2Pet.1.5 ('effort', paired with 'make every...') sits within the base gloss of earnest diligence applied to spiritual growth -- no notable divergence from its general sense.",2026-09-17T16:32:39Z
M0.5.11,2Thess.3.7,G0812,surface-gloss-divergence,"The surface gloss 'idle' in 2Thess.3.7 narrows the base sense (military disorder / general dereliction of duty) to the specific charge of not laboring/working while present with the Thessalonians -- the nuance here is Paul's defense of his team's self-supporting diligence as a model to imitate; this is the term's only occurrence in this batch so no internal comparison is available, but the LSJ range shows the NT usage draws on the 'neglect of duty' sense rather than the 'riot/rebellion' sense.",2026-09-17T16:32:39Z
M0.5.2,2Cor.7.12,G0091,answered-no-flag,"ἀδικέω occurs here as a substantival participle (the one who did wrong / the one who suffered wrong), showing the term operates verbally, cast into a person-designation via participial form.",2026-09-21T17:48:25Z
M0.5.2,2Cor.7.12,G0091,answered-no-flag,"ἀδικέω occurs here as a substantival participle (the one who did wrong / the one who suffered wrong), showing the term operates verbally, cast into a person-designation via participial form.",2026-09-21T17:48:25Z
M0.5.2,2Cor.7.12,G4710,answered-no-flag,"σπουδή occurs here only as a noun (N-ASF, N-GSF, N-ASF, N-DSF across occurrences), naming a quality or state rather than the act itself; the related adverb σπουδαίως (G4709) supplies the manner-of-action form, showing the characteristic operates both as a describable quality possessed and as a manner in which action is carried out.",2026-09-17T16:26:59Z
M0.5.2,2Cor.8.7,G1108,answered-no-flag,"Occurs here as a noun (dative), one item in a list of nouns naming Christian excellences -- shows the term functions as a named possession/capacity rather than an action.",2026-09-21T17:48:26Z
M0.5.2,2Cor.8.7,G4710,answered-no-flag,"σπουδή occurs here only as a noun (N-ASF, N-GSF, N-ASF, N-DSF across occurrences), naming a quality or state rather than the act itself; the related adverb σπουδαίως (G4709) supplies the manner-of-action form, showing the characteristic operates both as a describable quality possessed and as a manner in which action is carried out.",2026-09-17T16:26:59Z
M0.5.2,2Pet.1.5,G0703,answered-no-flag,"Grammatically arete appears here as a noun (N-ASF, N-DSF) naming a quality to be supplemented, showing the characteristic operates as an acquired possession added in sequence, not as a verb of action.",2026-09-21T18:22:19Z
M0.5.2,2Pet.1.5,G4710,answered-no-flag,"G4710 is a noun (N-ASF/N-DSF), showing the characteristic operates as a nameable quality/effort that can be possessed, exercised, or 'put into' someone (as in 2Cor 8:16), unlike H0629's purely adverbial function.",2026-09-17T16:32:39Z
M0.5.2,2Thess.3.7,G0812,answered-no-flag,"G0812 is a finite verb (V-AAI-1P, 'we were not idle') -- showing the characteristic's absence is expressed as an act/state of the subject (Paul and companions), not as a noun or adjective naming a quality.",2026-09-17T16:32:39Z
M0.5.3,2Cor.7.12,G0091,answered-no-flag,"Semantic range spans legal wrongdoing, physical injury/harm, and fraud/defrauding; here it operates in the interpersonal/legal sense of an offense done between two Corinthian parties.",2026-09-21T17:48:25Z
M0.5.3,2Cor.7.12,G0091,answered-no-flag,"Semantic range spans legal wrongdoing, physical injury/harm, and fraud/defrauding; here it operates in the interpersonal/legal sense of an offense done between two Corinthian parties.",2026-09-21T17:48:25Z
M0.5.3,2Cor.8.16,G4710,answered-no-flag,"Semantic range includes literal haste/speed, zealous effort toward a task ('make every effort' 2Pet 1:5), esteem/goodwill toward a person, and religious zeal (Rom 12:11) -- an idiomatic extension from physical urgency to moral and relational earnestness.",2026-09-17T16:32:39Z
M0.5.3,2Cor.8.7,G1108,answered-no-flag,"Semantic range spans judicial inquiry, general knowing, acquaintance with a person, recognition, and higher/esoteric knowledge (a distinctly NT sense) -- here in the sense of Christian understanding as an excellence to grow in.",2026-09-21T17:48:26Z
M0.5.3,2Pet.1.5,G0703,answered-no-flag,"Semantic range spans moral virtue, valour, excellence of any kind (persons, animals, land), and (of God) glorious deeds/praises; in this verse it functions within a chain-of-supplementation idiom (add virtue to faith).",2026-09-21T18:22:19Z
M0.5.3,2Pet.1.5,G4710,answered-no-flag,"Semantic range includes literal haste/speed, zealous effort toward a task ('make every effort' 2Pet 1:5), esteem/goodwill toward a person, and religious zeal (Rom 12:11) -- an idiomatic extension from physical urgency to moral and relational earnestness.",2026-09-17T16:32:39Z
M0.5.3,2Thess.3.7,G0812,answered-no-flag,"Semantic range: literal military breaking-of-rank, general dereliction of duty/obligation, disorderly conduct, and by extension idleness/laziness -- in 2Thess 3:7 used idiomatically to negate any charge that Paul's team failed to work diligently while present with the Thessalonians.",2026-09-17T16:32:39Z
M0.5.4,2Cor.7.12,G0091,answered-no-flag,The active participle (one who did wrong) and passive participle (one who suffered wrong) in the same verse distinguish agent-of-act from recipient-of-act for this same term.,2026-09-21T17:48:25Z
M0.5.4,2Cor.7.12,G0091,answered-no-flag,The active participle (one who did wrong) and passive participle (one who suffered wrong) in the same verse distinguish agent-of-act from recipient-of-act for this same term.,2026-09-21T17:48:25Z
M0.5.4,2Cor.8.7,G1108,not-related-to-meaningful-word,"No disposition/act contrast for this term specifically is shown in this verse; it is listed alongside faith, speech, love, and earnestness as parallel named qualities.",2026-09-21T17:48:26Z
M0.5.4,2Pet.1.5,G0703,not-related-to-meaningful-word,Arete here names a quality/condition (moral excellence) itself rather than distinguishing disposition-vs-act or received-vs-given; no such internal aspect-distinction is carried by this term in this verse.,2026-09-21T18:22:19Z
M0.5.4,2Pet.1.5,G4710,answered-no-flag,"The cluster's Greek vocabulary distinguishes act (G4710/spoudē, the exertion itself) from disposition/quality (G4709/spoudaiōs, the adverb describing manner) and from its structural absence (G0812/idleness) -- act versus absence is clearly marked.",2026-09-17T16:32:39Z
M0.5.4,2Thess.3.7,G0812,answered-no-flag,G0812 functions as the negated-act pole opposite the vocabulary of diligent act (G4710/G4709) within this cluster -- act versus its absence is the distinguishing pairing.,2026-09-17T16:32:39Z
M0.5.5,2Cor.7.12,G0091,not-related-to-meaningful-word,No structural-opposite term for ἀδικέω is present in this verse's role list.,2026-09-21T17:48:25Z
M0.5.5,2Cor.8.7,G1108,not-related-to-meaningful-word,No structural-opposite term (e.g. 'ignorance') appears in this verse's role list.,2026-09-21T17:48:26Z
M0.5.5,2Pet.1.5,G0703,not-related-to-meaningful-word,"LSJ notes arete is opposed to kakia (vice) in classical usage, but no such opposite term is present in this verse's own vocabulary.",2026-09-21T18:22:19Z
M0.5.5,2Thess.3.7,G0812,answered-no-flag,G0812 IS itself the structural opposite/absence term for this characteristic (idleness as opposed to diligence); no further opposite term is needed for it.,2026-09-17T16:32:39Z
M0.5.6,2Cor.7.12,G0091,answered-no-flag,The verse itself supplies the person-type via participial substantive: 'the one who did the wrong' (ὁ ἀδικήσας).,2026-09-21T17:48:25Z
M0.5.6,2Cor.8.7,G1108,not-related-to-meaningful-word,No person-type term for this characteristic is present in this verse.,2026-09-21T17:48:26Z
M0.5.6,2Pet.1.5,G0703,not-related-to-meaningful-word,No person-type term (one who habitually possesses virtue) is present in this verse's vocabulary.,2026-09-21T18:22:19Z
M0.5.6,2Pet.1.5,G4710,answered-no-flag,"none -- no distinct person-type noun ('the diligent one') is present among the role-tagged vocabulary of these verses; G4709 (adverb, Titus 3:13) functions adverbially on an implied person but is not itself a person-noun.",2026-09-17T16:32:39Z
M0.5.6,2Thess.3.7,G0812,answered-no-flag,"none -- no distinct person-type noun ('the idle one') is present in this verse's own vocabulary; the verb form describes the group's action, not a named type of person.",2026-09-17T16:32:39Z
M0.5.7,2Cor.7.12,G0091,not-related-to-meaningful-word,No supplication/seeking term for this characteristic appears in this verse.,2026-09-21T17:48:25Z
M0.5.7,2Cor.8.7,G1108,not-related-to-meaningful-word,No supplication/seeking term for knowledge appears in this verse.,2026-09-21T17:48:26Z
M0.5.7,2Pet.1.5,G0703,not-related-to-meaningful-word,No supplication/seeking term for obtaining virtue from another is present in this verse; the verse instead commands self-directed supplementing effort.,2026-09-21T18:22:19Z
M0.5.7,2Pet.1.5,G4710,answered-no-flag,none -- no supplication/seeking term for diligence appears in these verses.,2026-09-17T16:32:39Z
M0.5.7,2Thess.3.7,G0812,answered-no-flag,none -- no supplication/seeking term is present.,2026-09-17T16:32:39Z
M0.5.8,2Cor.7.12,G0091,attested-pre-nt,"ἀδικέω is a standard classical Greek legal/ethical term (Herodotus, Plato, Demosthenes) continued unchanged into NT usage denoting wrongdoing between persons.",2026-09-21T17:48:25Z
M0.5.8,2Cor.8.7,G1108,attested-pre-nt,"γνῶσις is well attested in classical Greek for knowledge/investigation; the NT develops a specialized sense of higher/spiritual knowledge (Ephesians, 1 Corinthians) building on the classical base.",2026-09-21T17:48:26Z
M0.5.8,2Pet.1.5,G0703,answered-no-flag,"Arete carries continuity from classical Greek moral-philosophical usage (virtue opposed to vice) into NT usage where it is applied both to human moral excellence (this verse) and to God's own excellence (2Pet.1.3), showing development toward a theological application of an existing term.",2026-09-21T18:22:19Z
M0.5.8,2Pet.1.5,G4710,answered-no-flag,"The relationship between OT H0629 (administrative/decree thoroughness) and NT G4710/G4709 (personal moral/spiritual zeal) shows development from external, command-driven completeness toward internalized virtue-oriented earnestness applied to faith, ministry, and care for others -- continuity of the root idea of complete, energetic application, but a shift in domain from civil administration to Christian character.",2026-09-17T16:32:39Z
M0.5.8,2Thess.3.7,G0812,answered-no-flag,"There is no direct OT Hebrew/Aramaic cognate for G0812 in this cluster; its relationship to the OT diligence vocabulary (H0629, H0149) is oppositional rather than developmental -- the NT introduces an explicit negative term where the OT vocabulary names only the positive quality, showing NT ethical vocabulary sharpening the contrast between diligence and its failure.",2026-09-17T16:32:39Z
M0.5.9,2Cor.7.12,G0091,attested-pre-nt,"Not a NT coinage; well attested from 7th c. BC (Archilochus, Sappho) onward.",2026-09-21T17:48:25Z
M0.5.9,2Cor.8.7,G1108,attested-pre-nt,"Not a NT coinage as a term, though its 'higher/esoteric knowledge' nuance is a NT-period semantic development (LSJ notes this NT-specific sub-sense).",2026-09-21T17:48:26Z
M0.5.9,2Pet.1.5,G0703,attested-pre-nt,Arete is attested from Homer onward (8th c. BC) in classical Greek; it is not a NT-period coinage.,2026-09-21T18:22:19Z
M0.5.9,2Pet.1.5,G4710,attested-pre-nt,"none -- G4710 (spoudē) is a well-attested classical Greek term, not a NT coinage; its NT usage extends existing pagan-era senses (haste, zeal, esteem) rather than inventing new vocabulary.",2026-09-17T16:32:39Z
M0.5.9,2Thess.3.7,G0812,attested-pre-nt,"none -- atakteō/ataktos vocabulary is attested in classical and Hellenistic Greek (military and civic contexts) prior to the NT, not a new NT coinage, though its ethical/pastoral application to church idleness (2Thess) is a distinctive Pauline usage.",2026-09-17T16:32:39Z
M0.6.5,2Cor.7.12,G0091,sole-mcode-in-verse,"No other M-code characteristic co-occurs with G0091 (wrongdoing) in this verse besides M67 (earnestness), which the prior chain already covers from its own vantage; from G0091's vantage, the two do not interact directly -- the wrongdoing is the occasion Paul writes about, while earnestness is the intended outcome revealed to the Corinthians, so no causal/tension relation exists between them.",2026-09-22T07:02:21Z
M0.6.5,2Cor.7.12,G4710,no-direct-connection,"2Cor.7.12 contains no other M-code characteristic present in the role list alongside σπουδή (M67); the term functions alone here, describing the Corinthians' earnestness for Paul as the intended outcome of his letter, to be revealed before God.",2026-09-17T16:26:59Z
M0.6.5,2Cor.7.12,G4710,sole-mcode-in-verse,"No other M-code characteristic is present in 2Cor.7.12's role list; σπουδή stands alone, confirming the prior finding.",2026-09-21T17:48:26Z
M0.6.5,2Cor.7.12,G4710,sole-mcode-in-verse,"No other M-code characteristic is present in 2Cor.7.12's role list; σπουδή stands alone as this verse's sole M-code element, confirming the prior finding with no new relation to add.",2026-09-21T18:10:46Z
M0.6.5,2Cor.8.16,G2588,answered-no-flag,"Heart (G2588) is the vessel God fills with earnest care (M67); from the heart's own vantage it is enabled/occupied by that quality rather than causing or blocking it, and thanks (M50) responds to the whole heart-filling act, all involving the same parties (God, Titus, Paul).",2026-09-22T11:19:09Z
M0.6.5,2Cor.8.16,G4710,tightly-related,"In 2Cor.8.16, G4710 (earnest care) is the content placed into Titus's heart (M47, G2588) by God, following thanks (M50, G5485) -- diligence here names the specific relational quality (care for the Corinthians) that fills the M47 'heart' vessel, distinguishing the emotional seat from the zeal it contains.",2026-09-17T16:32:39Z
M0.6.5,2Cor.8.16,G4710,sole-mcode-in-verse,"Building on the prior finding, the only other M-code characteristics present are M50 (thanks) and M47 (heart); this characteristic's role as the content placed into the heart already covers its relation to M47, and M50 (thanks) responds to God's act of giving this earnest care -- effort/care here is the gift that occasions the thanksgiving, standing downstream of neither cause nor block but as the object of gratitude.",2026-09-21T18:22:19Z
M0.6.5,2Cor.8.16,G5485,answered-no-flag,"Thanks (G5485) responds to God's act of placing earnest care (M67) into Titus's heart (M47); from thanks's own vantage it is the human/apostolic response that closes the chain God (giver) -> heart (vessel) -> earnest care (content) -> thanks (response), same party (Paul on behalf of the Corinthians) responding to God's act.",2026-09-22T11:19:09Z
