verse_span_id,ve_nr,ve_label,value,from_span,to_span,resolution,pair_kind
262471,112,coupling,welded to the sorrow it produces,262471,262472,span,pair
262471,114,discovery,"nathan (give) — 'whoever WINKS the eye CAUSES trouble'; the furtive gesture of the malicious, sowing sorrow by sly signals. Emergent: the giving/causing of trouble by covert malice.",,,,note
262471,115,role,characteristic,,,,value
262471,116,locus,internal:ib-state,,,,value
262472,101,sense,sorrow — the trouble the winker causes,,,,value
262472,102,type,affect,,,,value
262472,104,seat,none,,,none,flag
262472,105,bearer,those harmed,,262472,inferred,flag
262472,106,operation,the sorrow/pain the deceitful winker inflicts,,,,event
262472,107,target,the causing of it (262471),,262472,inferred,flag
262472,108,manner,none,,,none,flag
262472,112,coupling,welded to the malice that produces it,,262472,inferred,flag
262472,114,discovery,atsebet (pain/sorrow) — 'causes TROUBLE'; the grief that sly malice sows. Emergent: trouble/sorrow as the fruit of covert deceit.,,,,note
262472,115,role,characteristic,,,,value
262472,116,locus,internal:ib-state,,,,value
262474,101,sense,folly — the babbling fool who comes to ruin,,,,value
262474,102,type,disposition,,,,value
262474,104,seat,none,,,none,flag
262474,105,bearer,the fool,,262474,inferred,flag
262474,106,operation,"the prating, lip-foolish fool who talks his way to ruin",,,,event
262474,107,target,(the malicious winker beside him),,262474,inferred,flag
262474,108,manner,none,,,none,flag
262474,112,coupling,the chattering folly that ends in ruin,,262474,inferred,flag
262474,114,discovery,"evil (fool) — 'a babbling fool will come to ruin' (echoing 10:8b); the fool of the lips ruins himself with chatter, paired here with the malice of the winker. Two mouths that destroy.",,,,note
262474,115,role,characteristic,,,,value
262474,116,locus,internal:ib-state,,,,value
262477,101,sense,righteousness — whose mouth is a fountain of life,,,,value
262477,102,type,disposition,,,,value
262477,104,seat,none,,,none,flag
262477,105,bearer,the righteous,,262477,inferred,flag
262477,106,operation,the righteous whose speech gives life like a spring,,,,event
262477,107,target,life-giving speech (262479),,262477,inferred,flag
262477,108,manner,none,,,none,flag
262477,112,coupling,welded to the life its mouth pours,262477,262479,span,pair
262477,114,discovery,tsaddiq — 'the mouth of the RIGHTEOUS is a fountain of life'; righteous speech nourishes and revives. Character shows in the mouth.,,,,note
262477,115,role,characteristic,,,,value
262477,116,locus,internal:ib-state,,,,value
262479,101,sense,life — the life-giving power of righteous speech,,,,value
262479,102,type,state,,,,value
262479,104,seat,none,,,none,flag
262479,105,bearer,the righteous,,262479,inferred,flag
262479,106,operation,the life that the righteous mouth pours out like a fountain,,,,event
262479,107,target,the righteous (262477),,262479,inferred,flag
262479,108,manner,none,,,none,flag
262479,112,coupling,welded to the righteous whose mouth gives it,,262479,inferred,flag
262479,114,discovery,"chayyim (life) — 'a FOUNTAIN OF LIFE'; the righteous word is life-giving, reviving those who hear. Emergent: life as the yield of righteous speech.",,,,note
262479,115,role,characteristic,,,,value
262479,116,locus,internal:ib-state,,,,value
262481,101,sense,wickedness — whose mouth conceals violence,,,,value
262481,102,type,disposition,,,,value
262481,104,seat,none,,,none,flag
262481,105,bearer,the wicked,,262481,inferred,flag
262481,106,operation,the wicked whose smooth speech hides brutality,,,,event
262481,107,target,concealed violence (262483),262481,262483,span,pair
262481,108,manner,none,,,none,flag
262481,112,coupling,the wicked mouth masking the violence within,,262481,inferred,flag
262481,114,discovery,rasha — 'the mouth of the WICKED conceals violence' (=10:6b); speech as a mask for inner brutality. The violence (chamas) hidden is the qualifier.,,,,note
262481,115,role,characteristic,,,,value
262481,116,locus,internal:ib-state,,,,value
262484,101,sense,hatred — which stirs up strife,,,,value
262484,102,type,affect,,,,value
262484,104,seat,none,,,none,flag
262484,105,bearer,the hateful,,262484,inferred,flag
262484,106,operation,the hatred that rouses and inflames conflict,,,,event
262484,107,target,its stirring of strife (262485),,262484,inferred,flag
262484,108,manner,none,,,none,flag
262484,112,coupling,welded to the rousing it drives,262484,262485,span,pair
262484,114,discovery,sinah (hatred) — 'HATRED stirs up strife'; enmity is generative — it breeds conflict. The antithesis of covering love.,,,,note
262484,115,role,characteristic,,,,value
262484,116,locus,internal:ib-state,,,,value
262485,101,sense,rousing — hatred rouses strife,,,,value
262485,102,type,action,,,,value
262485,104,seat,none,,,none,flag
262485,105,bearer,the hateful,,262485,inferred,flag
262485,106,operation,the stirring-up/rousing by which hatred kindles conflict,,,,event
262485,107,target,the strife roused (262486),262485,262486,span,pair
262485,108,manner,none,,,none,flag
262485,112,coupling,the rousing aimed at conflict,,262485,inferred,flag
262485,114,discovery,"uor (rouse/stir up) — hatred 'STIRS UP' strife, actively kindling it. Emergent: the rousing of conflict as hatred's characteristic act. The strife (madon) is the qualifier.",,,,note
262485,115,role,characteristic,,,,value
262485,116,locus,internal:ib-state,,,,value
262487,101,sense,love — which covers all offenses,,,,value
262487,102,type,affect,,,,value
262487,104,seat,none,,,none,flag
262487,105,bearer,the loving,,262487,inferred,flag
262487,106,operation,the love that covers over and forgives all transgressions,,,,event
262487,107,target,the offenses it covers (262490),,262487,inferred,flag
262487,108,manner,none,,,none,flag
262487,112,coupling,welded to the wrongs it overlooks,262487,262490,span,pair
262487,114,discovery,"ahabah (love) — 'LOVE covers all offenses'; where hatred inflames, love forgives and conceals wrong. The generous overlooking of the loving heart.",,,,note
262487,115,role,characteristic,,,,value
262487,116,locus,internal:ib-state,,,,value
262490,101,sense,transgressions — which love covers,,,,value
262490,102,type,disposition,,,,value
262490,104,seat,none,,,none,flag
262490,105,bearer,the offender (forgiven),,262490,inferred,flag
262490,106,operation,the transgressions that love covers over rather than exposes,,,,event
262490,107,target,the love that covers them (262487),,262490,inferred,flag
262490,108,manner,none,,,none,flag
262490,112,coupling,welded to the love that overlooks them,,262490,inferred,flag
262490,114,discovery,"pesha (transgression/offense) — 'love covers all OFFENSES'; the wrongs that love, unlike hatred, chooses to cover. Forgiveness as love's answer to sin.",,,,note
262490,115,role,characteristic,,,,value
262490,116,locus,internal:ib-state,,,,value
262493,101,sense,discernment — on whose lips wisdom is found,,,,value
262493,102,type,cognition,,,,value
262493,104,seat,none,,,none,flag
262493,105,bearer,the discerning,,262493,inferred,flag
262493,106,operation,the understanding whose lips carry wisdom,,,,event
262493,107,target,wisdom found there (262494),,262493,inferred,flag
262493,108,manner,none,,,none,flag
262493,112,coupling,welded to the wisdom his lips bear,262493,262494,span,pair
262493,114,discovery,"bin (discern/understand) — 'on the lips of him who has UNDERSTANDING, wisdom is found'; discernment shows in speech. The wise mouth reveals the wise heart.",,,,note
262493,115,role,characteristic,,,,value
262493,116,locus,internal:ib-state,,,,value
262494,101,sense,wisdom — found on the discerning lips,,,,value
262494,102,type,disposition,,,,value
262494,104,seat,none,,,none,flag
262494,105,bearer,the discerning,,262494,inferred,flag
262494,106,operation,the wisdom that is found on the lips of the understanding,,,,event
262494,107,target,the understanding that bears it (262493),,262494,inferred,flag
262494,108,manner,none,,,none,flag
262494,112,coupling,welded to the discernment whose lips carry it,,262494,inferred,flag
262494,114,discovery,"chokmah — 'WISDOM is found' on the lips of the discerning; the outflow of an understanding heart, in contrast to the senseless who need the rod.",,,,note
262494,115,role,characteristic,,,,value
262494,116,locus,internal:ib-state,,,,value
262499,101,sense,"heartlessness — the one who lacks sense, fit for the rod",,,,value
262499,102,type,cognition,,,,value
262499,104,seat,none,,,none,flag
262499,105,bearer,the senseless,,262499,inferred,flag
262499,106,operation,the lack of sense/heart that earns a rod on the back,,,,event
262499,107,target,"(the wisdom on discerning lips, by contrast)",,262499,inferred,flag
262499,108,manner,none,,,none,flag
262499,112,coupling,set against the discernment that bears wisdom,,262499,inferred,flag
262499,114,discovery,"leb (heart/sense) — 'a rod for the back of him who LACKS sense'; where discernment speaks wisdom, senselessness must be beaten. Two ends of the same axis.",,,,note
262499,115,role,characteristic,,,,value
262499,116,locus,internal:ib-state,,,,value
262500,101,sense,wisdom — the wise lay up knowledge,,,,value
262500,102,type,disposition,,,,value
262500,104,seat,none,,,none,flag
262500,105,bearer,the wise,,262500,inferred,flag
262500,106,operation,the wise who store up and treasure knowledge,,,,event
262500,107,target,the knowledge stored (262502),,262500,inferred,flag
262500,108,manner,none,,,none,flag
262500,112,coupling,welded to the knowledge they lay up,262500,262502,span,pair
262500,114,discovery,"chakam (wise) — 'the wise LAY UP knowledge'; the prudent accumulate wisdom as a reserve, unlike the fool whose mouth spills ruin.",,,,note
262500,115,role,characteristic,,,,value
262500,116,locus,internal:ib-state,,,,value
262502,101,sense,knowledge — the store the wise lay up,,,,value
262502,102,type,cognition,,,,value
262502,104,seat,none,,,none,flag
262502,105,bearer,the wise,,262502,inferred,flag
262502,106,operation,the knowledge that the wise treasure and reserve,,,,event
262502,107,target,the wise who store it (262500),,262502,inferred,flag
262502,108,manner,none,,,none,flag
262502,112,coupling,welded to the wise who hoard it,,262502,inferred,flag
262502,114,discovery,"daath (knowledge) — 'lay up KNOWLEDGE'; a treasured reserve, held in readiness. Wisdom accumulates quietly.",,,,note
262502,115,role,characteristic,,,,value
262502,116,locus,internal:ib-state,,,,value
262504,101,sense,folly — the fool's mouth brings ruin near,,,,value
262504,102,type,disposition,,,,value
262504,104,seat,none,,,none,flag
262504,105,bearer,the fool,,262504,inferred,flag
262504,106,operation,the fool whose mouth brings destruction close at hand,,,,event
262504,107,target,the ruin it brings (262505),262504,262505,span,pair
262504,108,manner,none,,,none,flag
262504,112,coupling,the fool's mouth that hastens ruin,,262504,inferred,flag
262504,114,discovery,"evil (fool) — 'the mouth of a FOOL brings ruin near'; where the wise store knowledge, the fool's mouth invites destruction. The ruin (mechittah) is the qualifier.",,,,note
262504,115,role,characteristic,,,,value
262504,116,locus,internal:ib-state,,,,value
262507,101,sense,riches — the rich man whose wealth is his fortress,,,,value
262507,102,type,state,,,,value
262507,104,seat,none,,,none,flag
262507,105,bearer,the rich man,,262507,inferred,flag
262507,106,operation,the rich man who leans on his wealth as a strong city,,,,event
262507,107,target,his wealth (262508),,262507,inferred,flag
262507,108,manner,none,,,none,flag
262507,112,coupling,welded to the wealth he trusts,262507,262508,span,pair
262507,114,discovery,"ashir (rich) — 'a RICH man's wealth is his strong city'; the rich lean on riches for security. Emergent. The read notes the trust placed in wealth (which elsewhere proves false, 11:28).",,,,note
262507,115,role,characteristic,,,,value
262507,116,locus,internal:ib-state,,,,value
262508,101,sense,wealth — the rich man's imagined stronghold,,,,value
262508,102,type,state,,,,value
262508,104,seat,none,,,none,flag
262508,105,bearer,the rich man,,262508,inferred,flag
262508,106,operation,the wealth that the rich treat as a fortified city,,,,event
262508,107,target,its strength (262509),,262508,inferred,flag
262508,108,manner,none,,,none,flag
262508,112,coupling,welded to the security it seems to give,262508,262509,span,pair
262508,114,discovery,hon (wealth) — 'his strong city'; wealth as a felt fortress. Emergent. The inner reliance on riches for safety.,,,,note
262508,115,role,characteristic,,,,value
262508,116,locus,internal:ib-state,,,,value
262509,101,sense,security — the fortress-strength wealth seems to give,,,,value
262509,102,type,state,,,,value
262509,104,seat,none,,,none,flag
262509,105,bearer,the rich man,,262509,inferred,flag
262509,106,operation,the sense of strength/security the rich draw from their wealth,,,,event
262509,107,target,the wealth it rests on (262508),,262509,inferred,flag
262509,108,manner,none,,,none,flag
262509,112,coupling,welded to the wealth imagined as strength,,262509,inferred,flag
262509,114,discovery,"oz (strength) — 'his STRONG city'; the felt security of the wealthy, a stronghold of the mind. Set against the poor whose want is ruin.",,,,note
262509,115,role,characteristic,,,,value
262509,116,locus,internal:ib-state,,,,value
262512,101,sense,poverty — the poor whose want is their ruin,,,,value
262512,102,type,state,,,,value
262512,104,seat,none,,,none,flag
262512,105,bearer,the poor,,262512,inferred,flag
262512,106,operation,the poor/lowly whose poverty is their undoing,,,,event
262512,107,target,their ruin (262513),,262512,inferred,flag
262512,108,manner,none,,,none,flag
262512,112,coupling,welded to the ruin poverty brings them,262512,262513,span,pair
262512,114,discovery,"dal (poor/weak/low) — 'the POVERTY of the poor is their ruin'; the destitute have no fortress. The inner-and-outer helplessness of want, opposite the rich man's confidence.",,,,note
262512,115,role,characteristic,,,,value
262512,116,locus,internal:ib-state,,,,value
262513,101,sense,ruin — the destruction poverty brings the poor,,,,value
262513,102,type,state,,,,value
262513,104,seat,none,,,none,flag
262513,105,bearer,the poor,,262513,inferred,flag
262513,106,operation,the ruin/destruction that the poverty of the poor becomes for them,,,,event
262513,107,target,the poor it undoes (262512),,262513,inferred,flag
262513,108,manner,none,,,none,flag
262513,112,coupling,welded to the poverty that dooms them,,262513,inferred,flag
262513,114,discovery,mechittah (ruin/terror) — the poor's poverty IS 'their ruin'; want as a kind of destruction. The dark counterpart to the rich man's strong city.,,,,note
262513,115,role,characteristic,,,,value
262513,116,locus,internal:ib-state,,,,value
262515,101,sense,righteousness — whose wage leads to life,,,,value
262515,102,type,disposition,,,,value
262515,104,seat,none,,,none,flag
262515,105,bearer,the righteous,,262515,inferred,flag
262515,106,operation,the righteous whose earnings issue in life,,,,event
262515,107,target,life it leads to (262517),,262515,inferred,flag
262515,108,manner,none,,,none,flag
262515,112,coupling,welded to the life it produces,262515,262517,span,pair
262515,114,discovery,"tsaddiq — 'the wage of the RIGHTEOUS leads to life'; what the righteous earn tends to life, because rightly used.",,,,note
262515,115,role,characteristic,,,,value
262515,116,locus,internal:ib-state,,,,value
262517,101,sense,life — where the righteous wage leads,,,,value
262517,102,type,state,,,,value
262517,104,seat,none,,,none,flag
262517,105,bearer,the righteous,,262517,inferred,flag
262517,106,operation,the life to which the righteous person's earnings lead,,,,event
262517,107,target,the righteous (262515),,262517,inferred,flag
262517,108,manner,none,,,none,flag
262517,112,coupling,welded to the righteous whose wage yields it,,262517,inferred,flag
262517,114,discovery,chayyim (life) — 'leads to LIFE'; righteous gain is life-directed. Emergent: life as the terminus of righteous labour.,,,,note
262517,115,role,characteristic,,,,value
262517,116,locus,internal:ib-state,,,,value
262519,101,sense,wickedness — whose gain leads to sin,,,,value
262519,102,type,disposition,,,,value
262519,104,seat,none,,,none,flag
262519,105,bearer,the wicked,,262519,inferred,flag
262519,106,operation,the wicked whose profit issues in sin,,,,event
262519,107,target,sin it leads to (262520),,262519,inferred,flag
262519,108,manner,none,,,none,flag
262519,112,coupling,welded to the sin it produces,262519,262520,span,pair
262519,114,discovery,rasha — 'the gain of the WICKED to sin'; ill-directed profit breeds more sin. Gain follows the moral bent of its owner.,,,,note
262519,115,role,characteristic,,,,value
262519,116,locus,internal:ib-state,,,,value
262520,101,sense,sin — where the wicked's gain leads,,,,value
262520,102,type,disposition,,,,value
262520,104,seat,none,,,none,flag
262520,105,bearer,the wicked,,262520,inferred,flag
262520,106,operation,the sin to which the wicked person's gain leads,,,,event
262520,107,target,the wicked (262519),,262520,inferred,flag
262520,108,manner,none,,,none,flag
262520,112,coupling,welded to the wicked whose gain yields it,,262520,inferred,flag
262520,114,discovery,"chattah (sin) — 'to SIN'; the wicked's profit compounds into further sin, the dark antithesis of the righteous wage that leads to life.",,,,note
262520,115,role,characteristic,,,,value
262520,116,locus,internal:ib-state,,,,value
262521,101,sense,"heeding — keeping instruction, the path to life",,,,value
262521,102,type,action,,,,value
262521,104,seat,none,,,none,flag
262521,105,bearer,the disciple,,262521,inferred,flag
262521,106,operation,the keeping/heeding of instruction that sets one on the path to life,,,,event
262521,107,target,instruction kept (262522),262521,262522,span,pair
262521,108,manner,none,,,none,flag
262521,112,coupling,the heeding directed to the teaching,,262521,inferred,flag
262521,114,discovery,shamar (keep/heed) — 'whoever HEEDS instruction is on the path to life'; obedient keeping of correction leads to life. Instruction (musar) is the object (qualifier).,,,,note
262521,115,role,characteristic,,,,value
262521,116,locus,internal:ib-state,,,,value
262527,101,sense,misleading — the reproof-rejecter leads others astray,,,,value
262527,102,type,action,,,,value
262527,104,seat,none,,,none,flag
262527,105,bearer,the one who rejects reproof,,262527,inferred,flag
262527,106,operation,the leading-astray by which the one who spurns reproof misleads others,,,,event
262527,107,target,"(the heeding path to life, by contrast)",,262527,inferred,flag
262527,108,manner,none,,,none,flag
262527,112,coupling,set against the disciple's path to life,,262527,inferred,flag
262527,114,discovery,"taah (go/lead astray, Hiphil) — 'he who rejects reproof LEADS ASTRAY'; rejecting correction not only ruins oneself but misleads others. Error propagates.",,,,note
262527,115,role,characteristic,,,,value
262527,116,locus,internal:ib-state,,,,value
262529,101,sense,hatred — concealed behind lying lips,,,,value
262529,102,type,affect,,,,value
262529,104,seat,none,,,none,flag
262529,105,bearer,the hater,,262529,inferred,flag
262529,106,operation,"the hatred that a man hides behind false, lying lips",,,,event
262529,107,target,the lying lips that hide it (262530),,262529,inferred,flag
262529,108,manner,none,,,none,flag
262529,112,coupling,welded to the falsehood that masks it,262529,262530,span,pair
262529,114,discovery,sinah (hatred) — 'the one who CONCEALS hatred has lying lips'; hidden enmity forces deceit — to hide hate one must lie. Inner malice corrupts speech.,,,,note
262529,115,role,characteristic,,,,value
262529,116,locus,internal:ib-state,,,,value
262530,101,sense,falsehood — the lying lips that hide hatred,,,,value
262530,102,type,disposition,,,,value
262530,104,seat,none,,,none,flag
262530,105,bearer,the hater,,262530,inferred,flag
262530,106,operation,"the false, lying lips required to conceal inner hatred",,,,event
262530,107,target,the hatred they mask (262529),,262530,inferred,flag
262530,108,manner,none,,,none,flag
262530,112,coupling,welded to the malice they cover,,262530,inferred,flag
262530,114,discovery,sheqer (falsehood/lie) — 'has LYING lips'; concealed hatred and deceit go together. The mouth betrays or masks the heart.,,,,note
262530,115,role,characteristic,,,,value
262530,116,locus,internal:ib-state,,,,value
262533,101,sense,slander — the defamation the fool spreads,,,,value
262533,102,type,disposition,,,,value
262533,104,seat,none,,,none,flag
262533,105,bearer,the slanderer,,262533,inferred,flag
262533,106,operation,the slander/evil-report that the fool utters against others,,,,event
262533,107,target,the folly it reveals (262534),,262533,inferred,flag
262533,108,manner,none,,,none,flag
262533,112,coupling,welded to the folly of uttering it,262533,262534,span,pair
262533,114,discovery,"dibbah (slander/evil report) — 'whoever utters SLANDER'; open defamation, the other face of concealed hatred. Whether hidden or spoken, malice marks the speech.",,,,note
262533,115,role,characteristic,,,,value
262533,116,locus,internal:ib-state,,,,value
262534,101,sense,folly — the slanderer is a fool,,,,value
262534,102,type,disposition,,,,value
262534,104,seat,none,,,none,flag
262534,105,bearer,the slanderer,,262534,inferred,flag
262534,106,operation,the folly of the one who spreads slander,,,,event
262534,107,target,the slander that shows it (262533),,262534,inferred,flag
262534,108,manner,none,,,none,flag
262534,112,coupling,welded to the slander that proves it,,262534,inferred,flag
262534,114,discovery,"kesil (fool) — 'whoever utters slander is a FOOL'; slander is not shrewd but foolish, self-condemning. Malicious speech brands its speaker.",,,,note
262534,115,role,characteristic,,,,value
262534,116,locus,internal:ib-state,,,,value
262537,101,sense,transgression — abounding where words are many,,,,value
262537,102,type,disposition,,,,value
262537,104,seat,none,,,none,flag
262537,105,bearer,the many-worded,,262537,inferred,flag
262537,106,operation,the transgression that inevitably accompanies a flood of words,,,,event
262537,107,target,"(the prudent restraint, by contrast)",,262537,inferred,flag
262537,108,manner,none,,,none,flag
262537,112,coupling,set against the restraint of the wise lips,,262537,inferred,flag
262537,114,discovery,"pesha (transgression) — 'when words are MANY, transgression is not lacking'; verbosity breeds sin. The unrestrained tongue trips into wrong.",,,,note
262537,115,role,characteristic,,,,value
262537,116,locus,internal:ib-state,,,,value
262542,101,sense,prudence — restraining the lips,,,,value
262542,102,type,disposition,,,,value
262542,104,seat,none,,,none,flag
262542,105,bearer,the prudent,,262542,inferred,flag
262542,106,operation,the prudence shown in holding back and restraining one's speech,,,,event
262542,107,target,"(the sinful flood of words, by contrast)",,262542,inferred,flag
262542,108,manner,none,,,none,flag
262542,112,coupling,set against the transgression of many words,,262542,inferred,flag
262542,114,discovery,"sakal (act prudently) — 'whoever RESTRAINS his lips is prudent'; the wise govern their tongue. Restraint of speech is a mark of prudence, the antithesis of babbling.",,,,note
262542,115,role,characteristic,,,,value
262542,116,locus,internal:ib-state,,,,value
262544,101,sense,wickedness — its treasures do not profit,,,,value
262544,102,type,disposition,,,,value
262544,104,seat,none,,,none,flag
262544,105,bearer,the wicked,,262544,inferred,flag
262544,106,operation,the wickedness whose ill-gotten treasures bring no lasting profit,,,,event
262544,107,target,righteousness (262547),,262544,inferred,flag
262544,108,manner,none,,,none,flag
262544,112,coupling,set against righteousness as the profitless way,262544,262547,span,pair
262544,114,discovery,"resha (wickedness) — 'treasures gained by WICKEDNESS do not profit'; ill-gotten wealth is empty. Character, not gain, decides one's end.",,,,note
262544,115,role,characteristic,,,,value
262544,116,locus,internal:ib-state,,,,value
262547,101,sense,righteousness — delivers from death,,,,value
262547,102,type,disposition,,,,value
262547,104,seat,none,,,none,flag
262547,105,bearer,the righteous,,262547,inferred,flag
262547,106,operation,"the righteousness that rescues its owner from death, where wicked treasure cannot",,,,event
262547,107,target,wickedness (262544),,262547,inferred,flag
262547,108,manner,none,,,none,flag
262547,112,coupling,set against wickedness as the delivering way,,262547,inferred,flag
262547,114,discovery,"tsedaqah (righteousness) — 'RIGHTEOUSNESS delivers from death'; the antithesis — moral character, not material treasure, is what saves. The book's recurring wealth-vs-righteousness contrast.",,,,note
262547,115,role,characteristic,,,,value
262547,116,locus,internal:ib-state,,,,value
262551,101,sense,righteousness — whose tongue is choice silver,,,,value
262551,102,type,disposition,,,,value
262551,104,seat,none,,,none,flag
262551,105,bearer,the righteous,,262551,inferred,flag
262551,106,operation,the righteous whose speech is precious as choice silver,,,,event
262551,107,target,the choiceness of it (262552),,262551,inferred,flag
262551,108,manner,none,,,none,flag
262551,112,coupling,welded to the precious worth of his tongue,262551,262552,span,pair
262551,114,discovery,"tsaddiq — 'the tongue of the RIGHTEOUS is choice silver'; righteous speech is precious, valuable to those who hear.",,,,note
262551,115,role,characteristic,,,,value
262551,116,locus,internal:ib-state,,,,value
262552,101,sense,preciousness — the choice worth of the righteous tongue,,,,value
262552,102,type,state,,,,value
262552,104,seat,none,,,none,flag
262552,105,bearer,the righteous,,262552,inferred,flag
262552,106,operation,"the choice, select value of the righteous person's speech",,,,event
262552,107,target,the righteous tongue (262551),,262552,inferred,flag
262552,108,manner,none,,,none,flag
262552,112,coupling,welded to the righteous whose tongue it prizes,,262552,inferred,flag
262552,114,discovery,"bachar (choice/select) — 'CHOICE silver'; the righteous tongue is of the finest worth, unlike the worthless heart of the wicked.",,,,note
262552,115,role,characteristic,,,,value
262552,116,locus,internal:ib-state,,,,value
262554,101,sense,"the heart — of the wicked, of little worth",,,,value
262554,102,type,seat,,,,value
262554,104,seat,none,,,none,flag
262554,105,bearer,the wicked,,262554,inferred,flag
262554,106,operation,"the heart of the wicked, worth little or nothing",,,,event
262554,107,target,the wicked whose it is (262555),,262554,inferred,flag
262554,108,manner,none,,,none,flag
262554,112,coupling,welded to the wickedness that empties it,262554,262555,span,pair
262554,114,discovery,"leb (heart) — 'the HEART of the wicked is of little worth'; where righteous speech is choice silver, the wicked's inner life is worthless. The heart's worth tracks character.",,,,note
262554,115,role,characteristic,,,,value
262554,116,locus,internal:ib-state,,,,value
262555,101,sense,wickedness — whose heart is of little worth,,,,value
262555,102,type,disposition,,,,value
262555,104,seat,none,,,none,flag
262555,105,bearer,the wicked,,262555,inferred,flag
262555,106,operation,the wicked character whose heart is worthless,,,,event
262555,107,target,his worthless heart (262554),,262555,inferred,flag
262555,108,manner,none,,,none,flag
262555,112,coupling,welded to the heart it hollows out,,262555,inferred,flag
262555,114,discovery,rasha — the wicked's heart 'is of little worth'; wickedness empties the inner life of value. The dark side of the couplet.,,,,note
262555,115,role,characteristic,,,,value
262555,116,locus,internal:ib-state,,,,value
262558,101,sense,righteousness — whose lips feed many,,,,value
262558,102,type,disposition,,,,value
262558,104,seat,none,,,none,flag
262558,105,bearer,the righteous,,262558,inferred,flag
262558,106,operation,the righteous whose speech nourishes and feeds many,,,,event
262558,107,target,"(the fools who die, by contrast)",,262558,inferred,flag
262558,108,manner,none,,,none,flag
262558,112,coupling,set against the fools who die for want of sense,,262558,inferred,flag
262558,114,discovery,"tsaddiq — 'the lips of the RIGHTEOUS feed many'; righteous speech is nourishment for others, life-giving and generous.",,,,note
262558,115,role,characteristic,,,,value
262558,116,locus,internal:ib-state,,,,value
262561,101,sense,folly — the fools who die for lack of sense,,,,value
262561,102,type,disposition,,,,value
262561,104,seat,none,,,none,flag
262561,105,bearer,the fools,,262561,inferred,flag
262561,106,operation,the fools who perish for want of sense,,,,event
262561,107,target,their lack of sense (262564),,262561,inferred,flag
262561,108,manner,none,,,none,flag
262561,112,coupling,welded to the senselessness that kills them,262561,262564,span,pair
262561,114,discovery,"evil (fool) — 'FOOLS die for lack of sense'; where the righteous feed many, fools cannot even keep themselves alive. Folly is fatal.",,,,note
262561,115,role,characteristic,,,,value
262561,116,locus,internal:ib-state,,,,value
262564,101,sense,heartlessness — the lack of sense that kills fools,,,,value
262564,102,type,cognition,,,,value
262564,104,seat,none,,,none,flag
262564,105,bearer,the fools,,262564,inferred,flag
