id,class,rule_key,rule_text,source,enforced_by,added_at,active
11,sqlite,readonly-by-default,Open a database connection read-only by default when browsing or checking a claim against iba.db or bible_research.db; use a write connection only with a specific reason.,Workflow/SQLite/sqlite-extension-best-practice-v1-20260815.md,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
12,sqlite,never-write-via-adhoc-tool,"Never write to iba.db or bible_research.db directly through an ad-hoc SQL tool (the VS Code SQLite extension or equivalent). bible_research.db writes go through scripts/apply_session_patch.py against a JSON patch; iba.db config writes go through Config-Maintenance.ps1 -Step Propose; iba.db data writes go through the app's own registered utilities. Use direct inspection to see a problem, then route the actual fix through the governed path.",Workflow/SQLite/sqlite-extension-best-practice-v1-20260815.md,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
13,sqlite,dont-assume-which-database,"Don't assume which database a table lives in. bible_research.db (prose + analytic findings) and iba.db (process control + the entire base data layer) have a defined split; a 'no such table' error usually means the wrong database was opened, not a typo.",Workflow/SQLite/sqlite-extension-best-practice-v1-20260815.md,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
14,sqlite,query-file-conventions,"An ad-hoc SQL scratch file worth keeping is saved to scripts/ (not left in whatever folder happened to be open), prefixed SQLite_, and named for what it actually checks -- not left untitled. A file worth re-running is committed like any other script; a genuinely one-off query that's been answered can be deleted rather than accumulate.",Workflow/SQLite/sqlite-extension-best-practice-v1-20260815.md,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
15,documentation,obsidian-copy-not-authoritative,"An Obsidian-edited copy of a DB-generated `.md` file is never authoritative. The database row is the source of truth for prose, findings, and config -- editing the file doesn't change the database, and a regenerated export overwrites the edit.",Workflow/Obsidian/obsidian-usage-guide-v1-20260815.md,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
16,chat,askuserquestion-banned,"The AskUserQuestion tool is never used in this project (blocked at config level, `.claude/settings.json` permissions.deny, after three prior memory-only warnings failed). A question answerable from the DB/code is investigated and answered with facts, not asked. A genuine researcher judgement call is written to a `.md` review file with options and a decision blank, pointed to in plain chat. A single short clarifying question with no real menu of options is asked in plain chat text.",docs/interaction-preferences.md 'AskUserQuestion Tool — BANNED'; CLAUDE.md top banner,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
17,chat,confirm-before-nontrivial-work,"Before executing a non-trivial instruction, the instruction is summarised as understood, the planned approach/scope/files-affected are stated, and explicit approval is waited for before proceeding. Trivial single-step tasks are exempt. Once a plan is explicitly approved, its individual steps proceed without re-confirming each one — see `proceed-autonomously-once-rules-are-stable`.",docs/interaction-preferences.md 'Instruction Confirmation Protocol'; CLAUDE.md §9 #1,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
18,chat,output-to-file-not-chat-only,"All substantive output and workings (analysis, plans, decisions, intermediate results, reports) are written to a `.md` file before being presented; chat carries only alerts, a brief summary, and a pointer to the file — never the full deliverable in chat alone.",docs/interaction-preferences.md 'Output & Workings Stream Protocol'; CLAUDE.md §9 #2,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
19,chat,factual-discipline-no-guessing,"Work proceeds only from explicit, verified facts. Guessing, unstated assumptions, and filling gaps with speculation are not permitted; when information is missing or unclear, work stops and a real question is asked (never via AskUserQuestion) before proceeding. Distinct from `llm_output.inferential-not-confirmed`, which labels content already produced — this rule governs not proceeding at all without the facts.",docs/interaction-preferences.md 'Factual Discipline Protocol'; CLAUDE.md §9 #3,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
20,chat,cost-awareness-flag-cheaper-path,"Where a task can be done more cheaply without sacrificing the outcome, the cheaper path is advised before acting — flagging a more expensive model on routine work, a whole-file read where targeted Read/Grep would do, a subagent where a direct query is enough, a duplicate artefact, or a live run where dry-run-then-live is safer.",CLAUDE.md §9 #6 'Cost Awareness',not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
21,chat,chat-items-become-escalations,"A genuine open item, discovered anomaly, or judgement call raised or surfaced in chat conversation is recorded as an escalation in the same turn it's identified, not left standing only in chat prose. Full rule (including the closed-decision exemption) and its mechanical enforcement live at `cfg_escalation.chat_routing` — this row is a pointer into that table, not a restatement, per `documentation.single-authority-pointer-not-copy`.","cfg_escalation.chat_routing (existing row, cross-referenced not duplicated)",not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
22,chat,proceed-autonomously-once-rules-are-stable,"Once a rule or plan is explicitly set and stable, it is run to completion without stopping at every step to re-confirm — `confirm-before-nontrivial-work` governs starting new or non-trivial work, not re-litigating an already-approved plan's individual steps.",memory feedback_proceed_autonomously_on_stable_rules,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
23,chat,close-the-loop-not-just-report,"A review or investigation task is not complete at 'found it, here's a doc' — the fix is implemented, verified, and the verified outcome is reported, not just the finding, unless the task was explicitly scoped as investigation-only.",memory feedback_close_the_loop_not_just_investigate_and_report,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
24,chat,show-evidence-dont-smooth-over,"When reporting database state or investigation results, the actual query/sample data is shown, not a rounded-off or smoothed summary that hides messiness or uncertainty. A structural check passing (FK/not-null/enum) is a different claim from the values being fit for purpose, and reporting must not conflate the two.","memory feedback_verify_db_claims_via_visible_tooling, feedback_structural_validation_is_not_value_quality_validation",not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
25,terminal,readonly-commands-no-permission-needed,"Running a read-only command (checking system, file, or database state) needs no upfront permission. A command that modifies the database or codebase stays within the scope of an already-approved task.",docs/interaction-preferences.md 'PowerShell / Terminal Protocol',not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
26,terminal,git-commit-and-push-together,"A git commit and its push are one unit — a commit is never left unpushed. Commits happen incrementally across a session, as units of work complete, not only gathered at session end. Classified under `terminal` (not a separate class) per `governance.behaviour_boundary.git_commit`.",Workflow/Instructions/wa-operational-governance-v1_0-20260614.md §1; CLAUDE.md §12; memory feedback_commit_incrementally,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
27,terminal,heredoc-powershell-only,"A multi-line here-string for a command argument is written in PowerShell syntax (`@'...'@`), never Bash heredoc syntax — the two terminal tools in this environment do not share that convention.",memory feedback_heredoc_only_in_powershell,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
28,terminal,diagnose-reported-errors-dont-route-around,"When the researcher pastes a console/terminal error, that error is the thing to diagnose and fix — it is never quietly routed around (completing the step a different way) with the step then reported as done. A reported failure is resolved or explicitly explained, not sidestepped.",memory feedback_dont_sidestep_reported_ps_errors,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
29,terminal,verify-fix-against-synthetic-and-real-case,"A fix is not reported as done until tested against both a synthetic bad-input case and real data; when the same fix is applied at multiple sites, each site is individually re-verified, not assumed fixed because the pattern matched elsewhere.",memory feedback_verify_before_reporting_fixed,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
30,sqlite,writes-must-be-replayable,"Study/analytic work is captured in the database via a replayable mechanism (a patch file the applicator can re-run, a registered utility, or an engine run) — an interactive/ad-hoc database mutation that cannot be replayed from a record is a durability risk, not a shortcut. Classified under `sqlite` (not a separate class) per `governance.behaviour_boundary.backup_recovery`. Direct incident: an uncaptured interactive mutation contributed to the 2026-06-03 DB-loss incident (~6 weeks of work lost).",Workflow/Instructions/wa-operational-governance-v1_0-20260614.md §2 'Core safeguard rule',not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
31,documentation,guidance-baked-into-authoritative-record,"New researcher guidance, rules, corrective decisions, or method changes given during a session are captured in the authoritative record the same session — a `cfg_*` row where the content is config-governable per `governance.rules_must_be_config_driven`, otherwise the owning document named for that content type — not left standing only in a memory file or a one-off findings doc.",docs/interaction-preferences.md 'Bake Guidance into the Authoritative Instructions',not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
32,documentation,no-hedge-in-complete-records,"A record or report marked complete does not hedge with a 'see raw data if needed' pointer in place of a resolved answer — either the point is resolved directly, or it is flagged explicitly as unresolved. There is no quiet third option.",memory feedback_no_hedge_pointers_in_complete_records,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
33,documentation,single-living-register-update-in-place,"An ongoing investigation or tracked-item register is one living document, updated in place as it evolves — reversed items are struck through or annotated, not deleted, and a second competing document for the same tracked set is never started.",memory feedback_single_living_register,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
34,documentation,source-of-truth-is-written-record,"A claim about project state, history, or a prior decision is grounded in the written record (files, database, manifest) and cited, not asserted from memory or recollection.",memory feedback_source_of_truth_is_written_record,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
35,documentation,consolidation-doc-must-be-load-bearing-or-retired,"A document created specifically to consolidate scattered operational rules is only as good as its live enforcement — if nothing in the actual startup/session-read path points to it, it is stale by construction and is retired (banner + pointer, provenance kept) rather than left to drift silently, however recently it was written or however strongly it claims to be canonical internally.","this sweep's own finding: wa-operational-governance-v1_0-20260614.md and docs/project-orientation-core-memory-map.md, both dated 2026-06-14, neither read by the current start-project skill or iba/app/GOVERNANCE.md — both retired 2026-08-18",not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
36,llm_output,no-unsubstantiated-superlatives,"A superlative claim ('most', 'clearest', 'strongest', and similar) is not written unless every candidate was actually checked against it — an unverified superlative is exactly the kind of unearned-confidence claim `inferential-not-confirmed` already forbids, made concrete.",memory feedback_avoid_unsubstantiated_superlatives,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
37,llm_output,derive-from-instruction-not-prior-unreviewed-output,"New analytical work is derived from the authoritative instruction document, never from a prior run's unreviewed output file used as an implicit template — an unreviewed pass may itself be wrong, and copying its shape propagates the error silently.",memory feedback_never_model_output_on_prior_unreviewed_pass,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T09:30:00Z,1
38,development,root-fix-not-one-off,"A defect that is an instance of a class (a shared method, an extractor, a pipeline step is wrong) is fixed at the shared mechanism so every future case is correct, not remediated case-by-case while the mechanism stays broken. A one-off/per-item patch is rarely appropriate, and never appropriate when the problem may recur.","docs/interaction-preferences.md 'Root Fix, Not One-Off'; memory feedback_root_fix_not_one_off",not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T10:15:00Z,1
39,development,simple-steps-not-engineered-designs,"Work is built in simple, direct steps. A machinery-heavy design (extra abstraction layers, generalised frameworks, speculative configurability) for a problem that a simple step would solve is overengineering, not thoroughness.",memory feedback_simple_steps_not_engineered_designs,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T10:15:00Z,1
40,development,open-items-route-through-escalation,"Every open item discovered anywhere in the project's work -- a code review finding, a validation run's output, a documentation sweep, a data-quality check -- is recorded in the escalation table (`governance.escalation.scope`), not left as a silent fix, a code comment, or a mention buried in a report with no tracked row. `chat.chat-items-become-escalations` is this same principle's chat-conversation-timing instance (same turn it's raised in conversation); this rule is the general case, for anywhere else an open item surfaces.","researcher, 2026-08-18 (escalation #732): 'add/move the config for all open items to be controlled through escalation to this section'; governance.escalation.scope",not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T10:15:00Z,1
41,development,every-interactive-module-needs-ps-script,"Any module that a researcher or Claude operates by hand -- not purely internal library code called only by other code -- has a dedicated PS entry point under `governance.scripts_ps_dir` (`iba/app/ps/`). A module reachable only via raw Python or raw SQL is a usability and audit gap, found live 2026-08-18 against this very system: 3 build cycles of `cfg_behaviour_class`/`cfg_behaviour_rule` before `Behaviour.ps1` existed.","researcher, 2026-08-18 (escalation #732)",not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T10:15:00Z,1
42,development,user-guide-updated-same-unit-of-work,"A change to a tool, module, or user-facing behaviour is not complete until `USER-GUIDE.md` reflects it, in the same unit of work -- `governance.User_Guide_scope` states what the guide must cover (""the latest state of all the tools""); this rule states when it's updated. Found violated live 2026-08-18: 3 build cycles of the operational-behaviour system (escalation #715) had zero `USER-GUIDE.md` coverage before this rule existed.","researcher, 2026-08-18 (escalation #732); governance.User_Guide_scope; same shape as governance.build_md_on_code_change for BUILD.md",not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T10:15:00Z,1
43,development,every-active-ps-script-dispatches-through-run-py,"Every active PS script under `governance.scripts_ps_dir` (`iba/app/ps/`) that performs a real project operation dispatches through `run.py` (`python -m iba.app.run <package> --step <step> --run-id <id>`) -- not a direct call into the underlying Python module. Dispatching through run.py is what gives an operation a real `run` row, a `run_id`, `cfg_step` registration, and `module_blocking` protection; a script that calls its module directly leaves no record anywhere that it ran, when, or with what result -- not a partial record, none (escalation #8, checked live 2026-08-20: 8 of 45 scripts bypassed run.py this way). Two named exceptions, both permanent and architectural, not violations: (1) `Start-Iba.ps1` -- necessarily, since it bootstraps what run.py itself depends on; (2) `Escalation.ps1`'s `-Action Raise/Update/AnswerRun` -- a deliberate manual front door onto the escalation system's own backlog workflow, not a pipeline run (its `-Action List/History` DO dispatch through run.py, work package `escalation-reporting`, fixed this session per D4/D16/D23). Any other bypass is real non-compliance, not a third exception -- tracked as its own escalation, not silently accepted.","researcher, 2026-08-21 (escalation #8)","not yet mechanically checked -- no configmaint.validate scan exists for 'does this PS script call run.py'. Known live non-compliance as of 2026-08-21, NOT retroactively fixed by this rule's creation: Behaviour.ps1, Debate-Run.ps1 (its post-run side-call to iba.app.tools.build_debate_report specifically), and 5 lowercase-hyphenated one-off scripts (create-iba-view-template.ps1, create-passage-view-and-export.ps1, create-passages-by-book-view-and-export.ps1, export-iba-config-tables.ps1, generate-iba-db-schema-report.ps1) -- tracked at escalation #767.",2026-08-21T14:33:29Z,1
44,development,decision-points-are-terminal-not-inline,"When building or validating anything -- code, config, or process -- a point that requires a NEW decision (a judgement call, an ambiguity, something not already specified) is TERMINAL: it must not be answered inline and resumed. It is recorded as an open item and routed back into design/specification; work resumes only after the design is settled and approved. A point that instead reveals Claude's own execution error against an ALREADY-settled, already-approved design (a typo, a wrong parameter, a slip) is SELF-CORRECTABLE: Claude fixes it directly, records what was wrong and what changed, and continues -- no new approval is required, because no new decision was made. The distinguishing question is always: does resolving this require deciding something new, or only correcting execution against something already decided? A recurring decision_required outcome on the same routine, run after run, is itself a defect -- it means a threshold or parameter that should have been specified once, in config, during design, was left to be re-asked every time instead. That is a design gap to close (add the missing config), not a pattern to formalise.","researcher, 2026-08-22, escalation #798",escalation.resolution_kind (decision_required | self_correctable) for escalation-raised items -- see cfg_enum 'resolution_kind' and cfg_escalation_requirement.,2026-08-22 09:51:51,1
45,development,decision-required-answered-via-update-not-answerrun,"AnswerRun's flat approve/reject/revise/hold/noted vocabulary is refused for BOTH resolution_kind values -- unreachable for any dispatcher-tied escalation raised under the resolution_kind regime. decision_required must be answered through Update's richer vocabulary (ready_for_approval -> approved; -State on-hold; next_action=reject/revise/noted) -- checked and confirmed live before this half existed (escalation #820): AnswerRun silently accepted a flat 'approve' on a decision_required item, collapsing the record of a genuine judgement call into the same one-line outcome a self_correctable item gets. self_correctable must be closed via resolve-self-correctable, or converted via escalate-to-decision -- this was always the APPROVED spec (escalation-decision-vs-defect-axis-proposal-v4-20260822.md §6: 'No approve/reject/revise/hold/noted vocabulary. AnswerRun is never invoked' -- and its own §11 Stage 2 test named this exact check), never actually built or tested during #799's Stage 2 -- confirmed live the same way (escalation #822): a flat 'approve' succeeded with no refusal at all. Net effect: neither kind ever had a genuine use for AnswerRun's original 'answer and resume the same run' semantics -- decision_required runs terminate and never resume (a fresh run is the test, §5); self_correctable never carried decision vocabulary to begin with (§6).","researcher, 2026-08-22, escalation #795, on decision_required: ""I suggest to check and test the answer to the question in the configs, my expectation is that it should not be possible and that the configs should now state that."" The self_correctable half was already in the approved proposal (v4 §6/§11 Stage 2) but never built or tested in #799 -- found checking the first half, not separately instructed.","iba/app/lib/escalation.py answer_for_run() -- refuses at the top of the function if esc_row['resolution_kind'] is 'decision_required' OR 'self_correctable' (i.e. always, since resolution_kind is required at every Raise). The mirror-image guard, update()'s own dispatcher carve-out (refuses UNLESS resolution_kind='decision_required'), already existed from #798/#799 and is unchanged.",2026-08-22 11:57:54,1
46,development,test-plan-per-module-utility,"Each module or utility, from now on (case-by-case as it comes up in development, NOT retrofitted to existing modules), must have a test plan. The test plan covers every meaningfully different interaction, parameter, and option combination of that module/utility's intended functionality -- not a single happy-path example. The test plan is a living artifact: when a functional component changes, the test plan for that component is updated in the same unit of work, before the change is considered complete -- the same 'same unit of work' discipline governance.build_md_on_code_change already applies to BUILD.md. The test plan is RUN after the design is approved and the build (per the approved plan) is complete -- a required stage inside the existing plan/propose/design (in detail) -> approve -> build per the plan -> approve cycle, not a separate optional step. The test results are included IN the build's escalation resolution when requesting final approval -- not just claimed as 'tested live' in prose without the actual per-case results shown, and not omitted. Origin: escalation #795, where the approved proposal's own named Stage 2 test ('self_correctable has no reachable AnswerRun path') was written into the design document but never actually run before the build was reported complete -- twice, once for each half of the same function. A written-but-unexecuted test is indistinguishable from no test at all.","researcher, 2026-08-22, verbatim: ""I think we got to the stage where we need to have a re-usable test pack for all development tasks... each module or utility in future must have a test plan. the test plan must include testing all the different interations, params options of each of the module/utility intended functionality. this test plan must be updated to include modifying the testing plan for each functional component after a change. the test plan must then run through after the design, and the results of the test must be included in the resolution of the build... however, the test plan method will be introduced case by case as further development takes place, rather than trying to develop test plans for all modules.""","No automated check yet -- deliberately, per the researcher's case-by-case rollout instruction (building a configmaint.validate check now, before any real test plan exists to check against, would be exactly the 'machinery-heavy design' simple-steps-not-engineered-designs warns against). Practical enforcement today is manual: the next module/utility design proposal should name its test plan as part of the design, and the build's resolution should carry the test plan's actual results. A configmaint.validate check (e.g. 'every active cfg_utility/cfg_work_package has an associated test plan reference') is a natural candidate to add once the first real test plan exists and its storage convention (table vs doc) is chosen against that real case -- not designed speculatively here.",2026-08-22 12:22:12,1
47,sqlite,wa-session-research-flags-retained-as-is,"wa_session_research_flags (bible_research.db, 715 rows) is the live, deliberately unchanged analysis-phase flag/pointer mechanism -- researcher, escalation #833: 'wa_session_research_flags are analysis phase, and at this point stay as is, and should be alive and incorporated in IBA.' No cfg_write_grant exists yet because nothing in governed code currently writes to it; one gets added when analytics work actually resumes and a real writer exists, not invented ahead of need. Known data-quality issues (priority/session_target vocabulary drift, cluster_link as a non-junction string) are deferred to the analytics-phase restart, not fixed here.","escalation #833 (Flag Management), iba/docs/flag-management-proposal-v1-20260823.md section 3b","not mechanically enforced -- a recorded governance fact, not a validated rule",2026-08-23T00:00:00Z,1
48,sqlite,record-change-log-choke-point,"Every write to a table under record_change_log versioning discipline (prose_section, prose_section_type) must produce a matching record_change_log row in the same transaction as the write itself -- no code path may update a covered table's version/updated_at without also inserting the corresponding log row. Applies to every operation on the covered tables, not only the ones already visible in today's single-writer code path -- closing the exact selective-coverage gap (session_a_replace, prose_section_type.update) that motivated this item.",escalation #836,apply_session_patch.py _write_change_log() choke point,2026-08-24T00:00:00Z,1
49,sqlite,record-change-log-version-is-pointer,"A covered target row's version column is not an incrementing per-item counter -- it is a literal foreign key to record_change_log.id, the log row describing that row's own most recent change. Corrects the 'version = old.version + 1' text #829 sec 5 drafted before this item existed; that text is superseded by this rule, not left standing alongside it.",escalation #836,apply_session_patch.py _write_change_log() choke point,2026-08-24T00:00:00Z,1
50,sqlite,record-change-log-payload-is-prior-state,"record_change_log.payload holds what a change overwrote or removed -- its prior content -- never the resulting/current content. The covered table's own current row already holds current content exactly once; duplicating it into the log is a defect, not a safety margin. payload is NULL for insert events and for one-time migration-baseline rows, where no prior state exists.",escalation #836,apply_session_patch.py _write_change_log() choke point,2026-08-24T00:00:00Z,1
51,sqlite,one-time-hard-delete-exception,"A hard (physical) delete of DB rows is normally disallowed (the standing no-physical-delete-in-automated-flows convention) but is permitted as a one-time, explicitly-instructed migration action -- first established for #833's prose-quality-table repurpose, applied again here for the 91 superseded prose_section rows once their content is captured in record_change_log. Each occurrence needs its own explicit researcher instruction; this rule records the pattern, it doesn't pre-authorise future hard deletes generically.",escalation #836,apply_session_patch.py _write_change_log() choke point,2026-08-24T00:00:00Z,1
52,sqlite,prose-section-session-a-replace-author-gate,"The session_a_replace operation updates a prose_section row in place. Code-gated on author='claude_code'; permitted only for Session A mechanical extracts, because they are reproducible from structured data rather than analytical judgement. Under Model A (escalation #836) every write is in-place, so this is one of several in-place write paths, distinguished by its author-gate, not by being uniquely non-supersede.",docs/prose-store-architecture.md sec5.2/sec6.1; escalation #784/#829; reworded per #836,apply_session_patch.py's UPDATE ... WHERE id=? AND author='claude_code' clause,2026-08-24T00:00:00Z,1
53,sqlite,prose-section-two-patch-ordering,"A new prose chapter reaches the database in two ordered patches: CATALOGUE_POPULATION first (creates prose_section_type handles), then PROSE (content, referencing handles by section_type_id_lookup: {code}). Applying PROSE before its CATALOGUE_POPULATION fails at the code lookup, by design.",docs/prose-store-architecture.md sec7; escalation #784/#829,apply_session_patch.py's section_type_id_lookup resolution,2026-08-24T00:00:00Z,1
54,sqlite,prose-quality-flag-on-upstream-change,"When a methodology, terminology, or finding change makes existing prose content stale, the obligation is to raise a wa_data_quality_flags entry (flag_group='PROSE_QUALITY') against the affected prose_section row(s) -- not to stop and rewrite the prose in place. Prose gets fixed later, in its own pass; the flag is what prevents the drift from being silently lost in the meantime.","Researcher, 2026-08-23, escalation #829","Not mechanically enforced -- a discipline rule, made real and queryable via cfg_behaviour_rule, not automated.",2026-08-24T00:00:00Z,1
