work_package,ordinal,step,handler,scope,does,inactive,kind
verse-lexical,0,lexical.build,iba.app.handlers.lexical:build,book,"verse : verse_lexical extract — mechanical T1-T3 engine: for every code in a span's (possibly compound) strong_variant, classifies role (content lexical entry vs. grammatical formative), stem/voice-selects the operative sense from strong_meaning_parsed via morph_code (not the whole six-stem/voice paradigm), and flags — never resolves — the sibling/base-fallback ambiguity case versespanmeaningreport.meaning_for_code already detects. Runs independent of T4-T9/passage_debate. Version-aware: soft-deletes the superseded row and inserts fresh on rewrite, same convention every other iba.db table already uses. Replaces report.verse_span_meaning (retired, see BUILD.md).",0,operations
verse-lexical,1,report.verse_lexical,iba.app.handlers.reports:lexical_report,book,"on-demand MD report, generated from verse_lexical (never an independent write) — EV verse text and the resolved lexical reading placed together, per book/passage range. Requires verse_lexical.build to have already run for this exact range.",0,operations
operations-ingest,0,hib.set,iba.app.handlers.operations:hib_set,book,"Step 1's HIB register for a whole book -- writes hib/hib_referent_option/verse_hib from a JSON payload (-PayloadPath). Clean re-derivation per book (soft-delete existing, insert fresh), same convention passage.build uses for passage. Fails cleanly (unknown-verse/bad-payload) rather than partially writing.",0,operations
operations-ingest,1,phenomenon.set,iba.app.handlers.operations:phenomenon_set,book,"Step 3's phenomena register for one already-tracked passage (needs -Chapters/-Range), from a JSON payload. Clean re-derivation per passage. Sets passage.phenomena_complete_at itself once the register is complete against verse_hib -- the phase gate operation.set checks. Fails cleanly (no-passage/unresolved-reference/bad-payload).",0,operations
operations-ingest,2,operation.set,iba.app.handlers.operations:operation_set,book,"Step 4-5's operations + parties for the same passage, from a JSON payload. REFUSES (phenomena-incomplete) if passage.phenomena_complete_at is still NULL -- the actual code enforcement of WA-interpretation-questions Part B.12 / the debate digest's Step 3 phase gate. Clean re-derivation per phenomenon set. Fails cleanly on any unresolved reference.",0,operations
operations-ingest,3,closing.set,iba.app.handlers.operations:closing_set,book,"Step 7 (digest) / WA-interpretation-questions-v1.4 Part C sections 4-8 for one already-tracked hib-continuity passage -- writes passage_linkage/passage_insufficiency/passage_emergent_question/passage_validation_note + passage.open_decisions_note from a JSON payload. Refuses (operations-incomplete) until every live phenomenon in the passage has a live operation. Reconciliation-gated per list (BUILD.md ??64 pattern), same as hib.set/phenomenon.set/operation.set.",0,operations
word-registry-span-report,0,report.word_registry_span,iba.app.handlers.reports:word_registry_span_report,word,"word_registry : word_strong : strong : strong_meaning_parsed : verse_lexical : span analysis, for one registry word — every linked Strong's with its parse-meaning breakdown and unique surface-span applications (with an example verse) — read-only",0,utility
strong-verse-report,0,report.strong_verse,iba.app.handlers.reports:strong_verse_report,word,"on-demand verse restatement for one Strongs reference (verse_lexical.strong exact match, whole Bible) in the context of a registry word -- inline-annotated, exact-variant senses only, combined-tag/empty-surface spans and unresolved collisions explicitly handled, never silently guessed",0,utility
cluster-report,0,report.cluster,iba.app.handlers.reports:cluster_report,none,"evaluate/review the cluster taxonomy and cluster_strong assignment coverage, scoped to strong.origin=word",0,utility
cluster-assign,0,cluster.assign,iba.app.handlers.cluster:assign,none,DB-wide sweep: lib.strongreconcile.reconcile() per strong — mechanical HIGH-precedent classification + backfill-to-word promotion cascade where warranted. No network beyond what a promotion cascade itself needs (a real STEP verse fetch).,0,operations
cluster-assign,1,cluster.validate,iba.app.handlers.cluster:validate,none,"Read-only DB-wide coverage + exception report: unclassified strongs, backfill non-T2 not yet promoted, and the two named exception shapes (cluster with no word; backfill with an already-active/clustered sibling). Persists a report every run; escalates only if exception findings exist.",0,operations
new-word,7,strong.reconcile,iba.app.handlers.raw:reconcile,word,"Cluster-classify and, where warranted, promote every one of the word own codes (lib.strongreconcile.reconcile() per code) — runs last, after raw.validate, so verses/spans are already validated before classification. Point (c), backfill-cluster-triage-plan-v3-20260812.md: new-word must complete through verse_lexical for qualifying strongs.",0,operations
file-manifest-rebuild,0,manifest.rebuild,iba.app.handlers.reports:manifest_rebuild,none,"full rescan of the whole project tree (filename/path metadata only, no file content) — replaces file_manifest's contents; see lib/manifest.py",0,utility
file-manifest-search,0,manifest.search,iba.app.handlers.reports:manifest_search,none,"read-only query against file_manifest (field:value or free-text path match); results persisted via reportkit.oneoff_path, per governance.reports_must_persist",0,utility
word-audit,0,word.load_json,iba.app.handlers.wordaudit:load_json,word,Load + validate latest Step 1 JSON + structural completeness check (merged from old A2/A3),0,operations
word-audit,1,word.confirm,iba.app.handlers.wordaudit:confirm,word,Registry display + CONFIRM prompt,0,operations
word-audit,2,word.gap_report,iba.app.handlers.wordaudit:gap_report,word,Build gap report (Term/Related/Verse/VTL streams),0,operations
word-audit,3,word.gap_display,iba.app.handlers.wordaudit:gap_display,word,Display gap report (+ interactive approve gate),0,operations
word-audit,4,word.apply_changes,iba.app.handlers.wordaudit:apply_changes,word,"Apply changes, one transaction per stream",0,operations
word-audit,5,word.meaning,iba.app.handlers.wordaudit:meaning,word,Meaning handler -- parse + migrate legacy fields,0,operations
word-audit,6,word.flag_reset,iba.app.handlers.wordaudit:flag_reset,word,"Quality flag reset (DATA_COVERAGE), re-derive",0,operations
word-audit,7,word.audit_checks,iba.app.handlers.wordaudit:audit_checks,word,WR-01-WR-20 + write word_run_state (PROVISIONAL),0,operations
word-audit,8,word.registry_close,iba.app.handlers.wordaudit:registry_close,word,"Registry + file-index update, last_automation_run='AUDITED'",0,operations
word-audit,9,word.export,iba.app.handlers.wordaudit:export,word,Full-word JSON export,0,utility
content-index-rebuild,0,content_index.rebuild,iba.app.handlers.reports:content_index_rebuild,none,full rescan of every .md file in file_manifest — clears and rebuilds content_index + content_index_scan from scratch; see lib/contentindex.py,0,utility
content-index-search,0,content_index.search,iba.app.handlers.reports:content_index_search,none,"incremental refresh (mtime-based, only changed .md files) then a key_type:value or bare-value lookup against content_index, enriched with file_manifest metadata; results persisted via reportkit.oneoff_path, per governance.reports_must_persist",0,utility
content-index-size-profile,0,content_index.size_profile,iba.app.handlers.reports:content_index_size_profile,none,"read-only report of every .md file in file_manifest by size, largest first — file name, folder, size — for visual review before adding to cfg_content_index_exclude; see lib/contentindex.py",0,utility
escalation-reporting,0,escalation.list,iba.app.handlers.reports:escalation_list,none,"every open escalation, with full history inline, grouped by related_activity, plus the D15 exception sections (cycle/dangling/mismatched_pairing/missing_link/incoherent_link) -- see lib/escalation.py:write_list_report",0,utility
escalation-reporting,1,escalation.history,iba.app.handlers.reports:escalation_history,none,"deep history for ONE item (-Id), plus its downward chain (from_id children) and every related_activity-named item -- see lib/escalation.py:write_history_report",0,utility
prose,0,prose.extract,iba.app.handlers.prose:extract,none,Programme-prose extract (JSON/MD/DOCX),0,utility
prose,1,prose.search,iba.app.handlers.prose:search,none,FTS/plain search over prose_section,0,utility
prose,2,prose.export_chapter,iba.app.handlers.prose:export_chapter,none,Export a chapter to editable .md,0,utility
prose,3,prose.import_chapter,iba.app.handlers.prose:import_chapter,none,Turn an edited .md into a patch file (writes no DB row itself),0,utility
prose,4,prose.flag,iba.app.handlers.prose:flag,none,"Raise one wa_data_quality_flags instance (escalation #829 sec12.4, angle a) -- --flag-code, --description (required), no prose-section reference",0,utility
prose,5,prose.flag_fix_propose,iba.app.handlers.prose:flag_fix_propose,none,"Search active prose for a literal match, write a review report of proposed replacements (escalation #890 D5, flag-fix angle b, propose step -- no DB write)",0,utility
prose,6,prose.flag_fix_apply,iba.app.handlers.prose:flag_fix_apply,none,"Generate a PROSE supersede patch for researcher-approved section ids from a flag_fix_propose report (escalation #890 D5, angle b, apply step -- no DB write, apply via scripts/apply_session_patch.py)",0,utility
prose,7,prose.set_status,iba.app.handlers.prose:set_status,none,"Set/reset prose_section.status directly for one or more -SectionIds, no body change (escalation #918, 2026-08-27 -- the reviewer's own set/reset action, superseding cfg_prose_chapter's removed chapter-status tracking); writes no DB row itself, generates a PROSE patch, same as export_chapter/import_chapter/flag_fix_propose/flag_fix_apply",0,utility
folder-purpose,0,folderpurpose.seed,iba.app.handlers.folderpurpose:folder_purpose_seed,none,"Method A -- full reconciliation of folder_purpose against the live directory tree: new folders inserted, missing folders soft-deleted, disk-derived columns refreshed for every row.",0,utility
folder-purpose,1,folderpurpose.crosscheck,iba.app.handlers.folderpurpose:folder_purpose_crosscheck,none,"Method B -- syncs governed_by_setting from live cfg_setting values, pre-fills type/status where unambiguous, reports the operations-needs-a-setting invariant's anomalies.",0,utility
folder-purpose,2,folderpurpose.set,iba.app.handlers.folderpurpose:folder_purpose_set,none,Method C -- hand-set type/status/usage_description for one folder.,0,utility
folder-purpose,3,folderpurpose.list,iba.app.handlers.folderpurpose:folder_purpose_list,none,"Method C -- list folder_purpose rows, optionally filtered.",0,utility
folder-purpose,4,folderpurpose.show,iba.app.handlers.folderpurpose:folder_purpose_show,none,Method C -- full detail for one folder.,0,utility
path-audit,0,pathaudit.scan,iba.app.handlers.pathaudit:path_audit_scan,none,"Project-wide scan (every .py file except cfg_utility.inactive=1 ones) for a string literal that looks like a project-relative path under a live top-level folder, with no live cfg accessor on the same line -- ADVISORY, needs a look per finding, not an auto-fix.",0,utility
folder-purpose,5,folderpurpose.autoassess,iba.app.handlers.folderpurpose:folder_purpose_autoassess,none,"Method D -- fills type/status for every row missing either, from Methods A/B's own gathered facts only (governed_by_setting, manifest_category/currency, file counts, mtime). Never guesses mixed/reallocate or a category-less folder's type -- those stay for Method C.",0,utility
catalogue-report,0,report.obs_catalogue,iba.app.handlers.reports:obs_catalogue_report,none,"structural review of wa_obs_question_catalogue (bible_research.db) on its own -- no join to finding/finding_question_link -- status/deleted lifecycle conflicts, section/tier/question_code/catalogue_version/date_added naming inconsistencies, the live tiered question set for review, and untiered integration candidates",0,utility
