module,file_path,purpose,inactive,config_exempt,config_exempt_reason,crash_escalation_reviewed,crash_escalation_note
stepapi,iba/app/lib/stepapi.py,"stepapi.py — the three STEP calls. Governed by config, fully.",0,0,,1,"No __main__, no DB write at all — an HTTP client to the local STEP server; its own failure mode is StepUnavailable (network/process down), caught by callers, not a DB-write crash-recovery concern."
strongreport,iba/app/lib/strongreport.py,strongreport.py — analysis of the meaning-parse layer (`strong` + `strong_lexicon` +,0,1,receives cfg.conn from its caller; no settings/enums of its own.,1,"No __main__, read-only report render — nothing to roll back."
valuequality,iba/app/lib/valuequality.py,valuequality.py — the generic column-level VALUE-QUALITY engine.,0,0,,1,"No __main__, read-only (enum-violation SELECT checks) — nothing to roll back."
versespanmeaningreport,iba/app/lib/versespanmeaningreport.py,versespanmeaningreport.py — the governed copy of `tools/build_verse_span_meaning_extract.py`'s,0,0,,1,"No __main__, dispatcher-inherited (may write via raw.py's backfill_meaning_for, called from the SAME handler invocation)."
wholebookread,iba/app/lib/wholebookread.py,wholebookread.py — registers the whole-book-read step (`report.whole_book_read`) as a real,0,0,,1,"No __main__, read-only report render (reads passage_debate output) — nothing to roll back."
words,iba/app/lib/words.py,words.py — registry word normalisation. Config-governed.,0,0,,1,"No __main__, pure normalisation function (normalise()) — no DB write at all."
narrativegenerate,iba/app/lib/narrativegenerate.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). report.book_narrative_generate's assembly (debates + governing docs), cost estimate/cap, Anthropic Messages API call, and narrative filing",1,0,,0,
lexical,iba/app/lib/lexical.py,lexical.py — the the lexical (`verse_lexical`) engine: T1-T3 of the verse-lexical technique,0,0,,1,"No __main__, dispatcher-inherited (verse_lexical writes go through Db)."
debaterun,iba/app/lib/debaterun.py,Debate-Run.ps1 readiness checks (mirrors each operations-ingest/build-passages handler own gate) + staging-payload path resolution (passage.debate_staging_path_pattern),0,0,,1,"No __main__, dispatcher-inherited."
debateaudit,iba/app/lib/debateaudit.py,"debateaudit.py — the shared per-row CRUD audit trail for every debate writer (`hib.set`,",0,1,"writes to a fixed table name (debate_change_detail) only -- no cfg.setting()/cfg.enum() usage by design, same shape as other pure DB-write utilities already exempt",1,No __main__; writes via ctx.db.conn directly from handlers/debate.py-shaped callers — dispatcher-inherited.
wordregistryspanreport,iba/app/lib/wordregistryspanreport.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). wordregistryspanreport.py — word_registry -> word_strong -> strong -> parse-meaning -> unique,1,0,,0,
strongversereport,iba/app/lib/strongversereport.py,"on-demand verse restatement, by ONE Strongs reference -- formalises the G2128/G2127 preview samples",0,1,"receives cfg.conn from its caller; the one setting it reads (report.strong_verse_output_dir) belongs to module report, matching registryreport.py precedent",1,"No __main__, read-only report render — nothing to roll back."
manifest,iba/app/lib/manifest.py,manifest.py — the project-wide file manifest (rebuild + search). Filename/path metadata only; the baseline lib/contentindex.py (round 2) cross-checks file-content search coverage against.,0,0,,1,No __main__; writes its own INSERTs + a single conn.commit() (manifest.py:327) but ONLY when called from handlers/reports.py's manifest_rebuild/_search — dispatcher-inherited.
clusterassign,iba/app/lib/clusterassign.py,cluster.assign -- allocates strongs to M-code clusters,0,0,,1,"No __main__; writes (if any) go through Db.write()/update() only, called from a handlers/*.py function — crash-recovery inherited from run.py's except block (rollback before the crash is recorded)."
clusterreport,iba/app/lib/clusterreport.py,report.cluster -- cluster content/quality report,0,0,,1,"No __main__, read-only report render — nothing to roll back."
strongreconcile,iba/app/lib/strongreconcile.py,strong reconciliation utility,0,0,,1,"No __main__; writes via ctx.db.conn.commit() (strongreconcile.py:114) explicitly INSIDE the handler call, called only from a handlers/*.py function — dispatcher-inherited (the explicit commit here is deliberate mid-run persistence, not a bypass of the shared-connection rollback net)."
engine_audit,engine/audit.py,"Audit framework -- WR-01 through WR-20, run after all writes. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_audit_word,engine/audit_word.py,"AUDIT_WORD mode (v4) -- Pre-A1 through A11, unified new-word + re-audit pipeline. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_backup,engine/backup.py,"DB backup management (SG-01, SG-12, SG-13) -- timestamped pre-run backup, abort if it fails. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_constants,engine/constants.py,Shared constants.,0,1,values move to cfg_setting instead,1,"No functions, no writes — a pure constants module (EXPECTED_SCHEMA_VERSION, LOCK_SENTINEL, thresholds). Nothing to crash."
engine_db,engine/db.py,"DB access helpers (wraps analytics/db_client.py). -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_cli,engine/engine.py,"CLI entry point (python -m engine.engine). -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_flag,engine/flag_engine.py,"Derivable flag evaluation (S5/N16/A7). -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_gap_fill,engine/gap_fill.py,"GAP_FILL mode (S1-S8), superseded by audit_word.",1,0,,0,
engine_meaning_parser,engine/meaning_parser.py,"Meaning text parser -> wa_meaning_parsed/_sense/_stem, wa_lsj_parsed. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_migrate,engine/migrate.py,Schema migration runner v2.2->v3.0 (M01-M10).,0,1,"one-shot historical, same class as iba/app/migration/*",1,"GENUINE GAP, the largest one found this pass: own __main__, ~60 DDL statements across the file (engine/migrate.py) mixed with commits at several points (one explicit commit noted at line 2350, 'otherwise the history record silently vanishes on the NEXT connection'), a couple of narrow try/except blocks around specific steps but no top-level crash wrapper — a mid-run crash leaves an inconsistent PARTIAL migration state with no escalation record. Legacy engine/ (superseded 2026-08-17 for base-layer work, see CLAUDE.md) — real but low ongoing exposure. Not fixed this round."
engine_register,engine/register.py,"REGISTER subcommand -- new word_registry row. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_report,engine/report.py,"Word overview report. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_run_log,engine/run_log.py,"engine_run_log/word_run_state write helpers. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_softdelete,engine/softdelete.py,"Shared soft-delete cascade helpers (H1-H3, H5). -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
engine_span_filter,engine/span_filter.py,"STEP masterSearch HTML span filtering (Sec5.2 v4). -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
iba_prototype_build_layers,iba/prototype/build_layers.py,"build_layers.py — the STEP pull as SEARCH LAYERS, one table per layer. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
iba_prototype_build_prototype,iba/prototype/build_prototype.py,"build_prototype.py — test the term -> sense -> span model against real STEP data. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
iba_prototype_export_md,iba/prototype/export_md.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). export_md.py — render the prototype's JSON ""tables"" as markdown for review.",1,0,,0,
iba_prototype_inspect_verse,iba/prototype/inspect_verse.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). inspect_verse.py — select a verse; watch the backtrack; see what emerges.,1,0,,0,
iba_scripts_build_dbschema,iba/scripts/build_dbschema.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). build_dbschema.py -- capture a database's schema into its DBSchema register.,1,0,,0,
iba_scripts_cfg_apply,iba/scripts/cfg_apply.py,"cfg_apply.py — the configurator-maintenance utility's WRITE PATH. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
iba_scripts_cfg_helper,iba/scripts/cfg_helper.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). cfg_helper.py -- export each config json to a configuration component helper (.md).,1,0,,0,
iba_scripts_cfg_kernel,iba/scripts/cfg_kernel.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). cfg_kernel.py — the envelope-validator KERNEL for the IBA configurator.,1,0,,0,
iba_scripts_probe_step_api,iba/scripts/probe_step_api.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). probe_step_api.py — dump the FULL raw response of each STEP API, unmodified.",1,0,,0,
query_db,query_db.py,"prose_section_type joined to active current prose_section rows -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
research_VE_lexical_faculty_map_build_build_batch4,research/VE-lexical/faculty-map-build/_build_batch4.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). -*- coding: utf-8 -*-,1,0,,0,
research_VE_lexical_faculty_map_build_classify_batch1,research/VE-lexical/faculty-map-build/_classify_batch1.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). Faculty classification for inventory slice 0..343. Decisions grounded in gloss+senses, original-language aware.",1,0,,0,
scripts_apply_add_role_to_master_index_v1_20260707,scripts/_apply_add_role_to_master_index_v1_20260707.py,_apply_add_role_to_master_index_v1_20260707.py — M64: add per-span `role` to the master index,1,0,,0,
scripts_apply_backfill_chapter_verses_v1_20260702,scripts/_apply_backfill_chapter_verses_v1_20260702.py,_apply_backfill_chapter_verses_v1_20260702.py,1,0,,0,
scripts_apply_backfill_verse_id_active_20260701,scripts/_apply_backfill_verse_id_active_20260701.py,_apply_backfill_verse_id_active_20260701.py,1,0,,0,
scripts_apply_build_ib_char_index_v1_20260711,scripts/_apply_build_ib_char_index_v1_20260711.py,"(c) Build ib_characteristic into the normalised characteristic index, from the sources",1,0,,0,
scripts_apply_cause_from_api,scripts/_apply_cause_from_api.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_cause_from_api.py (2026-06-16) — apply the cause-resolution API output back into ve_lexical.,1,0,,0,
scripts_apply_charfix_master_v1_20260711,scripts/_apply_charfix_master_v1_20260711.py,Fix (a) the emergent-characteristic seed failure + (b) populate the char on the master.,1,0,,0,
scripts_apply_cleanup_stray_ve_lexical_on_deleted_records_20260701,scripts/_apply_cleanup_stray_ve_lexical_on_deleted_records_20260701.py,_apply_cleanup_stray_ve_lexical_on_deleted_records_20260701.py,1,0,,0,
scripts_apply_cluster_schema_v1_20260505,scripts/_apply_cluster_schema_v1_20260505.py,_apply_cluster_schema_v1_20260505.py — DB-modifying.,1,0,,0,
scripts_apply_comment_findings_v1_20260602,scripts/_apply_comment_findings_v1_20260602.py,Applier for COMMENT_EVALUATION outcomes (per cluster).,1,0,,0,
scripts_apply_create_and_populate_passages_20260701,scripts/_apply_create_and_populate_passages_20260701.py,_apply_create_and_populate_passages_20260701.py,1,0,,0,
scripts_apply_create_constitution_cluster,scripts/_apply_create_constitution_cluster.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_create_constitution_cluster.py — WRITES. Creates the new M47 'Constitution' cluster (the inner-being,1,0,,0,
scripts_apply_create_vc_for_onboarded,scripts/_apply_create_vc_for_onboarded.py,"Create verse_context units for engine-onboarded terms (post-onboard catch-up step). -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_d6_capture_contributor_source,scripts/_apply_d6_capture_contributor_source.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). D6 — capture a contributor source (Logos / AI-Chat) into prose_section, strip it",1,0,,0,
scripts_apply_descriptions_patch,scripts/_apply_descriptions_patch.py,"(no module docstring or leading comment found -- needs a manual purpose write-up) -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_dq01_locus_coupling_swap_v1_20260714,scripts/_apply_dq01_locus_coupling_swap_v1_20260714.py,"DQ-01 source fix: un-transpose coupling(112) <-> locus(116) for Psalms read-2026 (v1, 2026-07-14).",1,0,,0,
scripts_apply_drop_code_softdelete,scripts/_apply_drop_code_softdelete.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_drop_code_softdelete.py — MODIFIES DB. Soft-delete every finding referencing the §3 DROP tier codes,1,0,,0,
scripts_apply_excluded_registry_cascade,scripts/_apply_excluded_registry_cascade.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_excluded_registry_cascade.py — D1 rule (2026-06-15): when a registry is phase1_status='Excluded',",1,0,,0,
scripts_apply_extend_characteristic_baseline_v1_20260703,scripts/_apply_extend_characteristic_baseline_v1_20260703.py,"Extend the `characteristic` baseline (199 rows, 17 clusters) to the Ps/Pro-raised",1,0,,0,
scripts_apply_faculty_map_rederive_20260624,scripts/_apply_faculty_map_rederive_20260624.py,"Re-found FACULTY on a curated Strong's-lemma->faculty MAP (P2-compliant, replacing",1,0,,0,
scripts_apply_faculty_rederive_v1,scripts/_apply_faculty_rederive_v1.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_faculty_rederive_v1.py (2026-06-15) — re-derive VE7 (faculty) against the actual faculty,1,0,,0,
scripts_apply_field_from_api,scripts/_apply_field_from_api.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_field_from_api.py (2026-06-16) — apply a field read API output back into ve_lexical.,1,0,,0,
scripts_apply_file_chapter_lexical_prose_v1_20260702,scripts/_apply_file_chapter_lexical_prose_v1_20260702.py,_apply_file_chapter_lexical_prose_v1_20260702.py,1,0,,0,
scripts_apply_file_passage_lexical_prose_v1_20260704,scripts/_apply_file_passage_lexical_prose_v1_20260704.py,_apply_file_passage_lexical_prose_v1_20260704.py,1,0,,0,
scripts_apply_file_ruthlessness_lexical_prose_20260702,scripts/_apply_file_ruthlessness_lexical_prose_20260702.py,_apply_file_ruthlessness_lexical_prose_20260702.py,1,0,,0,
scripts_apply_file_synthesis_prose_v1_20260703,scripts/_apply_file_synthesis_prose_v1_20260703.py,File a cross-chapter SYNTHESIS document as a DB-canonical prose_section,1,0,,0,
scripts_apply_fix_8_mti_mismatches_percase_20260701,scripts/_apply_fix_8_mti_mismatches_percase_20260701.py,_apply_fix_8_mti_mismatches_percase_20260701.py,1,0,,0,
scripts_apply_fix_verse_context_mti_mismatch_20260701,scripts/_apply_fix_verse_context_mti_mismatch_20260701.py,_apply_fix_verse_context_mti_mismatch_20260701.py,1,0,,0,
scripts_apply_flag_empty_to_t2,scripts/_apply_flag_empty_to_t2.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_flag_empty_to_t2.py — empties FLAG: every remaining FLAG term -> T2 (the catch-all reference bucket;,1,0,,0,
scripts_apply_flag_triage_moves,scripts/_apply_flag_triage_moves.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_flag_triage_moves.py — classify FLAG terms by gloss and move the confident ones: clear characteristic,1,0,,0,
scripts_apply_gate1_term_onboard_v1_20260705,scripts/_apply_gate1_term_onboard_v1_20260705.py,*** RETIRED 2026-07-12 (researcher direction). DO NOT USE. ***,1,0,,0,
scripts_apply_generate_collection_lexical_20260624,scripts/_apply_generate_collection_lexical_20260624.py,"Collection-lexical GENERATOR (01b Part C, the term-scope layer).",1,0,,0,
scripts_apply_generate_ve_lexical_v2,scripts/_apply_generate_ve_lexical_v2.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_generate_ve_lexical_v2.py (2026-06-16) — generate the v2 verse-lexical for ALL analysed,1,0,,0,
scripts_apply_generic_characteristic_backfill_20260527,scripts/_apply_generic_characteristic_backfill_20260527.py,Generic 1:1 characteristic backfill for pre-v2_6 closed clusters.,1,0,,0,
scripts_apply_ib_char_cluster_assign_v1_20260711,scripts/_apply_ib_char_cluster_assign_v1_20260711.py,Assign each ib_characteristic record (Psalms) to a CLUSTER based on its term.,1,0,,0,
scripts_apply_ib_char_cluster_assign_v2_20260711,scripts/_apply_ib_char_cluster_assign_v2_20260711.py,Assign CLUSTER via the deterministic chain: master -> its 1 mti_term -> its 1,1,0,,0,
scripts_apply_ib_char_family_grouping_v1_20260711,scripts/_apply_ib_char_family_grouping_v1_20260711.py,"Group meaning-records (ib_characteristic, a given book_scope) into <=50 semantic",1,0,,0,
scripts_apply_ingest_verse_morphology,scripts/_apply_ingest_verse_morphology.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_ingest_verse_morphology.py (2026-06-16) — populate the persisted MEASURE LAYER (M60).,1,0,,0,
scripts_apply_l2_rollup,scripts/_apply_l2_rollup.py,"_apply_l2_rollup.py — roll the VERSE-level L2 findings up to CLUSTER-level findings (the ""characteristic = -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_l2_write,scripts/_apply_l2_write.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_l2_write.py — the L2 WRITER (verse-complete). Enters by --cluster (the verses that contain a,1,0,,0,
scripts_apply_l2_write_refit,scripts/_apply_l2_write_refit.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_l2_write_refit.py — L2 writer on the REFIT basis (wa-catalogue-refit-two-layer / verse-extraction,1,0,,0,
scripts_apply_language_reconcile,scripts/_apply_language_reconcile.py,"_apply_language_reconcile.py — make mti_terms.language / wa_term_inventory.language -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_lev_study_v1_20260705,scripts/_apply_lev_study_v1_20260705.py,_apply_lev_study_v1_20260705.py  — Leviticus terminology study loader (corpus-native).,1,0,,0,
