id,run_id,table_name,op,where_json,set_json,before_json,applied_at
17,RUN-20260721_203939_125-CONFIGMAINT,cfg_on_fail,insert,{},"{""step"": ""candidate.curate"", ""condition"": ""needs-approval"", ""path"": ""pause-continue"", ""message"": ""a candidate_seed correction needs researcher approval""}",,2026-07-21T19:39:57Z
18,RUN-20260721_204004_548-CONFIGMAINT,cfg_on_fail,insert,{},"{""step"": ""candidate.curate"", ""condition"": ""change-rejected"", ""path"": ""report-stop"", ""message"": ""researcher rejected the proposed candidate_seed correction""}",,2026-07-21T19:40:12Z
19,RUN-20260721_204023_212-CONFIGMAINT,cfg_on_fail,insert,{},"{""step"": ""candidate.curate"", ""condition"": ""needs-revision"", ""path"": ""report-stop"", ""message"": ""researcher asked for revision (see comment) and resubmission""}",,2026-07-21T19:40:31Z
20,RUN-20260721_204039_187-CONFIGMAINT,cfg_on_fail,insert,{},"{""step"": ""candidate.curate"", ""condition"": ""invalid-proposal"", ""path"": ""report-stop"", ""message"": ""the proposed correction failed validation -- never escalated""}",,2026-07-21T19:40:46Z
21,RUN-20260721_205252_826-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""raw.meaning_tree_clean_pattern"", ""value"": ""^(?:[^<]|<ref[^>]*>[^<]*</ref>)*$"", ""use"": ""a clean strong_meaning_tree.sense_text: any text plus complete <ref>...</ref> spans (STEP's own citation markup, tolerated -- BUILD.md notes Greek mediumDef is prose with <ref> tags); any OTHER leftover markup (<br>, <b>, ...) fails -- the same <br> parser bug as strong_sense.head, one level deeper"", ""module"": ""raw""}",,2026-07-21T19:53:06Z
22,RUN-20260721_205320_773-CONFIGMAINT,cfg_column,update,"{""table_name"": ""strong_meaning_tree"", ""name"": ""sense_text""}","{""expectation"": ""pattern:raw.meaning_tree_clean_pattern""}","{""table_name"": ""strong_meaning_tree"", ""name"": ""sense_text"", ""ordinal"": 3, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 0, ""is_unique"": 0, ""dflt"": null, ""fk"": null, ""use"": ""the sense line"", ""expectation"": null, ""source"": ""derived:call2.mediumDef.tree"", ""filled_by"": null}",2026-07-21T19:53:37Z
23,RUN-20260721_205416_900-CONFIGMAINT,cfg_setting,update,"{""key"": ""raw.meaning_tree_clean_pattern""}","{""value"": ""\""^(?:[^<]|<ref[^>]*>[^<]*</ref>)*$\""""}","{""key"": ""raw.meaning_tree_clean_pattern"", ""value"": ""^(?:[^<]|<ref[^>]*>[^<]*</ref>)*$"", ""use"": ""a clean strong_meaning_tree.sense_text: any text plus complete <ref>...</ref> spans (STEP's own citation markup, tolerated -- BUILD.md notes Greek mediumDef is prose with <ref> tags); any OTHER leftover markup (<br>, <b>, ...) fails -- the same <br> parser bug as strong_sense.head, one level deeper"", ""module"": ""raw""}",2026-07-21T19:54:25Z
24,RUN-20260722_053143_888-CONFIGMAINT,cfg_setting,update,"{""key"": ""raw.meaning_tree_clean_pattern""}","{""value"": ""\""^(?:[^<]|<(?!(?i:br\\\\b))[^>]*>)*$\""""}","{""key"": ""raw.meaning_tree_clean_pattern"", ""value"": ""\""^(?:[^<]|<ref[^>]*>[^<]*</ref>)*$\"""", ""use"": ""a clean strong_meaning_tree.sense_text: any text plus complete <ref>...</ref> spans (STEP's own citation markup, tolerated -- BUILD.md notes Greek mediumDef is prose with <ref> tags); any OTHER leftover markup (<br>, <b>, ...) fails -- the same <br> parser bug as strong_sense.head, one level deeper"", ""module"": ""raw""}",2026-07-22T04:32:00Z
25,RUN-20260722_065853_945-CONFIGMAINT,cfg_enum,insert,{},"{""name"": ""config_module"", ""value"": ""retention"", ""ordinal"": 9}",,2026-07-22T05:59:02Z
26,RUN-20260722_065918_436-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""retention.report_path"", ""value"": ""iba/app/reports/log-retention.md"", ""use"": ""where the run/escalation/validation_result log-retention & run-health report is written"", ""module"": ""retention""}",,2026-07-22T05:59:26Z
27,RUN-20260722_070021_299-CONFIGMAINT,cfg_setting,update,"{""key"": ""retention.report_path""}","{""value"": ""\""iba/app/reports/log-retention.md\""""}","{""key"": ""retention.report_path"", ""value"": ""iba/app/reports/log-retention.md"", ""use"": ""where the run/escalation/validation_result log-retention & run-health report is written"", ""module"": ""retention""}",2026-07-22T06:00:40Z
28,RUN-20260722_070336_596-CONFIGMAINT,cfg_write_grant,delete,"{""writer"": ""registry.create"", ""table_name"": ""escalation""}",{},"{""writer"": ""registry.create"", ""table_name"": ""escalation""}",2026-07-22T06:03:48Z
29,RUN-20260722_070609_140-CONFIGMAINT,cfg_column,insert,{},"{""table_name"": ""candidate_seed"", ""name"": ""strong_variant"", ""ordinal"": 8, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 1, ""is_unique"": 0, ""fk"": ""strong.strongNumber"", ""use"": ""the specific sub-lettered Strongs variant this row's tag reflects (e.g. H0639G), or the lemma_key itself when the tag applies to the whole base lemma (no sub-strong split decided yet -- the default for existing rows)"", ""filled_by"": ""candidate.seed / candidate.curate""}",,2026-07-22T06:06:18Z
30,RUN-20260722_070627_392-CONFIGMAINT,cfg_column,update,"{""table_name"": ""candidate_seed"", ""name"": ""lemma_key""}","{""is_unique"": 0}","{""table_name"": ""candidate_seed"", ""name"": ""lemma_key"", ""ordinal"": 1, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 1, ""is_unique"": 1, ""dflt"": null, ""fk"": ""lemma_inventory.lemma_key"", ""use"": ""the assessed lemma"", ""expectation"": null, ""source"": null, ""filled_by"": null}",2026-07-22T06:06:35Z
31,RUN-20260722_070642_812-CONFIGMAINT,cfg_unique,insert,{},"{""table_name"": ""candidate_seed"", ""col"": ""lemma_key"", ""ordinal"": 0}",,2026-07-22T06:06:52Z
32,RUN-20260722_070701_884-CONFIGMAINT,cfg_unique,insert,{},"{""table_name"": ""candidate_seed"", ""col"": ""strong_variant"", ""ordinal"": 1}",,2026-07-22T06:07:13Z
33,RUN-20260722_090149_740-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""governance.build_md_on_code_change"", ""value"": ""\""any code change under iba/app/** must update iba/app/BUILD.md in the same unit of work \u2014 BUILD.md is the build record, not a one-time snapshot\"""", ""use"": ""researcher ruling 2026-07-22: BUILD.md/GOVERNANCE.md must stay current, not just be written once"", ""module"": ""governance""}",,2026-07-22T08:33:06Z
34,RUN-20260722_090207_350-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""governance.governance_md_on_rule_change"", ""value"": ""\""any governance/process rule change must be set in cfg_* first (via configmaint.propose), then GOVERNANCE.md updated to reflect it in the same unit of work \u2014 GOVERNANCE.md documents the config, it never holds a rule the config does not\"""", ""use"": ""researcher ruling 2026-07-22: no rule should exist only in GOVERNANCE.md; the config is the source of truth, GOVERNANCE.md is the overview of it"", ""module"": ""governance""}",,2026-07-22T08:33:18Z
35,RUN-20260722_094625_617-CONFIGMAINT,cfg_setting,delete,"{""key"": ""configmaint.reference_seed_dir""}",{},"{""key"": ""configmaint.reference_seed_dir"", ""value"": ""\""iba/app/config/archive\"""", ""use"": ""REFERENCE ONLY (never reloaded from) \u2014 where a one-time completeness cross-check may look for items missing from the live cfg_* tables; the DB is master"", ""module"": ""configmaint""}",2026-07-22T08:47:15Z
36,RUN-20260722_124737_909-CONFIGMAINT,cfg_setting,update,"{""key"": ""candidate.transliteration_pattern""}","{""value"": ""\""^[a-z]+'[a-z]+$\""""}","{""key"": ""candidate.transliteration_pattern"", ""value"": ""\""^(?=.*[a-z])[a-z]{2,10}$\"""", ""use"": ""STARTER heuristic, tune via configmaint.propose as real cases are seen: a bare lowercase token with no space is a plausible transliteration (e.g. 'asah', 'halak') and gets written as an exception for a human read, not silently accepted -- it cannot distinguish a genuine single-word English gloss ('hearing') from a transliteration by shape alone, so this is a conservative flag-for-review test, not a hard linguistic classifier"", ""module"": ""candidate""}",2026-07-22T12:46:02Z
37,RUN-20260722_134420_267-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""retention.snapshot_keep_count"", ""value"": ""20"", ""use"": ""how many pre-run DB snapshots to keep (oldest pruned first) -- lib/dbsnapshot.py, wired into run.py so every NEW run gets a rollback point; built 2026-07-22 after a candidate.load bug corrupted 1029 candidate_seed rows with no fine-grained rollback available"", ""module"": ""retention""}",,2026-07-22T12:46:11Z
38,RUN-20260723_063400_268-CONFIGMAINT,cfg_setting,update,"{""key"": ""report.output_dir""}","{""value"": ""\""iba/app/reports\""""}","{""key"": ""report.output_dir"", ""value"": ""\""iba/app\"""", ""use"": ""where report.word writes its output"", ""module"": ""report""}",2026-07-23T07:33:20Z
39,RUN-20260723_083809_966-CONFIGMAINT,cfg_report_section,update,"{""step"": ""report.strong_meaning"", ""section_key"": ""lexicon_completeness""}","{""ordinal"": 3}","{""step"": ""report.strong_meaning"", ""ordinal"": 2, ""section_key"": ""lexicon_completeness"", ""heading"": ""## Lexicon completeness (lsj / mounce)"", ""toc_label"": ""Lexicon completeness (lsj / mounce)"", ""include"": 1}",2026-07-23T07:38:21Z
40,RUN-20260723_083838_870-CONFIGMAINT,cfg_report_section,insert,{},"{""step"": ""report.strong_meaning"", ""ordinal"": 2, ""section_key"": ""sense_by_registry"", ""heading"": ""## Sense distribution by registered word (with gloss)"", ""toc_label"": ""Sense distribution by registered word (with gloss)"", ""include"": 1}",,2026-07-23T07:38:54Z
41,RUN-20260723_084252_166-CONFIGMAINT,cfg_setting,update,"{""key"": ""table_export.output_dir""}","{""value"": ""\""iba/app/reports/export\""""}","{""key"": ""table_export.output_dir"", ""value"": ""\""iba/app/export\"""", ""use"": ""where table.export writes its CSVs"", ""module"": ""table_export""}",2026-07-23T07:43:12Z
42,RUN-20260723_084914_093-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""governance.scripts_ps_dir"", ""value"": ""\""iba/app/ps\"""", ""module"": ""governance""}",,2026-07-23T07:49:26Z
43,RUN-20260723_091223_594-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""governance.scripts_python_dir"", ""value"": ""\""iba/app/tools\"""", ""module"": ""governance""}",,2026-07-23T08:12:57Z
44,RUN-20260723_091338_592-CONFIGMAINT,cfg_work_package,update,"{""name"": ""configuration-maintenance""}","{""ps_script"": ""iba/app/ps/Config-Maintenance.ps1""}","{""name"": ""configuration-maintenance"", ""ps_script"": ""Config-Maintenance.ps1"", ""runs_over"": ""none"", ""chained"": 0, ""complete_message"": null, ""next_step_hint"": null, ""paused_message"": null}",2026-07-23T08:15:18Z
45,RUN-20260723_091339_419-CONFIGMAINT,cfg_work_package,update,"{""name"": ""candidate-quality""}","{""ps_script"": ""iba/app/ps/Candidate-Quality.ps1""}","{""name"": ""candidate-quality"", ""ps_script"": ""Candidate-Quality.ps1"", ""runs_over"": ""none"", ""chained"": 0, ""complete_message"": null, ""next_step_hint"": null, ""paused_message"": null}",2026-07-23T08:15:20Z
46,RUN-20260723_091340_157-CONFIGMAINT,cfg_work_package,update,"{""name"": ""passage-quality""}","{""ps_script"": ""iba/app/ps/Passage-Quality.ps1""}","{""name"": ""passage-quality"", ""ps_script"": ""Passage-Quality.ps1"", ""runs_over"": ""none"", ""chained"": 0, ""complete_message"": null, ""next_step_hint"": null, ""paused_message"": null}",2026-07-23T08:15:21Z
47,RUN-20260723_091340_877-CONFIGMAINT,cfg_work_package,update,"{""name"": ""reports""}","{""ps_script"": ""iba/app/ps/Reports.ps1""}","{""name"": ""reports"", ""ps_script"": ""Reports.ps1"", ""runs_over"": ""none"", ""chained"": 0, ""complete_message"": null, ""next_step_hint"": null, ""paused_message"": null}",2026-07-23T08:15:22Z
48,RUN-20260723_092441_164-CONFIGMAINT,cfg_work_package,insert,{},"{""name"": ""registry-report"", ""ps_script"": ""iba/app/ps/Registry-Report.ps1"", ""runs_over"": ""none"", ""chained"": 0}",,2026-07-23T08:25:30Z
49,RUN-20260723_092557_533-CONFIGMAINT,cfg_step,insert,{},"{""work_package"": ""registry-report"", ""ordinal"": 0, ""step"": ""report.registry"", ""handler"": ""iba.app.handlers.reports:registry_report"", ""scope"": ""none"", ""does"": ""evaluate/review word_registry -- summary, join to strong, sense report grouped by gloss""}",,2026-07-23T08:26:28Z
50,RUN-20260723_092636_924-CONFIGMAINT,cfg_report,insert,{},"{""step"": ""report.registry"", ""title"": ""Registry evaluation report"", ""show_toc"": 1, ""output_kind"": ""md+csv"", ""naming_scheme"": ""stable"", ""archive_dir"": ""archive""}",,2026-07-23T08:26:45Z
51,RUN-20260723_092720_357-CONFIGMAINT,cfg_report_section,insert,{},"{""step"": ""report.registry"", ""ordinal"": 0, ""section_key"": ""summary"", ""heading"": ""## Summary"", ""toc_label"": ""Summary"", ""include"": 1}",,2026-07-23T08:27:29Z
52,RUN-20260723_092755_190-CONFIGMAINT,cfg_report_section,insert,{},"{""step"": ""report.registry"", ""ordinal"": 1, ""section_key"": ""by_strong"", ""heading"": ""## Registry word joined to strong"", ""toc_label"": ""Registry word joined to strong"", ""include"": 1}",,2026-07-23T08:28:04Z
53,RUN-20260723_092814_543-CONFIGMAINT,cfg_report_section,insert,{},"{""step"": ""report.registry"", ""ordinal"": 2, ""section_key"": ""sense_report"", ""heading"": ""## Sense report -- registry word by gloss/broad meaning"", ""toc_label"": ""Sense report by gloss"", ""include"": 1}",,2026-07-23T08:28:25Z
54,RUN-20260723_092948_339-CONFIGMAINT,cfg_report_csv_table,insert,{},"{""step"": ""report.registry"", ""table_name"": ""word_registry"", ""join_note"": ""joined to word_strong/strong/strong_sense""}",,2026-07-23T08:32:29Z
55,RUN-20260723_093259_743-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""report.registry_path"", ""value"": ""\""iba/app/reports/registry.md\"""", ""module"": ""report""}",,2026-07-23T08:33:40Z
56,RUN-20260723_094934_663-CONFIGMAINT,cfg_enum,insert,{},"{""name"": ""config_module"", ""value"": ""escalation"", ""ordinal"": 12}",,2026-07-23T08:49:47Z
57,RUN-20260723_094958_523-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""escalation.list_report_path"", ""value"": ""\""iba/app/reports/escalation-list.md\"""", ""module"": ""escalation""}",,2026-07-23T08:50:07Z
58,RUN-20260723_100008_229-CONFIGMAINT,cfg_enum,insert,{},"{""name"": ""escalation_state"", ""value"": ""raised"", ""ordinal"": 0}",,2026-07-23T11:31:19Z
59,RUN-20260723_123133_973-CONFIGMAINT,cfg_enum,insert,{},"{""name"": ""escalation_state"", ""value"": ""answered"", ""ordinal"": 1}",,2026-07-23T11:31:49Z
60,RUN-20260723_123134_729-CONFIGMAINT,cfg_enum,insert,{},"{""name"": ""escalation_state"", ""value"": ""paused"", ""ordinal"": 2}",,2026-07-23T11:31:51Z
61,RUN-20260723_123135_446-CONFIGMAINT,cfg_enum,insert,{},"{""name"": ""escalation_state"", ""value"": ""retracted"", ""ordinal"": 3}",,2026-07-23T11:31:52Z
62,RUN-add-session-log-commit-rule-2,cfg_setting,insert,{},"{""key"": ""governance.session_log_triggers_commit"", ""value"": ""\""completing a session log (any SESSION-LOG-*.md) means the full commit-and-push cycle happens in the same unit of work -- stage the real changes, commit with a proper message, push, confirm clean/pushed. See CLAUDE.md section 12.\"""", ""module"": ""governance""}",,2026-07-23T13:58:09Z
63,RUN-20260725_133709_153-CONFIGMAINT,cfg_table,update,"{""name"": ""span""}","{""grain"": ""ONE ROW PER HTML <span> TAG of a verse (O3) - a tag's codes are a combined unit as STEP itself presents them"", ""use"": ""L4a - SOURCE, immutable. A parse of verse.preview. position is the running TAG index; (verse, position) is the key. strong_variant/morph_code may hold more than one space-separated code when STEP's own HTML combines them on one tag (corrected 2026-07-25 - see migration/rebuild_span_combined_units.py; the old one-row-per-code model split a combined unit and misattributed surface text).""}","{""name"": ""span"", ""grain"": ""ONE ROW PER CODE of a verse (O3) \u2014 particles get their own row"", ""use"": ""L4a \u2014 SOURCE, immutable. A parse of verse.preview. position is the running code index; (verse, position) is the key.""}",2026-07-25T12:38:47Z
64,RUN-20260725_133720_920-CONFIGMAINT,cfg_column,update,"{""table_name"": ""span"", ""name"": ""strong_variant""}","{""fk"": """", ""use"": ""one or more strong codes, space-separated - STEP's HTML <span> tag as-is (e.g. G1722 G0054 for one preposition+noun unit); was wrongly declared as ONE code with an FK to strong.strongNumber, which does not hold for a combined value""}","{""table_name"": ""span"", ""name"": ""strong_variant"", ""ordinal"": 4, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 0, ""is_unique"": 0, ""dflt"": null, ""fk"": ""strong.strongNumber"", ""use"": ""ONE strong code"", ""expectation"": null, ""source"": ""parse:verse.preview"", ""filled_by"": null}",2026-07-25T12:38:57Z
65,RUN-20260725_133735_587-CONFIGMAINT,cfg_column,update,"{""table_name"": ""span"", ""name"": ""is_particle""}","{""use"": ""1 only if EVERY code on the tag is a grammar-particle code (H9xxx/G9xxx) - a tag mixing a real content word with attached particles is not itself a pure particle""}","{""table_name"": ""span"", ""name"": ""is_particle"", ""ordinal"": 6, ""type"": ""INTEGER"", ""is_pk"": 0, ""notnull"": 0, ""is_unique"": 0, ""dflt"": null, ""fk"": null, ""use"": ""1 if a grammar-particle code (H9xxx/G9xxx)"", ""expectation"": null, ""source"": ""derived:strong_variant"", ""filled_by"": null}",2026-07-25T12:39:06Z
66,RUN-20260725_153112_320-CONFIGMAINT,cfg_column,update,"{""table_name"": ""span"", ""name"": ""strong_variant""}","{""fk"": null}","{""table_name"": ""span"", ""name"": ""strong_variant"", ""ordinal"": 4, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 0, ""is_unique"": 0, ""dflt"": null, ""fk"": """", ""use"": ""one or more strong codes, space-separated - STEP's HTML <span> tag as-is (e.g. G1722 G0054 for one preposition+noun unit); was wrongly declared as ONE code with an FK to strong.strongNumber, which does not hold for a combined value"", ""expectation"": null, ""source"": ""parse:verse.preview"", ""filled_by"": null}",2026-07-25T14:33:54Z
67,RUN-20260726_082346_730-CONFIGMAINT-GOV,cfg_setting,insert,{},"{""key"": ""governance.rules_must_be_config_driven"", ""value"": ""\""no operational or process rule may exist only in GOVERNANCE.md, BUILD.md, USER-GUIDE.md, or memory without a backing cfg_* row recording it as data. A doc/memory statement is not a real rule until the code -- or, for AI-facing process rules, init.py at startup -- actually reads it. Found 2026-07-26: the STEP-required rule existed only as a doc/code convention (init.py comments, USER-GUIDE.md prose), with no cfg_setting backing it, and was silently violated as a result.\"""", ""module"": ""governance"", ""use"": ""the researchers 2026-07-26 standard, raised after an unconfigured rule (STEP required) was silently violated""}",,2026-07-26T09:47:44Z
68,RUN-20260726_082355_788-CONFIGMAINT-STEPREQ,cfg_setting,insert,{},"{""key"": ""step.required_for_runs"", ""value"": ""true"", ""module"": ""step"", ""use"": ""STEP is mandatory infra, not optional -- initpys startup preflight and every STEP-dependent tool/handler must refuse rather than degrade when this is true and STEP is down""}",,2026-07-26T09:48:11Z
69,RUN-20260726-REPORT-AUTOBACKFILL,cfg_setting,insert,{},"{""key"": ""report.auto_backfill_before_render"", ""value"": ""true"", ""use"": ""report.verse_span_meaning auto-runs raw.backfill_meaning_for() for any span whose strong is not yet registered, for the exact book+range being rendered, before writing the report -- researchers direct 2026-07-26 instruction (do not leave partial-coverage reports as a silent manual follow-up step)"", ""module"": ""report""}",,2026-07-26T17:43:13Z
70,RUN-20260726-SMT-STRONGVARIANT-COL1,cfg_column,insert,{},"{""table_name"": ""strong_meaning_tree"", ""name"": ""strong_variant"", ""ordinal"": 6, ""is_pk"": 0, ""is_unique"": 0}",,2026-07-26T17:48:35Z
71,RUN-20260726-SMT-STRONGVARIANT-COL2,cfg_column,insert,{},"{""table_name"": ""strong_meaning_parsed"", ""name"": ""strong_variant"", ""ordinal"": 9, ""is_pk"": 0, ""is_unique"": 0}",,2026-07-26T17:48:46Z
72,RUN-20260727_061625_591-CONFIGMAINT,cfg_setting,update,"{""key"": ""method.interpretation_questions_path""}","{""value"": ""\""iba/docs/WA-interpretation-questions-v1.1-2026-07-27.md\""""}","{""key"": ""method.interpretation_questions_path"", ""value"": ""\""iba/docs/WA-interpretation-questions-v1.0-2026-07-26.md\"""", ""use"": ""current version of the Q1-Q10 interrogative + Part B guidance of interpretation \u2014 the passage-debate scaffold and any AI applying it must follow this exact file"", ""module"": ""method"", ""inactive"": 0}",2026-07-27T05:20:38Z
73,RUN-20260727_100107_656-CONFIGMAINT,cfg_setting,update,"{""key"": ""method.passage_read_guidance_path""}","{""value"": ""\""iba/docs/WA-passage-read-guidance-v1.3-2026-07-27.md\""""}","{""key"": ""method.passage_read_guidance_path"", ""value"": ""\""iba/docs/WA-passage-read-guidance-v1.2-2026-07-27.md\"""", ""use"": ""current version of the passage read guidance (steps 1-5 + notes, incl. step 2 note (f)) \u2014 the passage-debate scaffold and any AI applying it must follow this exact file; bump this setting (not the debates' memory) when the guidance revises"", ""module"": ""method"", ""inactive"": 0}",2026-07-27T09:02:58Z
74,RUN-20260727_100122_522-CONFIGMAINT,cfg_setting,update,"{""key"": ""method.interpretation_questions_path""}","{""value"": ""\""iba/docs/WA-interpretation-questions-v1.2-2026-07-27.md\""""}","{""key"": ""method.interpretation_questions_path"", ""value"": ""\""iba/docs/WA-interpretation-questions-v1.1-2026-07-27.md\"""", ""use"": ""current version of the Q1-Q10 interrogative + Part B guidance of interpretation \u2014 the passage-debate scaffold and any AI applying it must follow this exact file"", ""module"": ""method"", ""inactive"": 0}",2026-07-27T09:03:58Z
75,RUN-20260728_165719_155-CONFIGMAINT,cfg_setting,update,"{""key"": ""method.passage_read_guidance_path""}","{""value"": ""\""iba/docs/WA-passage-read-guidance-v1.4-2026-07-28.md\""""}","{""key"": ""method.passage_read_guidance_path"", ""value"": ""\""iba/docs/WA-passage-read-guidance-v1.3-2026-07-27.md\"""", ""use"": ""current version of the passage read guidance (steps 1-5 + notes, incl. step 2 note (f)) \u2014 the passage-debate scaffold and any AI applying it must follow this exact file; bump this setting (not the debates' memory) when the guidance revises"", ""module"": ""method"", ""inactive"": 0}",2026-07-28T16:02:25Z
