database,table_name,name,ordinal,type,is_pk,notnull,is_unique,dflt,fk,use,expectation,source,filled_by,inactive
iba,strong_verse,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,strong_verse,strong,1,TEXT,0,1,0,,strong.strongNumber,the strong searched,,call3.query.strong,,0
iba,strong_verse,verse_id,2,INTEGER,0,1,0,,verse.id,the verse returned,,call3.results[].osisId,,0
iba,strong_verse,deleted,3,INTEGER,0,0,0,0,,soft delete,,,,0
iba,span,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,span,verse_id,1,INTEGER,0,1,0,,verse.id,the verse,,parse:verse.preview,,0
iba,span,position,2,INTEGER,0,1,0,,,running code index in the verse — the key with verse_id,,parse:verse.preview,,0
iba,span,surface,3,TEXT,0,0,0,,,the English word this code belongs to; repeats across a word's codes,notblank,parse:verse.preview,,0
iba,span,strong_variant,4,TEXT,0,0,0,,,"one or more strong codes, space-separated - STEP's HTML <span> tag as-is (e.g. G1722 G0054 for one preposition+noun unit); was wrongly declared as ONE code with an FK to strong.strongNumber, which does not hold for a combined value",,parse:verse.preview,,0
iba,span,morph_code,5,TEXT,0,0,0,,,"the grammatical layer — one, aligned with the code",,parse:verse.preview,,0
iba,span,is_particle,6,INTEGER,0,0,0,,,1 only if EVERY code on the tag is a grammar-particle code (H9xxx/G9xxx) - a tag mixing a real content word with attached particles is not itself a pure particle,,derived:strong_variant,,0
iba,span,built_at,7,TEXT,0,0,0,,,raw time,,,raw.verses,0
iba,span,deleted,8,INTEGER,0,0,0,0,,soft delete,,,,0
iba,run,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,run,run_id,1,TEXT,0,1,1,,,the run identifier,,,run.start,0
iba,run,work_package,2,TEXT,0,0,0,,,which package,,,run.start,0
iba,run,params,3,TEXT,0,0,0,,,JSON of the run params,,,run.start,0
iba,run,runs_over,4,TEXT,0,0,0,,,"the scope value, e.g. the word",,,run.start,0
iba,run,config_version,5,TEXT,0,0,0,,,the config that ran — pinned before any work,,,run.start,0
iba,run,state,6,TEXT,0,0,0,,,running | paused | done | failed,enum.run_state,,run,0
iba,run,resume_point,7,TEXT,0,0,0,,,the step to resume at on continue,,,run,0
iba,run,started_at,8,TEXT,0,0,0,,,start,,,run.start,0
iba,run,ended_at,9,TEXT,0,0,0,,,end,,,run.end,0
iba,run,outcome,10,TEXT,0,0,0,,,the final result,,,run.end,0
iba,validation_result,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,validation_result,run_id,1,TEXT,0,1,0,,run.run_id,the run that ran the check,,,,0
iba,validation_result,word,2,TEXT,0,0,0,,,the word the check was over,,,validate,0
iba,validation_result,step,3,TEXT,0,0,0,,,the step that ran it,,,validate,0
iba,validation_result,check_name,4,TEXT,0,0,0,,,which check,,,validate,0
iba,validation_result,result,5,TEXT,0,0,0,,,pass | fail,,,validate,0
iba,validation_result,detail,6,TEXT,0,0,0,,,"the specifics — counts, what failed",,,validate,0
iba,validation_result,ran_at,7,TEXT,0,0,0,,,when,,,validate,0
iba,validation_result,deleted,8,INTEGER,0,0,0,0,,soft delete,,,,0
iba,escalations_old,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,escalations_old,run_id,1,TEXT,0,1,0,,run.run_id,the paused run,,,,0
iba,escalations_old,source,2,TEXT,0,1,0,,,"the source of the escalation -- 'new-word: <word>' for a word-registration decision, the generating module name for a code-raised finding, or 'claude'/'researcher' for a manually-raised item. Required.",,,escalation.raise,0
iba,escalations_old,at_step,3,TEXT,0,0,0,,,where to resume — makes it a pause not a fork,,,escalation.raise,0
iba,escalations_old,type,4,TEXT,0,0,0,,,task | run_error | issue | notice | config,enum.escalation_type,,escalation.raise,0
iba,escalations_old,short_description,5,TEXT,0,0,0,,,the short description of what's being escalated,,,escalation.raise,0
iba,escalations_old,context,6,TEXT,0,0,0,,,the context that lets it be answered (JSON),,,escalation.raise,0
iba,escalations_old,tried,7,TEXT,0,0,0,,,what the app attempted before asking,,,escalation.raise,0
iba,escalations_old,state,8,TEXT,0,0,0,,,raised | re-assign | on-hold | closed | withdraw | completed,enum.escalation_state,,escalation,0
iba,escalations_old,next_action,9,TEXT,0,0,0,,,the decision/next action taken: approve | reject | revise | hold | noted,,,escalation.answer,0
iba,escalations_old,answered_at,10,TEXT,0,0,0,,,when,,,escalation.answer,0
iba,escalations_old,raised_at,11,TEXT,0,0,0,,,when raised,,,escalation.raise,0
iba,lemma_inventory,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,lemma_inventory,lemma_key,1,TEXT,0,1,1,,,"base Strong's, sub-letters stripped",,import:lemma-inventory,,0
iba,lemma_inventory,gloss,2,TEXT,0,0,0,,,the lemma's English gloss — the meaning the net matches on,pattern:candidate.tag_clean_pattern,import:lemma-inventory,,0
iba,lemma_inventory,language,3,TEXT,0,0,0,,,Hebrew/Greek,,derived:lemma_key,,0
iba,lemma_inventory,source,4,TEXT,0,0,0,,,import provenance,,,migration,0
iba,lemma_inventory,created_at,5,TEXT,0,0,0,,,when imported,,,migration,0
iba,lemma_inventory,deleted,6,INTEGER,0,0,0,0,,soft delete,,,,0
iba,candidate_seed,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,candidate_seed,lemma_key,1,TEXT,0,1,0,,lemma_inventory.lemma_key,the assessed lemma,,,,0
iba,candidate_seed,decision,2,TEXT,0,0,0,,,DORMANT - candidate.seed retired 2026-07-23; no active mechanism populates this column,enum.candidate_decision,,,0
iba,candidate_seed,layer,3,TEXT,0,0,0,,,DORMANT - candidate.seed retired 2026-07-23; no active mechanism populates this column,enum.candidate_source,,,0
iba,candidate_seed,registry_match,4,TEXT,0,0,0,,,DORMANT - candidate.seed retired 2026-07-23; no active mechanism populates this column,,,,0
iba,candidate_seed,tag,5,TEXT,0,0,0,,,DORMANT - candidate.seed retired 2026-07-23; no active mechanism populates this column,pattern:candidate.tag_clean_pattern,,,0
iba,candidate_seed,assessed_at,6,TEXT,0,0,0,,,DORMANT - candidate.seed retired 2026-07-23; no active mechanism populates this column,,,,0
iba,candidate_seed,deleted,7,INTEGER,0,0,0,0,,soft delete,,,,0
iba,span_candidate,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,span_candidate,span_id,1,INTEGER,0,1,1,,span.id,the L4a span stamped,,,,0
iba,span_candidate,lemma_key,2,TEXT,0,0,0,,,base Strong's of the span (denormalised for continuity/join),,derived:span.strong_variant,,0
iba,span_candidate,candidate_tag,3,TEXT,0,0,0,,,the IB label from the seed,pattern:candidate.tag_clean_pattern,candidate_seed.tag,,0
iba,span_candidate,seed_source,4,TEXT,0,0,0,,,DORMANT - candidate.set retired 2026-07-23; no active mechanism populates this column,enum.candidate_source,,,0
iba,span_candidate,set_at,5,TEXT,0,0,0,,,DORMANT - candidate.set retired 2026-07-23; no active mechanism populates this column,,,,0
iba,span_candidate,deleted,6,INTEGER,0,0,0,0,,soft delete,,,,0
iba,passage,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,passage,book,1,TEXT,0,1,0,,,OSIS book code,,derived:verse.osisId,,0
iba,passage,anchor_verse_id,2,INTEGER,0,1,0,,verse.id,first verse of the run — the anchor,,,,0
iba,passage,start_chapter,3,INTEGER,0,0,0,,,"range start chapter - now populated by the verse-fanout tracking mechanism, not passage.build",,,report.verse_span_meaning / report.passage_debate (via lib/passagetrack.py),0
iba,passage,start_verse,4,INTEGER,0,0,0,,,"range start verse - now populated by the verse-fanout tracking mechanism, not passage.build",,,report.verse_span_meaning / report.passage_debate (via lib/passagetrack.py),0
iba,passage,end_chapter,5,INTEGER,0,0,0,,,"range end chapter - now populated by the verse-fanout tracking mechanism, not passage.build",,,report.verse_span_meaning / report.passage_debate (via lib/passagetrack.py),0
iba,passage,end_verse,6,INTEGER,0,0,0,,,"range end verse - now populated by the verse-fanout tracking mechanism, not passage.build",,,report.verse_span_meaning / report.passage_debate (via lib/passagetrack.py),0
iba,passage,ref,7,TEXT,0,0,0,,,"human range - now populated by the verse-fanout tracking mechanism, not passage.build",,,report.verse_span_meaning / report.passage_debate (via lib/passagetrack.py),0
iba,passage,verse_count,8,INTEGER,0,0,0,,,"count of verses in the range - now populated by the verse-fanout tracking mechanism, not passage.build",,,report.verse_span_meaning / report.passage_debate (via lib/passagetrack.py),0
iba,passage,rule,9,TEXT,0,0,0,,,char-continuity | maximal - DORMANT since passage.build retired 2026-07-26; NULL on every live row; no active mechanism populates this column,"hardcoded literal ""input-scope"" (set by passage.py:build itself, never analyst-supplied) for a live row; NULL/legacy value for a pre-2026-08-06 row never rebuilt under the new model. No longer enum-validated -- the passage_rule enum was retired 2026-08-06 (BUILD.md sec68) since nothing ever validates an incoming choice against it any more.",,,0
iba,passage,source,10,TEXT,0,0,0,,,passage-build | single-verse-emergent - DORMANT since passage.build retired 2026-07-26; NULL on every live row; no active mechanism populates this column,enum.passage_source,,,0
iba,passage,needs_review,11,INTEGER,0,0,0,,,1 when verse_count > passage.review_over (passage.build only) - DORMANT since passage.build retired 2026-07-26; NULL on every live row; passage.validate reports the live distribution directly instead,,,,0
iba,passage,created_at,12,TEXT,0,0,0,,,"when this passage row was created - now populated by the verse-fanout tracking mechanism, not passage.build",,,report.verse_span_meaning / report.passage_debate (via lib/passagetrack.py),0
iba,passage,deleted,13,INTEGER,0,0,0,0,,soft delete,,,,0
iba,verse_passage,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,verse_passage,passage_id,1,INTEGER,0,1,0,,passage.id,the passage,,,,0
iba,verse_passage,verse_id,2,INTEGER,0,1,1,,verse.id,the verse (unique — one passage per verse),,,,0
iba,verse_passage,is_anchor,3,INTEGER,0,0,0,,,"1 on the anchor verse - now populated by the verse-fanout tracking mechanism, not passage.build",,,report.verse_span_meaning / report.passage_debate (via lib/passagetrack.py),0
iba,verse_passage,created_at,4,TEXT,0,0,0,,,"when this link was created - now populated by the verse-fanout tracking mechanism, not passage.build",,,report.verse_span_meaning / report.passage_debate (via lib/passagetrack.py),0
iba,verse_passage,deleted,5,INTEGER,0,0,0,0,,soft delete,,,,0
iba,escalations_old,comment,12,TEXT,0,0,0,,,researcher feedback on a 'revise' answer (or any answer),,,escalation.answer_for_run,0
iba,cfg_change_detail,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,cfg_change_detail,run_id,1,TEXT,0,1,0,,run.run_id,the run that made the change,,,configmaint.propose,0
iba,cfg_change_detail,table_name,2,TEXT,0,1,0,,,which cfg_* table changed,,,configmaint.propose,0
iba,cfg_change_detail,op,3,TEXT,0,1,0,,,insert | update | delete,enum.cfg_change_op,,configmaint.propose,0
iba,cfg_change_detail,where_json,4,TEXT,0,0,0,,,the row's natural key (JSON),,,configmaint.propose,0
iba,cfg_change_detail,set_json,5,TEXT,0,0,0,,,the new values written (JSON),,,configmaint.propose,0
iba,cfg_change_detail,before_json,6,TEXT,0,0,0,,,"the row's prior state, for update/delete (JSON, null for insert)",,,configmaint.propose,0
iba,cfg_change_detail,applied_at,7,TEXT,0,1,0,,,when the write committed,,,configmaint.propose,0
iba,cfg_setting,module,0,TEXT,0,1,0,,,"which module/utility owns this setting — every setting must have one, per the researcher's 2026-07-21 rule against cfg_setting becoming a catch-all",enum.config_module,,configmaint.propose,0
iba,candidate_seed,strong_variant,8,TEXT,0,1,0,,strong.strongNumber,"the specific sub-lettered Strongs variant this row's tag reflects (e.g. H0639G), or the lemma_key itself when the tag applies to the whole base lemma (no sub-strong split decided yet -- the default for existing rows)",,,candidate.seed / candidate.curate,0
iba,candidate_seed,sense_seq,9,INTEGER,0,1,1,0,,DORMANT - candidate.load retired 2026-07-23; no active mechanism populates this column,,,,0
iba,candidate_seed,step_status,10,TEXT,0,0,0,,,DORMANT - candidate.load retired 2026-07-23; no active mechanism populates this column,enum.candidate_step_status,,,0
iba,candidate_seed,ib_referent_type,11,TEXT,0,0,0,,,DORMANT - candidate.load retired 2026-07-23; no active mechanism populates this column,enum.candidate_ib_referent,,,0
iba,cfg_setting,inactive,1,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_step,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_work_package,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_write_grant,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_report,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_report_section,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_report_csv_table,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_candidate_rule,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_enum,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_on_fail,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_status_flow,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_book_order,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_api,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,cfg_connection,inactive,0,INTEGER,0,1,0,0,,"deactivate this config row without deleting it — excluded from configmaint.validate's coherence/orphan/justification checks, listed separately (not silently dropped) in configmaint.report. Set via the normal configmaint.propose update path, same as any other cfg_* value.",,,configmaint.propose,0
iba,strong_meaning_parsed,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,strong_meaning_parsed,lemma_key,1,TEXT,0,1,0,,,the base code this parsed sense belongs to (never a sub-entry letter),,derived:strong_meaning_tree.lemma_key,lexicon.parse,0
iba,strong_meaning_parsed,sort,2,INTEGER,0,0,0,,,order within the source sense tree,,parsed:strong_meaning_tree.sort,lexicon.parse,0
iba,strong_meaning_parsed,sense_code,3,TEXT,0,0,0,,,"the tree position, e.g. 1a1a) — or the sense_code column value verbatim",,parsed:strong_meaning_tree.sense_code,lexicon.parse,0
iba,strong_meaning_parsed,gloss,4,TEXT,0,0,0,,,"one exploded gloss term, kept whole (no comma/semicolon splitting)",notblank,parsed:strong_meaning_tree.sense_text,lexicon.parse,0
iba,strong_meaning_parsed,verse_refs,5,TEXT,0,0,0,,,"verse citations scoped to this gloss's own <b> span, semicolon-joined",,parsed:strong_meaning_tree.sense_text,lexicon.parse,0
iba,strong_meaning_parsed,note,6,TEXT,0,0,0,,,"commentary scoped to this gloss's own segment, not pooled across the row",,parsed:strong_meaning_tree.sense_text,lexicon.parse,0
iba,strong_meaning_parsed,row_type,7,TEXT,0,0,0,,,lookup / description / not applicable — lexicon_split_common.classify_row(),,derived:gloss,lexicon.parse,0
iba,strong_meaning_parsed,deleted,8,INTEGER,0,0,0,0,,soft delete,,,,0
iba,strong_lsj_parsed,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,strong_lsj_parsed,strong,1,TEXT,0,1,0,,strong.strongNumber,the full strong code this LSJ sense belongs to,,derived:strong_lexicon.strong,lexicon.parse,0
iba,strong_lsj_parsed,sense_label,2,TEXT,0,0,0,,,"LSJ sense position, e.g. I / I.2 / II.2.b, or 'headword'",,parsed:strong_lexicon.lsj,lexicon.parse,0
iba,strong_lsj_parsed,gloss,3,TEXT,0,0,0,,,"the sense's bold-span gloss text, kept whole (no comma splitting); may legitimately be blank when a block carries only dialect/citation notes",,parsed:strong_lexicon.lsj,lexicon.parse,0
iba,strong_lsj_parsed,note,4,TEXT,0,0,0,,,"dialect/grammar labels, connective prose — everything in the block but the gloss",,parsed:strong_lexicon.lsj,lexicon.parse,0
iba,strong_lsj_parsed,row_type,5,TEXT,0,0,0,,,"headword for the entry's own headword row(s), lookup for every sense row",,derived:sense_label,lexicon.parse,0
iba,strong_lsj_parsed,deleted,6,INTEGER,0,0,0,0,,soft delete,,,,0
iba,strong_mounce_parsed,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,strong_mounce_parsed,strong,1,TEXT,0,1,0,,strong.strongNumber,the full strong code this Mounce line belongs to,,derived:strong_lexicon.strong,lexicon.parse,0
iba,strong_mounce_parsed,mounce_parsed,2,TEXT,0,0,0,,,"one <br>-delimited line of Mounce's entry, kept whole (no comma splitting)",,parsed:strong_lexicon.mounce,lexicon.parse,0
iba,strong_mounce_parsed,row_type,3,TEXT,0,0,0,,,lookup / description — lexicon_split_common.classify_row(),,derived:mounce_parsed,lexicon.parse,0
iba,strong_mounce_parsed,deleted,4,INTEGER,0,0,0,0,,soft delete,,,,0
iba,strong_related,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,strong_related,strong,1,TEXT,0,1,0,,strong.strongNumber,the full code of the SOURCE term STEP was asked about,,fetched:STEP.getInfo,lexicon.related,0
iba,strong_related,related_strong,2,TEXT,0,1,0,,,the full code of the RELATED term — may have no strong row of its own yet,,fetched:STEP.getInfo.relatedNos.strongNumber,lexicon.related,0
iba,strong_related,related_form,3,TEXT,0,0,0,,,the related term's native-script form,,fetched:STEP.getInfo.relatedNos.matchingForm,lexicon.related,0
iba,strong_related,related_transliteration,4,TEXT,0,0,0,,,the related term's transliteration,,fetched:STEP.getInfo.relatedNos.stepTransliteration,lexicon.related,0
iba,strong_related,related_gloss,5,TEXT,0,0,0,,,the related term's own short gloss,,fetched:STEP.getInfo.relatedNos.gloss,lexicon.related,0
iba,strong_related,deleted,6,INTEGER,0,0,0,0,,soft delete,,,,0
iba,strong_meaning_tree,strong_variant,6,,0,,0,,strong.strongNumber,,,,,0
iba,strong_meaning_parsed,strong_variant,9,,0,,0,,strong.strongNumber,,,,,0
iba,passage,book_label,14,TEXT,0,0,0,,,human-facing subfolder name (e.g. 'Daniel') used by the verse-analysis report writers; defaults to `book` if the caller never supplied one,,,"DORMANT -- report.verse_span_meaning retired (superseded by report.verse_lexical / lexical.build, BUILD.md §56-59); not carried into the input-scope passage model (BUILD.md §67) -- no live writer as of 2026-08-06 (confirmed against handlers/passage.py:build directly, researcher-approved dormant per CONFIG-REPORT-v34)",0
iba,passage,verse_span_meaning_path,15,TEXT,0,0,0,,,"path to this range's report.verse_span_meaning output, written by that step on success",,,"DORMANT -- report.verse_span_meaning retired (superseded by report.verse_lexical / lexical.build, BUILD.md §56-59); not carried into the input-scope passage model (BUILD.md §67) -- no live writer as of 2026-08-06 (confirmed against handlers/passage.py:build directly, researcher-approved dormant per CONFIG-REPORT-v34)",0
iba,passage,verse_span_meaning_written_at,16,TEXT,0,0,0,,,UTC timestamp of the last report.verse_span_meaning write for this range,,,"DORMANT -- report.verse_span_meaning retired (superseded by report.verse_lexical / lexical.build, BUILD.md §56-59); not carried into the input-scope passage model (BUILD.md §67) -- no live writer as of 2026-08-06 (confirmed against handlers/passage.py:build directly, researcher-approved dormant per CONFIG-REPORT-v34)",0
iba,passage,debate_path,17,TEXT,0,0,0,,,"path to this range's report.passage_debate output (scaffold or filled — see debate_status), written by that step on success",,,"report.passage_debate (legacy, passage.rule IS NULL) or report.debate (new-model, passage.rule='input-scope' -- tools/build_debate_report.py)",0
iba,passage,debate_written_at,18,TEXT,0,0,0,,,UTC timestamp of the last report.passage_debate write for this range,,,"report.passage_debate (legacy, passage.rule IS NULL) or report.debate (new-model, passage.rule='input-scope' -- tools/build_debate_report.py)",0
iba,passage,debate_status,19,TEXT,0,0,0,,,"'scaffold' (auto-generated, still has unreplaced <!-- fill in --> placeholders) or 'filled' (none remain) — a coarse, mechanically-derived completion signal only; NOT a digestion of the debate's analytical content, which is a separate, not-yet-designed question",enum.passage_debate_status,,"report.passage_debate (legacy, passage.rule IS NULL: scaffold|filled) or report.debate (new-model, passage.rule='input-scope': empty|in-progress|complete) -- tools/build_debate_report.py",0
iba,cfg_utility,module,0,TEXT,1,1,0,,,"the lib module's own name (no .py, no package prefix)",,,migration/bootstrap_cfg_utility.py,0
iba,cfg_utility,file_path,1,TEXT,0,1,0,,,"path from the repo root, e.g. iba/app/lib/stepapi.py",,,migration/bootstrap_cfg_utility.py,0
iba,cfg_utility,purpose,2,TEXT,0,0,0,,,"first line of the module's own docstring, verbatim",,,migration/bootstrap_cfg_utility.py,0
iba,cfg_utility,inactive,3,INTEGER,0,1,0,0,,deactivate this registry row without deleting it (module removed/merged) — same convention as every other cfg_* table's inactive column,,,migration/bootstrap_cfg_utility.py,0
iba,cfg_step,kind,1,TEXT,0,1,0,,,"operations (does the study work — raw/registry/lexicon/passage-debate-prep/narrative) or utility (supports the app's own running — configmaint, general reporting). REQUIRED for dispatch — run.py refuses a step with no kind (escalation, 2026-07-30).",enum.step_kind,,migration/bootstrap_step_kind.py,0
iba,cfg_utility,config_exempt,4,INTEGER,0,1,0,0,,"1 = a legitimate zero for config-setting/enum usage (caller resolves it, or this module IS the config layer) — declared, not re-derived every validate run. 0 = subject to the usual finding.",,,migration/add_cfg_utility_config_exempt.py,0
iba,cfg_utility,config_exempt_reason,5,TEXT,0,0,0,,,why this module is exempt — required whenever config_exempt=1 so the flag never sits undocumented.,,,migration/add_cfg_utility_config_exempt.py,0
iba,verse_lexical,id,0,INTEGER,1,1,0,,,surrogate PK,,,migration/bootstrap_span_reading.py,0
iba,verse_lexical,span_id,1,INTEGER,0,1,0,,span.id,which span this reading is for — a span may carry several code_ordinal rows here (one per code in its compound strong_variant),,,migration/bootstrap_span_reading.py,0
