key,value,use,module,inactive
narrative.generate_max_cost,3.0,"USD cost cap (from the pre-call ESTIMATE) — over this, report.book_narrative_generate refuses outright (cost-cap-exceeded) rather than pausing for approval; raise it deliberately for a book large enough to need it",narrative,0
narrative.rate_input_per_million,3.0,"USD per million input tokens, at narrative.generate_model's current rate — used for both the pre-call estimate and the real post-call cost; edit if the model default changes to a different price tier",narrative,0
narrative.rate_output_per_million,15.0,"USD per million output tokens, at narrative.generate_model's current rate",narrative,0
narrative.output_pattern,"""WA-{book}-inner-being-narrative.md""","filename pattern for the generated narrative, written under report.verse_analysis_output_dir/<book_label>/ — same folder its source debates live in",narrative,0
narrative.usage_log_path,"""_analytics/essay/narrative-generate-usage.csv""","append-only on-disk ledger of every LIVE call's real tokens/cost — scripts/cost_ledger.py (repo root) only ingests Console CSV exports, not this app's own calls, so this is the audit trail for those",narrative,0
governance.past_precedent_investigation_signals_missing_config,"""If executing an already-registered standard instruction (a cfg_work_package/cfg_step routine) requires FIRST INVESTIGATING HOW IT WAS DONE IN THE PAST -- reading BUILD.md/session-log history, diffing prior/archived output files, or otherwise reverse-engineering a missing step from precedent -- rather than being told directly by a live cfg_step/cfg_setting row what to run and what rules apply, that investigation is itself the signal that a required config/mechanism is MISSING, not a puzzle to solve from precedent. STOP the instruction immediately the moment this is recognised -- do not proceed by reconstructing the missing rule from historical output and presenting it as the standard process. The gap must be closed first: the missing step/setting registered in cfg_* and its code built (governance.build_md_on_code_change/governance.governance_md_on_rule_change both apply), config validated clean, and only then may the original instruction be resubmitted.""",researcher ruling 2026-07-30: a live session investigated BUILD.md history and archived output files to infer an undocumented passage.debate_status filled transition (report.passage_debate has no registered mechanism for marking a manually-filled scaffold complete) instead of finding that transition in cfg_step/cfg_setting -- doc/output archaeology substituting for a missing config is exactly the inconsistency pattern blamed for this study lacking repeatable results over its 7-month history,governance,0
report.verse_lexical_output_pattern,"""{book}-{range}-verse-lexical.md""","filename pattern for report.verse_lexical ({book}/{range} substituted) — reuses report.verse_analysis_output_dir for the base folder, same as report.verse_span_meaning did",report,0
report.version_on_regenerate,true,"app-wide: when true, reportkit.write_report never overwrites or archives-and-replaces an existing report -- every write gets a fresh, never-reused filename (stem-v{n}-{date}.ext, n = 1 + the highest existing version for that exact stem). Set false to fall back to the old archive-before-overwrite behaviour. Researcher direction 2026-08-05 (debate-analytic-process-digest, B2/Q6): reports must never be overwritten, and this must be one app-wide setting, not a per-step convention.",report,0
governance.oneoff_report_archive_dir,"""archive""","archive subfolder (relative to governance.oneoff_report_dir) that oneoff_path() moves a superseded one-off report version into before writing the next one -- same shape as write_report/cfg_report.archive_dir, added 2026-08-08 (BUILD.md sec83) once oneoff_path was found to have versioned without ever archiving.",governance,0
report.word_registry_span_output_dir,"""_analytics/Registry""",base folder for report.word_registry_span output — one file per registry word,report,0
report.strong_verse_output_dir,"""_analytics/Registry""","base folder for report.strong_verse output -- one file per word/strong pair, filed under <base>/<word>/",report,0
report.cluster_path,"""_analytics/Clusters/cluster.md""",where report.cluster persists its output,report,0
cluster.assign.exclude_flag_gloss_from_voting,true,"the cluster-allocation session pitfall: cluster.csv FLAG gloss list is an uncertainty bag, never a positive P2 precedent-match signal",cluster,0
cluster.quality_report_path,"""_analytics/Clusters/cluster-assign.md""","report path for cluster.validate, same convention as lexicon.quality_report_path",cluster,0
cluster.assign.word_optional_clusters,"[""T2"", ""T3""]","cluster codes exempt from the needs-a-word_registry-link rule (Q2.4.1 exception 1) -- researcher correction 2026-08-12: a word generates the verse, it does not need to own every strong later found in it; T3 is inherently not word-specific",cluster,0
report.cluster_stem_suffixes,"[""ically"", ""iously"", ""ously"", ""ingly"", ""edness"", ""fulness"", ""tion"", ""sion"", ""ness"", ""ings"", ""ing"", ""edly"", ""ed"", ""ly"", ""ies"", ""es"", ""s"", ""able"", ""ible"", ""tive"", ""ive"", ""ful"", ""ous"", ""al"", ""ic""]",one-pass longest-match suffix strip for report.cluster's meaning-stemming grouping aid (grace/gracious/graciously -> one group),report,0
report.cluster_stem_prefix_len,4,"prefix length used as the final grouping key after suffix-stripping, report.cluster's meaning-stemming aid",report,0
report.cluster_top_meanings,10,how many stem-grouped meaning groups to show per cluster in report.cluster's new summary section,report,0
manifest.skip_dirs,"["".git"", ""__pycache__"", ""venv"", "".venv"", ""env"", ""node_modules"", "".claude"", "".idea"", "".vscode"", "".pytest_cache"", "".mypy_cache"", "".ruff_cache""]","directories excluded from a manifest.rebuild scan (VCS/build/cache machinery only — everything else in the project tree, including every archive/ folder, is indexed)",manifest,0
manifest.exclude_exts,"["".pyc"", "".pyo"", "".pyd"", "".tmp"", "".swp"", "".lock""]",file extensions excluded from a manifest.rebuild scan (compiled/transient junk only),manifest,0
manifest.report_path,"""research/discovery/file-manifest.md""",where manifest.rebuild writes its summary report,manifest,0
governance.escalation.scope,"""all open items, discovery of anomalies, clarifications and other forms of escalation must be recorded in escalation using escalation rules""",,governance,0
governance.utility.config,"""each utility must have its own config table in the cfg_* series to control all aspects of the utility""",,governance,0
governance.module.config,"""each operating module must have a config table (or tables) in the cfg_* series to control all aspects of the module's operation""",,governance,0
governance.scope_project,"""the config's scope is the entire project, with all of its parts, not a sub-section of the project""",,governance,0
governance.project_databases,"""bible_research.db (aka research_db) lives in database/; iba.db lives in iba/app/db/ -- both paths are project-root-relative""",,governance,0
governance.tables,"""each table in the project must be listed in cfg_table with a proper use text. This applies to all databases. Tables no longer in use must be set as inactive.""",,governance,0
governance.table_columns,"""each column in each table in the project must be listed in cfg_column with a proper use text. This applies to all databases and all tables. Updating a column in any routine must validate the use of the column against this config. Deviation from the rules must be escalated.""",,governance,0
governance.scope_iba_app,"""IBA App is the central process control mechanism for all operations in the entire project""",,governance,0
governance.scope_research_db,"""The research_db (bible_research.db) is the home for prose and findings with all the related enabling tables.""",,governance,0
governance.scope_iba_db,"""The iba_db is the home for all project process control and base data, including all related tables from STEP through Strongs, verses, meaning, and lexicals. It is now primary for all processes and base data; a few analysis tables (debate/passage control) are expected to migrate back to research_db.""",,governance,0
governance.project_change_rule,"""Any change of operations, methodologies or approach must channel through the IBA App. Any operation defined in the past that is not in the IBA app must be migrated to the app.""",,governance,0
governance.project_lookups_and_naming_convensions,"""Project-specific naming in lookups, stages, and terms with specific meaning must be defined in cfg_enum (see cfg_setting naming.*). Terminology must be checked whenever an operation is executed to ensure it is used in accordance with its definition; a missing definition must be escalated.""",,governance,0
governance.config_control,"""every configuration entry in any cfg_* table is controlled by the cfg.configmaint rules""",,governance,0
governance.confmaint_configs,"""all the rules that govern the maintenance operations of the configs are set in cfg_* under the configmaint module""",,governance,0
governance.primary_responsibility,"""Claude is responsible for the coding of, and maintenance of the integrity to ensure that all project operations are coded, controlled and maintained in the IBA application. This includes back-filling operations currently outside the application.""",,governance,0
governance.project_operations,"""A project operation is any activity to perform research, development, exploration, investigation, or running scripts related to achieving the project objectives.""",,governance,0
governance.User_Guide_scope,"""The user guide must reflect the latest state of all the tools and details on the use of the tools, geared towards user interaction for the entire project.""",,governance,0
governance.scripts_and_routines,"""All scripts and routines must belong to a module, utility, library, or be a temporary script. Temporary scripts must be prefixed with temp_.""",,governance,0
governance.redundancy_archiving,"""One-off reports, scripts, or other artifacts no longer in use or relevant must be archived on a daily basis.""",,governance,0
governance.programme_stages,"""The research programme has three main stages: Base_data (STEP through lexical); Analysis (deriving understanding of the inner being); Publishing (essays and output for the results). Previously referred to as Session A (base data), Session B/D (analytics), Session C (publishing) -- methodologies and processes have changed materially over time across all three.""",,governance,0
escalation.control_objectives,"""the escalation table manages all open items, irrespective of source or reason -- AI or researcher raise the escalation when discovered or raised, using the escalation module""",,escalation,0
escalation.control_process,"""escalations are raised, processed, and completed using the escalation utility module""",,escalation,0
backup.pre_run_snapshot_policy,"""a full DB file snapshot (WAL-checkpointed first) is taken automatically before every NEW run (run.py:_ensure_run -> lib/dbsnapshot.snapshot()), never on resume -- this already covers every step in every pipeline; retention.snapshot_keep_count controls how many are kept (oldest pruned first). IBA_NO_SNAPSHOT=1 skips it for a tight loop.""",,backup,0
backup.write_atomicity_guarantee,"""every DB write happens inside one atomic transaction -- sqlite3 default deferred-transaction isolation, nothing commits until a handler's own single final commit(). A hard kill (power loss, session breakdown, process death) at any point before that commits NOTHING -- the DB file is left exactly as it was before the call started, and re-submitting the identical call is always safe.""",,backup,0
backup.nas_db_backup_schedule,"""database/bible_research.db backed up daily 18:00 (Windows scheduled task 'BibleResearch DB Backup to NAS', scripts/backup_db_to_nas.py) to \\LSUK-SYNRACK\\HomeMedia\\bible_study_projects\\db_backups\\. iba/app/db/iba.db has NO equivalent dedicated backup+alerting script -- see backup.iba_db_gap.""",,backup,0
backup.nas_full_mirror_schedule,"""whole project folder + memory mirrored daily 18:30 (Windows scheduled task 'BibleResearch Full Mirror to NAS', scripts/mirror_to_nas.ps1, robocopy /MIR) to \\LSUK-SYNRACK\\HomeMedia\\bible_study_projects\\mirror\\ + claude-backup\\ -- this DOES include iba/app/db/iba.db as a side effect of mirroring the whole tree, but with no DB-specific integrity check the way backup_db_to_nas.py gives bible_research.db.""",,backup,0
backup.alerting_policy,"""NAS backup tasks alert on failure; Outlook SMTP is blocked from this network, alerting uses Gmail instead.""",,backup,0
backup.iba_db_gap,"""RESOLVED 2026-08-17 (escalation #703): iba.db now has its own dedicated NAS backup+alerting script -- scripts/backup_db_to_nas.py, generalized to serve both databases (filename prefix, pruning lineage, and alert job identity all derived from --source, not hardcoded), scheduled task \""IBA DB Backup to NAS\"" (daily 18:10, staggered 10 min after bible_research.db's 18:00 task). Found and fixed while resolving this: a 2026-07-19 commit had accidentally repointed the shared script's DEFAULT_SOURCE to iba.db, so the 18:00 task had been backing up iba.db under misleading bible_research_-prefixed names for ~29 days, leaving bible_research.db with no dedicated integrity-checked backup in that window -- confirmed via NAS file-size comparison, not assumed. Restored + root-fixed (prefix now derived, not constant) so this class of accident cannot silently recur.""",,backup,0
governance.session_log_dir,"""Logs/""","where every SESSION-LOG-*.md narrative work-session record lives -- consolidated 2026-08-17 (escalation #682) from 5 scattered locations (iba/logs/, outputs/session-logs/, Workflow/Sessionlogs/, repo root) into this one, case-insensitive-filesystem-safe existing folder.",governance,0
governance.new_utility_registration_timing,"""Any new script or routine, anywhere in the project, must be registered in cfg_utility (and cfg_step/cfg_write_grant if it writes data) in the same unit of work it is created -- operationalizes governance.scripts_and_routines with a timing rule and a real enforcement check (configmaint.validate: find_unregistered_project_scripts).""",,governance,0
content_index.report_path,"""outputs/content_index/content-index-rebuild.md""",where content_index.rebuild writes its summary report,content_index,0
content_index.size_profile_report_path,"""outputs/content_index/content-index-size-profile.md""",where content_index.size_profile writes its .md-file-size report,content_index,0
content_index.exclude_size_threshold_bytes,52428800,"a .md file this size or larger (bytes; default 50MB) is excluded from content_index.rebuild/.refresh by default, unless it matches an active cfg_content_index_size_override pattern",content_index,0
governance.operational_behaviour_control,"""Project operational behaviour (chat, terminal, sqlite, documentation, llm_output, and any further class identified) is governed by cfg_behaviour_class + cfg_behaviour_rule -- scope is the WHOLE PROJECT, not iba/app/** only (researcher, 2026-08-18). A rule lives in exactly one place: once captured here, its document version is replaced with a pointer, never left standing alongside it. Where a class boundary is unclear, the boundary is defined explicitly as a governance.behaviour_boundary.<topic> setting rather than left implicit.""",entry-point anchor for the operational-behaviour cfg layer -- part (a) of escalation #715,governance,0
database.iba.path,"""iba/app/db/iba.db""","iba.db's file path, project-root-relative -- structured counterpart to governance.project_databases' prose, part of escalation #723's project_database enum + path settings.",database,0
database.bible_research.path,"""database/bible_research.db""","bible_research.db's file path, project-root-relative (aka research_db in prose elsewhere -- that alias isn't repeated here, see governance.project_databases). Structured counterpart, escalation #723.",database,0
governance.prose_canonical_authority,"The programme prose (Workflow/Programme/programme_prose/) is the canonical authority on what the project is about -- researcher, 2026-08-18. Chapters 0-3 are reviewed and final; chapters 4-6 were realigned 2026-08-27 (escalations #739/#786). cfg_prose_concept points a key project concept (e.g. verse primacy, the inner-being definition) at the prose section that defines it, rather than restating the definition as a separate rule. Chapter-level review status is NOT tracked in cfg_* (cfg_prose_chapter was removed 2026-08-27, escalation #918 -- it was workflow DATA about content state, not a rule, and required the full config-approval cycle for what is an ordinary content edit) -- it lives where content state belongs: prose_section.status (cfg_enum prose_section_status), set per section via Prose.ps1 -Step SetStatus, rolled up per chapter via prose_section_type.chapter_no. A methodology/approach change that touches a concept named in cfg_prose_concept should flag whether the prose needs updating (part (f) -- the flagging MECHANISM is not yet built, this states the principle only).",entry-point anchor for the prose-as-canonical-authority work -- part (a) of escalation #714,governance,0
governance.behaviour_boundary.git_commit,"""Git/commit discipline is classified under the `terminal` behaviour class (command/script-execution discipline), not a separate class -- committing and pushing is itself a terminal operation with a definable 'done' state. Content: cfg_behaviour_rule (terminal, git-commit-and-push-together).""","boundary decision -- git/commit class placement, escalation #715 cycle 3",governance,0
