"strong","term","source","ib_relevance"
"G0026","love feast","meaning_tree","IB related"
"G0026","generosity","meaning_tree","IB related"
"G0026","kindly concern","meaning_tree","Could impact IB"
"G0026","devotedness","meaning_tree","Could impact IB"
"G0026","love-feasts","meaning_tree","Could impact IB"
"G0027","dearly loved one","mounce","Could impact IB"
"G0027","that wherewith one must be content","lsj","Could impact IB"
"G0027","to be acquiesced in","lsj","Could impact IB"
"G0027","one must be content","lsj","Could impact IB"
"G0027","desirable","lsj","Could impact IB"
"G0027","beloved","lsj","Could impact IB"
"G0027","gladly","lsj","Could impact IB"
"G0027","contentedly","lsj","Could impact IB"
"G0027","just enough to content one","lsj","Could impact IB"
"G0027","barely","lsj","Could impact IB"
"G0027","scarcely","lsj","Could impact IB"
"G0027","dearly loved one","meaning_tree","Could impact IB"
"G0027","beloved","meaning_tree","Could impact IB"
"G0027","dear","meaning_tree","Could impact IB"
"G0027","worthy of love","meaning_tree","IB related"
"G0036","lowly","mounce","Not relevant"
"G0036","insignificant","mounce","Could impact IB"
"G0036","unborn","lsj","Could impact IB"
"G0036","uncreated","lsj","Could impact IB"
"G0036","of no family","lsj","Not relevant"
"G0036","ignoble","lsj","Could impact IB"
"G0036","childless","lsj","Not relevant"
"G0036","lowly","meaning_tree","Not relevant"
"G0036","insignificant","meaning_tree","Could impact IB"
"G0036","without kin","meaning_tree","Could impact IB"
"G0036","base","meaning_tree","Could impact IB"
"G0036","low","meaning_tree","Not relevant"
"G0037","to sanctify","mounce","Could impact IB"
"G0037","set apart","mounce","Could impact IB"
"G0037","make holy","mounce","IB related"
"G0037","to sanctify","meaning_tree","Could impact IB"
"G0037","set apart","meaning_tree","Could impact IB"
"G0037","make holy","meaning_tree","IB related"
"G0037","to separate","meaning_tree","Could impact IB"
"G0037","consecrate","meaning_tree","Could impact IB"
"G0037","cleanse","meaning_tree","Could impact IB"
"G0037","purify","meaning_tree","Could impact IB"
"G0037","regard","meaning_tree","Could impact IB"
"G0037","reverence as holy","meaning_tree","IB related"
"G0038","holiness","mounce","IB related"
"G0038","consecration","lsj","IB related"
"G0038","sanctification","lsj","IB related"
"G0038","holiness","meaning_tree","IB related"
"G0038","sanctification","meaning_tree","IB related"
"G0038","moral purity","meaning_tree","IB related"
"G0038","sanctity","meaning_tree","Could impact IB"
"G0039G","holy (moral quality)","mounce","IB related"
"G0039G","holy person/people = saint(s)","mounce","IB related"
"G0039G","holy place = sanctuary","mounce","IB related"
"G0039G","devoted to the gods","lsj","Could impact IB"
"G0039G","sacred","lsj","Could impact IB"
"G0039G","holy","lsj","IB related"
"G0039G","temple","lsj","Not relevant"
"G0039G","Holy of Holies","lsj","IB related"
"G0039G","pure","lsj","IB related"
"G0039G","the Saints","lsj","Could impact IB"
"G0039G","the Holy Spirit","lsj","IB related"
"G0039G","accursed","lsj","Could impact IB"
"G0039G","execrable","lsj","Could impact IB"
"G0039H","holy (moral quality)","mounce","IB related"
"G0039H","holy person/people = saint(s)","mounce","IB related"
"G0039H","holy place = sanctuary","mounce","IB related"
"G0039H","devoted to the gods","lsj","Could impact IB"
"G0039H","sacred","lsj","Could impact IB"
"G0039H","holy","lsj","IB related"
"G0039H","temple","lsj","Not relevant"
"G0039H","Holy of Holies","lsj","IB related"
"G0039H","pure","lsj","IB related"
"G0039H","the Saints","lsj","Could impact IB"
"G0039H","the Holy Spirit","lsj","IB related"
"G0039H","accursed","lsj","Could impact IB"
"G0039H","execrable","lsj","Could impact IB"
"G0040","holy","meaning_tree","IB related"
"G0040","sacred","meaning_tree","Could impact IB"
"G0040","pure persons","meaning_tree","IB related"
"G0040G","holy","mounce","IB related"
"G0040G","devoted to the gods","lsj","Could impact IB"
"G0040G","sacred","lsj","Could impact IB"
"G0040G","holy","lsj","IB related"
"G0040G","temple","lsj","Not relevant"
"G0040G","Holy of Holies","lsj","IB related"
"G0040G","pure","lsj","IB related"
"G0040G","the Saints","lsj","Could impact IB"
"G0040G","the Holy Spirit","lsj","IB related"
"G0040G","accursed","lsj","Could impact IB"
"G0040G","execrable","lsj","Could impact IB"
"G0040H","saint/believer","mounce","Could impact IB"
"G0040H","holy","mounce","IB related"
"G0040H","devoted to the gods","lsj","Could impact IB"
"G0040H","sacred","lsj","Could impact IB"
"G0040H","holy","lsj","IB related"
"G0040H","temple","lsj","Not relevant"
"G0040H","Holy of Holies","lsj","IB related"
"G0040H","pure","lsj","IB related"
"G0040H","the Saints","lsj","Could impact IB"
"G0040H","the Holy Spirit","lsj","IB related"
"G0040H","accursed","lsj","Could impact IB"
"G0040H","execrable","lsj","Could impact IB"
"G0041","holiness","mounce","IB related"
"G0041","holiness","meaning_tree","IB related"
"G0041","sanctity","meaning_tree","Could impact IB"
"G0042","holiness","mounce","IB related"
"G0042","holiness","lsj","IB related"
"G0042","sanctity","lsj","Could impact IB"
"G0042","holiness","meaning_tree","IB related"
"G0042","sanctification","meaning_tree","IB related"
"G0042","sanctity","meaning_tree","Could impact IB"
"G0047","purity","mounce","IB related"
"G0047","purity","lsj","IB related"
"G0047","chastity","lsj","IB related"
"G0047","strict observance of religious duties","lsj","Could impact IB"
"G0047","purifications","lsj","Could impact IB"
"G0047","ceremonies","lsj","Could impact IB"
"G0047","purity","meaning_tree","IB related"
"G0047","chastity","meaning_tree","IB related"
"G0048","to purify","mounce","Could impact IB"
"G0048","ceremonially cleanse","mounce","Could impact IB"
"G0048","wash off","lsj","Could impact IB"
"G0048","cleanse away","lsj","Could impact IB"
"G0048","cleanse","lsj","Could impact IB"
"G0048","purify","lsj","Could impact IB"
"G0048","purify oneself","lsj","Could impact IB"
"G0048","by fire","lsj","Not relevant"
"G0048","sacrifice","lsj","Could impact IB"
"G0048","hallow","lsj","Could impact IB"
"G0048","consecrate","lsj","Could impact IB"
"G0048","burn up","lsj","Could impact IB"
"G0048","consume","lsj","Could impact IB"
"G0048","to purify","meaning_tree","Could impact IB"
"G0048","ceremonially cleanse","meaning_tree","Could impact IB"
"G0048","to purify morally","meaning_tree","Could impact IB"
"G0048","reform","meaning_tree","Could impact IB"
"G0050","to be ignorant","mounce","Could impact IB"
"G0050","not know","mounce","Could impact IB"
"G0050","not understand","mounce","IB related"
"G0050","not to perceive","lsj","IB related"
"G0050","recognize","lsj","Could impact IB"
"G0050","he perceived","lsj","Could impact IB"
"G0050","knew well","lsj","Could impact IB"
"G0050","to be ignorant of","lsj","Could impact IB"
"G0050","forget","lsj","IB related"
"G0050","not to discern","lsj","IB related"
"G0050","fail to understand","lsj","IB related"
"G0050","not to be known","lsj","Could impact IB"
"G0050","recognized","lsj","Could impact IB"
"G0050","unknown parts","lsj","Could impact IB"
"G0050","go wrong","lsj","Could impact IB"
"G0050","make a false step","lsj","Could impact IB"
"G0050","ignorantly","lsj","Could impact IB"
"G0050","by mistake","lsj","Could impact IB"
"G0050","to be ignorant of what is right","lsj","Could impact IB"
"G0050","act amiss","lsj","Could impact IB"
"G0050","fail to recognize","lsj","Could impact IB"
"G0050","to be ignorant","meaning_tree","Could impact IB"
"G0050","not know","meaning_tree","Could impact IB"
"G0050","not understand","meaning_tree","IB related"
"G0050","sin through ignorance","meaning_tree","IB related"
"G0051","fault of ignorance","lsj","Could impact IB"
"G0051","oversight","lsj","Could impact IB"
"G0051","ignorance","lsj","Could impact IB"
"G0051","object of","lsj","Could impact IB"
"G0051","error","meaning_tree","Could impact IB"
"G0051","sin of ignorance","meaning_tree","IB related"
"G0053","innocent","mounce","IB related"
"G0053","pure","lsj","IB related"
"G0053","chaste","lsj","Could impact IB"
"G0053","holy","lsj","IB related"
"G0053","hallowed","lsj","Could impact IB"
"G0053","lawful","lsj","Could impact IB"
"G0053","undefiled","lsj","Could impact IB"
"G0053","pure from blood","lsj","IB related"
"G0053","guiltless","lsj","IB related"
"G0053","purified","lsj","Could impact IB"
"G0053","upright","lsj","Could impact IB"
"G0053","innocent","meaning_tree","IB related"
"G0053","chaste","meaning_tree","Could impact IB"
"G0053","modest","meaning_tree","IB related"
"G0053","blameless","meaning_tree","Could impact IB"
"G0054","purity","mounce","IB related"
"G0054","purity","lsj","IB related"
"G0054","chastity","lsj","IB related"
"G0054","integrity","lsj","IB related"
"G0054","purity","meaning_tree","IB related"
"G0054","life of purity","meaning_tree","IB related"
"G0055","- purely","mounce","IB related"
"G0055","i.e. honestly","mounce","Could impact IB"
"G0055","pure","lsj","IB related"
"G0055","chaste","lsj","Could impact IB"
"G0055","holy","lsj","IB related"
"G0055","hallowed","lsj","Could impact IB"
"G0055","lawful","lsj","Could impact IB"
"G0055","undefiled","lsj","Could impact IB"
"G0055","pure from blood","lsj","IB related"
"G0055","guiltless","lsj","IB related"
"G0055","purified","lsj","Could impact IB"
"G0055","upright","lsj","Could impact IB"
"G0055","- purely","meaning_tree","IB related"
"G0055","i.e. honestly","meaning_tree","Could impact IB"
"G0055","with pure motives .","meaning_tree","IB related"
"G0055","purely","meaning_tree","IB related"
"G0055","sincerely","meaning_tree","Could impact IB"
"G0056","ignorance","mounce","Could impact IB"
"G0056","ignorance","lsj","Could impact IB"
"G0056","lack of acquaintance","lsj","Could impact IB"
"G0056","being unknown","lsj","Could impact IB"
"G0056","obscurity","lsj","Could impact IB"
"G0056","ignorance","meaning_tree","Could impact IB"
"G0060","marketplace","mounce","Could impact IB"
"G0060","in","lsj","Not relevant"
"G0060","of","lsj","Not relevant"
"G0060","belonging to the","lsj","Could impact IB"
"G0060","guardian of popular assemblies","lsj","Could impact IB"
"G0060","patron of traffic","lsj","Could impact IB"
"G0060","details of market-business","lsj","Could impact IB"
"G0060","frequenting the market","lsj","Could impact IB"
"G0060","those who frequented the","lsj","Could impact IB"
"G0060","traders","lsj","Could impact IB"
"G0060","sutlers","lsj","Could impact IB"
"G0060","the common sort","lsj","Could impact IB"
"G0060","low fellows","lsj","Could impact IB"
"G0060","the baser sort","lsj","Could impact IB"
"G0060","vulgar","lsj","Could impact IB"
"G0060","common","lsj","Not relevant"
"G0060","proper to the","lsj","Could impact IB"
"G0060","skilled in","lsj","Could impact IB"
"G0060","suited for forensic speaking","lsj","Could impact IB"
"G0060","court-day","lsj","Could impact IB"
"G0060","assize","lsj","Could impact IB"
"G0060","in forensic style","lsj","Could impact IB"
"G0060","tabellio","lsj","Could impact IB"
"G0060","notary","lsj","Could impact IB"
"G0060","pleader","lsj","Could impact IB"
"G0060","advocate","lsj","Could impact IB"
"G0060","market-day","lsj","Could impact IB"
"G0060","public speaker","lsj","Could impact IB"
"G0060","marketplace","meaning_tree","Could impact IB"
"G0060","a lounger","meaning_tree","Could impact IB"
"G0060","a low fellow","meaning_tree","Could impact IB"
"G0060","judicial","meaning_tree","Could impact IB"
"G0060","court days","meaning_tree","Could impact IB"
"G0069","to keep awake","mounce","Could impact IB"
"G0069","keep alert","mounce","Could impact IB"
"G0069","lie awake","lsj","Could impact IB"
"G0069","pass sleepless nights","lsj","Could impact IB"
"G0069","to pass a sleepless","lsj","Could impact IB"
"G0069","sufferers from insomnia","lsj","Could impact IB"
"G0069","to be watchful","lsj","Could impact IB"
"G0069","lie awake and think of","lsj","IB related"
"G0069","to keep awake","meaning_tree","Could impact IB"
"G0069","keep alert","meaning_tree","Could impact IB"
"G0069","to be awake","meaning_tree","Could impact IB"
"G0069","watch","meaning_tree","Could impact IB"
"G0069","to be watchful","meaning_tree","Could impact IB"
"G0069","vigilant","meaning_tree","Could impact IB"
"G0073","struggle","mounce","Could impact IB"
"G0073","fight","mounce","Could impact IB"
"G0073","gathering","lsj","Not relevant"
"G0073","assembly","lsj","Could impact IB"
"G0073","assembly met to see games","lsj","Could impact IB"
"G0073","place of contest","lsj","Could impact IB"
"G0073","lists","lsj","Could impact IB"
"G0073","course","lsj","Could impact IB"
"G0073","beside the mark","lsj","Not relevant"
"G0073","at the national games","lsj","Could impact IB"
"G0073","contest for a prize","lsj","Could impact IB"
"G0073","contest","lsj","Could impact IB"
"G0073","a contest","lsj","Could impact IB"
"G0073","struggle","lsj","Could impact IB"
"G0073","battle","lsj","Could impact IB"
"G0073","action","lsj","Could impact IB"
"G0073","action at law","lsj","Could impact IB"
"G0073","trial","lsj","Could impact IB"
"G0073","speech","lsj","Could impact IB"
"G0073","main argument","lsj","Could impact IB"
"G0073","the time for","lsj","Not relevant"
"G0073","time for","lsj","Not relevant"
"G0073","the crisis","lsj","Could impact IB"
"G0073","the issue","lsj","Could impact IB"
"G0073","the question","lsj","Could impact IB"
"G0073","mental struggle","lsj","Could impact IB"
"G0073","anxiety","lsj","IB related"
"G0073","vehemence","lsj","Could impact IB"
"G0073","power","lsj","Could impact IB"
"G0073","divinity of the contest","lsj","Could impact IB"
"G0073","struggle","meaning_tree","Could impact IB"
"G0073","fight","meaning_tree","Could impact IB"
"G0073","place of contest","meaning_tree","Could impact IB"
"G0073","race-course","meaning_tree","Could impact IB"
"G0073","stadium","meaning_tree","Could impact IB"
"G0073","a contest","meaning_tree","Could impact IB"
"G0073","strife","meaning_tree","IB related"
"G0073","contention","meaning_tree","Could impact IB"
"G0073","peril","meaning_tree","Could impact IB"
"G0073","toil","meaning_tree","Could impact IB"
"G0074","anguish","mounce","IB related"
"G0074","anxiety","mounce","IB related"
"G0074","contest","lsj","Could impact IB"
"G0074","struggle for victory","lsj","Could impact IB"
"G0074","gymnastic exercise","lsj","Could impact IB"
"G0074","exercise","lsj","Could impact IB"
"G0074","agony","lsj","IB related"
"G0074","anguish","lsj","IB related"
"G0074","contest","meaning_tree","Could impact IB"
"G0074","violent struggle","meaning_tree","Could impact IB"
"G0074","agony","meaning_tree","IB related"
"G0074","anguish","meaning_tree","IB related"
"G0074","anxiety","meaning_tree","IB related"
"G0080","brother","mounce","Not relevant"
"G0080","fellow countryman","mounce","Could impact IB"
"G0080","son of the same mother","lsj","Not relevant"
"G0080","brother","lsj","Not relevant"
"G0080","brother and sister","lsj","Not relevant"
"G0080","kinsman","lsj","Could impact IB"
"G0080","tribesman","lsj","Could impact IB"
"G0080","Ex.","lsj","Could impact IB"
"G0080","colleague","lsj","Could impact IB"
"G0080","associate","lsj","Could impact IB"
"G0080","member of a college","lsj","Could impact IB"
"G0080","fellow","lsj","Could impact IB"
"G0080","brotherly","lsj","Not relevant"
"G0080","sisterly","lsj","Not relevant"
"G0080","twin","lsj","Could impact IB"
"G0080","in pairs","lsj","Could impact IB"
"G0080","akin","lsj","Could impact IB"
"G0080","cognate","lsj","Could impact IB"
"G0080","brother","meaning_tree","Not relevant"
"G0080","fellow countryman","meaning_tree","Could impact IB"
"G0080","a brother","meaning_tree","Not relevant"
"G0080","near kinsman","meaning_tree","Could impact IB"
"G0080","relative","meaning_tree","Could impact IB"
"G0080","nature","meaning_tree","Could impact IB"
"G0080","an associate","meaning_tree","Could impact IB"
"G0085","to be troubled","mounce","Could impact IB"
"G0085","distressed","mounce","IB related"
"G0085","to be sorely troubled","lsj","Could impact IB"
"G0085","dismayed","lsj","IB related"
"G0085","be in anguish","lsj","IB related"
"G0085","to be puzzled","lsj","Could impact IB"
"G0085","to be troubled","meaning_tree","Could impact IB"
"G0085","distressed","meaning_tree","IB related"
"G0085","to be depressed","meaning_tree","Could impact IB"
"G0085","dejected","meaning_tree","Could impact IB"
"G0085","full of anguish","meaning_tree","IB related"
"G0085","sorrow","meaning_tree","IB related"
"G0090","sincerity","mounce","IB related"
"G0090","integrity","mounce","IB related"
"G0090","not affected by decay","lsj","Could impact IB"
"G0090","uncorrupted","lsj","Could impact IB"
"G0090","chaste","lsj","Could impact IB"
"G0090","incorruptible","lsj","Could impact IB"
"G0090","imperishable","lsj","Could impact IB"
"G0090","sincerity","meaning_tree","IB related"
"G0090","integrity","meaning_tree","IB related"
"G0090","incorruptibility","meaning_tree","Could impact IB"
"G0090","soundness","meaning_tree","Could impact IB"
"G0090","unspoilable","meaning_tree","Could impact IB"
"G0092","crime","mounce","Could impact IB"
"G0092","wrong done","lsj","Could impact IB"
"G0092","intentional wrong","lsj","Could impact IB"
"G0092","wrong done to","lsj","Could impact IB"
"G0092","a wrong","lsj","Could impact IB"
"G0092","error of judgement","lsj","Could impact IB"
"G0092","that which is got by wrong","lsj","Could impact IB"
"G0092","ill gotten goods","lsj","IB related"
"G0092","crime","meaning_tree","Could impact IB"
"G0093","wickedness","mounce","IB related"
"G0093","evil","mounce","IB related"
"G0093","wrongdoing","mounce","Could impact IB"
"G0093","wrongdoing","lsj","Could impact IB"
"G0093","injustice","lsj","IB related"
"G0093","'foul'","lsj","Could impact IB"
"G0093","wrongful act","lsj","Could impact IB"
"G0093","offence","lsj","Could impact IB"
"G0093","wickedness","meaning_tree","IB related"
"G0093","evil","meaning_tree","IB related"
"G0093","wrongdoing","meaning_tree","Could impact IB"
"G0093","injustice","meaning_tree","IB related"
"G0093","wrong","meaning_tree","Could impact IB"
"G0093","iniquity","meaning_tree","IB related"
"G0093","falsehood","meaning_tree","IB related"
"G0093","deceitfulness","meaning_tree","Could impact IB"
"G0094","unjust judge","mounce","Could impact IB"
"G0094","wrongdoing","lsj","Could impact IB"
"G0094","unrighteous","lsj","Could impact IB"
"G0094","unjust","lsj","Could impact IB"
"G0094","unjust in","lsj","Could impact IB"
"G0094","towards","lsj","Not relevant"
"G0094","plays unfairly","lsj","Could impact IB"
"G0094","so unjust as to.","lsj","Could impact IB"
"G0094","obstinate","lsj","Could impact IB"
"G0094","unmanageable","lsj","Could impact IB"
"G0094","hard","lsj","Could impact IB"
"G0094","an assault","lsj","Could impact IB"
"G0094","wrong","lsj","Could impact IB"
"G0094","ill-gotten","lsj","Could impact IB"
"G0094","vexatious","lsj","Could impact IB"
"G0094","on which the courts were shut","lsj","Could impact IB"
"G0094","who has not appeared in court","lsj","Could impact IB"
"G0094","jure an injuria","lsj","Could impact IB"
"G0094","without reason","lsj","IB related"
"G0094","unjust judge","meaning_tree","Could impact IB"
"G0094","unrighteous","meaning_tree","Could impact IB"
"G0096","failing the test","mounce","Could impact IB"
"G0096","rejected","mounce","Could impact IB"
"G0096","not legal tender","lsj","Could impact IB"
"G0096","not current","lsj","Could impact IB"
"G0096","not approved","lsj","Could impact IB"
"G0096","unsatisfactory","lsj","Could impact IB"
"G0096","unconvincing","lsj","Could impact IB"
"G0096","disreputable","lsj","Could impact IB"
"G0096","discredited","lsj","Could impact IB"
"G0096","reprobate","lsj","Could impact IB"
"G0096","failing the test","meaning_tree","Could impact IB"
"G0096","rejected","meaning_tree","Could impact IB"
"G0096","refuse","meaning_tree","Could impact IB"
"G0096","worthless","meaning_tree","Could impact IB"
"G0097","pure","mounce","IB related"
"G0097","uncontaminated or tainted","mounce","Could impact IB"
"G0097","guileless","lsj","IB related"
"G0097","honest","lsj","Could impact IB"
"G0097","without fraud","lsj","Could impact IB"
"G0097","genuinely","lsj","IB related"
"G0097","truly","lsj","Could impact IB"
"G0097","unadulterated","lsj","Could impact IB"
"G0097","genuine","lsj","IB related"
"G0097","pure","lsj","IB related"
"G0097","unpretentious","lsj","Could impact IB"
"G0097","pure","meaning_tree","IB related"
"G0097","uncontaminated or tainted","meaning_tree","Could impact IB"
"G0097","without deceit","meaning_tree","IB related"
"G0097","sincere","meaning_tree","Could impact IB"
"G0101","to be impossible","mounce","Could impact IB"
"G0101","to be","lsj","Not relevant"
"G0101","lack strength","lsj","Could impact IB"
"G0101","to be unable","lsj","Could impact IB"
"G0101","to be impossible","lsj","Could impact IB"
"G0101","to be impossible","meaning_tree","Could impact IB"
"G0102","impossible","mounce","Could impact IB"
"G0102","powerless","mounce","Could impact IB"
"G0102","unable","lsj","Could impact IB"
"G0102","without strength","lsj","Could impact IB"
"G0102","powerless","lsj","Could impact IB"
"G0102","weakly","lsj","Could impact IB"
"G0102","disabled for service","lsj","Could impact IB"
"G0102","invalids","lsj","Could impact IB"
"G0102","paupers","lsj","Could impact IB"
"G0102","poor","lsj","Could impact IB"
"G0102","of no importance","lsj","Could impact IB"
"G0102","disabled","lsj","Could impact IB"
"G0102","want of strength","lsj","Could impact IB"
"G0102","disabilities","lsj","Could impact IB"
"G0102","impossible","lsj","Could impact IB"
"G0102","unrealizable","lsj","Could impact IB"
"G0102","reductio ad impossibile","lsj","Could impact IB"
"G0102","APr.","lsj","Could impact IB"
"G0102","without power","lsj","Could impact IB"
"G0102","skill","lsj","Could impact IB"
"G0102","feebly","lsj","Could impact IB"
"G0102","unwell","lsj","Could impact IB"
"G0102","impossible","meaning_tree","Could impact IB"
"G0102","powerless","meaning_tree","Could impact IB"
"G0102","impotent","meaning_tree","Could impact IB"
"G0102","weak","meaning_tree","Could impact IB"
"G0103","to sing","mounce","Could impact IB"
"G0103","sing","lsj","Could impact IB"
"G0103","crow","lsj","Could impact IB"
"G0103","hoot","lsj","Could impact IB"
"G0103","croak","lsj","Could impact IB"
"G0103","twang","lsj","Could impact IB"
"G0103","whistle","lsj","Could impact IB"
"G0103","ring","lsj","Not relevant"
"G0103","to crow","lsj","Could impact IB"
"G0103","sing to","lsj","Could impact IB"
"G0103","vie with","lsj","Could impact IB"
"G0103","in singing","lsj","Could impact IB"
"G0103","sing of","lsj","Could impact IB"
"G0103","chant","lsj","Could impact IB"
"G0103","to sing","lsj","Could impact IB"
"G0103","to be sung","lsj","Could impact IB"
"G0103","runs","lsj","Not relevant"
"G0103","praise","lsj","IB related"
"G0103","celebrate","lsj","Could impact IB"
"G0103","is celebrated","lsj","Could impact IB"
"G0103","to be filled with song","lsj","Could impact IB"
"G0103","to sing","meaning_tree","Could impact IB"
"G0111","unlawful","mounce","Could impact IB"
"G0111","detestable","mounce","Could impact IB"
