id,run_id,word,at_step,type,question,preset,tried,state,answer,answered_at,raised_at,comment
12,RUN-20260718_105413_509-NEW-WORD,awe,registry.create,prompted,Register the new word 'awe'?,"{""word"": ""awe"", ""maps_to_strongs"": 18, ""strongs"": [""G6791"", ""G1568"", ""G6786"", ""H6343"", ""G5401"", ""G2124"", ""G1169"", ""G2284"", ""G7904"", ""H1481C"", ""H6342"", ""H3372G"", ""H3372H"", ""G6156"", ""H2865"", ""H6206"", ""H7264"", ""H1945""], ""already_held"": [], ""meanings_total"": 548, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:54:14Z,2026-07-18T09:54:14Z,
13,RUN-20260718_105421_063-NEW-WORD,bitterness,registry.create,prompted,Register the new word 'bitterness'?,"{""word"": ""bitterness"", ""maps_to_strongs"": 22, ""strongs"": [""G8794"", ""H4834"", ""G4089"", ""H4815"", ""H4751"", ""G4088"", ""G8793"", ""H4844"", ""H4814"", ""H4787"", ""H4786"", ""H4472"", ""H4470"", ""H8563"", ""H4846"", ""H7219"", ""H4805H"", ""G4087"", ""H4843"", ""H4784"", ""G7895"", ""H3939""], ""already_held"": [""H4751""], ""meanings_total"": 154, ""possible_duplicates"": [{""word"": ""anguish"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:54:22Z,2026-07-18T09:54:21Z,
14,RUN-20260718_105500_306-NEW-WORD,boastfulness,registry.create,prompted,Register the new word 'boastfulness'?,"{""word"": ""boastfulness"", ""maps_to_strongs"": 31, ""strongs"": [""G5111"", ""H0907"", ""G5246"", ""G0212"", ""G0213"", ""G2755"", ""G0850"", ""H7312"", ""H5947"", ""G2746"", ""G2745"", ""H1346"", ""H6350"", ""H1984C"", ""H6286A"", ""G3166"", ""G2744"", ""G2620"", ""G6094"", ""G4068"", ""G7013"", ""H1984H"", ""H1984B"", ""H1984I"", ""H3235"", ""H3513G"", ""H1431"", ""H7235A"", ""G3004G"", ""H1984A"", ""H1696G""], ""already_held"": [], ""meanings_total"": 2773, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:55:01Z,2026-07-18T09:55:01Z,
15,RUN-20260718_105515_854-NEW-WORD,boldness,registry.create,prompted,Register the new word 'boldness'?,"{""word"": ""boldness"", ""maps_to_strongs"": 14, ""strongs"": [""G0662"", ""G5111"", ""G2292"", ""H5810"", ""G7686"", ""G5113"", ""G7684"", ""G3954"", ""G7683"", ""G4006"", ""G5112"", ""H5797"", ""H7292"", ""G3955""], ""already_held"": [""G5111""], ""meanings_total"": 171, ""possible_duplicates"": [{""word"": ""boastfulness"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:55:16Z,2026-07-18T09:55:16Z,
16,RUN-20260718_105521_780-NEW-WORD,bondage,registry.create,prompted,Register the new word 'bondage'?,"{""word"": ""bondage"", ""maps_to_strongs"": 13, ""strongs"": [""G1398"", ""G0509"", ""H4805H"", ""H5650"", ""H5656G"", ""H5656I"", ""G1397"", ""H5659"", ""H0631"", ""G1402"", ""G2615"", ""H5647G"", ""H3533""], ""already_held"": [""H4805H""], ""meanings_total"": 979, ""possible_duplicates"": [{""word"": ""bitterness"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:55:22Z,2026-07-18T09:55:22Z,
17,RUN-20260718_105530_645-NEW-WORD,brokenness,registry.create,prompted,Register the new word 'brokenness'?,"{""word"": ""brokenness"", ""maps_to_strongs"": 61, ""strongs"": [""G6485"", ""H8601"", ""H3512A"", ""H6556"", ""H7670"", ""H7667"", ""H6528"", ""G5259G"", ""H4790"", ""G2801"", ""H7616"", ""H2844B"", ""H7115"", ""H5218B"", ""H6031B"", ""H5927L"", ""H7576"", ""G2806"", ""G4937"", ""H1638"", ""H5421"", ""H6565A"", ""H6331"", ""H8406"", ""H7665"", ""G1358"", ""G1575"", ""H6524B"", ""H6202"", ""H6555"", ""H1855"", ""H1794"", ""H1792"", ""H3807"", ""H7533"", ""H1438"", ""H5181"", ""H2254B"", ""H1505"", ""G1846"", ""H7280C"", ""G3089"", ""H2040"", ""H7462B"", ""H0006"", ""H2490H"", ""G4917"", ""H5310A"", ""H7489B"", ""H7465"", ""H1986"", ""G4977"", ""H6565B"", ""H6480"", ""H3782"", ""G1284"", ""H5423"", ""H6561"", ""G1288"", ""H2865"", ""H4347""], ""already_held"": [""H7115"", ""H2865""], ""meanings_total"": 1340, ""possible_duplicates"": [{""word"": ""awe"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""anguish"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:55:31Z,2026-07-18T09:55:31Z,
18,RUN-20260718_105544_176-NEW-WORD,calling,registry.create,prompted,Register the new word 'calling'?,"{""word"": ""calling"", ""maps_to_strongs"": 49, ""strongs"": [""G0235"", ""G2822"", ""G2821"", ""H7148"", ""G5581"", ""G3686"", ""H8034"", ""G5537"", ""H6030B"", ""H0833"", ""G5455"", ""G1941"", ""G6285"", ""G7099"", ""G7115"", ""G1793"", ""G4377"", ""G4341"", ""G4779"", ""G1951"", ""G2564G"", ""H7121H"", ""H7121I"", ""H7121G"", ""G2564H"", ""H7121J"", ""G2896"", ""H6817"", ""H7768"", ""G0994"", ""G4316"", ""H6950"", ""H5414I"", ""H8085I"", ""G1528"", ""G3687"", ""G2028"", ""G3870"", ""H7123"", ""H0560"", ""H0559"", ""G2046"", ""G3004H"", ""G2036"", ""G3004G"", ""H7971G"", ""H7760A"", ""H7760M"", ""G3333""], ""already_held"": [""G3004G""], ""meanings_total"": 9080, ""possible_duplicates"": [{""word"": ""boastfulness"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:55:45Z,2026-07-18T09:55:45Z,
19,RUN-20260718_105624_454-NEW-WORD,character,registry.create,prompted,Register the new word 'character'?,"{""word"": ""character"", ""maps_to_strongs"": 3, ""strongs"": [""G2239"", ""H2747"", ""G1382""], ""already_held"": [], ""meanings_total"": 9, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:56:25Z,2026-07-18T09:56:25Z,
20,RUN-20260718_105628_599-NEW-WORD,compassion,registry.create,prompted,Register the new word 'compassion'?,"{""word"": ""compassion"", ""maps_to_strongs"": 41, ""strongs"": [""G4698"", ""H5439G"", ""H2603A"", ""H2329"", ""H5150"", ""H4230"", ""G3628"", ""H2551"", ""H4263"", ""H7359"", ""H7356B"", ""H7349"", ""H2594"", ""H2617A"", ""H3749"", ""G1656"", ""H5164"", ""G4835"", ""H5162G"", ""H5162H"", ""G4022"", ""G3627"", ""H7355"", ""G1653"", ""H2328"", ""G4697"", ""H2347"", ""G7451"", ""H2550"", ""G4033"", ""G2944"", ""H0661"", ""H3803"", ""H5362B"", ""H5849A"", ""G4834"", ""G4013"", ""H5437H"", ""H5437G"", ""G4184"", ""H7356A""], ""already_held"": [], ""meanings_total"": 1020, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:56:29Z,2026-07-18T09:56:29Z,
21,RUN-20260718_105640_084-NEW-WORD,condemnation,registry.create,prompted,Register the new word 'condemnation'?,"{""word"": ""condemnation"", ""maps_to_strongs"": 22, ""strongs"": [""H0816"", ""H7561"", ""G0176"", ""G1349"", ""G2633"", ""G2631"", ""G1935"", ""G5020"", ""G5272"", ""G2920"", ""G2917"", ""H8201"", ""G0843"", ""G2632"", ""G2613"", ""G2607"", ""H4191"", ""H6064"", ""G2919"", ""H8199"", ""H7725K"", ""H7563""], ""already_held"": [""G5272""], ""meanings_total"": 1405, ""possible_duplicates"": [{""word"": ""hypocrisy"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:56:41Z,2026-07-18T09:56:40Z,
22,RUN-20260718_105650_242-NEW-WORD,conscience,registry.create,prompted,Register the new word 'conscience'?,"{""word"": ""conscience"", ""maps_to_strongs"": 3, ""strongs"": [""G4894"", ""G4893"", ""H3629""], ""already_held"": [], ""meanings_total"": 58, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:56:51Z,2026-07-18T09:56:50Z,
23,RUN-20260718_105654_828-NEW-WORD,consecration,registry.create,prompted,Register the new word 'consecration'?,"{""word"": ""consecration"", ""maps_to_strongs"": 24, ""strongs"": [""H5139"", ""H5144B"", ""H4888B"", ""H5145G"", ""H5145H"", ""H5145I"", ""H3027R"", ""H6944G"", ""G0040G"", ""H6918G"", ""G0334"", ""G4286"", ""H4394"", ""G2564G"", ""G7751"", ""H6942G"", ""H6942H"", ""H6942I"", ""H6942K"", ""H6942J"", ""H5144A"", ""H4390"", ""G5048"", ""G0037""], ""already_held"": [""H4888B"", ""G2564G""], ""meanings_total"": 1178, ""possible_duplicates"": [{""word"": ""calling"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""anointing"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:56:55Z,2026-07-18T09:56:55Z,
24,RUN-20260718_105704_930-NEW-WORD,contentment,registry.create,prompted,Register the new word 'contentment'?,"{""word"": ""contentment"", ""maps_to_strongs"": 25, ""strongs"": [""G2213"", ""H7961"", ""G8313"", ""H3190"", ""G0714"", ""H2974"", ""G3859"", ""H4079"", ""G0073"", ""H4808"", ""G2054"", ""G2052"", ""H7649"", ""H7648"", ""G0841"", ""G0842"", ""G3948"", ""H4683"", ""H4066"", ""H7379"", ""H7378"", ""G2106"", ""H4390"", ""H8085G"", ""H7646""], ""already_held"": [""G2052"", ""H4390""], ""meanings_total"": 1545, ""possible_duplicates"": [{""word"": ""consecration"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""ambition"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:57:05Z,2026-07-18T09:57:05Z,
25,RUN-20260718_105715_506-NEW-WORD,contrition,registry.create,prompted,Register the new word 'contrition'?,"{""word"": ""contrition"", ""maps_to_strongs"": 5, ""strongs"": [""H1793A"", ""H5223"", ""H1793B"", ""H1794"", ""H1792""], ""already_held"": [""H1794"", ""H1792""], ""meanings_total"": 28, ""possible_duplicates"": [{""word"": ""brokenness"", ""status"": ""raw-complete"", ""shared"": 2}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:57:16Z,2026-07-18T09:57:16Z,
26,RUN-20260718_105720_181-NEW-WORD,corruption,registry.create,prompted,Register the new word 'corruption'?,"{""word"": ""corruption"", ""maps_to_strongs"": 32, ""strongs"": [""H1100I"", ""H7845G"", ""G1612"", ""G5356"", ""G7946"", ""H4893B"", ""G4646"", ""G1312"", ""G3394"", ""G3393"", ""H1942"", ""H4889"", ""G5349"", ""H7845H"", ""G4550"", ""H0444"", ""H7844"", ""G2704"", ""G1311"", ""G0853"", ""G5351"", ""H2254B"", ""G0889"", ""H4167"", ""H2015"", ""G2585"", ""H0006"", ""H2610"", ""G4595"", ""H4743"", ""H7843"", ""H1097""], ""already_held"": [""H1942"", ""H2254B"", ""H0006""], ""meanings_total"": 594, ""possible_duplicates"": [{""word"": ""brokenness"", ""status"": ""raw-complete"", ""shared"": 2}, {""word"": ""malice"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:57:21Z,2026-07-18T09:57:20Z,
27,RUN-20260718_105728_849-NEW-WORD,counsel,registry.create,prompted,Register the new word 'counsel'?,"{""word"": ""counsel"", ""maps_to_strongs"": 18, ""strongs"": [""H5475"", ""H4431"", ""H4156"", ""H6098"", ""H5843"", ""H8458"", ""G4824"", ""H3272B"", ""H6310I"", ""G1012"", ""H3289"", ""H4427B"", ""G4823"", ""H3272A"", ""G1011"", ""H5779"", ""H1697G"", ""H1697I""], ""already_held"": [], ""meanings_total"": 1349, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:57:29Z,2026-07-18T09:57:29Z,
28,RUN-20260718_105738_478-NEW-WORD,courage,registry.create,prompted,Register the new word 'courage'?,"{""word"": ""courage"", ""maps_to_strongs"": 14, ""strongs"": [""G5111"", ""G2114"", ""G2292"", ""G6326"", ""G2294"", ""H1369"", ""H7307G"", ""H2428G"", ""H0533"", ""G2293"", ""G0407"", ""H1361"", ""H0553"", ""H2388G""], ""already_held"": [""G5111"", ""G2292""], ""meanings_total"": 608, ""possible_duplicates"": [{""word"": ""boldness"", ""status"": ""raw-complete"", ""shared"": 2}, {""word"": ""boastfulness"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:57:39Z,2026-07-18T09:57:39Z,
29,RUN-20260718_105746_886-NEW-WORD,covenant,registry.create,prompted,Register the new word 'covenant'?,"{""word"": ""covenant"", ""maps_to_strongs"": 10, ""strongs"": [""H7802"", ""G2787G"", ""G1242"", ""H1285"", ""G4934"", ""H7999B"", ""H3772J"", ""H3772H"", ""G1303"", ""H7650""], ""already_held"": [], ""meanings_total"": 497, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:57:47Z,2026-07-18T09:57:47Z,
30,RUN-20260718_105753_714-NEW-WORD,covetousness,registry.create,prompted,Register the new word 'covetousness'?,"{""word"": ""covetousness"", ""maps_to_strongs"": 15, ""strongs"": [""G2206"", ""G1939"", ""G4124"", ""G4123"", ""G5366"", ""G0866"", ""H2530B"", ""G3713"", ""H1214G"", ""H1214H"", ""H1214I"", ""H0183"", ""H2530A"", ""G1937"", ""H1215""], ""already_held"": [], ""meanings_total"": 162, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:57:54Z,2026-07-18T09:57:54Z,
31,RUN-20260718_105759_851-NEW-WORD,debauchery,registry.create,prompted,Register the new word 'debauchery'?,"{""word"": ""debauchery"", ""maps_to_strongs"": 3, ""strongs"": [""G0810"", ""G0766"", ""G0811""], ""already_held"": [], ""meanings_total"": 14, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:58:00Z,2026-07-18T09:58:00Z,
32,RUN-20260718_105804_219-NEW-WORD,deceit,registry.create,prompted,Register the new word 'deceit'?,"{""word"": ""deceit"", ""maps_to_strongs"": 28, ""strongs"": [""H6280"", ""H3868"", ""G3834"", ""G1388"", ""G0539"", ""G6957"", ""H4820"", ""H7423A"", ""G1386"", ""H8649B"", ""G4108"", ""H4123"", ""H8267"", ""H0391"", ""H3586"", ""G4106"", ""H0205G"", ""H4860"", ""H6121A"", ""H3577"", ""H8496"", ""H8419"", ""H4209"", ""H7423B"", ""H0898"", ""G1387"", ""H2505B"", ""H7723G""], ""already_held"": [""H0205G""], ""meanings_total"": 380, ""possible_duplicates"": [{""word"": ""malice"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:58:05Z,2026-07-18T09:58:05Z,
33,RUN-20260718_105811_999-NEW-WORD,defilement,registry.create,prompted,Register the new word 'defilement'?,"{""word"": ""defilement"", ""maps_to_strongs"": 30, ""strongs"": [""G2839G"", ""G0234"", ""G3436"", ""G3394"", ""G3393"", ""G8327"", ""H1352"", ""H5079"", ""H2491B"", ""H1602"", ""H6942I"", ""G3435"", ""G4510"", ""G7170"", ""G7121"", ""H1351"", ""H2933"", ""H2930A"", ""G5351"", ""H8262"", ""H2610"", ""G2840"", ""H2490H"", ""H2936"", ""G3392"", ""G4695"", ""H5953D"", ""H2931"", ""H2932"", ""G0449""], ""already_held"": [""G3394"", ""G3393"", ""H6942I"", ""G5351"", ""H8262"", ""H2610"", ""H2490H""], ""meanings_total"": 383, ""possible_duplicates"": [{""word"": ""corruption"", ""status"": ""raw-complete"", ""shared"": 4}, {""word"": ""consecration"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""brokenness"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""abomination"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:58:12Z,2026-07-18T09:58:12Z,
34,RUN-20260718_105820_010-NEW-WORD,delight,registry.create,prompted,Register the new word 'delight'?,"{""word"": ""delight"", ""maps_to_strongs"": 50, ""strongs"": [""H2657H"", ""H7522"", ""H3302"", ""H4998"", ""H5276"", ""H4263"", ""H4574"", ""H5730A"", ""H2531"", ""H6027"", ""H5730B"", ""H8191"", ""H2655"", ""H2532B"", ""H2532A"", ""H4261"", ""H8378"", ""H8056"", ""G2234"", ""G0020"", ""G5479"", ""H8057"", ""H7814"", ""H5000"", ""H8588"", ""H2896A"", ""H5273A"", ""H5282"", ""H2656"", ""H4885"", ""H8342"", ""H7521"", ""G2106"", ""G4913"", ""G7936"", ""H6026"", ""H8173B"", ""H2654A"", ""H2530A"", ""H5414G"", ""H5727"", ""H8231"", ""G5463"", ""H1523"", ""H5965"", ""H8055"", ""H7797"", ""H8173A"", ""H7306"", ""H2654B""], ""already_held"": [""H4263"", ""G2106"", ""H2530A""], ""meanings_total"": 2294, ""possible_duplicates"": [{""word"": ""covetousness"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""contentment"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""compassion"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:58:20Z,2026-07-18T09:58:20Z,
35,RUN-20260718_105836_062-NEW-WORD,desire,registry.create,prompted,Register the new word 'desire'?,"{""word"": ""desire"", ""maps_to_strongs"": 62, ""strongs"": [""H7522"", ""H2531"", ""H2655"", ""G7411"", ""G21415"", ""H4262"", ""H2532B"", ""G1939"", ""G7410"", ""H0185"", ""H0035"", ""H1942"", ""H2837"", ""H2532A"", ""H4261"", ""H3970"", ""H8378"", ""H8669"", ""G2107"", ""G1974"", ""G1972"", ""G3715"", ""H5690"", ""H0015"", ""G1938"", ""H4862"", ""G1013"", ""G0701"", ""H2656"", ""H4180"", ""H2530B"", ""H5315L"", ""G0154"", ""G2065"", ""H1156"", ""H7592"", ""G3713"", ""H0977"", ""H2836B"", ""H2654A"", ""G1809"", ""G2691"", ""G2442"", ""H0183"", ""H2836A"", ""H2530A"", ""H5375O"", ""H3700"", ""G1971"", ""G1937"", ""H7602A"", ""H0157G"", ""G1014"", ""G3870"", ""G2212"", ""H1245"", ""G1934"", ""H2550"", ""H6634"", ""G2309"", ""G2307"", ""H1697H""], ""already_held"": [""H7522"", ""H2531"", ""H2655"", ""H2532B"", ""G1939"", ""H1942"", ""H2532A"", ""H4261"", ""H8378"", ""H2656"", ""H2530B"", ""H5315L"", ""G3713"", ""H2654A"", ""H0183"", ""H2530A"", ""G1937"", ""G3870"", ""H2550""], ""meanings_total"": 1811, ""possible_duplicates"": [{""word"": ""delight"", ""status"": ""raw-complete"", ""shared"": 10}, {""word"": ""covetousness"", ""status"": ""raw-complete"", ""shared"": 6}, {""word"": ""corruption"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""compassion"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""calling"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""appetite"", ""status"": ""raw-complete"", ""shared"": 1}, {""word"": ""malice"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:58:37Z,2026-07-18T09:58:36Z,
36,RUN-20260718_105850_999-NEW-WORD,despair,registry.create,prompted,Register the new word 'despair'?,"{""word"": ""despair"", ""maps_to_strongs"": 18, ""strongs"": [""H0954"", ""H0605"", ""H5136"", ""H4531A"", ""H4523"", ""H8077A"", ""H3544"", ""H8078"", ""H1671"", ""H7817"", ""G1820"", ""G0560"", ""H2976"", ""H6323"", ""H3372G"", ""H4549"", ""H4127"", ""H4816""], ""already_held"": [""H3372G""], ""meanings_total"": 453, ""possible_duplicates"": [{""word"": ""awe"", ""status"": ""raw-complete"", ""shared"": 1}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:58:51Z,2026-07-18T09:58:51Z,
