question_code,section,scope,tier,window,status,deleted,mechanism,covering_stage,live_observation_count,live_observations_by_stage,accuracy_note,question_text
D10.5.1,T5 — Formative and Developmental Dimension,Verse-context,D10,action-impact,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","Does this verse describe a sequence of inner states the characteristic moves the person through — a before, during, and after — and what are those states? Record none if no sequence is shown."
D10.6.1,T5 — Formative and Developmental Dimension,Verse-context,D10,action-impact,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","In this verse, by what mechanism does the characteristic produce change — discipline, encounter, gradual formation, sudden transformation, or other? Record none if no mechanism is shown."
D10.6.2,T5 — Formative and Developmental Dimension,Characteristic (HIB behaviour),D10,action-impact,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Does the mechanism differ across contexts in the evidence; if so, how?"
D11.1.1,T0 — Divine Image and Created Design,Other non-human beings,D11,origin,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Across the evidence, does the characteristic's role read as belonging to created design, to the fallen condition, to both, or as not determinable?"
D11.2.1,D11,Characteristic (HIB behaviour),D11,origin,active,0,EXCLUDED-SCIENCE-EXTRACT,none,0,,"explicitly filtered out of Stage 4's battery (question_text NOT LIKE '%science extract%') -- the science-extract source data is not wired into the pipeline at all (escalation #1805, open). No stage answers this today.","Per the cluster's science extract, does genetics/evolutionary biology treat this characteristic (or its precursor) as part of innate human endowment, and how does that relate to D11.1's created-design/fallen-condition finding?"
D12.1.1,D12,Characteristic (HIB behaviour),D12,scientific,active,0,EXCLUDED-SCIENCE-EXTRACT,none,0,,"explicitly filtered out of Stage 4's battery (question_text NOT LIKE '%science extract%') -- the science-extract source data is not wired into the pipeline at all (escalation #1805, open). No stage answers this today.","Per the cluster's science extract, what does behavioural science show about how the characteristic expresses socially -- cooperatively or competitively -- and does the verse evidence show a comparable social pattern?"
D2.1.1,D2,Characteristic (HIB behaviour),D2,affective,active,0,DYNAMIC-STAGE4,char-answers,28,char-answers=28,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","In this verse, what is the felt quality of the characteristic -- is it shown as a settled disposition or a transient response, and what emotion-language or bodily-feeling language, if any, accompanies it? Record it, or record none."
D2.1.2,D2,Characteristic (HIB behaviour),D2,affective,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Across the verses, is the felt quality consistent, or does it vary by context?"
D3.1.1,T1 — Definition,Verse-context,D3,operational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.",In what distinct mode(s) does the characteristic operate within the inner person in this verse — the manner of its functioning?
D3.1.2,T1 — Definition,Characteristic (HIB behaviour),D3,operational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Does the mode of operation vary by context, direction, or constitutional level; if so, how?"
D3.1.3,T1 — Definition,Characteristic (HIB behaviour),D3,operational,active,0,DYNAMIC-STAGE4,char-answers,16,char-answers=16,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Does the characteristic operate through a communicative or speech-based mode (commanded, addressed, spoken); if so, how? Record it, or record none."
D3.2.1,T1 — Definition,Characteristic (HIB behaviour),D3,operational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",Under what inner conditions does the characteristic take hold or operate rightly?
D3.2.2,T1 — Definition,Characteristic (HIB behaviour),D3,operational,active,0,DYNAMIC-STAGE4,char-answers,15,char-answers=15,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Under what inner conditions is the characteristic blocked, distorted, resisted, or not taken up — including, where the evidence shows it, distortion or interference by another spirit (adversarial or angelic)?"
D3.2.3,T1 — Definition,The HIB,D3,operational,active,0,DYNAMIC-STAGE4,char-answers,13,char-answers=13,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What is the inner-being state of the person in whom the characteristic is present but does not take hold?
D4.1.1,T4 — Relational Interfaces,Characteristic relational,D4,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Does the evidence show the characteristic operating differently within existing relational bonds versus across relational distance or difference; if so, how?"
D4.1.2,T4 — Relational Interfaces,Characteristic relational,D4,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Does the characteristic operate within covenantal contexts only, or does it cross covenantal boundaries, as the evidence shows?"
D4.1.3,T4 — Relational Interfaces,Characteristic relational,D4,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What does the evidence show about the relational scope of the characteristic — who is included and who is not?
D5.1.1,T0 — Divine Image and Created Design,Word/term (lexical),D5,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","Across the characteristic's verses, is the characteristic ever predicated of God himself (not just present in a verse where God is also mentioned)?"
D5.1.2,T0 — Divine Image and Created Design,Other non-human beings,D5,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What does the pattern of presence/absence found in D5.1.1 indicate for the characteristic's place in the human person and in the divine image?
D5.2.1,T4 — Relational Interfaces,Word/term (lexical),D5,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806. ADDITIONALLY mis-scoped: catalogue tags this 'Word/term (lexical)' but the question text itself is worded per-verse ('In this verse...'), reading as a Verse-context question despite its scope label -- a catalogue mis-scoping question raised in escalation #1806, not resolved here.","In this verse, does the characteristic operate in the person's movement toward God — seeking, supplication, worship, covenant — and if so how? Record none if it does not."
D5.2.2,T4 — Relational Interfaces,Other non-human beings,D5,relational,active,0,DYNAMIC-STAGE4,char-answers,13,char-answers=13,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","What inner posture does this movement require, as the evidence shows?"
D5.2.3,T4 — Relational Interfaces,Other non-human beings,D5,relational,active,0,DYNAMIC-STAGE4,char-answers,13,char-answers=13,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What does the human-to-God direction of the characteristic show about the person's relationship with God?
D5.3.1,T0 — Divine Image and Created Design,Other non-human beings,D5,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","From the characteristic's God-relation (D5.1/D7.6) and its role (D10.1/D11.1), what aspect of the divine likeness, if any, does it instantiate in the person? Record the aspect, or record none."
D5.3.2,T0 — Divine Image and Created Design,Other non-human beings,D5,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Across the evidence, is the characteristic shared between God and the person, or an exclusively creaturely analogue to something in God?"
D5.3.3,T0 — Divine Image and Created Design,Other non-human beings,D5,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Where the characteristic is present or absent in a person, what does that indicate about the condition of the divine image in them — or is no such indication evidenced?"
D6.1.1,T2 — Constitutional Location and Boundaries,Verse-context,D6,constitutional,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","At which constitutional level(s) does this verse locate the characteristic — from {spirit, soul, heart, mind, other soul-subset, a named body part} — and how is each engaged? Record every level evidenced, or none."
D6.1.2,T2 — Constitutional Location and Boundaries,The HIB,D6,constitutional,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Across the verses, what does the pattern of engaged and absent levels indicate — the characteristic's depth and seat, the levels it never engages, and (for any body link) whether the link is emphatic, functional, expressive, indicative, or mediating?"
D6.2.1,T2 — Constitutional Location and Boundaries,The HIB,D6,constitutional,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Where a body link exists (from the D6.1.1 audit), in which direction does it run — soul/spirit expressing through the body, the body feeding back to the soul, or both — and what follows from that direction? If no body link, record none."
D6.3.1,T2 — Constitutional Location and Boundaries,The HIB,D6,constitutional,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Does the characteristic move across constitutional levels (spirit→soul→body), or onto the person from an external source — including another spirit (angelic or adversarial) — or in another direction; and if so in what sequence or pattern? If no movement, record none."
D7.1.1,T4 — Relational Interfaces,Word/term (lexical),D7,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806. ADDITIONALLY mis-scoped: catalogue tags this 'Word/term (lexical)' but the question text itself is worded per-verse ('In this verse...'), reading as a Verse-context question despite its scope label -- a catalogue mis-scoping question raised in escalation #1806, not resolved here.","In this verse, does the characteristic operate from God toward the human person, and if so how? Record none if it does not."
D7.1.2,T4 — Relational Interfaces,Other non-human beings,D7,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","On what basis does God extend the characteristic — conditional, unconditional, covenantal, or responsive — as the evidence shows?"
D7.1.3,T4 — Relational Interfaces,Other non-human beings,D7,relational,active,0,DYNAMIC-STAGE4,char-answers,13,char-answers=13,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What does God's extension of the characteristic show about his disposition toward the human person?
D7.2.1,T4 — Relational Interfaces,Word/term (lexical),D7,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806. ADDITIONALLY mis-scoped: catalogue tags this 'Word/term (lexical)' but the question text itself is worded per-verse ('In this verse...'), reading as a Verse-context question despite its scope label -- a catalogue mis-scoping question raised in escalation #1806, not resolved here.","In this verse, is the characteristic extended by one person toward another, and if so how does it operate in that extension? Record none if it is not."
D7.2.2,T4 — Relational Interfaces,Characteristic relational,D7,relational,active,0,DYNAMIC-STAGE4,char-answers,13,char-answers=13,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What inner conditions or orientations in the giver accompany genuine extension of the characteristic?
D7.2.3,T4 — Relational Interfaces,Characteristic relational,D7,relational,active,0,DYNAMIC-STAGE4,char-answers,12,char-answers=12,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What does the evidence show a person must have received or become before they extend the characteristic?
D7.3.1,T4 — Relational Interfaces,Word/term (lexical),D7,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806. ADDITIONALLY mis-scoped: catalogue tags this 'Word/term (lexical)' but the question text itself is worded per-verse ('In this verse...'), reading as a Verse-context question despite its scope label -- a catalogue mis-scoping question raised in escalation #1806, not resolved here.","In this verse, is the characteristic taken up by a person from another, and if so how does it operate in that uptake? Record none if it is not."
D7.3.2,T4 — Relational Interfaces,Characteristic relational,D7,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What inner conditions accompany or block uptake of the characteristic from another person?
D7.3.3,T4 — Relational Interfaces,Characteristic relational,D7,relational,active,0,DYNAMIC-STAGE4,char-answers,13,char-answers=13,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What is the inner-being state of the person who meets the characteristic from another but does not take it up?
D7.4.1,T4 — Relational Interfaces,Word/term (lexical),D7,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806. ADDITIONALLY mis-scoped: catalogue tags this 'Word/term (lexical)' but the question text itself is worded per-verse ('In this verse...'), reading as a Verse-context question despite its scope label -- a catalogue mis-scoping question raised in escalation #1806, not resolved here.","In this verse, does the characteristic operate in relation to other spiritual beings — angelic or adversarial — and if so how? Record none if it does not."
D7.4.2a,T4 — Relational Interfaces,Word/term (lexical),D7,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.",Does an adversarial-being code ever appear as an acting party in a verse carrying this characteristic?
D7.4.2b,T4 — Relational Interfaces,Other non-human beings,D7,relational,active,0,DYNAMIC-STAGE4,char-answers,13,char-answers=13,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What does that pattern show about the characteristic being a site of adversarial activity?
D7.4.3a,T4 — Relational Interfaces,Word/term (lexical),D7,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.",Does an angelic-being code ever appear as an acting party in a verse carrying this characteristic?
D7.4.3b,T4 — Relational Interfaces,Other non-human beings,D7,relational,active,0,DYNAMIC-STAGE4,char-answers,13,char-answers=13,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","What does that pattern show about the characteristic being communicated, strengthened, or mediated through angelic ministry?"
D7.5.1,T2 — Constitutional Location and Boundaries,Verse-context,D7,origin,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","Where does this verse say the characteristic originates — generated within the person, received from another person, bestowed by God, carried generationally, introduced by another spirit (angelic or adversarial), or not stated?"
D7.5.2,T2 — Constitutional Location and Boundaries,Characteristic (HIB behaviour),D7,origin,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Across the verses, is the origin single or multiple, and does it change with context?"
D7.6.1,T0 — Divine Image and Created Design,Word/term (lexical),D7,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806. ADDITIONALLY mis-scoped: catalogue tags this 'Word/term (lexical)' but the question text itself is worded per-verse ('In this verse...'), reading as a Verse-context question despite its scope label -- a catalogue mis-scoping question raised in escalation #1806, not resolved here.","In this verse, is the characteristic predicated of God or otherwise related to God; if so, in what relation (God as the one who bears it, acts, gives it, or is its object)? Record the relation, or record that it is not related to God here."
