question_code,scope,window,status,deleted,verdict,issue_type,current_text,revised_text,rationale
D10.5.1,Verse-context,action-impact,active,0,COMPLIANT,none,"Does this verse describe a sequence of inner states the characteristic moves the person through — a before, during, and after — and what are those states? Record none if no sequence is shown.",,Subject + grain (this verse) explicit.
D10.6.1,Verse-context,action-impact,active,0,COMPLIANT,none,"In this verse, by what mechanism does the characteristic produce change — discipline, encounter, gradual formation, sudden transformation, or other? Record none if no mechanism is shown.",,Subject + grain (this verse) explicit.
D10.6.2,Characteristic (HIB behaviour),action-impact,active,0,REVISE,subject-missing;grain-vague(evidence),"Does the mechanism differ across contexts in the evidence; if so, how?","Across the verses where a mechanism of change was found (per D10.6.1), does it differ by context, and if so how?","D10.6.1 gates on 'record none if no mechanism is shown' -- filtered to those verses, same pattern as D10.4.2."
D11.1.1,Other non-human beings,origin,active,0,REVISE,grain-vague(evidence),"Across the evidence, does the characteristic's role read as belonging to created design, to the fallen condition, to both, or as not determinable?","Across the characteristic's verses, does its role read as belonging to created design, to the fallen condition, to both, or as not determinable?","CORRECTED from an earlier wrong COMPLIANT verdict -- I had accepted 'across the evidence' as an explicit grain marker; it isn't (evidence OF WHAT, from which verses?). No specific parent gate to filter by -- plain aggregate."
D11.2.1,Characteristic (HIB behaviour),origin,active,0,COMPLIANT,science-extract-family,"Per the cluster's science extract, does genetics/evolutionary biology treat this characteristic (or its precursor) as part of innate human endowment, and how does that relate to D11.1's created-design/fallen-condition finding?",,"Science-extract question family (D9.1.1/D9.2.1/D11.2.1/D12.1.1) -- internally consistent shared convention ('Per the cluster's science extract...'), properly cross-cites D11.1 by code. Its own 'verse evidence' phrase is precise here (contrasting a NAMED separate source, the science extract, against verse evidence specifically) -- a legitimate use, unlike a bare floating 'the evidence' elsewhere. Flag: this family's grain doesn't map onto the verse/aggregate/subgroup/cluster taxonomy at all (it's cluster-level science literature) -- a structural question for #1805's build, not a wording defect here."
D12.1.1,Characteristic (HIB behaviour),scientific,active,0,COMPLIANT,science-extract-family,"Per the cluster's science extract, what does behavioural science show about how the characteristic expresses socially -- cooperatively or competitively -- and does the verse evidence show a comparable social pattern?",,Same science-extract family as D11.2.1 -- see that entry's note.
D2.1.1,Characteristic (HIB behaviour),affective,active,0,COMPLIANT,none,"In this verse, what is the felt quality of the characteristic -- is it shown as a settled disposition or a transient response, and what emotion-language or bodily-feeling language, if any, accompanies it? Record it, or record none.",,Subject + grain (this verse) explicit.
D2.1.2,Characteristic (HIB behaviour),affective,active,0,REVISE,subject-missing,"Across the verses, is the felt quality consistent, or does it vary by context?","Across the verses where a felt quality was found (per D2.1.1), is it consistent, or does it vary by context?","'the felt quality' unrestated; D2.1.1 gates on 'record it, or record none' -- filtered to the verses where a felt quality was found."
D3.1.1,Verse-context,operational,active,0,COMPLIANT,none,In what distinct mode(s) does the characteristic operate within the inner person in this verse — the manner of its functioning?,,"Subject + grain (in this verse) explicit, though mid-sentence rather than leading -- acceptable."
D3.1.2,Characteristic (HIB behaviour),operational,active,0,REVISE,subject-missing;grain-missing,"Does the mode of operation vary by context, direction, or constitutional level; if so, how?","Across the characteristic's verses, does its mode of operation (per D3.1.1) vary by context, direction, or constitutional level; if so how?",'the mode of operation' unrestated; D3.1.1 has no 'record none' gate (always produces an answer) so no filtering is needed -- plain aggregate.
D3.1.3,Characteristic (HIB behaviour),operational,active,0,REVISE,grain-missing,"Does the characteristic operate through a communicative or speech-based mode (commanded, addressed, spoken); if so, how? Record it, or record none.","Across the characteristic's verses, does it ever operate through a communicative or speech-based mode (commanded, addressed, spoken); if so how? Record it, or record none.",Subject is explicit but no verse/aggregate marker anywhere in the sentence.
D3.2.1,Characteristic (HIB behaviour),operational,active,0,REVISE,grain-missing,Under what inner conditions does the characteristic take hold or operate rightly?,"Across the characteristic's verses, under what inner conditions does it take hold or operate rightly?",No grain marker at all; no specific single parent to filter by.
D3.2.2,Characteristic (HIB behaviour),operational,active,0,REVISE,grain-missing;grain-vague(evidence),"Under what inner conditions is the characteristic blocked, distorted, resisted, or not taken up — including, where the evidence shows it, distortion or interference by another spirit (adversarial or angelic)?","Across the characteristic's verses, under what inner conditions is it blocked, distorted, resisted, or not taken up -- including, where shown, distortion or interference by another spirit (adversarial or angelic)?","'where the evidence shows it' is a buried, vague secondary clause, not a leading grain statement; no single parent to filter by."
D3.2.3,The HIB,operational,active,0,REVISE,grain-missing;subject-partial,What is the inner-being state of the person in whom the characteristic is present but does not take hold?,"Across the verses where the characteristic is present but blocked, resisted, or not taken up (per D3.2.2), what is the inner-being state of the person?","Directly reuses D3.2.2's own described case ('not taken up') as its subject -- filtered to those verses, cited by code rather than left as a bare implicit continuation."
D4.1.1,Characteristic relational,relational,active,0,REVISE,grain-vague(evidence),"Does the evidence show the characteristic operating differently within existing relational bonds versus across relational distance or difference; if so, how?","Across the characteristic's verses, does it operate differently within existing relational bonds versus across relational distance or difference; if so how?",CORRECTED from an earlier wrong COMPLIANT verdict -- 'the evidence show' is not an explicit grain marker (doesn't say which verses).
D4.1.2,Characteristic relational,relational,active,0,REVISE,grain-vague(evidence),"Does the characteristic operate within covenantal contexts only, or does it cross covenantal boundaries, as the evidence shows?","Across the characteristic's verses, does it operate within covenantal contexts only, or does it cross covenantal boundaries?",Same correction as D4.1.1 -- 'as the evidence shows' is vague.
D4.1.3,Characteristic relational,relational,active,0,REVISE,grain-vague(evidence),What does the evidence show about the relational scope of the characteristic — who is included and who is not?,"Across the characteristic's verses, what is its relational scope -- who is included and who is not?",Same correction as D4.1.1/D4.1.2.
D5.1.1,Word/term (lexical),relational,active,0,COMPLIANT,scope-mismatch-note,"Across the characteristic's verses, is the characteristic ever predicated of God himself (not just present in a verse where God is also mentioned)?",,"Subject + grain (across the characteristic's verses) explicit and clean. NOTE: scope tag is 'Word/term (lexical)' but this is a cross-verse characteristic-content question, not a lexical one -- a scope-label mismatch worth flagging to #1806, not a wording defect."
D5.1.2,Other non-human beings,relational,active,0,REVISE,grain-missing,What does the pattern of presence/absence found in D5.1.1 indicate for the characteristic's place in the human person and in the divine image?,"At the characteristic level, what does the pattern of presence/absence found in D5.1.1 indicate for the characteristic's place in the human person and in the divine image?","D5.1.1 is already a characteristic-level (not per-verse) binary finding -- this synthesises that finding, not a fresh verse scan. Properly cites D5.1.1 by code (good practice). NOTE: scope tag 'Other non-human beings' does not match this question's actual content (human person / divine image) -- flag to #1806."
D5.2.1,Word/term (lexical),relational,active,0,COMPLIANT,scope-mismatch-note,"In this verse, does the characteristic operate in the person's movement toward God — seeking, supplication, worship, covenant — and if so how? Record none if it does not.",,"Subject + grain (in this verse) explicit. NOTE: scope tag 'Word/term (lexical)' mismatches this verse-content/relational question -- same pattern as D5.1.1, flag to #1806."
D5.2.2,Other non-human beings,relational,active,0,REVISE,subject-missing,"What inner posture does this movement require, as the evidence shows?","Across the verses where God-ward movement was found (per D5.2.1), what inner posture does it require?",'this movement' unrestated; D5.2.1 gates on 'record none if it does not' -- filtered to the verses where it was found.
D5.2.3,Other non-human beings,relational,active,0,REVISE,grain-missing,What does the human-to-God direction of the characteristic show about the person's relationship with God?,"Across the verses where God-ward movement was found (per D5.2.1), what does that direction show about the person's relationship with God?",Same filter as D5.2.2 -- same underlying finding.
D5.3.1,Other non-human beings,relational,active,0,REVISE,grain-missing,"From the characteristic's God-relation (D5.1/D7.6) and its role (D10.1/D11.1), what aspect of the divine likeness, if any, does it instantiate in the person? Record the aspect, or record none.","At the characteristic level, from its God-relation (D5.1/D7.6) and its role (D10.1/D11.1), what aspect of the divine likeness, if any, does it instantiate in the person? Record the aspect, or record none.","Synthesises FOUR already-characteristic-level findings (D5.1, D7.6, D10.1, D11.1) -- characteristic-level synthesis, not a verse scan. Model citation practice otherwise (cites all four by code)."
D5.3.2,Other non-human beings,relational,active,0,REVISE,grain-vague(evidence),"Across the evidence, is the characteristic shared between God and the person, or an exclusively creaturely analogue to something in God?","At the characteristic level, is it shared between God and the person, or an exclusively creaturely analogue to something in God?","CORRECTED from an earlier wrong COMPLIANT verdict -- 'across the evidence' doesn't say which verses. Follows directly from D5.3.1's own characteristic-level finding -- synthesis grain, not a verse scan."
D5.3.3,Other non-human beings,relational,active,0,REVISE,grain-vague,"Where the characteristic is present or absent in a person, what does that indicate about the condition of the divine image in them — or is no such indication evidenced?","At the characteristic level, where it is present or absent in a person, what does that indicate about the condition of the divine image in them -- or is no such indication evidenced?","General characteristic-level framing, not tied to one specific gated parent -- synthesis grain."
D6.1.1,Verse-context,constitutional,active,0,COMPLIANT,none,"At which constitutional level(s) does this verse locate the characteristic — from {spirit, soul, heart, mind, other soul-subset, a named body part} — and how is each engaged? Record every level evidenced, or none.",,Subject + grain (this verse) explicit.
D6.1.2,The HIB,constitutional,active,0,COMPLIANT,none,"Across the verses, what does the pattern of engaged and absent levels indicate — the characteristic's depth and seat, the levels it never engages, and (for any body link) whether the link is emphatic, functional, expressive, indicative, or mediating?",,Subject + grain (across the verses) explicit; compound but coherent.
D6.2.1,The HIB,constitutional,active,0,REVISE,grain-vague(evidence),"Where a body link exists (from the D6.1.1 audit), in which direction does it run — soul/spirit expressing through the body, the body feeding back to the soul, or both — and what follows from that direction? If no body link, record none.","Across the verses where a body link exists (per D6.1.1), in which direction does it run -- soul/spirit expressing through the body, the body feeding back to the soul, or both -- and what follows from that direction? If no body link, record none.",Already has its own conditional ('where a body link exists') -- just needed 'evidence' swapped for 'verses' and the D6.1.1 citation kept explicit.
D6.3.1,The HIB,constitutional,active,0,REVISE,grain-missing,"Does the characteristic move across constitutional levels (spirit→soul→body), or onto the person from an external source — including another spirit (angelic or adversarial) — or in another direction; and if so in what sequence or pattern? If no movement, record none.","Across the characteristic's verses, does it move across constitutional levels (spirit->soul->body), or onto the person from an external source -- including another spirit (angelic or adversarial) -- or in another direction; and if so in what sequence or pattern? If no movement, record none.",Subject explicit; no single parent gate to filter by -- plain aggregate.
D7.1.1,Word/term (lexical),relational,active,0,COMPLIANT,none,"In this verse, does the characteristic operate from God toward the human person, and if so how? Record none if it does not.",,Subject + grain (this verse) explicit.
D7.1.2,Other non-human beings,relational,active,0,REVISE,grain-vague(evidence),"On what basis does God extend the characteristic — conditional, unconditional, covenantal, or responsive — as the evidence shows?","Across the verses where God-to-human extension was found (per D7.1.1), on what basis does God extend the characteristic -- conditional, unconditional, covenantal, or responsive?",CORRECTED from an earlier wrong COMPLIANT verdict -- 'as the evidence shows' is vague. D7.1.1 gates on 'record none if it does not' -- filtered to those verses.
D7.1.3,Other non-human beings,relational,active,0,REVISE,grain-missing,What does God's extension of the characteristic show about his disposition toward the human person?,"Across the verses where God-to-human extension was found (per D7.1.1), what does God's extension show about his disposition toward the human person?",Same filter as D7.1.2 -- same underlying finding.
D7.2.1,Word/term (lexical),relational,active,0,COMPLIANT,none,"In this verse, is the characteristic extended by one person toward another, and if so how does it operate in that extension? Record none if it is not.",,Subject + grain (this verse) explicit.
D7.2.2,Characteristic relational,relational,active,0,REVISE,grain-missing,What inner conditions or orientations in the giver accompany genuine extension of the characteristic?,"Across the verses where person-to-person extension was found (per D7.2.1), what inner conditions or orientations in the giver accompany it?",D7.2.1 gates on 'record none if it is not' -- filtered to those verses.
D7.2.3,Characteristic relational,relational,active,0,REVISE,grain-vague(evidence),What does the evidence show a person must have received or become before they extend the characteristic?,"Across the verses where person-to-person extension was found (per D7.2.1), what must a person have received or become before they extend the characteristic?",CORRECTED from an earlier wrong COMPLIANT verdict -- 'the evidence show' is vague. Same filter as D7.2.2.
D7.3.1,Word/term (lexical),relational,active,0,COMPLIANT,none,"In this verse, is the characteristic taken up by a person from another, and if so how does it operate in that uptake? Record none if it is not.",,Subject + grain (this verse) explicit.
D7.3.2,Characteristic relational,relational,active,0,REVISE,grain-missing,What inner conditions accompany or block uptake of the characteristic from another person?,"Across the characteristic's verses, what inner conditions accompany or block uptake of the characteristic from another person?","Covers BOTH the accompany and block outcomes explicitly -- filtering to only D7.3.1's 'yes' verses would exclude half the question's own scope, so plain aggregate is correct here, not a filtered subset."
D7.3.3,Characteristic relational,relational,active,0,REVISE,grain-missing,What is the inner-being state of the person who meets the characteristic from another but does not take it up?,"Across the verses where a person meets the characteristic from another but does not take it up (per D7.3.1/D7.3.2), what is their inner-being state?","Names the specific (negative-case) subject explicitly and cites both relevant siblings, rather than leaving 'does not take it up' as an unfiled implicit continuation."
D7.4.1,Word/term (lexical),relational,active,0,COMPLIANT,none,"In this verse, does the characteristic operate in relation to other spiritual beings — angelic or adversarial — and if so how? Record none if it does not.",,Subject + grain (this verse) explicit.
D7.4.2a,Word/term (lexical),relational,active,0,REVISE,jargon;grain-vague,Does an adversarial-being code ever appear as an acting party in a verse carrying this characteristic?,"Across the characteristic's verses, does an adversarial spiritual being ever appear as an acting party in a verse carrying this characteristic?","'adversarial-being code' is raw internal terminology (T4 role-tag), not plain language; 'ever appear... in a verse' buries the aggregate grain inside the sentence."
D7.4.2b,Other non-human beings,relational,active,0,REVISE,subject-missing;grain-missing,What does that pattern show about the characteristic being a site of adversarial activity?,"At the characteristic level, what does the pattern of adversarial-being presence (per D7.4.2a) show about the characteristic being a site of adversarial activity?","D7.4.2a is already an aggregate ('ever appear... across verses') finding -- this synthesises that pattern, characteristic-level grain, not a fresh verse scan."
D7.4.3a,Word/term (lexical),relational,active,0,REVISE,jargon;grain-vague,Does an angelic-being code ever appear as an acting party in a verse carrying this characteristic?,"Across the characteristic's verses, does an angelic being ever appear as an acting party in a verse carrying this characteristic?",'angelic-being code' is the same jargon issue as D7.4.2a.
D7.4.3b,Other non-human beings,relational,active,0,REVISE,subject-missing;grain-missing,"What does that pattern show about the characteristic being communicated, strengthened, or mediated through angelic ministry?","At the characteristic level, what does the pattern of angelic-being presence (per D7.4.3a) show about the characteristic being communicated, strengthened, or mediated through angelic ministry?",Same synthesis-grain reasoning as D7.4.2b.
D7.5.1,Verse-context,origin,active,0,COMPLIANT,none,"Where does this verse say the characteristic originates — generated within the person, received from another person, bestowed by God, carried generationally, introduced by another spirit (angelic or adversarial), or not stated?",,Subject + grain (this verse) explicit.
D7.5.2,Characteristic (HIB behaviour),origin,active,0,REVISE,subject-missing,"Across the verses, is the origin single or multiple, and does it change with context?","Across the characteristic's verses, is its origin (per D7.5.1) single or multiple, and does it change with context?","'the origin' unrestated; D7.5.1 has no 'record none' gate (always produces an answer, including 'not stated') so no filtering needed -- tightened 'the verses' to 'the characteristic's verses' for precision."
D7.6.1,Word/term (lexical),relational,active,0,COMPLIANT,none,"In this verse, is the characteristic predicated of God or otherwise related to God; if so, in what relation (God as the one who bears it, acts, gives it, or is its object)? Record the relation, or record that it is not related to God here.",,Subject + grain (this verse) explicit.
D7.7.1,Characteristic (HIB behaviour),action-impact,active,0,REVISE,jargon;compound,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present.","In this verse, where an action or movement word is classified as an Operation for this cluster, what is that word's relation to the parties present in the verse -- who initiates it, and toward whom or what is it directed? Record none if no such operation word is present.","Original exposes raw schema identifiers ('the tag is `role-T3` in `cluster.cluster_code`') and a meta-instruction to 'consult that tagging directly, not this question's own memory of it' -- both belong in the prompt-assembly layer, not the catalogue text. Subject + grain (this verse) are otherwise fine and preserved."
D9.1.1,Characteristic (HIB behaviour),scientific,active,0,COMPLIANT,science-extract-family,"Per the cluster's science extract, what does neuroscience or physiology show about the mechanism underlying this characteristic, and does the verse evidence engage or diverge from that mechanism?",,"Science-extract family, see D11.2.1's note."
D9.2.1,Characteristic (HIB behaviour),scientific,active,0,COMPLIANT,science-extract-family,"Per the cluster's science extract, does the scientific literature show the characteristic (or its pattern) transmitted generationally, and does the verse evidence show anything comparable (covenant, inheritance, generational language)?",,"Science-extract family, see D11.2.1's note."
F0.1.1,Verse-context,faculty,active,0,REVISE,run-on;jargon-density,"In this verse, does the characteristic engage or is affected by specific faculties — the inner senses (hearing, sight, taste, touch, smell), spiritual discernment, the cognitive faculty (knowing, understanding, discerning), the memory faculty (the holding and retrieving of inner-being reality across time), the affective faculty (feeling and emotional experience), the creative faculty (imagination and the capacity to originate), the volitional faculty (the capacity to choose), the agency faculty (the capacity to act, initiate, and make happen), the moral-evaluation faculty (the capacity to assess against a standard of right, wrong, good, and true), conscience (the acute inner witness of sin, guilt, and conviction), conscientiousness (the integrated response of moral awareness, volition, and action), or relational capacity (the constitutional equipment for genuine connection with another person) — and if so, which faculty/faculties and how? Record none if it does not.","In this verse, does the characteristic engage or get affected by any inner-being faculty (the senses, spiritual discernment, cognition, memory, affect, creativity, volition, agency, moral evaluation, conscience, conscientiousness, or relational capacity), and if so which and how? Record none if it does not.","At 980 characters this is the single longest question in the catalogue by a wide margin (next-longest is 395) -- one run-on sentence carrying full inline definitions of all 11 faculties. Revised text keeps subject+grain (this verse) but moves full faculty DEFINITIONS out of the question text -- FLAG: this assumes the faculty glossary is defined once elsewhere and available to the LLM; if it is NOT currently shown anywhere else in the prompt, the full definitions need to live in the shared system instructions, not be silently dropped. Confirm before applying."
F0.1.2,Characteristic (HIB behaviour),faculty,active,0,COMPLIANT,none,"Across the verses, what does the pattern of engagement and non-engagement with the faculties indicate about the characteristic's nature?",,Subject self-descriptive ('the pattern of engagement...with the faculties' names its own topic); grain (across the verses) explicit.
M0.1.1,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"What is the characteristic called in the programme, and what does the name signal about its essential nature?",,"Programme-definitional question (the characteristic's own name/naming), not verse-evidence-grounded -- a distinct, legitimate category from the verse/aggregate taxonomy. Self-contained and clear as-is."
M0.1.2,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,What do the primary Hebrew and Greek terms show at the definitional level?,,"Definitional-lexical, same category as M0.1.1."
M0.1.3,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"What directional, relational, or constitutional implication does the name carry?",,"Definitional, same category."
M0.2.1,Characteristic (HIB behaviour),meaning,active,0,COMPLIANT,definitional-category,"What kind of inner-being phenomenon is the characteristic — an act, a disposition, a condition/status, a quality, or something else?",,"Definitional (characteristic-level classification), same category."
M0.2.2,Characteristic (HIB behaviour),meaning,active,0,COMPLIANT,definitional-category,"Is the characteristic simple in structure, or does it combine constituent elements; if compound, which?",,"Definitional, same category."
M0.3.1,Characteristic (HIB behaviour),meaning,active,0,COMPLIANT,definitional-category,What stands against the characteristic as its structural opposite — the inner-being reality that excludes it?,,"Definitional, same category."
M0.3.2,Characteristic (HIB behaviour),meaning,active,0,COMPLIANT,definitional-category,What does the characteristic exclude or resist at its edge?,,"Definitional, same category."
M0.3.3,Characteristic (HIB behaviour),meaning,active,0,COMPLIANT,definitional-category,Where does the characteristic end and another thing begin — what is it not?,,"Definitional, same category."
M0.4.1,Word/term (lexical),meaning,active,0,COMPLIANT,none,What is the grammatical/stem form of the characteristic's primary term in this verse?,,"Subject + grain (in this verse) explicit -- a per-occurrence lexical question, correctly distinguished from its purely-definitional M0.1-3 siblings."
M0.5.1,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?",,"Definitional-lexical (vocabulary-wide), same category as M0.1.x."
M0.5.10,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,What does the full vocabulary arc show about the characteristic's complete semantic range?,,"Definitional summary, same category."
M0.5.11,Word/term (lexical),meaning,active,0,REVISE,jargon;compound;mixed-grain,"Where this occurrence's surface form/contextual sense diverges from the base lemma's general stepGloss, what nuance is that divergence carrying in THIS context, what is its impact here, and how does it compare against the word's other occurrences? Record none if this occurrence sits squarely within the base gloss with no notable shift.","In this verse, where this occurrence's meaning diverges from the term's usual sense elsewhere, what nuance does that divergence carry here, and how does it compare to the word's other occurrences? Record none if this occurrence matches the term's usual sense.","Original exposes raw schema term 'stepGloss'. STRUCTURAL FLAG beyond wording: this question mixes two grains in one ask -- a per-occurrence divergence check AND a cross-occurrence comparison. Recommend splitting into two questions (one per-verse existence check, one cross-verse comparison triggered only when divergence is found) rather than a wording fix alone -- flagged for the researcher's decision, not applied here."
M0.5.2,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?",,"Definitional, same category."
M0.5.3,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?",,"Definitional, same category."
M0.5.4,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none.",,"Definitional, same category."
M0.5.5,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none.",,"Definitional, same category."
M0.5.6,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"Does the vocabulary include a person-type term — one for the person who habitually possesses or exercises this characteristic? Record it, or none.",,"Definitional, same category."
M0.5.7,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"Does the vocabulary include a supplication or seeking term — one for the act of seeking this characteristic from another? Record it, or none.",,"Definitional, same category."
M0.5.8,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?,,"Definitional, same category."
M0.5.9,Word/term (lexical),meaning,active,0,COMPLIANT,definitional-category,"Is there a term newly coined in the NT period for this characteristic; if so, what does the coinage show? Record it, or none.",,"Definitional, same category."
M0.6.1,The verse,literary,active,0,COMPLIANT,none,"What is the function of the primary term within its primary verse -- (a) what role does it play in the sentence, and (b) what role does it play in the verse's own argument, if a connective/chain edge shows one?",,Subject + grain (its primary verse) explicit; compound (a)/(b) is one coherent ask about function.
M0.6.2,The verse,literary,active,0,REVISE,grain-vague,What is the logical structure of the key arguments in the verse evidence — premises and conclusions?,"Across the characteristic's verses, what is the logical structure of its key arguments -- premises and conclusions?",'in the verse evidence' is ambiguous between the single primary/anchor verse and the whole verse set -- original doesn't disambiguate.
M0.6.3,The verse,literary,active,0,COMPLIANT,none,"Does any verse function as the primary anchor — the one most fully and directly expressing the characteristic's essential character? Record it, or none.",,"Subject + grain (does ANY verse, scanning across all) explicit."
M0.6.4,The verse,literary,active,0,COMPLIANT,none,What does the primary anchor verse show that no other verse shows?,,"Subject explicit -- reuses the DEFINED TERM 'primary anchor verse' from M0.6.3 by name, not a bare pronoun; this is the right way to reference a sibling finding without embedding a raw code citation."
M0.6.5,The verse,relational,active,0,REVISE,process-instruction-mixed;compound,What role does this characteristic play in relation to the OTHER M-code characteristics present in this verse? Build on whatever earlier cluster-passes over this SAME verse already found (given as prior context) -- do not re-derive or duplicate their findings; the focus shifts to what THIS characteristic's own vantage point adds. Record none if no other M-code characteristic is present.,What role does this characteristic play in relation to the OTHER M-code characteristics present in this verse? Record none if no other M-code characteristic is present.,"Subject + grain (in this verse) are fine. The removed middle sentence ('Build on whatever earlier cluster-passes... do not re-derive or duplicate') is a PIPELINE-PROCESS instruction, not part of the analytical question -- it belongs in versereadinggenerate.py's own _instructions() prompt text (a CODE change), not the catalogue question_text. Flagging as a build item, not resolving here."
T7.3.1,Science,,active,1,RETIRED,deleted=1,"Which human-science framework (psychology, moral philosophy, developmental psychology, sociology, anthropology, or other) serves as the most useful interpretive lens for this characteristic?",,"Retired from the live catalogue (deleted=1) -- not reviewed, not live input to any stage."
T7.3.2,Science,,active,1,RETIRED,deleted=1,Where the framework illuminates the verse evidence — making a finding more coherent or complete — what does it show?,,"Retired from the live catalogue (deleted=1) -- not reviewed, not live input to any stage."
T7.3.3,Science,,active,1,RETIRED,deleted=1,"Where the verse evidence and the framework diverge, what does the divergence show?",,"Retired from the live catalogue (deleted=1) -- not reviewed, not live input to any stage."
T7.3.4,Science,,active,1,RETIRED,deleted=1,"Does the framework surface any aspect of the characteristic the verse evidence has not yet addressed, and does that absence call for further verse investigation?",,"Retired from the live catalogue (deleted=1) -- not reviewed, not live input to any stage."
X0.1.1,Characteristic relational,relational,active,0,REVISE,grain-vague(evidence),"Which adjacent characteristics appear alongside this one in the verse evidence, and how frequently? Record none if no significant co-occurrence appears.","Across the characteristic's verses, which adjacent characteristics appear alongside this one, and how frequently? Record none if no significant co-occurrence appears.",CORRECTED from an earlier wrong COMPLIANT verdict -- 'in the verse evidence' is the same vague pattern as 'across the evidence' elsewhere.
