internal_key,section_type,heading,definition,background,status,aliases,batch
scope.verse_coverage_band,Programme glossary,scope,scope within the context of the verse defines the verse or passage that collectively represent the data that is subject to analysis,"Convention only, no CHECK constraint. One of at least four unrelated live meanings of the bare column name scope — see the sibling entries below.",draft,,round1 (your edits)
scope.file_naming_granularity,Programme glossary,scope,"scope within the context of file naming (wa_file_name_pattern.scope) defines what a filename pattern is instantiated per — ""per-cluster,"" ""per-registry,"" ""programme,"" plus per-group/per-batch/patch-id.",Governs file-naming only; unrelated to the other scope senses.,draft,,round1 (your edits)
scope.catalogue_bucket,Programme glossary,scope,"scope within the context of the catalogue (wa_obs_question_catalogue.scope) create buckets based on what the question is related to (Word/term lexical, Characteristic/HIB behaviour, etc.) for the 126 live T-coded questions. This is an alternative grouping to the Tier classification for the catalogue questions.",Recently repurposed from an older universal/Leviticus-marker meaning.,draft,,round1 (your edits)
scope.run_step_param,Programme glossary,scope,"scope within the context of run-step processing (cfg_step.scope): what a run-step needs scoped to it to execute (a word, ""none,"" etc.) — an IBA app run-parameter concept.",Unrelated to any of the data-level scope senses above.,draft,,round1 (your edits)
wa_vocab_dimension_label,Programme glossary,Dimension,"The retired 11-value Dimension vocabulary: 01 Emotion-Positive, 02 Emotion-Negative, 03 Cognition, 04 Volition, 05 Moral Character, 06 Relational Disposition, 07 Vitality/Existence, 08 Transformation, 09 Agency/Power, 10 Dependence/Creatureliness, 11 Divine-Human Correspondence.","Governed wa_dimension_index.dimension under the now-retired Dimension Review stage (researcher-ratified 2026-04-20). Superseded by the M-code cluster/characteristic model; data retained, not live.",archived,,round1 (your edits)
wa_vocab_dominant_subject,Programme glossary,dominant subject,"Retired Dimension Review vocabulary naming the primary agent in a verse-context group: HUMAN, GOD, OTHER_HUMAN, UNSEEN (rare), or NONE (genuinely dual — divine and human both explicit).",Governed wa_dimension_index.dominant_subject. Retired with the Dimension Review stage.,archived,,round1 (your edits)
wa_vocab_dimension_confidence,Programme glossary,dimension confidence,"Retired confidence marker for a dimension assignment: KEYWORD_WEAK / KEYWORD_STRONG (automated classifier, pending review) or CLAUDE_AI (post-review analyst assignment).",Governed wa_dimension_index.dimension_confidence. Retired with the Dimension Review stage.,archived,,round1 (your edits)
wa_vocab_qa_flag,Programme glossary,QA_FLAG,"Retired per-group quality outcome from Dimension Review's Phase B: QA-CLEAR, QA-TERMCENTRIC, QA-VAGUE, QA-BROAD, QA-EXTERNALISED, QA-REVIEW.","Logged in observations, never a DB column. Retired with the Dimension Review stage.",archived,,round1 (your edits)
wa_vocab_manual_override,Programme glossary,MANUAL_OVERRIDE,Retired lock flag: 1 = dimension locked by researcher review; 0 = open for reassignment (the expected post-completion state).,Governed wa_dimension_index.manual_override. Retired with the Dimension Review stage.,archived,,round1 (your edits)
wa_vocab_stage2c_outcome,Programme glossary,Stage 2c Synthesis Outcome,"Retired v1.8 outcome code: D = Described (substantive finding citing 2+ Q&A entries), F = Further research required, N = Not applicable.",Governed wa_session_b_findings.synthesis_outcome under the retired Session B Stage 2c mechanism.,archived,,round1 (your edits)
wa_vocab_stage2c_finding_type,Programme glossary,Stage 2c Synthesis Finding Type,Retired v1.8 finding_type values: SYNTHESIS_INTRA_TIER (single tier) and SYNTHESIS_INTER_TIER (tier-pair).,Governed wa_session_b_findings.finding_type (synthesis subset) under the retired Session B Stage 2c mechanism.,archived,,round1 (your edits)
wa_vocab_stage2c_structural_relationship,Programme glossary,Stage 2c Structural Relationship,"Retired values naming the structural connection between two tiers on an inter-tier D-outcome: causal, enabling, sequential, constitutive, tension, parallel, N/A.",Governed wa_session_b_findings.structural_relationship under the retired Session B Stage 2c mechanism. Last of the 8 migrated Dimension Review vocabularies.,archived,,round1 (your edits)
grain,Programme glossary,grain,"The actual rollup unit for verse-analysis: a per-occurrence STEP sub-gloss, not the bare lemma/Strong's number. A polysemous lemma (e.g. abad = serve/minister/labour/burden) rolls up per grain, never aggregated across all its senses.","Indexed by wa_verse_term_links (step_subgloss_code). mti_terms.owning_word is explicitly not authoritative for sense — the grain code is. Introduced in the 2026-07-02 verse-analysis method, superseding ""lemma"" as the unit of rollup.",draft,,round1 (your edits)
gate.gate1,Programme glossary,Gate 1,"In the index-driven lexical build, a span that is a tagged non-T2 term with a verse_context — lexicalised and linked via verse_context_id.",One of two span-admission gates (see Gate 2 for the other). Function words (particle/preposition/conjunction/suffix/pronoun) are skipped entirely; T2 stays excluded from standalone analysis.,draft,,round1 (your edits)
gate.gate2,Programme glossary,Gate 2,"In the index-driven lexical build, a content word not yet tagged as a term — lexicalised anyway, keyed on verse_span_id (gate='2-relevant'), as a candidate for confirmation.","One of two span-admission gates (see Gate 1 for the other). Distinct from ""gate"" used generically elsewhere in the project (e.g. the anchor-verse gate).",draft,,round1 (your edits)
role.span_classification,Contentious glossary,role,"role within the context of the verse analysis designate the word to a specific role in the verse: characteristic (the word behave like a characteristic of the inner being), qualifier/process-element (binds to a characteristic in place), or standalone.","Assigned by the sanity-check gate in the verse-analysis method. NOT confirmed to be the same thing as verse_span_index.role, a separately-documented live column using an overlapping vocabulary (standalone/process-qualifier/qualifier) but described in its own cfg_column.use as a linguistic classification, not a rollup-scope judgement. To resolve: check whether every verse_span_index.role value actually matches its rollup treatment in practice — a match on every row would settle that these are one field described twice; any mismatch would prove they are genuinely different and need two names, not one.",draft,,round1 (your edits)
oracle,Programme glossary,oracle,"For prophetic books, the processing unit in place of chapter or whole-book: a rhetorically-marked passage that routinely crosses chapter lines (e.g. Malachi's disputation form).","Segmentation units can span chapters for this via the verse_refs field, filed under the oracle's anchor chapter.",draft,,round1 (your edits)
owner_term.batch_processing_sense,Contentious glossary,owner term,"In the term-driven verse-analysis method: the term currently being worked through its full processing order (its anchor verse's passage first, then every one of its verses).","A processing-order concept. CLAUDE.md's XREF architecture separately defines OWNER (wa_term_inventory.term_owner_type) as which registry canonically holds a Strong's number's classification, as opposed to an XREF copy. To resolve: check whether an XREF-classified term is ever batch-processed this way in practice — if XREF terms are never processed as an ""owner term,"" the two concepts likely coincide and could merge into one sense; if they are, they're genuinely different and need distinct names.",draft,,round1 (your edits)
new.t3,Programme glossary,T3,"T3 is a tier for Strong's terms describing an inner-being operation, action, or movement (often a verb) that is not tied to one specific cluster, or that applies broadly across many clusters. Unlike T2, T3 terms ARE inner-being-related — they describe an operation, not merely qualify one.","Not itself a cluster_code value (unlike FLAG/T2). Distinct from T2 (supplementary, non-inner-being) — T3 covers the verbs/actions that carry inner-being content but resist being pinned to one cluster.",draft,,"round2 (new, your headings)"
new.dimension,Programme glossary,Dimension,"In the current verse-lexical method, a dimension (D1–D14, also 've_nr' 101–118+) is one structured field of information derived for a term-in-verse — e.g. sense, source, seat, bearer, manner, intensity, role. Each dimension is one column of the analytical read of a span, not a characteristic of the inner being itself.","Distinct from the retired Dimension Review vocabulary (see the other ""Dimension"" entry) — that scheme classified whole verse-context groups into one of 11 broad areas; this one is the live per-term structured-field vocabulary in ve_lexical. Also distinct from characteristic (what the inner being does) — a dimension is a linguistic/analytical attribute recorded about a term's occurrence.",draft,,"round2 (new, your headings)"
new.term,Programme glossary,term,"Used loosely throughout the project for any of: a Strong's-coded lexical entry (a specific Hebrew/Greek word-sense), a word_registry study word, or a span occurrence in a verse. Context decides which is meant — the project has no single definition that fixes it.","See grain for the project's actual, precise rollup unit where ""term"" would otherwise be ambiguous. Prefer grain, span, or Strong's number over the bare word ""term"" when precision matters.",draft,,"round2 (new, your headings)"
new.strong,Programme glossary,strong,"A Strong's number is the standard Hebrew/Greek concordance numbering (e.g. H2734, G4710) used to identify a specific lexical entry across the whole Bible. The project's mti_terms table holds one row per Strong's number.","H = Hebrew, G = Greek; suffix letters (e.g. H7965H) mark sub-entries. A single Strong's number can carry several distinct senses — see grain for how the project resolves which sense is meant in a given occurrence.",draft,,"round2 (new, your headings)"
new.lemma,Programme glossary,lemma,"The dictionary/citation form of a word — the base form a Strong's number or STEP entry is filed under, before inflection. In this project, the bare lemma is NOT treated as the unit of analysis for rollup — see grain.","mti_terms.owning_word is explicitly documented as unreliable for sense discrimination on a polysemous lemma (e.g. ""worship"" mislabels the H5647G ""to serve"" grain) — the grain code, not the lemma, is authoritative for sense.",draft,,"round2 (new, your headings)"
new.surface,Programme glossary,surface,"The literal, exact text of a word as it appears at one span in the verse (span.surface) — independent of which Strong's number or sense it resolves to.","One of at least three different things a request for ""all words of X"" could mean — see grain and term for the other two; each gives a different result set for the same request.",draft,,"round2 (new, your headings)"
new.gloss,Programme glossary,gloss,"A short English translation equivalent for a Strong's number or grain, typically sourced from STEP — e.g. ""anger"" for a Hebrew root. Used throughout reports as the human-readable stand-in for a Strong's code.",Distinct from sub gloss (a STEP-level finer sense distinction) and from surface (the literal text actually written in the verse).,draft,,"round2 (new, your headings)"
new.sub_gloss,Programme glossary,sub gloss,A STEP-provided finer sense distinction below the level of a bare gloss — the actual basis for the grain: wa_verse_term_links.step_subgloss_code records which sub-gloss a given occurrence carries.,This is what makes grain-based rollup possible: a polysemous lemma's several sub-glosses are what let the project separate its senses without inventing a new coding scheme.,draft,,"round2 (new, your headings)"
new.lexical,Programme glossary,lexical,"Used adjectivally throughout the project for anything concerning a term's meaning/sense as opposed to its inner-being content — ""the lexical,"" ""lexicalise,"" ""ve_lexical"" all refer to the structured, per-term-in-verse analytical record.","ve_lexical is the live table; ""lexicalise"" means to derive and write that structured record for a span.",draft,,"round2 (new, your headings)"
new.movement,Programme glossary,movement,"The programme's general word for what the inner being DOES — an action, change, or process attributed to a HIB, as opposed to a static trait. Operationalised in iba.db as operation.",Used informally in prose/method documents; operation is the actual registered database entity for a specific instance of movement.,draft,,"round2 (new, your headings)"
new.action,Programme glossary,action,"A general term for a verb-level inner-being movement — closely related to operation and to the T3 tier, which specifically holds action/verb terms not tied to one cluster.",Not a distinct technical term with its own DB representation — see operation and T3 for the structured senses.,draft,,"round2 (new, your headings)"
new.stem,Programme glossary,STEM,"A column recording a word's morphological stem (e.g. Hebrew binyan/verb stem, or a general inflectional-family classification), derived from morph_code.","morph_code is the linguistic source of truth in this project; stem and language are both derived from it, not independently authoritative. Not to be confused with STEP (the Bible-lexicon tool this project ingests from) or root (an etymological grouping, see family root).",draft,,"round2 (new, your headings)"
new.xref,Programme glossary,XREF,"A cross-reference registry entry: a Strong's number classified in a registry OTHER than its canonical OWNER registry, recording analytical relevance without duplicating classification.","wa_term_inventory.term_owner_type = OWNER | XREF. mti_terms.owning_registry_fk names the canonical OWNER; mti_term_cross_refs holds the XREF rows. A pure-XREF registry (no OWNER terms) is a legitimate complete state. See owner term for a related but not-yet-reconciled use of ""owner"" in the verse-analysis method.",draft,,"round2 (new, your headings)"
new.session_a,Programme glossary,Session A,"The first stage of the (now-superseded) per-word pipeline: initial STEP extraction and raw-data capture for a registry word, producing the Word Summary/Meaning/Verses/Terms/Pointers/Questions sections filed under this session in the Detail design prose book.","Part of the pre-2026-08-15 base-layer pipeline, now owned by iba.db/iba/app. Retained here for provenance since Session A/B/C/D prose content is still live in bible_research.db.",draft,,"round2 (new, your headings)"
new.session_b,Programme glossary,Session B,"The second stage of the (now-superseded) per-word pipeline: verse-context classification and characteristic/impact analysis, historically split into Stage 1 (readiness) and Stage 2 (analysis, including the retired Stage 2c synthesis).",See Stage 2c Synthesis Outcome / Finding Type / Structural Relationship for the retired Stage 2c vocabulary this session produced.,draft,,"round2 (new, your headings)"
new.session_c,Programme glossary,Session C,"The third stage of the (now-superseded) per-word pipeline: synopsis, description, and lexicon prose produced per word, later superseded by cluster-level publication.",Session C's own per-word instruction was retired 2026-05-12 in favour of cluster-based publication (wa-sessionc-cluster-overview).,draft,,"round2 (new, your headings)"
new.session_d,Programme glossary,Session D,"The fourth stage of the (now-superseded) per-word pipeline: cross-registry pointer clustering and cross-word synthesis, producing the Session D Cluster prose (Moral Character, Cognition, Volition, etc.).",Referred to elsewhere as an abandoned workstream (SD_POINTER flag code) — session_d_* tables in bible_research.db carry 0 live rows.,draft,,"round2 (new, your headings)"
new.meaning,Programme glossary,meaning,"The parsed dictionary/lexicon meaning text for a Strong's number, structured into senses and stems (wa_meaning_parsed, wa_meaning_sense, wa_meaning_stem) — the raw lexical definition, not the project's own inner-being analysis of the term.","Distinct from gloss (a short translation tag) and from the project's own characteristic/operation analysis, which interprets a term's inner-being content beyond its dictionary meaning.",draft,,"round2 (new, your headings)"
new.flag,Programme glossary,flag,"A flag is a marker added to a record to signal something for follow-up, review, or classification — used generically across many unrelated mechanisms project-wide (quality flags, research flags, term flags, inference flags, the FLAG cluster code).","Not one single mechanism — see FLAG (the cluster-code sense) for the one specific, unrelated Strong's-code meaning. Elsewhere, ""flag"" always refers to whichever specific flag table/column is under discussion; there is no single project-wide flag concept.",draft,,"round2 (new, your headings)"
new.hib,Programme glossary,HIB,"Human Inner Being — a specific named or implicit human narrative subject within a book, registered in iba.db's hib table. A non-human being (e.g. God, an animal, an institution) can never be registered as a HIB.",The debate pipeline's core subject entity — every phenomenon and operation is recorded against a HIB. Distinct from inner being (the whole field of study) and from inner-being characteristic (the registry's admission filter).,draft,,"round2 (new, your headings)"
new.inner_being,Programme glossary,inner being,"The programme's whole subject of study: the human spirit, soul, and body as Scripture describes their characteristics, operations, and interrelationships. The programme's governing question is what Scripture reveals about it.","Used at three different scales project-wide: the whole field of study (this sense), HIB (one specific narrative subject within a book), and inner-being characteristic (the registry's admission filter — what makes a word relevant to this study at all).",draft,,"round2 (new, your headings)"
new.non-inner_being,Programme glossary,non-inner being,"A being, entity, or content that does NOT qualify as a human inner-being subject for this study — includes God, angels/demons, animals, institutions, and physical objects, and (for terms) content that is not about the inner being at all.",The negative complement of HIB and of inner-being characteristic — used to explain why a term or entity is excluded from the study's registry or from HIB registration.,draft,,"round2 (new, your headings)"
new.root,Programme glossary,root,"The Hebrew/Greek etymological root a term derives from (e.g. CHARAH, tov) — the basis for the family root grouping, which collects terms sharing a common root regardless of their individual sense.","Distinct from family (thematic), which groups by shared inner-being theme, not etymology. Root-family coding is inconsistent in the schema — some codes are bare romanised roots, others language-prefixed.",draft,,"round2 (new, your headings)"
new.tier,Programme glossary,Tier,"The T0–T7 scheme used throughout the observation-question catalogue to classify a question's depth/kind — distinct from a cluster, a component, or a Scope-focus bucket.","Canonical range is T0–T7 (an earlier T1–T8 document is superseded) — this is the observation-catalogue's own depth/kind classification (wa_obs_question_catalogue.section). Do not confuse with T2/T3 as used for cluster-code/tier classification of Strong's terms (see T2, T3) — same T-number notation, two unrelated classification schemes.",draft,,"round2 (new, your headings)"
new.catalogue,Programme glossary,Catalogue,"Refers to the observation-question catalogue (wa_obs_question_catalogue): the ~189-question bank of standard observation questions asked of a term, cluster, or verse during analysis.","Being refactored toward a two-layer VE/SYNTH structure (not yet applied to the DB). Each question carries a scope, tier, and section classification.",draft,,"round2 (new, your headings)"
new.question,Programme glossary,Question,"One row of the observation-question catalogue (wa_obs_question_catalogue) — a standard analytical prompt asked against a term, cluster, or verse, distinct from a researcher's own ad hoc question in chat or an escalation.",Findings are typically recorded against the specific catalogue question that prompted them (finding_question_link).,draft,,"round2 (new, your headings)"
new.word,Programme glossary,word,"Used loosely for: (a) a registry study word (word_registry.word, the English words this whole programme studies), (b) the literal text at a span (see surface), or (c) any Strong's-coded lexical entry (see term). Context decides which.","The programme's registry itself is keyed on sense (a); most technical DB work means (b) or (c) — prefer surface, grain, or Strong's number when precision matters.",draft,,"round2 (new, your headings)"
new.verse_context,Programme glossary,verse context,"The classification record for one term's occurrence in one verse (bible_research.db's verse_context table) — carries the analysis note, keywords, relevance judgement, and (legacy) dimension/pole fields for that specific term-in-verse.","Distinct from the Scope-focus bucket label of the same name (a catalogue classification, see scope), and from iba.db's own base-layer verse/measure tables, which don't use this name at all.",draft,,"round2 (new, your headings)"
new.verse_context_group_vcg,Programme glossary,verse context group (VCG),"A group of verse_context rows classified together (verse_context_group) — the unit that vcg_term links a term to, and that cluster_subgroup/characteristic_subgroup ultimately scope work against.","Abbreviated VCG throughout the schema and prose (e.g. group_code ""M38-G-VCG-08""). Heading corrected from the researcher's draft ""vsg"" to the actual live acronym VCG — flagged here, not silently changed.",draft,,"round2 (new, your headings)"
new.config_cfg,Programme glossary,config (cfg),"The cfg_* table family in iba.db — the single source of truth for how the IBA app's tools, schema, and behaviour rules are governed. Includes cfg_table, cfg_column, cfg_enum, cfg_setting, cfg_step, cfg_behaviour_rule, and others.","Changes to cfg_* content normally go through configmaint.propose (researcher-approval-gated) except in a declared Developer Mode session. This Glossary is itself part of the cfg_* governance model, cross-referenced from cfg_column.use.",draft,,"round2 (new, your headings)"
new.narration,Programme glossary,narration,"The prose account of what a passage or term's evidence says about the inner being, written in the researcher's set voice (wa-narrative-style-instruction) — e.g. ""the story"" built from a term's collated verse-lexicals, or a chapter's Phase-2 reading.","Used interchangeably with ""narrative"" and ""story"" throughout the verse-analysis method. NOTE: this definition is Claude's interpretation of a partially unclear instruction (""narration...describes the theme of the verses. Narration is used in the same context"") — flagged for the researcher to confirm or correct, not asserted as certain.",draft,,"round2 (new, your headings)"
new.prose,Programme glossary,prose,"The project's canonical narrative content, stored DB-side in prose_section/prose_section_type (bible_research.db) rather than as flat files. Organised into books (Programme, Detail design, Findings, Essays, Word Index and Glossary), each with chapters and sections.",The programme prose specifically (book_label='Programme') is the canonical authority on what the project is about (governance.prose_canonical_authority). This Glossary is itself one of the prose books.,draft,,"round2 (new, your headings)"
new.programme,Programme glossary,programme,"The whole research effort this project is: a structured study of English words for the human inner life, mapped to Hebrew/Greek terms via Strong's numbers, processed through the IBA app and captured in two SQLite databases (iba.db, bible_research.db).","""The programme"" and ""Programme"" (the prose book) are related but not identical — the book documents the programme; the programme is the actual research effort, which is broader than any one book.",draft,,"round2 (new, your headings)"
sweep2.patch,Programme glossary,patch,"A patch is a validated JSON file that specifies one or more database write operations (inserts/updates), submitted for researcher approval before Claude Code applies it under transactional control. Patch types include PREANALYSIS, SESSIONB, VERSECONTEXT, REPAIR, and others.","Patch preparation, the self-check, and the REPAIR catalogue are governed by wa-patch-instruction [current]. Distinct from a directive (which specifies an operation by criteria rather than a literal write payload) and from a PROSE supersede patch (the specific patch type this Glossary's own edit cycle generates).",draft,,"sweep2 (new, from wa-claudecode-instruction doc)"
sweep2.directive,Programme glossary,directive,A directive is an instruction file specifying a database change by its five required elements (rather than a literal write payload) — used for cluster-process operations under the cluster model.,"Governed by wa-directive-instruction [current] §3; Claude Code validates the five required elements and rejects a directive missing any of them, reporting which. Distinct from a patch, which carries the write payload directly.",draft,,"sweep2 (new, from wa-claudecode-instruction doc)"
sweep2.anchor,Programme glossary,anchor,The designated primary verse for a term (verse_context.is_anchor=1) or for a passage (passage.anchor_verse_id / verse_passage.is_anchor) — the verse a term's or passage's analysis is built from and cited against. A term with zero active anchors cannot proceed to Session B.,"Used at two different grains project-wide: the term-level anchor verse (this entry) and the passage-level anchor verse (a maximal run of consecutive verses' first verse). The programme prose also notes hib.first_verse_id ""plays an analogous role"" for a HIB without being named anchor in the schema — a drafting gap, not a misreading.",draft,,"sweep2 (new, from wa-claudecode-instruction doc)"
sweep2.registry,Programme glossary,registry,"One row of word_registry: the record for one English study word, carrying its onboarding status, session_b_status, verse_context_status, and (legacy) cluster_assignment. The registry number (""no"") is the word's permanent identifier used in file naming and cross-references.","Two structurally different tables share this name across the two databases: bible_research.db's word_registry (heavy, phase-status-tracking, ~215 rows) and iba.db's word_registry (thin: word/source/status/timestamps, the current live scope list, ~180 rows). Confirm which database is meant before assuming a field exists.",draft,,"sweep2 (new, from wa-claudecode-instruction doc)"
sweep2.owner,Programme glossary,OWNER,"wa_term_inventory.term_owner_type = OWNER means this registry is the canonical home for a Strong's number's classification. The alternative, XREF, records analytical relevance in another registry without duplicating classification.","One mti_terms row exists per Strong's number project-wide; owning_registry_fk names its OWNER. NOT the same thing as owner term (the verse-analysis method's processing-order sense) — whether those two uses of ""owner"" coincide or genuinely differ is exactly the open question flagged on that entry.",draft,,"sweep2 (new, from wa-claudecode-instruction doc)"
sweep2.obslog,Programme glossary,obslog,"The comprehensive observation log Claude AI submits at the close of a per-word analysis session — a structured Markdown document (Q&A findings, SD pointers, observations, Stage 2c chapters, GAP questions, review notes, status update) that Claude Code's parser converts into a DB-write manifest.","Part of the legacy per-word Architecture v2 pipeline (6 reset-registries only, superseded by the cluster model for all other words). Format drift between obslogs has required a format-variant fallback parser at least once.",draft,,"sweep2 (new, from wa-claudecode-instruction doc)"
sweep2.supersede_prose,Programme glossary,supersede (prose),"The mechanism by which an edited prose_section row is replaced without deleting history: the prior version is retained (queryable, not live) and a fresh row/version carries the edit forward.","The basis of this Glossary's own edit cycle (Prose.ps1 export → edit → import) and, historically, of the per-word obslog pipeline's chapter-revision mechanism. ""PROSE supersede patch"" is the specific patch type this produces.",draft,,"sweep2 (new, from wa-claudecode-instruction doc)"
