internal_key,section_type,heading,definition,background,status,aliases
scope.file_naming_granularity,Programme glossary,scope,"scope within the context of file naming (wa_file_name_pattern.scope) defines what a filename pattern is instantiated per — ""per-cluster,"" ""per-registry,"" ""programme,"" plus per-group/per-batch/patch-id.",Governs file-naming only; unrelated to the other scope senses.,active,
scope.catalogue_bucket,Programme glossary,scope,"scope within the context of the catalogue (wa_obs_question_catalogue.scope) create buckets based on what the question is related to (Word/term lexical, Characteristic/HIB behaviour, etc.) for the 126 live T-coded questions. This is an alternative grouping to the Tier classification for the catalogue questions.",Recently repurposed from an older universal/Leviticus-marker meaning.,active,
scope.run_step_param,Programme glossary,scope,"scope within the context of run-step processing (cfg_step.scope): what a run-step needs scoped to it to execute (a word, ""none,"" etc.) — an IBA app run-parameter concept.",Unrelated to any of the data-level scope senses above.,active,
wa_vocab_dimension_label,Programme glossary,Dimension,"The retired 11-value Dimension vocabulary: 01 Emotion-Positive, 02 Emotion-Negative, 03 Cognition, 04 Volition, 05 Moral Character, 06 Relational Disposition, 07 Vitality/Existence, 08 Transformation, 09 Agency/Power, 10 Dependence/Creatureliness, 11 Divine-Human Correspondence.","Governed wa_dimension_index.dimension under the now-retired Dimension Review stage (researcher-ratified 2026-04-20). Superseded by the M-code cluster/characteristic model; data retained, not live.",archived,
wa_vocab_dominant_subject,Programme glossary,dominant subject,"Retired Dimension Review vocabulary naming the primary agent in a verse-context group: HUMAN, GOD, OTHER_HUMAN, UNSEEN (rare), or NONE (genuinely dual — divine and human both explicit).",Governed wa_dimension_index.dominant_subject. Retired with the Dimension Review stage.,archived,
wa_vocab_dimension_confidence,Programme glossary,dimension confidence,"Retired confidence marker for a dimension assignment: KEYWORD_WEAK / KEYWORD_STRONG (automated classifier, pending review) or CLAUDE_AI (post-review analyst assignment).",Governed wa_dimension_index.dimension_confidence. Retired with the Dimension Review stage.,archived,
wa_vocab_qa_flag,Programme glossary,QA_FLAG,"Retired per-group quality outcome from Dimension Review's Phase B: QA-CLEAR, QA-TERMCENTRIC, QA-VAGUE, QA-BROAD, QA-EXTERNALISED, QA-REVIEW.","Logged in observations, never a DB column. Retired with the Dimension Review stage.",archived,
wa_vocab_manual_override,Programme glossary,MANUAL_OVERRIDE,Retired lock flag: 1 = dimension locked by researcher review; 0 = open for reassignment (the expected post-completion state).,Governed wa_dimension_index.manual_override. Retired with the Dimension Review stage.,archived,
wa_vocab_stage2c_outcome,Programme glossary,Stage 2c Synthesis Outcome,"Retired v1.8 outcome code: D = Described (substantive finding citing 2+ Q&A entries), F = Further research required, N = Not applicable.",Governed wa_session_b_findings.synthesis_outcome under the retired Session B Stage 2c mechanism.,archived,
wa_vocab_stage2c_finding_type,Programme glossary,Stage 2c Synthesis Finding Type,Retired v1.8 finding_type values: SYNTHESIS_INTRA_TIER (single tier) and SYNTHESIS_INTER_TIER (tier-pair).,Governed wa_session_b_findings.finding_type (synthesis subset) under the retired Session B Stage 2c mechanism.,archived,
wa_vocab_stage2c_structural_relationship,Programme glossary,Stage 2c Structural Relationship,"Retired values naming the structural connection between two tiers on an inter-tier D-outcome: causal, enabling, sequential, constitutive, tension, parallel, N/A.",Governed wa_session_b_findings.structural_relationship under the retired Session B Stage 2c mechanism. Last of the 8 migrated Dimension Review vocabularies.,archived,
grain,Programme glossary,grain,"The actual rollup unit for verse-analysis: a per-occurrence STEP sub-gloss, not the bare lemma/Strong's number. A polysemous lemma (e.g. abad = serve/minister/labour/burden) rolls up per grain, never aggregated across all its senses.","Indexed by wa_verse_term_links (step_subgloss_code). mti_terms.owning_word is explicitly not authoritative for sense — the grain code is. Introduced in the 2026-07-02 verse-analysis method, superseding ""lemma"" as the unit of rollup.",active,
gate.gate1,Programme glossary,Gate 1,"In the index-driven lexical build, a span that is a tagged non-T2 term with a verse_context — lexicalised and linked via verse_context_id.",One of two span-admission gates (see Gate 2 for the other). Function words (particle/preposition/conjunction/suffix/pronoun) are skipped entirely; T2 stays excluded from standalone analysis.,active,
gate.gate2,Programme glossary,Gate 2,"In the index-driven lexical build, a content word not yet tagged as a term — lexicalised anyway, keyed on verse_span_id (gate='2-relevant'), as a candidate for confirmation.","One of two span-admission gates (see Gate 1 for the other). Distinct from ""gate"" used generically elsewhere in the project (e.g. the anchor-verse gate).",active,
role.span_classification,Contentious glossary,role,"role within the context of the verse analysis designate the word to a specific role in the verse: characteristic (the word behave like a characteristic of the inner being), qualifier/process-element (binds to a characteristic in place), or standalone.","Assigned by the sanity-check gate in the verse-analysis method. NOT confirmed to be the same thing as verse_span_index.role, a separately-documented live column using an overlapping vocabulary (standalone/process-qualifier/qualifier) but described in its own cfg_column.use as a linguistic classification, not a rollup-scope judgement. To resolve: check whether every verse_span_index.role value actually matches its rollup treatment in practice — a match on every row would settle that these are one field described twice; any mismatch would prove they are genuinely different and need two names, not one.",active,
cohabitation,Contentious glossary,cohabitation,"The company an operation keeps and the shared root that company reveals — evident only when cross-term stories are built (relating one operation's story to others recurring in the same passages toward a common root), never from a single term's own lexicals or rollup.","Two authoritative sources disagree on this term's current status. wa-verse-analysis-method-v1-20260702.md §8-9 states cohabitation lives at the cross-term synthesis layer (not yet built) — the intended home of the dropped-as-a-per-verse-item D13. CLAUDE.md's live-method banner separately states ""D13 hidden/cohabitation dropped,"" with no mention of relocation. To resolve: confirm with the researcher whether the cross-term synthesis layer is still planned (then CLAUDE.md's banner needs a correcting note) or whether cohabitation was dropped outright (then the method doc's §8-9 is stale and should say so).",discuss,
segmentation_unit,Programme glossary,segmentation unit,"For argument/dialogue/discourse books (Proverbs, Ecclesiastes, Job, Lamentations), the processing unit below chapter level: a run of verses carrying one inner-being movement, or several held together. Unit types: D discourse, S single-saying, C cluster, T thread (a recurring motif), F frame/arena.","Stored book-agnostically in segment_unit + segment_unit_verse. A unit's named characteristics are provisional — confirmed, revised, or replaced by the Phase-2 reading, never imputed.",discuss,segment_unit
oracle,Programme glossary,oracle,"For prophetic books, the processing unit in place of chapter or whole-book: a rhetorically-marked passage that routinely crosses chapter lines (e.g. Malachi's disputation form).","Segmentation units can span chapters for this via the verse_refs field, filed under the oracle's anchor chapter.",active,
owner_term.batch_processing_sense,Contentious glossary,owner term,"In the term-driven verse-analysis method: the term currently being worked through its full processing order (its anchor verse's passage first, then every one of its verses).","A processing-order concept. CLAUDE.md's XREF architecture separately defines OWNER (wa_term_inventory.term_owner_type) as which registry canonically holds a Strong's number's classification, as opposed to an XREF copy. To resolve: check whether an XREF-classified term is ever batch-processed this way in practice — if XREF terms are never processed as an ""owner term,"" the two concepts likely coincide and could merge into one sense; if they are, they're genuinely different and need distinct names.",active,
,,T3,,,,
,,Dimension,,,,
,,term,,,,
,,strong,,,,
,,lemma,,,,
,,surface,,,,
,,gloss,,,,
,,sub gloss,,,,
,,lexical,,,,
,,movement,,,,
,,action,,,,
,,STEM,,,,
,,XREF,,,,
,,Session A,,,,
,,Session B,,,,
,,Session C,,,,
,,Session D,,,,
,,meaning,,,,
,,flag,the term flag or flags are generally used to add a specific marker to a record for follow up,,active,
,,HIB,,,,
,,inner being,,,,
,,non-inner being,,,,
,,root,,,,
,,Tier,,,,
,,Catalogue,,,,
,,Question,,,,
,,word,,,,
,,verse context,,,,
,,verse context group (vsg),,,,
,,config (cfg),,,,
,,narration,narration within the context of versus describes the theme of the verses. Narration is used in the same context,,,
,,prose,,,,
,,programme,,,,
