id,class,rule_key,rule_text,source,enforced_by,added_at,active,enforcement_status
11,sqlite,readonly-by-default,Open a database connection read-only by default when browsing or checking a claim against iba.db or bible_research.db; use a write connection only with a specific reason.,Workflow/SQLite/sqlite-extension-best-practice-v1-20260815.md,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T08:00:00Z,1,not_mechanically_checkable
12,sqlite,never-write-via-adhoc-tool,"Never write to iba.db or bible_research.db directly through an ad-hoc SQL tool (the VS Code SQLite extension or equivalent). bible_research.db writes go through scripts/apply_session_patch.py against a JSON patch; iba.db config writes go through Config-Maintenance.ps1 -Step Propose; iba.db data writes go through the app's own registered utilities. Use direct inspection to see a problem, then route the actual fix through the governed path.",Workflow/SQLite/sqlite-extension-best-practice-v1-20260815.md,"JUDGMENT CALL, researcher decision needed: a mechanical check would require an audit trail correlating every DB row change against a known-good write path (patch/Config-Maintenance/registered utility) to catch an out-of-band ad-hoc write after the fact -- real engineering investment (trigger-based change logging cross-referenced against run/escalation records), not a quick scan. Worth building, or is manual discipline + spot-review sufficient for this one?",2026-08-18T08:00:00Z,1,judgment_call_pending
13,sqlite,dont-assume-which-database,"Don't assume which database a table lives in. bible_research.db (prose + analytic findings) and iba.db (process control + the entire base data layer) have a defined split; a 'no such table' error usually means the wrong database was opened, not a typo.",Workflow/SQLite/sqlite-extension-best-practice-v1-20260815.md,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T08:00:00Z,1,not_mechanically_checkable
14,sqlite,query-file-conventions,"An ad-hoc SQL scratch file worth keeping lives under scripts/SQLite/{IBA_DB,Research_DB}/ (one subfolder per database it targets) -- DECIDED authoritative, 2026-09-03, researcher direct instruction, superseding the flat scripts/SQLite_-prefix form this rule originally named (3 files still used that form, 9 already used the folder form -- the folder form wins). Named for what it actually checks, hyphens not spaces/underscores (naming-shape), never left untitled. A file worth re-running is committed like any other script; a genuinely one-off query that has been answered is archived (scripts/archive/), not deleted and not left cluttering the live folder.",Workflow/SQLite/sqlite-extension-best-practice-v1-20260815.md,"BUILT + FIXED 2026-09-03, escalation #1384/researcher instruction: cfgquality.find_query_file_convention_violations(), wired into configmaint.validate + CONFIG-REPORT.md. All live violations fixed in the same pass: 3 flat scripts/SQLite_-prefix files relocated into scripts/SQLite/Research_DB/ (they target bible_research.db), 4 space-containing filenames hyphenated, 1 untitled file given a real name (explore-cfg-column.sqlite3-query). Verified live: 0 violations after. Detection-only -- auto-rename itself intentionally left to a separate tool, not folded into the read-only validate step.",2026-08-18T08:00:00Z,1,mechanically_enforced
15,documentation,obsidian-copy-not-authoritative,"An Obsidian-edited copy of a DB-generated `.md` file is never authoritative. The database row is the source of truth for prose, findings, and config -- editing the file doesn't change the database, and a regenerated export overwrites the edit.",Workflow/Obsidian/obsidian-usage-guide-v1-20260815.md,"INACTIVATED 2026-09-03, escalation #1386: Obsidian integration not yet fully deployed and crashes -- no cfg_setting/cfg_step exists for it at all, nothing real to enforce yet. Reactivate once #1386 fixes the actual deployment.",2026-08-18T08:00:00Z,0,deliberately_deferred
16,chat,askuserquestion-banned,"The AskUserQuestion tool is never used in this project (blocked at config level, `.claude/settings.json` permissions.deny, after three prior memory-only warnings failed). A question answerable from the DB/code is investigated and answered with facts, not asked. A genuine researcher judgement call is written to a `.md` review file with options and a decision blank, pointed to in plain chat. A single short clarifying question with no real menu of options is asked in plain chat text.",docs/interaction-preferences.md 'AskUserQuestion Tool — BANNED'; CLAUDE.md top banner,"MECHANICALLY ENFORCED, not just checked -- 'AskUserQuestion' is a hard tool-permission block in .claude/settings.json (permissions.deny), verified live 2026-09-03: any call to the tool is refused by the harness before Claude can even attempt it, not merely flagged after the fact. The rest of this rule (investigate-and-answer, .md review file for genuine judgement calls, plain-chat questions) is behavioural discipline around the ban, not itself mechanically checked -- that half remains open, tracked at escalation #1384.",2026-08-18T09:30:00Z,1,mechanically_enforced
17,chat,confirm-before-nontrivial-work,"Before executing a non-trivial instruction, the instruction is summarised as understood, the planned approach/scope/files-affected are stated, and explicit approval is waited for before proceeding. Trivial single-step tasks are exempt. Once a plan is explicitly approved, its individual steps proceed without re-confirming each one — see `proceed-autonomously-once-rules-are-stable`.",docs/interaction-preferences.md 'Instruction Confirmation Protocol'; CLAUDE.md §9 #1,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
18,chat,output-to-file-not-chat-only,"All substantive output and workings (analysis, plans, decisions, intermediate results, reports) are written to a `.md` file before being presented; chat carries only alerts, a brief summary, and a pointer to the file — never the full deliverable in chat alone.",docs/interaction-preferences.md 'Output & Workings Stream Protocol'; CLAUDE.md §9 #2,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
19,chat,factual-discipline-no-guessing,"Work proceeds only from explicit, verified facts. Guessing, unstated assumptions, and filling gaps with speculation are not permitted; when information is missing or unclear, work stops and a real question is asked (never via AskUserQuestion) before proceeding. Distinct from `llm_output.inferential-not-confirmed`, which labels content already produced — this rule governs not proceeding at all without the facts.",docs/interaction-preferences.md 'Factual Discipline Protocol'; CLAUDE.md §9 #3,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
20,chat,cost-awareness-flag-cheaper-path,"Where a task can be done more cheaply without sacrificing the outcome, the cheaper path is advised before acting — flagging a more expensive model on routine work, a whole-file read where targeted Read/Grep would do, a subagent where a direct query is enough, a duplicate artefact, or a live run where dry-run-then-live is safer.",CLAUDE.md §9 #6 'Cost Awareness',"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
21,chat,chat-items-become-escalations,"A genuine open item, discovered anomaly, or judgement call raised or surfaced in chat conversation is recorded as an escalation in the same turn it's identified, not left standing only in chat prose. Full rule (including the closed-decision exemption) and its mechanical enforcement live at `cfg_escalation.chat_routing` — this row is a pointer into that table, not a restatement, per `documentation.single-authority-pointer-not-copy`.","cfg_escalation.chat_routing (existing row, cross-referenced not duplicated)","DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
22,chat,proceed-autonomously-once-rules-are-stable,"Once a rule or plan is explicitly set and stable, it is run to completion without stopping at every step to re-confirm — `confirm-before-nontrivial-work` governs starting new or non-trivial work, not re-litigating an already-approved plan's individual steps.",memory feedback_proceed_autonomously_on_stable_rules,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
23,chat,close-the-loop-not-just-report,"A review or investigation task is not complete at 'found it, here's a doc' — the fix is implemented, verified, and the verified outcome is reported, not just the finding, unless the task was explicitly scoped as investigation-only.",memory feedback_close_the_loop_not_just_investigate_and_report,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
24,chat,show-evidence-dont-smooth-over,"When reporting database state or investigation results, the actual query/sample data is shown, not a rounded-off or smoothed summary that hides messiness or uncertainty. A structural check passing (FK/not-null/enum) is a different claim from the values being fit for purpose, and reporting must not conflate the two.","memory feedback_verify_db_claims_via_visible_tooling, feedback_structural_validation_is_not_value_quality_validation","DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
25,terminal,readonly-commands-no-permission-needed,"Running a read-only command (checking system, file, or database state) needs no upfront permission. A command that modifies the database or codebase stays within the scope of an already-approved task.",docs/interaction-preferences.md 'PowerShell / Terminal Protocol',"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
26,terminal,git-commit-and-push-together,"A git commit and its push are one unit — a commit is never left unpushed. Commits happen incrementally across a session, as units of work complete, not only gathered at session end. Classified under `terminal` (not a separate class) per `governance.behaviour_boundary.git_commit`.",Workflow/Instructions/wa-operational-governance-v1_0-20260614.md §1; CLAUDE.md §12; memory feedback_commit_incrementally,"BUILT 2026-09-03, escalation #1384: cfgquality.find_unpushed_commits() (git rev-list --count @{u}..HEAD), wired into configmaint.validate + CONFIG-REPORT.md 'Unpushed commits' section. Verified live: 0 found (clean).",2026-08-18T09:30:00Z,1,mechanically_enforced
27,terminal,heredoc-powershell-only,"A multi-line here-string for a command argument is written in PowerShell syntax (`@'...'@`), never Bash heredoc syntax — the two terminal tools in this environment do not share that convention.",memory feedback_heredoc_only_in_powershell,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
28,terminal,diagnose-reported-errors-dont-route-around,"When the researcher pastes a console/terminal error, that error is the thing to diagnose and fix — it is never quietly routed around (completing the step a different way) with the step then reported as done. A reported failure is resolved or explicitly explained, not sidestepped.",memory feedback_dont_sidestep_reported_ps_errors,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
29,terminal,verify-fix-against-synthetic-and-real-case,"A fix is not reported as done until tested against both a synthetic bad-input case and real data; when the same fix is applied at multiple sites, each site is individually re-verified, not assumed fixed because the pattern matched elsewhere.",memory feedback_verify_before_reporting_fixed,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
30,sqlite,writes-must-be-replayable,"Study/analytic work is captured in the database via a replayable mechanism (a patch file the applicator can re-run, a registered utility, or an engine run) — an interactive/ad-hoc database mutation that cannot be replayed from a record is a durability risk, not a shortcut. Classified under `sqlite` (not a separate class) per `governance.behaviour_boundary.backup_recovery`. Direct incident: an uncaptured interactive mutation contributed to the 2026-06-03 DB-loss incident (~6 weeks of work lost).",Workflow/Instructions/wa-operational-governance-v1_0-20260614.md §2 'Core safeguard rule',Same judgment call as #12 (never-write-via-adhoc-tool) -- both need the same audit-trail-correlation mechanism to be mechanically checkable; scoping one scopes both.,2026-08-18T09:30:00Z,1,judgment_call_pending
31,documentation,guidance-baked-into-authoritative-record,"New researcher guidance, rules, corrective decisions, or method changes given during a session are captured in the authoritative record the same session — a `cfg_*` row where the content is config-governable per `governance.rules_must_be_config_driven`, otherwise the owning document named for that content type — not left standing only in a memory file or a one-off findings doc.",docs/interaction-preferences.md 'Bake Guidance into the Authoritative Instructions',"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
32,documentation,no-hedge-in-complete-records,"A record or report marked complete does not hedge with a 'see raw data if needed' pointer in place of a resolved answer — either the point is resolved directly, or it is flagged explicitly as unresolved. There is no quiet third option.",memory feedback_no_hedge_pointers_in_complete_records,"BUILT 2026-09-03, escalation #1384: cfg_behaviour_rule itself now carries a structured enforcement_status column (this very column) instead of relying on hedge-phrase text -- the exact drift this rule warns against, closed for THIS table. find_hedge_phrases_in_active_config() extends the same discipline to cfg_method_rule/cfg_setting (which have no equivalent structured column), wired into configmaint.validate + CONFIG-REPORT.md. Verified live: 3 found in cfg_setting, matching this audit's own manual findings exactly. Does NOT cover 'complete records' in the general sense (any report/investigation doc marked complete anywhere in the project) -- config-table scope only.",2026-08-18T09:30:00Z,1,partially_enforced
33,documentation,single-living-register-update-in-place,"An ongoing investigation or tracked-item register is one living document, updated in place as it evolves — reversed items are struck through or annotated, not deleted, and a second competing document for the same tracked set is never started.",memory feedback_single_living_register,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
34,documentation,source-of-truth-is-written-record,"A claim about project state, history, or a prior decision is grounded in the written record (files, database, manifest) and cited, not asserted from memory or recollection.",memory feedback_source_of_truth_is_written_record,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
35,documentation,consolidation-doc-must-be-load-bearing-or-retired,"A document created specifically to consolidate scattered operational rules is only as good as its live enforcement — if nothing in the actual startup/session-read path points to it, it is stale by construction and is retired (banner + pointer, provenance kept) rather than left to drift silently, however recently it was written or however strongly it claims to be canonical internally.","this sweep's own finding: wa-operational-governance-v1_0-20260614.md and docs/project-orientation-core-memory-map.md, both dated 2026-06-14, neither read by the current start-project skill or iba/app/GOVERNANCE.md — both retired 2026-08-18","JUDGMENT CALL, researcher decision needed: checkable in principle (does something in the actual startup/session-read path reference each 'consolidation' document) but requires a prerequisite inventory of WHICH existing documents count as 'consolidation docs' under this rule -- that inventory doesn't exist yet. Worth building it, or is this better caught case-by-case (as project-orientation-core-memory-map.md already was, 2026-08-18) rather than swept for systematically?",2026-08-18T09:30:00Z,1,judgment_call_pending
36,llm_output,no-unsubstantiated-superlatives,"A superlative claim ('most', 'clearest', 'strongest', and similar) is not written unless every candidate was actually checked against it — an unverified superlative is exactly the kind of unearned-confidence claim `inferential-not-confirmed` already forbids, made concrete.",memory feedback_avoid_unsubstantiated_superlatives,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
37,llm_output,derive-from-instruction-not-prior-unreviewed-output,"New analytical work is derived from the authoritative instruction document, never from a prior run's unreviewed output file used as an implicit template — an unreviewed pass may itself be wrong, and copying its shape propagates the error silently.",memory feedback_never_model_output_on_prior_unreviewed_pass,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T09:30:00Z,1,not_mechanically_checkable
38,development,root-fix-not-one-off,"A defect that is an instance of a class (a shared method, an extractor, a pipeline step is wrong) is fixed at the shared mechanism so every future case is correct, not remediated case-by-case while the mechanism stays broken. A one-off/per-item patch is rarely appropriate, and never appropriate when the problem may recur.","docs/interaction-preferences.md 'Root Fix, Not One-Off'; memory feedback_root_fix_not_one_off","DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T10:15:00Z,1,not_mechanically_checkable
39,development,simple-steps-not-engineered-designs,"Work is built in simple, direct steps. A machinery-heavy design (extra abstraction layers, generalised frameworks, speculative configurability) for a problem that a simple step would solve is overengineering, not thoroughness.",memory feedback_simple_steps_not_engineered_designs,"DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T10:15:00Z,1,not_mechanically_checkable
