id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted,verse_reference,verse_text,candidate_chars
18184,Rom,3404,1,30,1,30,Rom 1:30,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:30,"slanderers, haters of God, insolent, haughty, boastful, inventors of evil, disobedient to parents,","arrogant, evil/harm: evil, insolent man"
18185,Rom,23154,1,31,1,31,Rom 1:31,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:31,"foolish, faithless, heartless, ruthless.","merciless, senseless"
18186,Rom,8025,1,32,1,32,Rom 1:32,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:32,"Though they know God’s righteous decree that those who practice such things deserve to die, they not only do them but give approval to those who practice them.","righteous act, to come to know"
18187,Rom,14324,2,2,2,2,Rom 2:2,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:2,We know that the judgment of God rightly falls on those who practice such things.,to know
18188,Rom,20609,2,4,2,4,Rom 2:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:4,"Or do you presume on the riches of his kindness and forbearance and patience, not knowing that God’s kindness is meant to lead you to repentance?","good/kind, kindness, patience, repentance, to despise"
18189,Rom,566,2,5,2,5,Rom 2:5,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:5,But because of your hard and impenitent heart you are storing up wrath for yourself on the day of wrath when God’s righteous judgment will be revealed.,"hardness, heart, justice, wrath"
18190,Rom,18529,2,7,2,7,Rom 2:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:7,"to those who by patience in well-doing seek for glory and honor and immortality, he will give eternal life;","good, perseverance, to seek"
18191,Rom,536,2,8,2,8,Rom 2:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:8,"but for those who are self-seeking and do not obey the truth, but obey unrighteousness, there will be wrath and fury.",wrath
18192,Rom,1223,2,9,2,9,Rom 2:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:9,"There will be tribulation and distress for every human being who does evil, the Jew first and also the Greek,","evil/harm: evil, soul"
18193,Rom,19236,2,10,2,10,Rom 2:10,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:10,"but glory and honor and peace for everyone who does good, the Jew first and also the Greek.","good, peace"
18194,Rom,14356,2,12,2,12,Rom 2:12,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:12,"For all who have sinned without the law will also perish without the law, and all who have sinned under the law will be judged by the law.",to sin
18195,Rom,8026,2,13,2,13,Rom 2:13,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:13,"For it is not the hearers of the law who are righteous before God, but the doers of the law who will be justified.",to justify
18196,Rom,15046,2,15,2,15,Rom 2:15,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:15,"They show that the work of the law is written on their hearts, while their conscience also bears witness, and their conflicting thoughts accuse or even excuse them","conscience, heart, thought"
18197,Rom,3409,2,17,2,17,Rom 2:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:17,But if you call yourself a Jew and rely on the law and boast in God,"to name, to rest/rely on"
18198,Rom,18545,2,18,2,18,Rom 2:18,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:18,"and know his will and approve what is excellent, because you are instructed from the law;","to know, will/desire"
18199,Rom,27742,2,19,2,19,Rom 2:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:19,"and if you are sure that you yourself are a guide to the blind, a light to those who are in darkness,",blind
18200,Rom,23156,2,20,2,20,Rom 2:20,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:20,"an instructor of the foolish, a teacher of children, having in the law the embodiment of knowledge and truth —","foolish, knowledge"
18201,Rom,288,2,22,2,22,Rom 2:22,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:22,"You who say that one must not commit adultery, do you commit adultery? You who abhor idols, do you rob temples?","to abhor, to commit adultery"
18202,Rom,3410,2,23,2,23,Rom 2:23,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:23,You who boast in the law dishonor God by breaking the law.,"to dishonor, transgression"
18203,Rom,9181,2,24,2,24,Rom 2:24,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:24,"For, as it is written, “The name of God is blasphemed among the Gentiles because of you.”",name
18204,Rom,25879,2,26,2,26,Rom 2:26,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:26,"So, if a man who is uncircumcised keeps the precepts of the law, will not his uncircumcision be regarded as circumcision?",righteous act
18205,Rom,26507,2,28,2,28,Rom 2:28,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:28,"For no one is a Jew who is merely one outwardly, nor is circumcision outward and physical.",flesh
18206,Rom,8027,2,29,2,29,Rom 2:29,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 2:29,"But a Jew is one inwardly, and circumcision is a matter of the heart, by the Spirit, not by the letter. His praise is not from man but from God.","heart, praise, spirit/breath: spirit"
18207,Rom,22639,3,2,3,2,Rom 3:2,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:2,"Much in every way. To begin with, the Jews were entrusted with the oracles of God.",to trust (in)
18208,Rom,22566,3,3,3,3,Rom 3:3,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:3,What if some were unfaithful? Does their faithlessness nullify the faithfulness of God?,"faith, unbelief"
18209,Rom,14358,3,4,3,4,Rom 3:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:4,"By no means! Let God be true though every one were a liar, as it is written, “ That you may be justified in your words, and prevail when you are judged.”",to justify
18210,Rom,4361,3,5,3,5,Rom 3:5,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:5,"But if our unrighteousness serves to show the righteousness of God, what shall we say? That God is unrighteous to inflict wrath on us? ( I speak in a human way.)","righteousness, to say: will say, unjust"
18211,Rom,14360,3,7,3,7,Rom 3:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:7,"But if through my lie God’s truth abounds to his glory, why am I still being condemned as a sinner?","falsehood, sinful"
18212,Rom,4362,3,8,3,8,Rom 3:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:8,And why not do evil that good may come?— as some people slanderously charge us with saying. Their condemnation is just.,"evil/harm: evil, good"
18213,Rom,23623,3,9,3,9,Rom 3:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:9,"What then? Are we Jews any better off? No, not at all. For we have already charged that all, both Jews and Greeks, are under sin,",sin
18214,Rom,22906,3,11,3,11,Rom 3:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:11,no one understands; no one seeks for God.,"to seek out, to understand"
18215,Rom,16143,3,12,3,12,Rom 3:12,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:12,"All have turned aside; together they have become worthless; no one does good, not even one.”",kindness
18216,Rom,17232,3,13,3,13,Rom 3:13,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:13,“ Their throat is an open grave; they use their tongues to deceive.” “The venom of asps is under their lips.”,to deceive
18217,Rom,3308,3,14,3,14,Rom 3:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:14,“ Their mouth is full of curses and bitterness.”,"bitterness, curse"
18218,Rom,28902,3,16,3,16,Rom 3:16,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:16,"in their paths are ruin and misery,",ruin
18219,Rom,25904,3,17,3,17,Rom 3:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:17,and the way of peace they have not known.”,"peace, to know"
18220,Rom,2836,3,18,3,18,Rom 3:18,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:18,“There is no fear of God before their eyes.”,fear
18221,Rom,4363,3,19,3,19,Rom 3:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:19,"Now we know that whatever the law says it speaks to those who are under the law, so that every mouth may be stopped, and the whole world may be held accountable to God.",to know
18222,Rom,23624,3,20,3,20,Rom 3:20,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:20,"For by works of the law no human being will be justified in his sight, since through the law comes knowledge of sin.","flesh, knowledge, sin, to justify"
18223,Rom,6963,3,21,3,22,Rom 3:21-22,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:22,the righteousness of God through faith in Jesus Christ for all who believe. For there is no distinction:,"faith, righteousness, to trust (in)"
18223,Rom,6963,3,21,3,22,Rom 3:21-22,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:21,"But now the righteousness of God has been manifested apart from the law, although the Law and the Prophets bear witness to it—",righteousness
18224,Rom,19237,3,23,3,23,Rom 3:23,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:23,"for all have sinned and fall short of the glory of God,",to sin
18225,Rom,1773,3,24,3,24,Rom 3:24,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:24,"and are justified by his grace as a gift, through the redemption that is in Christ Jesus,","grace, to justify"
18226,Rom,22670,3,25,3,28,Rom 3:25-28,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:27,"Then what becomes of our boasting? It is excluded. By what kind of law? By a law of works? No, but by the law of faith.","faith, pride"
18226,Rom,22670,3,25,3,28,Rom 3:25-28,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:25,"whom God put forward as a propitiation by his blood, to be received by faith. This was to show God’s righteousness, because in his divine forbearance he had passed over former sins.","faith, righteousness, sin"
18226,Rom,22670,3,25,3,28,Rom 3:25-28,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:26,"It was to show his righteousness at the present time, so that he might be just and the justifier of the one who has faith in Jesus.","faith, righteousness, to justify"
18226,Rom,22670,3,25,3,28,Rom 3:25-28,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:28,For we hold that one is justified by faith apart from works of the law.,"faith, to justify"
18227,Rom,22673,3,30,3,31,Rom 3:30-31,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:31,"Do we then overthrow the law by this faith? By no means! On the contrary, we uphold the law.",faith
18227,Rom,22673,3,30,3,31,Rom 3:30-31,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 3:30,since God is one — who will justify the circumcised by faith and the uncircumcised through faith.,"faith, to justify"
18228,Rom,27862,4,1,4,1,Rom 4:1,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:1,"What then shall we say was gained by Abraham, our forefather according to the flesh?","flesh, to say: will say"
18229,Rom,3434,4,2,4,2,Rom 4:2,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:2,"For if Abraham was justified by works, he has something to boast about, but not before God.","pride, to justify"
18230,Rom,4364,4,3,4,3,Rom 4:3,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:3,"For what does the Scripture say? “ Abraham believed God, and it was counted to him as righteousness.”","righteousness, to trust (in)"
18231,Rom,8029,4,4,4,4,Rom 4:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:4,"Now to the one who works, his wages are not counted as a gift but as his due.",grace
18232,Rom,22640,4,5,4,6,Rom 4:5-6,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:6,just as David also speaks of the blessing of the one to whom God counts righteousness apart from works:,righteousness
18232,Rom,22640,4,5,4,6,Rom 4:5-6,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:5,"And to the one who does not work but believes in him who justifies the ungodly, his faith is counted as righteousness,","faith, righteousness, to justify, to trust (in)"
18233,Rom,23271,4,7,4,8,Rom 4:7-8,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:7,"“ Blessed are those whose lawless deeds are forgiven, and whose sins are covered;",sin
18233,Rom,23271,4,7,4,8,Rom 4:7-8,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:8,blessed is the man against whom the Lord will not count his sin.”,sin
18234,Rom,4366,4,9,4,9,Rom 4:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:9,"Is this blessing then only for the circumcised, or also for the uncircumcised? For we say that faith was counted to Abraham as righteousness.","faith, righteousness"
18235,Rom,22641,4,11,4,14,Rom 4:11-14,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:12,and to make him the father of the circumcised who are not merely circumcised but who also walk in the footsteps of the faith that our father Abraham had before he was circumcised.,faith
18235,Rom,22641,4,11,4,14,Rom 4:11-14,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:13,For the promise to Abraham and his offspring that he would be heir of the world did not come through the law but through the righteousness of faith.,"faith, righteousness"
18235,Rom,22641,4,11,4,14,Rom 4:11-14,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:11,"He received the sign of circumcision as a seal of the righteousness that he had by faith while he was still uncircumcised. The purpose was to make him the father of all who believe without being circumcised, so that righteousness would be counted to them as well,","faith, righteousness, to trust (in)"
18235,Rom,22641,4,11,4,14,Rom 4:11-14,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:14,"For if it is the adherents of the law who are to be the heirs, faith is null and the promise is void.",faith
18236,Rom,567,4,15,4,15,Rom 4:15,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:15,"For the law brings wrath, but where there is no law there is no transgression.","transgression, wrath"
18237,Rom,8033,4,16,4,16,Rom 4:16,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:16,"That is why it depends on faith, in order that the promise may rest on grace and be guaranteed to all his offspring — not only to the adherent of the law but also to the one who shares the faith of Abraham, who is the father of us all,","faith, grace"
18238,Rom,9010,4,17,4,18,Rom 4:17-18,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:18,"In hope he believed against hope, that he should become the father of many nations, as he had been told, “ So shall your offspring be.”","hope, to trust (in)"
18238,Rom,9010,4,17,4,18,Rom 4:17-18,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:17,"as it is written, “I have made you the father of many nations ”—in the presence of the God in whom he believed, who gives life to the dead and calls into existence the things that do not exist.","dead, to call: call, to trust (in)"
18239,Rom,22675,4,19,4,20,Rom 4:19-20,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:20,"No unbelief made him waver concerning the promise of God, but he grew strong in his faith as he gave glory to God,","faith, to judge/doubt, unbelief"
18239,Rom,22675,4,19,4,20,Rom 4:19-20,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:19,"He did not weaken in faith when he considered his own body, which was as good as dead ( since he was about a hundred years old ), or when he considered the barrenness of Sarah’s womb.","be weak: weak, faith, womb"
18240,Rom,24345,4,22,4,22,Rom 4:22,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:22,That is why his faith was “ counted to him as righteousness.”,righteousness
18241,Rom,8035,4,24,4,24,Rom 4:24,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:24,"but for ours also. It will be counted to us who believe in him who raised from the dead Jesus our Lord,","dead, to trust (in)"
18242,Rom,26587,4,25,4,25,Rom 4:25,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 4:25,who was delivered up for our trespasses and raised for our justification.,"justification, to deliver, trespass"
18243,Rom,1774,5,1,5,2,Rom 5:1-2,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:1,"Therefore, since we have been justified by faith, we have peace with God through our Lord Jesus Christ.","faith, peace, to justify"
18243,Rom,1774,5,1,5,2,Rom 5:1-2,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:2,"Through him we have also obtained access by faith into this grace in which we stand, and we rejoice in hope of the glory of God.","faith, grace, hope"
18244,Rom,1224,5,3,5,5,Rom 5:3-5,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:3,"Not only that, but we rejoice in our sufferings, knowing that suffering produces endurance,","perseverance, to know"
18244,Rom,1224,5,3,5,5,Rom 5:3-5,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:4,"and endurance produces character, and character produces hope,","hope, perseverance"
18244,Rom,1224,5,3,5,5,Rom 5:3-5,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:5,"and hope does not put us to shame, because God’s love has been poured into our hearts through the Holy Spirit who has been given to us.","heart, hope, love, spirit/breath: spirit, to dishonor"
18245,Rom,1775,5,6,5,6,Rom 5:6,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:6,"For while we were still weak, at the right time Christ died for the ungodly.",weak
18246,Rom,4559,5,7,5,7,Rom 5:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:7,For one will scarcely die for a righteous person — though perhaps for a good person one would dare even to die —,"be bold, good"
18247,Rom,1776,5,8,5,8,Rom 5:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:8,"but God shows his love for us in that while we were still sinners, Christ died for us.","love, sinful"
18248,Rom,568,5,9,5,10,Rom 5:9-10,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:9,"Since, therefore, we have now been justified by his blood, much more shall we be saved by him from the wrath of God.","to justify, to save, wrath"
18248,Rom,568,5,9,5,10,Rom 5:9-10,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:10,"For if while we were enemies we were reconciled to God by the death of his Son, much more, now that we are reconciled, shall we be saved by his life.",to save
18249,Rom,1777,5,11,5,11,Rom 5:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:11,"More than that, we also rejoice in God through our Lord Jesus Christ, through whom we have now received reconciliation.",reconciliation
18250,Rom,23626,5,12,5,13,Rom 5:12-13,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:12,"Therefore, just as sin came into the world through one man, and death through sin, and so death spread to all men because all sinned —","sin, to sin"
18250,Rom,23626,5,12,5,13,Rom 5:12-13,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:13,"for sin indeed was in the world before the law was given, but sin is not counted where there is no law.",sin
18251,Rom,8036,5,14,5,14,Rom 5:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:14,"Yet death reigned from Adam to Moses, even over those whose sinning was not like the transgression of Adam, who was a type of the one who was to come.","likeness, to sin, transgression"
18252,Rom,1778,5,15,5,18,Rom 5:15-18,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:15,"But the free gift is not like the trespass. For if many died through one man’s trespass, much more have the grace of God and the free gift by the grace of that one man Jesus Christ abounded for many.","grace, trespass"
18252,Rom,1778,5,15,5,18,Rom 5:15-18,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:17,"For if, because of one man’s trespass, death reigned through that one man, much more will those who receive the abundance of grace and the free gift of righteousness reign in life through the one man Jesus Christ.","grace, righteousness, trespass"
18252,Rom,1778,5,15,5,18,Rom 5:15-18,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:16,"And the free gift is not like the result of that one man’s sin. For the judgment following one trespass brought condemnation, but the free gift following many trespasses brought justification.","condemnation, righteous act, to sin, trespass"
18252,Rom,1778,5,15,5,18,Rom 5:15-18,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:18,"Therefore, as one trespass led to condemnation for all men, so one act of righteousness leads to justification and life for all men.","condemnation, justification, righteous act, trespass"
18253,Rom,20129,5,19,5,19,Rom 5:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:19,"For as by the one man’s disobedience the many were made sinners, so by the one man’s obedience the many will be made righteous.","disobedience, obedience, sinful"
18254,Rom,23542,5,20,5,21,Rom 5:20-21,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:21,"so that, as sin reigned in death, grace also might reign through righteousness leading to eternal life through Jesus Christ our Lord.","grace, righteousness, sin"
18254,Rom,23542,5,20,5,21,Rom 5:20-21,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 5:20,"Now the law came in to increase the trespass, but where sin increased, grace abounded all the more,","grace, sin, trespass"
18255,Rom,23543,6,1,6,2,Rom 6:1-2,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 6:1,What shall we say then? Are we to continue in sin that grace may abound?,"grace, sin, to say: will say"
18255,Rom,23543,6,1,6,2,Rom 6:1-2,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 6:2,By no means! How can we who died to sin still live in it?,sin
18256,Rom,1782,6,4,6,4,Rom 6:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 6:4,"We were buried therefore with him by baptism into death, in order that, just as Christ was raised from the dead by the glory of the Father, we too might walk in newness of life.",dead
