NO,WORD,SOURCE_LIST,CATEGORY_HINT,PHASE1_INPUT_FILE,PHASE1_STATUS,PHASE1_OUTPUT_FILE,PHASE2_DATASETS,NOTES
106,manipulation,See word_confidence_split,,,Pending,,,
107,meaning,See word_confidence_split,,,Pending,,,
108,meditation,See word_confidence_split,,,Pending,,,
109,meekness,See word_confidence_split,,,Pending,,,
110,memory,See word_confidence_split,,,Pending,,,
111,mercy,See word_confidence_split,,,Pending,,,
112,mind,See word_confidence_split,,,Pending,,,
113,mourning,See word_confidence_split,,,Pending,,,
114,obedience,See word_confidence_split,,,Pending,,,
115,passion,See word_confidence_split,,,Pending,,,
116,patience,See word_confidence_split,,,Pending,,,
117,peace,See word_confidence_split,,,Pending,,,
118,personality,See word_confidence_split,,,Pending,,,
119,personhood,See word_confidence_split,,,Pending,,,
120,perverseness,See word_confidence_split,,,Pending,,,
121,praise,See word_confidence_split,,,Pending,,,
122,prayer,See word_confidence_split,,,Pending,,,
123,pride,See word_confidence_split,,,Pending,,,
124,prophecy,See word_confidence_split,,,Pending,,,
125,purity,See word_confidence_split,,,Pending,,,
126,purpose,See word_confidence_split,,,Pending,,,
127,reasoning,See word_confidence_split,,,Pending,,,
128,rebellion,See word_confidence_split,,,Pending,,,
129,recognition,See word_confidence_split,,,Pending,,,
130,reconciliation,See word_confidence_split,,,Pending,,,
131,rejection,See word_confidence_split,,,Pending,,,
132,rejoicing,See word_confidence_split,,,Pending,,,
133,reliability,See word_confidence_split,,,Pending,,,
134,renewal,See word_confidence_split,,,Pending,,,
135,repentance,See word_confidence_split,,,Pending,,,
136,resentment,See word_confidence_split,,,Pending,,,
137,resolve,See word_confidence_split,,,Pending,,,
138,reverence,See word_confidence_split,,,Pending,,,
139,righteousness,See word_confidence_split,,,Pending,,,
140,seeking,See word_confidence_split,,,Pending,,,
141,self-awareness,See word_confidence_split,,,Pending,,,
142,self-control,See word_confidence_split,,,Pending,,,
143,sensitivity,See word_confidence_split,,,Pending,,,
144,sensuality,See word_confidence_split,,,Pending,,,
145,sexuality,See word_confidence_split,,,Pending,,,
146,shame,See word_confidence_split,,,Pending,,,
147,sin,See word_confidence_split,,,Pending,,,
148,sincerity,See word_confidence_split,,,Pending,,,
149,slander,See word_confidence_split,,,Pending,,,
150,sorcery,See word_confidence_split,,,Pending,,,
151,sorrow,See word_confidence_split,,,Pending,,,
152,strife,See word_confidence_split,,,Pending,,,
153,stubbornness,See word_confidence_split,,,Pending,,,
154,stupor,See word_confidence_split,,,Pending,,,
155,submission,See word_confidence_split,,,Pending,,,
156,surrender,See word_confidence_split,,,Pending,,,
157,temptation,See word_confidence_split,,,Pending,,,
158,terror,See word_confidence_split,,,Pending,,,
159,testimony,See word_confidence_split,,,Pending,,,
160,thought,See word_confidence_split,,,Pending,,,
161,transformation,See word_confidence_split,,,Pending,,,
162,transgression,See word_confidence_split,,,Pending,,,
163,trust,See word_confidence_split,,,Pending,,,
164,truthfulness,See word_confidence_split,,,Pending,,,
165,unbelief,See word_confidence_split,,,Pending,,,
166,understanding,See word_confidence_split,,,Pending,,,
167,unity,See word_confidence_split,,,Pending,,,
168,uprightness,See word_confidence_split,,,Pending,,,
169,vulnerability,See word_confidence_split,,,Pending,,,
170,weakness,See word_confidence_split,,,Pending,,,
171,whoredom,See word_confidence_split,,,Pending,,,
172,wickedness,See word_confidence_split,,,Pending,,,
173,will,See word_confidence_split,,,Pending,,,
174,wisdom,See word_confidence_split,,,Pending,,,
175,wonder,See word_confidence_split,,,Pending,,,
176,worship,See word_confidence_split,,,Pending,,,
177,worth,See word_confidence_split,,,Pending,,,
178,wrath,See word_confidence_split,,,Pending,,,
179,yearning,See word_confidence_split,,,Pending,,,
180,yielding,See word_confidence_split,,,Pending,,,
181,zeal,See word_confidence_split,,,Pending,,,
