strong,gloss,cluster_code,cluster_label,source,confidence,review_flag,keep (fill in Y/blank)
G1373,thirst,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G1373,thirst,M29,Desire,auto-precedent,,0,
G1476,steadfast,M23,Strength & Courage,heuristic-family-grouping-v1-20260905,heuristic,0,
G1476,steadfast,M34,Patience & Perseverance,llm-allocation-v1_3-20260811,low,1,
G1605,be astonished,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
G1605,be astonished,M48,Astonishment & Wonder,heuristic-family-grouping-v1-20260905,heuristic,0,
G1611,amazement,M01,Fear & Awe,llm-allocation-v1_3-20260811,high,0,
G1611,amazement,M48,Astonishment & Wonder,heuristic-family-grouping-v1-20260905,heuristic,0,
G1834,to tell,M42,Prayer & Petition,auto-precedent,,0,
G1834,to tell,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G1872,to follow after,M21,Fasting & Piety,llm-allocation-v1_3-20260811,medium,0,
G1872,to follow after,M76,Walk & Conduct,heuristic-family-grouping-v1-20260905,heuristic,0,
G1879,to rest/rely on,M19,Trust & Refuge,heuristic-family-grouping-v1-20260905,heuristic,0,
G1879,to rest/rely on,M33,Rest & Peace,llm-allocation-v1_3-20260811,medium,0,
G1951,to call/choose,M37,Firstborn & Foreknowledge,llm-allocation-v1_3-20260811,medium,0,
G1951,to call/choose,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G1955,explanation,M15,Knowing & Understanding,auto-precedent,,0,
G1955,explanation,M43,Prophecy & Vision,heuristic-family-grouping-v1-20260905,heuristic,0,
G2019,to shout,M22,Praise & Song,llm-allocation-v1_3-20260811,high,0,
G2019,to shout,M84,Outcry & Shouting,heuristic-family-grouping-v1-20260905,heuristic,0,
G2050,devastation,M27,Evil,auto-precedent,,0,
G2050,devastation,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
G2071,will be,M29,Desire,llm-allocation-v1_3-20260811,medium,0,
G2071,will be,M64,Will & Resolve,heuristic-family-grouping-v1-20260905,heuristic,0,
G20833,yearn for,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G20833,yearn for,M29,Desire,llm-allocation-v1_3-20260811,low,1,
G2097,to speak good news,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
G2097,to speak good news,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G2132,to reconcile,M05,Kindness & Friendship,heuristic-family-grouping-v1-20260905,heuristic,0,
G2132,to reconcile,M11,Turning & Repentance,auto-precedent,,0,
G2172,to pray/wish for,M21,Fasting & Piety,llm-allocation-v1_3-20260811,medium,0,
G2172,to pray/wish for,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G2190,enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G2190,enemy,M44,Covenant & Fellowship,auto-precedent,,0,
G2208,Zealot,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G2208,Zealot,M21,Fasting & Piety,auto-precedent,,0,
G2213,a question/dispute,M02,Anger & Wrath,llm-allocation-v1_3-20260811,medium,0,
G2213,a question/dispute,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,heuristic,0,
G2352,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
G2352,to crush,M24,Faintness & Despair,auto-precedent,,0,
G2428,supplication,M21,Fasting & Piety,auto-precedent,,0,
G2428,supplication,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G2556H,evil/harm: harm,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
G2556H,evil/harm: harm,M58,Wickedness,heuristic-family-grouping-v1-20260905,heuristic,0,
G2564H,to call: name,M37,Firstborn & Foreknowledge,llm-allocation-v1_3-20260811,medium,0,
G2564H,to call: name,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G2567,teaching good,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
G2567,teaching good,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
G2581,Zealot,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G2581,Zealot,M21,Fasting & Piety,auto-precedent,,0,
G2594,to endure,M34,Patience & Perseverance,heuristic-family-grouping-v1-20260905,heuristic,0,
G2594,to endure,M35,Being Tested,llm-allocation-v1_3-20260811,medium,0,
G2652,curse,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G2652,curse,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G2671,curse,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G2671,curse,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G2679,to ruin,M27,Evil,llm-allocation-v1_3-20260811,high,0,
G2679,to ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
G2692,ruin,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
G2692,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
G2706,to despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,high,0,
G2706,to despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G2870,lamentation,M03,Grief & Lament,heuristic-family-grouping-v1-20260905,heuristic,0,
G2870,lamentation,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
G2880,to satisfy,M38,Restoration & Revival,heuristic-family-grouping-v1-20260905,heuristic,0,
G2880,to satisfy,M46,Wealth & Riches,auto-precedent,,0,
G2905,to shout,M22,Praise & Song,llm-allocation-v1_3-20260811,high,0,
G2905,to shout,M84,Outcry & Shouting,heuristic-family-grouping-v1-20260905,heuristic,0,
G3039,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
G3039,to crush,M24,Faintness & Despair,auto-precedent,,0,
G3140,to testify,M13,Faith & Faithfulness,llm-allocation-v1_3-20260811,high,0,
G3140,to testify,M35,Being Tested,heuristic-family-grouping-v1-20260905,heuristic,0,
G3143,to testify,M13,Faith & Faithfulness,auto-precedent,,0,
G3143,to testify,M35,Being Tested,heuristic-family-grouping-v1-20260905,heuristic,0,
G3191,to meditate/plot,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,medium,0,
G3191,to meditate/plot,M15,Knowing & Understanding,heuristic-family-grouping-v1-20260905,heuristic,0,
G3437,complaint,M03,Grief & Lament,llm-allocation-v1_3-20260811,high,0,
G3437,complaint,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G3643,to despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,high,0,
G3643,to despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G3680,reproach,M06,Malice & Enmity,llm-allocation-v1_3-20260811,high,0,
G3680,reproach,M07,Shame & Confusion,heuristic-family-grouping-v1-20260905,heuristic,0,
G3716,be upright,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
G3716,be upright,M13,Faith & Faithfulness,llm-allocation-v1_3-20260811,medium,0,
G3717,upright,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
G3717,upright,M26,Judgment & Condemnation,llm-allocation-v1_3-20260811,high,0,
G3801,"was, is, will be",M29,Desire,llm-allocation-v1_3-20260811,medium,0,
G3801,"was, is, will be",M64,Will & Resolve,heuristic-family-grouping-v1-20260905,heuristic,0,
G3809,discipline,M15,Knowing & Understanding,auto-precedent,,0,
G3809,discipline,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
G3831,assembly,M05,Kindness & Friendship,auto-precedent,,0,
G3831,assembly,M44,Covenant & Fellowship,heuristic-family-grouping-v1-20260905,heuristic,0,
G3834,craftiness,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,high,0,
G3834,craftiness,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
G3835,crafty,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,low,1,
G3835,crafty,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
G3859,contention,M02,Anger & Wrath,llm-allocation-v1_3-20260811,low,1,
G3859,contention,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
G3868,to refuse/excuse,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
G3868,to refuse/excuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G3889,comfort,M33,Rest & Peace,llm-allocation-v1_3-20260811,high,0,
G3889,comfort,M38,Restoration & Revival,heuristic-family-grouping-v1-20260905,heuristic,0,
G3942,proverb,M23,Strength & Courage,auto-precedent,,0,
G3942,proverb,M35,Being Tested,heuristic-family-grouping-v1-20260905,heuristic,0,
G4037,to await,M17,Counsel,auto-precedent,,0,
G4037,to await,M68,Hope & Waiting,heuristic-family-grouping-v1-20260905,heuristic,0,
G4065,to despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,high,0,
G4065,to despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G4283,to speak good news,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
G4283,to speak good news,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G4337,to watch out,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
G4337,to watch out,M74,Keeping & Guarding,heuristic-family-grouping-v1-20260905,heuristic,0,
G4483,to say: will say,M29,Desire,llm-allocation-v1_3-20260811,medium,0,
G4483,to say: will say,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G4573,to worship,M22,Praise & Song,llm-allocation-v1_3-20260811,high,0,
G4573,to worship,M36,Worship & Service,heuristic-family-grouping-v1-20260905,heuristic,0,
G4574,object of worship,M21,Fasting & Piety,llm-allocation-v1_3-20260811,low,1,
G4574,object of worship,M36,Worship & Service,heuristic-family-grouping-v1-20260905,heuristic,0,
G4648,to watch out,M06,Malice & Enmity,auto-precedent,,0,
G4648,to watch out,M74,Keeping & Guarding,heuristic-family-grouping-v1-20260905,heuristic,0,
G4722,to endure,M34,Patience & Perseverance,heuristic-family-grouping-v1-20260905,heuristic,0,
G4722,to endure,M35,Being Tested,llm-allocation-v1_3-20260811,medium,0,
G4778,to suffer with,M03,Grief & Lament,llm-allocation-v1_3-20260811,medium,0,
G4778,to suffer with,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
G4779,to call together,M37,Firstborn & Foreknowledge,llm-allocation-v1_3-20260811,medium,0,
G4779,to call together,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G4938,ruin,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
G4938,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
G4945,plot,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G4945,plot,M14,Deceit & Falsehood,auto-precedent,,0,
G5135,to wound,M03,Grief & Lament,auto-precedent,,0,
G5135,to wound,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
G5251,to exalt,M08,Pride & Arrogance,auto-precedent,,0,
G5251,to exalt,M22,Praise & Song,heuristic-family-grouping-v1-20260905,heuristic,0,
G5255,obedient,M30,Rebellion & Stubbornness,llm-allocation-v1_3-20260811,low,1,
G5255,obedient,M54,Torah & Obedience,heuristic-family-grouping-v1-20260905,heuristic,0,
G5297,to endure,M34,Patience & Perseverance,heuristic-family-grouping-v1-20260905,heuristic,0,
G5297,to endure,M35,Being Tested,llm-allocation-v1_3-20260811,medium,0,
G5396,to talk nonsense,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,medium,0,
G5396,to talk nonsense,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G5536,money,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
G5536,money,M46,Wealth & Riches,heuristic-family-grouping-v1-20260905,heuristic,0,
G5577,false testimony,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,medium,0,
G5577,false testimony,M54,Torah & Obedience,heuristic-family-grouping-v1-20260905,heuristic,0,
G5581,falsely called,M31,Faith,llm-allocation-v1_3-20260811,medium,0,
G5581,falsely called,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G5603,song,M22,Praise & Song,heuristic-family-grouping-v1-20260905,heuristic,0,
G5603,song,M42,Prayer & Petition,auto-precedent,,0,
G6141,be despised,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
G6141,be despised,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G6177,innocence,M07,Shame & Confusion,llm-allocation-v1_3-20260811,high,0,
G6177,innocence,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
G6285,to call by name,M37,Firstborn & Foreknowledge,llm-allocation-v1_3-20260811,medium,0,
G6285,to call by name,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G6306,not be turned away,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G6306,not be turned away,M11,Turning & Repentance,heuristic-family-grouping-v1-20260905,heuristic,0,
G6882,perverseness,M10,Violence & Cruelty,llm-allocation-v1_3-20260811,low,1,
G6882,perverseness,M14,Deceit & Falsehood,heuristic-family-grouping-v1-20260905,heuristic,0,
G7099,to call forth,M37,Firstborn & Foreknowledge,llm-allocation-v1_3-20260811,medium,0,
G7099,to call forth,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G7114,craving,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G7114,craving,M29,Desire,llm-allocation-v1_3-20260811,low,1,
G7115,to call into account,M37,Firstborn & Foreknowledge,llm-allocation-v1_3-20260811,medium,0,
G7115,to call into account,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
G7244,inner thought,M15,Knowing & Understanding,llm-allocation-v1_3-20260811,medium,0,
G7244,inner thought,M47,Inner Seat,heuristic-family-grouping-v1-20260905,heuristic,0,
G7353,a contemptible thing,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G7353,a contemptible thing,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
G7361,to renew,M38,Restoration & Revival,heuristic-family-grouping-v1-20260905,heuristic,0,
G7361,to renew,M45,Renewal & Transformation,llm-allocation-v1_3-20260811,high,0,
G7410,desire,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G7410,desire,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
G7534,to enjoy good health,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
G7534,to enjoy good health,M38,Restoration & Revival,heuristic-family-grouping-v1-20260905,heuristic,0,
G7589,be an enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G7589,be an enemy,M44,Covenant & Fellowship,llm-allocation-v1_3-20260811,medium,0,
G7600,jealousy,M02,Anger & Wrath,llm-allocation-v1_3-20260811,high,0,
G7600,jealousy,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G7601,jealousy,M02,Anger & Wrath,llm-allocation-v1_3-20260811,high,0,
G7601,jealousy,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G7683,boldness,M23,Strength & Courage,heuristic-family-grouping-v1-20260905,heuristic,0,
G7683,boldness,M34,Patience & Perseverance,llm-allocation-v1_3-20260811,high,0,
G7686,bold,M23,Strength & Courage,heuristic-family-grouping-v1-20260905,heuristic,0,
G7686,bold,M34,Patience & Perseverance,llm-allocation-v1_3-20260811,medium,0,
G7906,a curse,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G7906,a curse,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G7929,to groan,M03,Grief & Lament,heuristic-family-grouping-v1-20260905,heuristic,0,
G7929,to groan,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
G7936,to delight,M04,Joy & Gladness,llm-allocation-v1_3-20260811,high,0,
G7936,to delight,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G8013,to crave for strange food,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G8013,to crave for strange food,M29,Desire,llm-allocation-v1_3-20260811,low,1,
G8146,be silent,M33,Rest & Peace,heuristic-family-grouping-v1-20260905,heuristic,0,
G8146,be silent,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
G8156,power of speech,M23,Strength & Courage,llm-allocation-v1_3-20260811,medium,0,
G8156,power of speech,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
G8298,repentance,M11,Turning & Repentance,heuristic-family-grouping-v1-20260905,heuristic,0,
G8298,repentance,M45,Renewal & Transformation,llm-allocation-v1_3-20260811,high,0,
G8485,be faint-hearted,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
G8485,be faint-hearted,M47,Inner Seat,heuristic-family-grouping-v1-20260905,heuristic,0,
H0185,desire,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
H0185,desire,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
H0239,to ponder,M15,Knowing & Understanding,heuristic-family-grouping-v1-20260905,heuristic,0,
H0239,to ponder,M41,Being Heard,llm-allocation-v1_3-20260811,medium,0,
H0263,explanation,M15,Knowing & Understanding,auto-precedent,,0,
H0263,explanation,M43,Prophecy & Vision,heuristic-family-grouping-v1-20260905,heuristic,0,
H0404,to crave,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
H0404,to crave,M29,Desire,llm-allocation-v1_3-20260811,low,1,
H0535,to weaken,M03,Grief & Lament,llm-allocation-v1_3-20260811,medium,0,
H0535,to weaken,M73,Sickness & Weakness,heuristic-family-grouping-v1-20260905,heuristic,0,
H0602,to groan,M03,Grief & Lament,heuristic-family-grouping-v1-20260905,heuristic,0,
H0602,to groan,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
H0830H,refuse,M27,Evil,auto-precedent,,0,
H0830H,refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H0936,to despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,high,0,
H0936,to despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H0972,chosen,M29,Desire,auto-precedent,,0,
H0972,chosen,M64,Will & Resolve,heuristic-family-grouping-v1-20260905,heuristic,0,
H0973B,be greedy,M05,Kindness & Friendship,llm-allocation-v1_3-20260811,medium,0,
H0973B,be greedy,M28,Envy & Greed,heuristic-family-grouping-v1-20260905,heuristic,0,
H0981,to speak rashly,M42,Prayer & Petition,llm-allocation-v1_3-20260811,low,1,
H0981,to speak rashly,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H1069,to be/bear firstborn,M37,Firstborn & Foreknowledge,llm-allocation-v1_3-20260811,medium,0,
H1069,to be/bear firstborn,M70,Lifting & Bearing,heuristic-family-grouping-v1-20260905,heuristic,0,
H1159,petition,M21,Fasting & Piety,llm-allocation-v1_3-20260811,high,0,
H1159,petition,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
H1215,unjust-gain,M10,Violence & Cruelty,llm-allocation-v1_3-20260811,medium,0,
H1215,unjust-gain,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
H1319,to bear tidings,M41,Being Heard,llm-allocation-v1_3-20260811,medium,0,
H1319,to bear tidings,M70,Lifting & Bearing,heuristic-family-grouping-v1-20260905,heuristic,0,
H1422,taunt,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
H1422,taunt,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H1500,violence,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H1500,violence,M27,Evil,auto-precedent,,0,
H1696G,to speak: speak,M42,Prayer & Petition,llm-allocation-v1_3-20260811,low,1,
H1696G,to speak: speak,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H1696I,to speak: promise,M42,Prayer & Petition,llm-allocation-v1_3-20260811,low,1,
H1696I,to speak: promise,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H1697I,word: thing,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
H1697I,word: thing,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H1800,poor,M09,Humility & Lowliness,heuristic-family-grouping-v1-20260905,heuristic,0,
H1800,poor,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
H1854,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H1854,to crush,M24,Faintness & Despair,auto-precedent,,0,
H1907,counselor,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
H1907,counselor,M17,Counsel,auto-precedent,,0,
H2049,mockery,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
H2049,mockery,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H2050,to plot,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H2050,to plot,M14,Deceit & Falsehood,auto-precedent,,0,
H2107,to lavish/despise,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
H2107,to lavish/despise,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H2115,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H2115,to crush,M24,Faintness & Despair,auto-precedent,,0,
H2136,innocence,M07,Shame & Confusion,llm-allocation-v1_3-20260811,high,0,
H2136,innocence,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
H2318,to renew,M38,Restoration & Revival,heuristic-family-grouping-v1-20260905,heuristic,0,
H2318,to renew,M45,Renewal & Transformation,llm-allocation-v1_3-20260811,high,0,
H2449,be wise,M15,Knowing & Understanding,llm-allocation-v1_3-20260811,medium,0,
H2449,be wise,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
H2479,anguish,M03,Grief & Lament,llm-allocation-v1_3-20260811,high,0,
H2479,anguish,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H2556C,to oppress,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H2556C,to oppress,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
H2559,to turn away,M06,Malice & Enmity,auto-precedent,,0,
H2559,to turn away,M11,Turning & Repentance,heuristic-family-grouping-v1-20260905,heuristic,0,
H2638,lacking,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
H2638,lacking,M24,Faintness & Despair,auto-precedent,,0,
H2763A,to devote/destroy,M10,Violence & Cruelty,llm-allocation-v1_3-20260811,medium,0,
H2763A,to devote/destroy,M51,Love & Devotion,heuristic-family-grouping-v1-20260905,heuristic,0,
H2764A,devoted thing,M28,Envy & Greed,llm-allocation-v1_3-20260811,medium,0,
H2764A,devoted thing,M51,Love & Devotion,heuristic-family-grouping-v1-20260905,heuristic,0,
H2933,to defile,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
H2933,to defile,M56,Sin & Guilt,heuristic-family-grouping-v1-20260905,heuristic,0,
H2986,to conduct,M22,Praise & Song,auto-precedent,,0,
H2986,to conduct,M76,Walk & Conduct,heuristic-family-grouping-v1-20260905,heuristic,0,
H3018,toil,M03,Grief & Lament,llm-allocation-v1_3-20260811,medium,0,
H3018,toil,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H3191,be good,M05,Kindness & Friendship,heuristic-family-grouping-v1-20260905,heuristic,0,
H3191,be good,M39,Gift & Favor,llm-allocation-v1_3-20260811,medium,0,
H3238,to oppress,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H3238,to oppress,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
H3272A,to counsel,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
