registry_word,status,source,strongNumber,stepGloss,language,count,sense_head
Soul,raw-complete,legacy registry: Programme Addition,G5590I,soul: myself,Greek,6,soul: myself
Soul,raw-complete,legacy registry: Programme Addition,G5590J,soul: person,Greek,10,soul: person
Soul,raw-complete,legacy registry: Programme Addition,G5590K,soul: animal,Greek,1,soul: animal
Soul,raw-complete,legacy registry: Programme Addition,H4578,belly,Hebrew,32,belly
Soul,raw-complete,legacy registry: Programme Addition,H5315G,soul,Hebrew,249,soul
Soul,raw-complete,legacy registry: Programme Addition,H5315H,soul: life,Hebrew,211,soul: life
Soul,raw-complete,legacy registry: Programme Addition,H5315I,soul: myself,Hebrew,133,soul: myself
Soul,raw-complete,legacy registry: Programme Addition,H5315J,soul: person,Hebrew,96,soul: person
Soul,raw-complete,legacy registry: Programme Addition,H5315K,soul: animal,Hebrew,13,soul: animal
Soul,raw-complete,legacy registry: Programme Addition,H5315L,soul: appetite,Hebrew,47,soul: appetite
Soul,raw-complete,legacy registry: Programme Addition,H5315M,soul: dead,Hebrew,13,soul: dead
Soul,raw-complete,legacy registry: Programme Addition,H5315N,soul: neck,Hebrew,2,soul: neck
Soul,raw-complete,legacy registry: Programme Addition,H5397,breath,Hebrew,24,breath
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",G2983,to take,Greek,1361,to take
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",G6103,incurable,Greek,1,incurable
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",G6345,incurable,Greek,9,incurable
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",G7474,incurring ridicule,Greek,1,incurring ridicule
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H0605,be incurable,Hebrew,9,be incurable
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H2470I,be weak: grieved,Hebrew,12,grieved/sorrowful
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H3511,pain,Hebrew,6,pain
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H4251,suffering,Hebrew,4,suffering
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H4341,pain,Hebrew,16,pain
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H5375J,to lift: guilt,Hebrew,39,look/lift(eyes)
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H6039,affliction,Hebrew,1,affliction
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H6040,affliction,Hebrew,36,affliction
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H6094,injury,Hebrew,5,injury
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H6869B,distress,Hebrew,70,distress
Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",H7185,to harden,Hebrew,28,to harden
abomination,raw-complete,legacy registry: Missing Inner Being Words,G0111,unlawful,Greek,2,unlawful
abomination,raw-complete,legacy registry: Missing Inner Being Words,G0655,to abhor,Greek,1,to abhor
abomination,raw-complete,legacy registry: Missing Inner Being Words,G0946,abomination,Greek,117,abomination
abomination,raw-complete,legacy registry: Missing Inner Being Words,G0947,abominable,Greek,2,abominable
abomination,raw-complete,legacy registry: Missing Inner Being Words,G0948,to abhor,Greek,34,to abhor
abomination,raw-complete,legacy registry: Missing Inner Being Words,G6662,abomination,Greek,2,abomination
abomination,raw-complete,legacy registry: Missing Inner Being Words,G8238,abomination,Greek,2,abomination
abomination,raw-complete,legacy registry: Missing Inner Being Words,H0887,to stink,Hebrew,20,to stink
abomination,raw-complete,legacy registry: Missing Inner Being Words,H2194,be indignant,Hebrew,12,be indignant
abomination,raw-complete,legacy registry: Missing Inner Being Words,H2214,loathsome,Hebrew,1,loathsome
abomination,raw-complete,legacy registry: Missing Inner Being Words,H4656,horror,Hebrew,4,horror
abomination,raw-complete,legacy registry: Missing Inner Being Words,H6292,refuse,Hebrew,4,refuse
abomination,raw-complete,legacy registry: Missing Inner Being Words,H8251,abomination,Hebrew,28,abomination
abomination,raw-complete,legacy registry: Missing Inner Being Words,H8262,to detest,Hebrew,7,to detest
abomination,raw-complete,legacy registry: Missing Inner Being Words,H8263,detestation,Hebrew,11,detestation
abomination,raw-complete,legacy registry: Missing Inner Being Words,H8441,abomination,Hebrew,120,abomination
abomination,raw-complete,legacy registry: Missing Inner Being Words,H8581,to abhor,Hebrew,22,to abhor
agony,raw-complete,legacy registry: Missing Inner Being Words,G0074,a struggle,Greek,1,a struggle
agony,raw-complete,legacy registry: Missing Inner Being Words,G0928H,to torture: anguish,Greek,4,to torture: anguish
agony,raw-complete,legacy registry: Missing Inner Being Words,G3600,be anguished,Greek,12,be anguished
agony,raw-complete,legacy registry: Missing Inner Being Words,G5604,labor,Greek,32,labor
agony,raw-complete,legacy registry: Missing Inner Being Words,H1518,to burst/come out,Hebrew,6,to burst/come out
agony,raw-complete,legacy registry: Missing Inner Being Words,H2256B,pain,Hebrew,9,pain
agony,raw-complete,legacy registry: Missing Inner Being Words,H2342I,to twist: writh in pain,Hebrew,25,writh in pain/wound
agony,raw-complete,legacy registry: Missing Inner Being Words,H2427A,agony,Hebrew,6,agony
agony,raw-complete,legacy registry: Missing Inner Being Words,H2427B,agony,Hebrew,1,agony
agony,raw-complete,legacy registry: Missing Inner Being Words,H7661,agony,Hebrew,1,agony
agony,raw-complete,legacy registry: Missing Inner Being Words,H8463,disease,Hebrew,5,disease
ambition,raw-complete,legacy registry: Low Confidence / Inferred,G2052,rivalry,Greek,7,rivalry
ambition,raw-complete,legacy registry: Low Confidence / Inferred,G5389,to aspire,Greek,3,to aspire
anger,raw-complete,legacy registry: High Confidence,G2042,to provoke/irritate,Greek,5,to provoke/irritate
anger,raw-complete,legacy registry: High Confidence,G2372,wrath,Greek,270,wrath
anger,raw-complete,legacy registry: High Confidence,G2373,to anger,Greek,63,to anger
anger,raw-complete,legacy registry: High Confidence,G3709,wrath,Greek,272,wrath
anger,raw-complete,legacy registry: High Confidence,G3710,to anger,Greek,68,to anger
anger,raw-complete,legacy registry: High Confidence,G3947,to provoke,Greek,47,to provoke
anger,raw-complete,legacy registry: High Confidence,G3949,to anger,Greek,53,to anger
anger,raw-complete,legacy registry: High Confidence,G3950,anger,Greek,8,anger
anger,raw-complete,legacy registry: High Confidence,G4292,to provoke,Greek,1,to provoke
anger,raw-complete,legacy registry: High Confidence,G7026,an object of anger,Greek,1,an object of anger
anger,raw-complete,legacy registry: High Confidence,G8318,vehement anger,Greek,3,vehement anger
anger,raw-complete,legacy registry: High Confidence,H0639G,face: anger,Hebrew,225,anger
anger,raw-complete,legacy registry: High Confidence,H0639H,face: nose,Hebrew,27,nose
anger,raw-complete,legacy registry: High Confidence,H0639I,face,Hebrew,24,face
anger,raw-complete,legacy registry: High Confidence,H0644,to bake,Hebrew,25,to bake
anger,raw-complete,legacy registry: High Confidence,H2195,indignation,Hebrew,22,indignation
anger,raw-complete,legacy registry: High Confidence,H2198,vexed,Hebrew,2,vexed
anger,raw-complete,legacy registry: High Confidence,H2528,rage,Hebrew,2,rage
anger,raw-complete,legacy registry: High Confidence,H2534,rage,Hebrew,125,rage
anger,raw-complete,legacy registry: High Confidence,H2552,to warm,Hebrew,21,to warm
anger,raw-complete,legacy registry: High Confidence,H2734,to be incensed,Hebrew,91,to be incensed
anger,raw-complete,legacy registry: High Confidence,H2740,burning anger,Hebrew,41,burning anger
anger,raw-complete,legacy registry: High Confidence,H3707,to provoke,Hebrew,56,to provoke
anger,raw-complete,legacy registry: High Confidence,H3708A,vexation,Hebrew,22,vexation
anger,raw-complete,legacy registry: High Confidence,H3708B,vexation,Hebrew,4,vexation
anger,raw-complete,legacy registry: High Confidence,H5006,to spurn,Hebrew,25,to spurn
anger,raw-complete,legacy registry: High Confidence,H5201,to keep,Hebrew,9,to keep
anger,raw-complete,legacy registry: High Confidence,H5307K,to fall: angry,Hebrew,2,angry/fallen(face)
anger,raw-complete,legacy registry: High Confidence,H5674B,be angry,Hebrew,7,be angry
anger,raw-complete,legacy registry: High Confidence,H5678,fury,Hebrew,34,fury
anger,raw-complete,legacy registry: High Confidence,H5860A,to scream,Hebrew,1,to scream
anger,raw-complete,legacy registry: High Confidence,H6440M,face: angry,Hebrew,2,angry/(fallen)face
anger,raw-complete,legacy registry: High Confidence,H7107,be angry,Hebrew,34,be angry
anger,raw-complete,legacy registry: High Confidence,H7110A,wrath,Hebrew,28,wrath
anger,raw-complete,legacy registry: High Confidence,H7110B,splinter,Hebrew,1,splinter
anger,raw-complete,legacy registry: High Confidence,H7265,to enrage,Hebrew,1,to enrage
anger,raw-complete,legacy registry: High Confidence,H7267,turmoil,Hebrew,7,turmoil
anger,raw-complete,legacy registry: High Confidence,H7307J,spirit: temper,Hebrew,10,temper
anger,raw-complete,legacy registry: High Confidence,H8474,to contend,Hebrew,2,to contend
anguish,raw-complete,legacy registry: Missing Inner Being Words,G0074,a struggle,Greek,1,a struggle
anguish,raw-complete,legacy registry: Missing Inner Being Words,G0928H,to torture: anguish,Greek,4,to torture: anguish
anguish,raw-complete,legacy registry: Missing Inner Being Words,G2347,pressure,Greek,145,pressure
anguish,raw-complete,legacy registry: Missing Inner Being Words,G3600,be anguished,Greek,12,be anguished
anguish,raw-complete,legacy registry: Missing Inner Being Words,G3601,anguish,Greek,60,anguish
anguish,raw-complete,legacy registry: Missing Inner Being Words,G4192,travail,Greek,58,travail
anguish,raw-complete,legacy registry: Missing Inner Being Words,G4730,hardship,Greek,11,hardship
anguish,raw-complete,legacy registry: Missing Inner Being Words,G4928,anguish,Greek,6,anguish
anguish,raw-complete,legacy registry: Missing Inner Being Words,H2256B,pain,Hebrew,9,pain
anguish,raw-complete,legacy registry: Missing Inner Being Words,H2342A,to twist: tremble,Hebrew,12,tremble/fear
anguish,raw-complete,legacy registry: Missing Inner Being Words,H2342B,be firm,Hebrew,3,be firm
anguish,raw-complete,legacy registry: Missing Inner Being Words,H2342H,to twist: give birth,Hebrew,9,give birth
anguish,raw-complete,legacy registry: Missing Inner Being Words,H2342I,to twist: writh in pain,Hebrew,25,writh in pain/wound
anguish,raw-complete,legacy registry: Missing Inner Being Words,H2342J,to twist: dance,Hebrew,10,dance/shake
anguish,raw-complete,legacy registry: Missing Inner Being Words,H2342K,to twist: anticipate,Hebrew,8,wait anxiously
anguish,raw-complete,legacy registry: Missing Inner Being Words,H2427A,agony,Hebrew,6,agony
anguish,raw-complete,legacy registry: Missing Inner Being Words,H2479,anguish,Hebrew,4,anguish
anguish,raw-complete,legacy registry: Missing Inner Being Words,H3015,sorrow,Hebrew,14,sorrow
anguish,raw-complete,legacy registry: Missing Inner Being Words,H4164,constraint,Hebrew,3,constraint
anguish,raw-complete,legacy registry: Missing Inner Being Words,H4689,distress,Hebrew,6,distress
anguish,raw-complete,legacy registry: Missing Inner Being Words,H4691,distress,Hebrew,7,distress
anguish,raw-complete,legacy registry: Missing Inner Being Words,H4712,terror,Hebrew,3,terror
anguish,raw-complete,legacy registry: Missing Inner Being Words,H4751,bitter,Hebrew,39,bitter
anguish,raw-complete,legacy registry: Missing Inner Being Words,H5100,groaning,Hebrew,2,groaning
anguish,raw-complete,legacy registry: Missing Inner Being Words,H5892A,excitement,Hebrew,2,excitement
anguish,raw-complete,legacy registry: Missing Inner Being Words,H5999,trouble,Hebrew,55,trouble
anguish,raw-complete,legacy registry: Missing Inner Being Words,H6088,to pain,Hebrew,1,to pain
anguish,raw-complete,legacy registry: Missing Inner Being Words,H6695B,anguish,Hebrew,3,anguish
anguish,raw-complete,legacy registry: Missing Inner Being Words,H6735C,pang,Hebrew,5,pang
anguish,raw-complete,legacy registry: Missing Inner Being Words,H6862B,distress,Hebrew,29,distress
anguish,raw-complete,legacy registry: Missing Inner Being Words,H6862C,enemy,Hebrew,74,enemy
anguish,raw-complete,legacy registry: Missing Inner Being Words,H6869B,distress,Hebrew,70,distress
anguish,raw-complete,legacy registry: Missing Inner Being Words,H7089,anguish,Hebrew,1,anguish
anguish,raw-complete,legacy registry: Missing Inner Being Words,H7115,shortness,Hebrew,1,shortness
anguish,raw-complete,legacy registry: Missing Inner Being Words,H7451C,distress: harm,Hebrew,157,harm
anguish,raw-complete,legacy registry: Missing Inner Being Words,H7661,agony,Hebrew,1,agony
anointing,raw-complete,legacy registry: Missing Inner Being Words,G0218,to anoint,Greek,29,to anoint
anointing,raw-complete,legacy registry: Missing Inner Being Words,G1472,to rub on,Greek,3,to rub on
anointing,raw-complete,legacy registry: Missing Inner Being Words,G2025,to rub on,Greek,2,to rub on
anointing,raw-complete,legacy registry: Missing Inner Being Words,G3462,to anoint,Greek,1,to anoint
anointing,raw-complete,legacy registry: Missing Inner Being Words,G5545,anointing,Greek,11,anointing
anointing,raw-complete,legacy registry: Missing Inner Being Words,G5547,Christ,Greek,644,Christ
anointing,raw-complete,legacy registry: Missing Inner Being Words,G5548,to anoint,Greek,79,to anoint
anointing,raw-complete,legacy registry: Missing Inner Being Words,G6221,an anointing,Greek,3,an anointing
anointing,raw-complete,legacy registry: Missing Inner Being Words,G8202,to anoint,Greek,6,to anoint
anointing,raw-complete,legacy registry: Missing Inner Being Words,H1101A,to mix,Hebrew,43,to mix
anointing,raw-complete,legacy registry: Missing Inner Being Words,H1878,to prosper,Hebrew,11,to prosper
anointing,raw-complete,legacy registry: Missing Inner Being Words,H3251,to pour,Hebrew,1,to pour
anointing,raw-complete,legacy registry: Missing Inner Being Words,H3332G,to pour: pour,Hebrew,32,pour
anointing,raw-complete,legacy registry: Missing Inner Being Words,H4473,expanded,Hebrew,1,expanded
anointing,raw-complete,legacy registry: Missing Inner Being Words,H4886,to anoint,Hebrew,70,to anoint
anointing,raw-complete,legacy registry: Missing Inner Being Words,H4887,oil,Hebrew,2,oil
anointing,raw-complete,legacy registry: Missing Inner Being Words,H4888A,anointing,Hebrew,25,anointing
anointing,raw-complete,legacy registry: Missing Inner Being Words,H4888B,consecrated portion,Hebrew,1,consecrated portion
anointing,raw-complete,legacy registry: Missing Inner Being Words,H4899,anointed,Hebrew,39,anointed
anointing,raw-complete,legacy registry: Missing Inner Being Words,H5480,to anoint,Hebrew,9,to anoint
anointing,raw-complete,legacy registry: Missing Inner Being Words,H8081,oil,Hebrew,193,oil
anxiety,raw-complete,legacy registry: High Confidence,G0253,without anxiety,Greek,3,without anxiety
anxiety,raw-complete,legacy registry: High Confidence,G0275,untroubled,Greek,2,untroubled
anxiety,raw-complete,legacy registry: High Confidence,G3308,concern,Greek,8,concern
anxiety,raw-complete,legacy registry: High Confidence,G4305,to worry beforehand,Greek,1,to worry beforehand
anxiety,raw-complete,legacy registry: High Confidence,G4329,expectation,Greek,5,expectation
anxiety,raw-complete,legacy registry: High Confidence,H1672,be anxious,Hebrew,7,be anxious
anxiety,raw-complete,legacy registry: High Confidence,H1674,anxiety,Hebrew,6,anxiety
anxiety,raw-complete,legacy registry: High Confidence,H1804,to trouble,Hebrew,3,to trouble
anxiety,raw-complete,legacy registry: High Confidence,H5916,to trouble,Hebrew,14,to trouble
anxiety,raw-complete,legacy registry: High Confidence,H6470,to trouble,Hebrew,5,to trouble
anxiety,raw-complete,legacy registry: High Confidence,H7599,to rest,Hebrew,5,to rest
anxiety,raw-complete,legacy registry: High Confidence,H8312,anxiety,Hebrew,2,anxiety
appetite,raw-complete,legacy registry: High Confidence,G0776,fasting,Greek,1,fasting
appetite,raw-complete,legacy registry: High Confidence,G2836,belly/womb/stomach,Greek,108,belly/womb/stomach
appetite,raw-complete,legacy registry: High Confidence,G3042,hunger,Greek,119,hunger
appetite,raw-complete,legacy registry: High Confidence,G3983,to hunger,Greek,63,to hunger
appetite,raw-complete,legacy registry: High Confidence,H0398,to eat,Hebrew,822,to eat
appetite,raw-complete,legacy registry: High Confidence,H2421,to live,Hebrew,291,to live
appetite,raw-complete,legacy registry: High Confidence,H5315L,soul: appetite,Hebrew,47,soul: appetite
appetite,raw-complete,legacy registry: High Confidence,H7457,hungry,Hebrew,20,hungry
appetite,raw-complete,legacy registry: High Confidence,H8264,to rush,Hebrew,6,to rush
authority,raw-complete,legacy registry: Programme Addition,G0746,beginning,Greek,237,beginning
authority,raw-complete,legacy registry: Programme Addition,G0747,founder,Greek,30,founder
authority,raw-complete,legacy registry: Programme Addition,G0758,ruler,Greek,617,ruler
authority,raw-complete,legacy registry: Programme Addition,G0831,to domineer,Greek,1,to domineer
authority,raw-complete,legacy registry: Programme Addition,G0922,burden,Greek,13,burden
authority,raw-complete,legacy registry: Programme Addition,G1291,to give orders,Greek,57,to give orders
authority,raw-complete,legacy registry: Programme Addition,G1299,to direct,Greek,30,to direct
authority,raw-complete,legacy registry: Programme Addition,G1413,ruler,Greek,39,ruler
authority,raw-complete,legacy registry: Programme Addition,G1415,able,Greek,189,able
authority,raw-complete,legacy registry: Programme Addition,G1849,authority,Greek,122,authority
authority,raw-complete,legacy registry: Programme Addition,G1850,to have authority,Greek,19,to have authority
authority,raw-complete,legacy registry: Programme Addition,G2003,command,Greek,7,command
authority,raw-complete,legacy registry: Programme Addition,G2715,to rule,Greek,2,to rule
authority,raw-complete,legacy registry: Programme Addition,G2963,lordship,Greek,4,lordship
authority,raw-complete,legacy registry: Programme Addition,G4173,city authority,Greek,2,city authority
authority,raw-complete,legacy registry: Programme Addition,G5242,be higher,Greek,14,be higher
authority,raw-complete,legacy registry: Programme Addition,G5247,authority,Greek,4,authority
authority,raw-complete,legacy registry: Programme Addition,G6094,to boast,Greek,1,to boast
authority,raw-complete,legacy registry: Programme Addition,H1935,splendor,Hebrew,26,splendor
authority,raw-complete,legacy registry: Programme Addition,H2632,authority,Hebrew,2,authority
