obs_id,node_id,meaning_source,obs_text,tag,window,stage,strongNumber,stepGloss,surface,role,text,reference,node_related_subgroup,subgroup_label,strong_related_subgroup,cluster_code,short_name,question_code,strong,text,question_code,window,question_text
209,298,strong_meaning_tree+lsj+mounce,"Semantic range spans: (1) literal physical idleness/unemployment (Matt 20:6, standing idle in the marketplace), (2) morally-loaded 'careless' speech implying culpable inattention rather than mere inactivity (Matt 12:36), (3) metaphorical spiritual unfruitfulness/ineffectiveness paired with ἄκαρπος (2 Pet 1:8). LSJ also documents financial idleness (money 'lying idle, yielding no return') and agricultural fallowness, showing the term's economic/productivity register carried into its NT moral use.",answered-no-flag,meaning,verse-reading,G0692,idle,careless,"[""M67"", ""T2""]","I tell you, on the day of judgment people will give account for every careless word they speak,",Mat 12:36,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.3,G0692,"I tell you, on the day of judgment people will give account for every careless word they speak,",M0.5.3,meaning,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
209,299,strong_meaning_tree+lsj+mounce,"Semantic range spans: (1) literal physical idleness/unemployment (Matt 20:6, standing idle in the marketplace), (2) morally-loaded 'careless' speech implying culpable inattention rather than mere inactivity (Matt 12:36), (3) metaphorical spiritual unfruitfulness/ineffectiveness paired with ἄκαρπος (2 Pet 1:8). LSJ also documents financial idleness (money 'lying idle, yielding no return') and agricultural fallowness, showing the term's economic/productivity register carried into its NT moral use.",answered-no-flag,meaning,verse-reading,G0692,idle,idle,"[""M67"", ""T2""]","And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",Mat 20:6,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.3,G0692,"And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",M0.5.3,meaning,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
210,300,strong_meaning_tree+lsj+mounce,"The structural opposite within this cluster's own vocabulary is σπουδή/σπουδαίως (G4710/G4709), denoting earnestness, zeal, diligent effort -- the positive filling of the void ἀργός names.",answered-no-flag,meaning,verse-reading,G0692,idle,ineffective,"[""M67"", ""T2""]","For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",2Pe 1:8,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.5,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",M0.5.5,meaning,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
211,301,strong_meaning_tree+lsj+mounce,"No distinct person-type noun (e.g., 'idler') is attested among these occurrences; ἀργός itself functions substantivally when applied to persons (Matt 20:6, 'idle men'), but no separate agent-noun is present in this cluster's vocabulary set.",answered-no-flag,meaning,verse-reading,G0692,idle,idle,"[""M67"", ""T2""]","And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",Mat 20:6,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.6,G0692,"And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",M0.5.6,meaning,"Does the vocabulary include a person-type term — one for the person who habitually possesses or exercises this characteristic? Record it, or none."
212,302,strong_meaning_tree+lsj+mounce,"None. No supplication/seeking term for idleness/diligence appears among ἀργός's own occurrences; the cluster's positive counterpart σπουδή is described as an inward quality/exertion, not something requested from another.",answered-no-flag,meaning,verse-reading,G0692,idle,ineffective,"[""M67"", ""T2""]","For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",2Pe 1:8,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.7,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",M0.5.7,meaning,"Does the vocabulary include a supplication or seeking term — one for the act of seeking this characteristic from another? Record it, or none."
213,303,strong_meaning_tree+lsj+mounce,"As this is an NT-only term in these occurrences without an OT Hebrew counterpart supplied, the vocabulary shows a purely Greek moral-philosophical development: classical Greek used ἀργός mainly for physical/economic idleness (fallow land, unworked money), while its NT use extends the term to moral and spiritual unfruitfulness (careless words, ineffective faith), a semantic broadening rather than displacement.",answered-no-flag,meaning,verse-reading,G0692,idle,ineffective,"[""M67"", ""T2""]","For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",2Pe 1:8,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.8,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",M0.5.8,meaning,What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?
214,304,strong_meaning_tree+lsj+mounce,"None. ἀργός is a well-attested classical Greek term (from Homer onward per LSJ), not a NT-period coinage; its NT usage develops existing sense rather than introducing a new word.",attested-pre-nt,meaning,verse-reading,G0692,idle,ineffective,"[""M67"", ""T2""]","For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",2Pe 1:8,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.9,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",M0.5.9,meaning,"Is there a term newly coined in the NT period for this characteristic; if so, what does the coinage show? Record it, or none."
215,305,strong_meaning_tree+lsj+mounce,"The full arc runs from concrete physical/economic non-work (fallow land, idle money, unemployed persons standing in the marketplace) through morally-charged idle speech (careless words that will be judged) to a metaphorical extension describing spiritual unproductiveness (ineffective/unfruitful in the knowledge of Christ). The range consistently centers on absence of expected productive output across physical, verbal, and spiritual domains.",answered-no-flag,meaning,verse-reading,G0692,idle,ineffective,"[""M67"", ""T2""]","For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",2Pe 1:8,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.10,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",M0.5.10,meaning,What does the full vocabulary arc show about the characteristic's complete semantic range?
215,306,strong_meaning_tree+lsj+mounce,"The full arc runs from concrete physical/economic non-work (fallow land, idle money, unemployed persons standing in the marketplace) through morally-charged idle speech (careless words that will be judged) to a metaphorical extension describing spiritual unproductiveness (ineffective/unfruitful in the knowledge of Christ). The range consistently centers on absence of expected productive output across physical, verbal, and spiritual domains.",answered-no-flag,meaning,verse-reading,G0692,idle,careless,"[""M67"", ""T2""]","I tell you, on the day of judgment people will give account for every careless word they speak,",Mat 12:36,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.10,G0692,"I tell you, on the day of judgment people will give account for every careless word they speak,",M0.5.10,meaning,What does the full vocabulary arc show about the characteristic's complete semantic range?
215,307,strong_meaning_tree+lsj+mounce,"The full arc runs from concrete physical/economic non-work (fallow land, idle money, unemployed persons standing in the marketplace) through morally-charged idle speech (careless words that will be judged) to a metaphorical extension describing spiritual unproductiveness (ineffective/unfruitful in the knowledge of Christ). The range consistently centers on absence of expected productive output across physical, verbal, and spiritual domains.",answered-no-flag,meaning,verse-reading,G0692,idle,idle,"[""M67"", ""T2""]","And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",Mat 20:6,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.10,G0692,"And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",M0.5.10,meaning,What does the full vocabulary arc show about the characteristic's complete semantic range?
216,308,strong_meaning_tree+lsj+mounce,"In 2Pet.1.8 ἀργός shifts from its base 'idle/unemployed' gloss to a metaphorical 'ineffective' sense applied to spiritual qualities, paired with ἄκαρπος ('unfruitful') -- the nuance here is qualitative barrenness of Christian character rather than literal non-labor. In Matt.12.36 the shift is toward 'careless/thoughtless' applied to speech -- not mere silence but reckless, unweighed utterance that incurs judgment, a moral-culpability nuance absent from the base 'idle' sense. In Matt.20.6 the term sits squarely within its base literal sense (physically standing idle, unemployed) with no notable shift.",surface-gloss-divergence,meaning,verse-reading,G0692,idle,ineffective,"[""M67"", ""T2""]","For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",2Pe 1:8,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.11,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",M0.5.11,meaning,"Where this occurrence's surface form/contextual sense diverges from the base lemma's general stepGloss, what nuance is that divergence carrying in THIS context, what is its impact here, and how does it compare against the word's other occurrences? Record none if this occurrence sits squarely within the base gloss with no notable shift."
216,309,strong_meaning_tree+lsj+mounce,"In 2Pet.1.8 ἀργός shifts from its base 'idle/unemployed' gloss to a metaphorical 'ineffective' sense applied to spiritual qualities, paired with ἄκαρπος ('unfruitful') -- the nuance here is qualitative barrenness of Christian character rather than literal non-labor. In Matt.12.36 the shift is toward 'careless/thoughtless' applied to speech -- not mere silence but reckless, unweighed utterance that incurs judgment, a moral-culpability nuance absent from the base 'idle' sense. In Matt.20.6 the term sits squarely within its base literal sense (physically standing idle, unemployed) with no notable shift.",surface-gloss-divergence,meaning,verse-reading,G0692,idle,careless,"[""M67"", ""T2""]","I tell you, on the day of judgment people will give account for every careless word they speak,",Mat 12:36,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.11,G0692,"I tell you, on the day of judgment people will give account for every careless word they speak,",M0.5.11,meaning,"Where this occurrence's surface form/contextual sense diverges from the base lemma's general stepGloss, what nuance is that divergence carrying in THIS context, what is its impact here, and how does it compare against the word's other occurrences? Record none if this occurrence sits squarely within the base gloss with no notable shift."
217,310,strong_meaning_tree+lsj+mounce,"In 2Pet.1.8, ἀργός/ἄκαρπος (M67) modifies the state of the believer's relation to M15 (knowledge/ἐπίγνωσις) -- the diligence-cluster term functions as the negative condition that increasing virtues (qualities named in v.5-7) are said to prevent, making M67 the hinge describing failure-mode outcome relative to M15's positive content.",tightly-related,relational,verse-reading,G0692,idle,ineffective,"[""M67"", ""T2""]","For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",2Pe 1:8,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.6.5,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",M0.6.5,relational,What role does this characteristic play in relation to the OTHER M-code characteristics present in this verse? Build on whatever earlier cluster-passes over this SAME verse already found (given as prior context) -- do not re-derive or duplicate their findings; the focus shifts to what THIS characteristic's own vantage point adds. Record none if no other M-code characteristic is present.
218,311,strong_meaning_tree+lsj+mounce,"In Matt.12.36, ἀργός (careless, M67) qualifies λόγος (M65, word/account) which stands under M26 (judgment/κρίσις) -- M67 here names the moral quality of the speech-object that will be judged, linking the diligence characteristic to both the word/speech-content cluster and the judgment cluster in a single accountability chain.",tightly-related,relational,verse-reading,G0692,idle,careless,"[""M67"", ""T2""]","I tell you, on the day of judgment people will give account for every careless word they speak,",Mat 12:36,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.6.5,G0692,"I tell you, on the day of judgment people will give account for every careless word they speak,",M0.6.5,relational,What role does this characteristic play in relation to the OTHER M-code characteristics present in this verse? Build on whatever earlier cluster-passes over this SAME verse already found (given as prior context) -- do not re-derive or duplicate their findings; the focus shifts to what THIS characteristic's own vantage point adds. Record none if no other M-code characteristic is present.
219,312,strong_meaning_tree+lsj+mounce,"Matt.20.6 contains no other M-code characteristic alongside ἀργός; the word functions in its own literal, non-metaphorical sense describing unemployed laborers.",no-direct-connection,relational,verse-reading,G0692,idle,idle,"[""M67"", ""T2""]","And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",Mat 20:6,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.6.5,G0692,"And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",M0.6.5,relational,What role does this characteristic play in relation to the OTHER M-code characteristics present in this verse? Build on whatever earlier cluster-passes over this SAME verse already found (given as prior context) -- do not re-derive or duplicate their findings; the focus shifts to what THIS characteristic's own vantage point adds. Record none if no other M-code characteristic is present.
319,435,strong_meaning_tree+lsj+mounce,"The characteristic is named from Greek argos/argia, 'idle/idleness' — the state of being unproductive, without work or occupation. The name signals essential inertness: a failure to be operative or engaged, rather than active wrongdoing per se.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.1.1,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.1.1,meaning,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
319,435,strong_meaning_tree+lsj+mounce,"The characteristic is named from Greek argos/argia, 'idle/idleness' — the state of being unproductive, without work or occupation. The name signals essential inertness: a failure to be operative or engaged, rather than active wrongdoing per se.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.1.1,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.1.1,meaning,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
320,436,lsj+mounce+strong_meaning_tree,"Greek argos (a-ergos, 'not-working') at the definitional level denotes 'not working the ground,' hence idle, lazy, unemployed, or (of things) unwrought/unproductive - money lying idle, land lying fallow. Applied to persons it moves from literal non-labor to moral censure of laziness.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.1.2,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.1.2,meaning,What do the primary Hebrew and Greek terms show at the definitional level?
320,436,lsj+mounce+strong_meaning_tree,"Greek argos (a-ergos, 'not-working') at the definitional level denotes 'not working the ground,' hence idle, lazy, unemployed, or (of things) unwrought/unproductive - money lying idle, land lying fallow. Applied to persons it moves from literal non-labor to moral censure of laziness.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.1.2,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.1.2,meaning,What do the primary Hebrew and Greek terms show at the definitional level?
321,437,lsj+strong_meaning_tree,"The term carries a privative/negative-relational implication built into its etymology (alpha-privative + ergon 'work'): it defines a person or thing by absence of due activity, implying a constitutional failure to fulfill an expected functional role.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.1.3,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.1.3,meaning,"What directional, relational, or constitutional implication does the name carry?"
321,437,lsj+strong_meaning_tree,"The term carries a privative/negative-relational implication built into its etymology (alpha-privative + ergon 'work'): it defines a person or thing by absence of due activity, implying a constitutional failure to fulfill an expected functional role.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.1.3,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.1.3,meaning,"What directional, relational, or constitutional implication does the name carry?"
322,438,lsj+strong_meaning_tree+mounce,"Primary Greek term argos (a-privative + ergon, 'work') shows the root meaning 'without work.' No distinct Hebrew equivalent is in view here (this is an NT-only cluster term); the Greek root meaning centers on absence of productive activity.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.1,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.5.1,meaning,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
322,438,lsj+strong_meaning_tree+mounce,"Primary Greek term argos (a-privative + ergon, 'work') shows the root meaning 'without work.' No distinct Hebrew equivalent is in view here (this is an NT-only cluster term); the Greek root meaning centers on absence of productive activity.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.1,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.5.1,meaning,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
323,439,lsj+mounce,"Grammatical range is adjectival (A-NPF etc.), used substantivally ('idlers') or predicatively ('is no trouble', 'is useless'). This shows the characteristic operates as a descriptor of persons, things, or states rather than as a verbal action in its own right.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.2,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.5.2,meaning,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
323,439,lsj+mounce,"Grammatical range is adjectival (A-NPF etc.), used substantivally ('idlers') or predicatively ('is no trouble', 'is useless'). This shows the characteristic operates as a descriptor of persons, things, or states rather than as a verbal action in its own right.",answered-no-flag,meaning,verse-reading,G0692,idle,idlers,"[""M67"", ""T2""]","Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",1Ti 5:13,,Idleness as inert state or condition,M67_A_dispositional_idleness,M67,Sloth & Diligence,M0.5.2,G0692,"Besides that, they learn to be idlers, going about from house to house, and not only idlers, but also gossips and busybodies, saying what they should not.",M0.5.2,meaning,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
