id,meaning_source,obs_text,id,observation_id,cluster_code,cluster_subgroup_code,strong,verse_reference,surface,morph_code,question_code,traced_observation_id,source_stage,seq,created_at,question_code,question_text
12,strong_lexicon.lsj,"None: the sources show spoudē as an established classical term continuing into the NT period, not a newly coined NT term.",12,12,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.9,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.9,"Is there a term newly coined in the NT period for this characteristic; if so, what does the coinage show? Record it, or none."
13,strong_lexicon.lsj,"The full vocabulary arc of spoudē runs from literal physical haste/speed, through effortful zeal, diligent application, careful attention, to esteem/regard and even partisan zeal — showing the characteristic's semantic range spans from bodily urgency to moral-religious earnestness, unified by the underlying sense of concentrated, hastened effort toward a goal.",13,13,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.10,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
14,strong_meaning_tree,"No role-T3 operation word is tagged as home-cluster in this verse for G4710; the verse's operation word 'produced' (G2716, role-T3) is a different strong, initiated by 'this godly grief' and directed toward 'you' (the Corinthians), producing earnestness and the other listed effects — but G4710 itself here is a noun object/result, not the operation word.",14,14,M67,,G4710,2Cor.7.11,earnestness,N-ASF,D7.7.1,,verse-reading,1,2026-09-17T08:52:39Z,D7.7.1,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
15,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"In 2Cor.7.11 the operation words 'produced' (G2716) and 'proved' (G4921) are directed by the Corinthians toward themselves as a corrective response; the earnestness (G4710, home strong) named at the head of the verse is the disposition that generates these corrective actions, initiated by the addressed party 'you' and manifested toward the matter of the wrong being cleared.",15,15,M67,,G4710,2Cor.7.11,earnestness,N-ASF,D7.7.1,14,verse-reading,1,2026-09-17T09:29:01Z,D7.7.1,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
16,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The characteristic is called 'earnestness/zeal' (spoudē), signaling an essential nature of concentrated, effortful application -- the opposite of passive drift, marked by urgency, diligence, and focused exertion toward a goal or person.",16,16,M67,,G4710,Mark.6.25,haste,N-GSF,M0.1.1,1,verse-reading,1,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
16,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The characteristic is called 'earnestness/zeal' (spoudē), signaling an essential nature of concentrated, effortful application -- the opposite of passive drift, marked by urgency, diligence, and focused exertion toward a goal or person.",17,16,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.1.1,1,verse-reading,2,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
16,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The characteristic is called 'earnestness/zeal' (spoudē), signaling an essential nature of concentrated, effortful application -- the opposite of passive drift, marked by urgency, diligence, and focused exertion toward a goal or person.",18,16,M67,,G4710,2Cor.8.8,earnestness,N-GSF,M0.1.1,1,verse-reading,3,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
16,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The characteristic is called 'earnestness/zeal' (spoudē), signaling an essential nature of concentrated, effortful application -- the opposite of passive drift, marked by urgency, diligence, and focused exertion toward a goal or person.",19,16,M67,,G4710,Rom.12.11,zeal,N-DSF,M0.1.1,1,verse-reading,4,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
16,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The characteristic is called 'earnestness/zeal' (spoudē), signaling an essential nature of concentrated, effortful application -- the opposite of passive drift, marked by urgency, diligence, and focused exertion toward a goal or person.",20,16,M67,,G4710,2Cor.7.12,earnestness,N-ASF,M0.1.1,1,verse-reading,5,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
16,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The characteristic is called 'earnestness/zeal' (spoudē), signaling an essential nature of concentrated, effortful application -- the opposite of passive drift, marked by urgency, diligence, and focused exertion toward a goal or person.",21,16,M67,,G4710,2Cor.8.7,earnestness,N-DSF,M0.1.1,1,verse-reading,6,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
16,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The characteristic is called 'earnestness/zeal' (spoudē), signaling an essential nature of concentrated, effortful application -- the opposite of passive drift, marked by urgency, diligence, and focused exertion toward a goal or person.",22,16,M67,,G4710,Rom.12.8,zeal,N-DSF,M0.1.1,1,verse-reading,7,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
16,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The characteristic is called 'earnestness/zeal' (spoudē), signaling an essential nature of concentrated, effortful application -- the opposite of passive drift, marked by urgency, diligence, and focused exertion toward a goal or person.",23,16,M67,,G4710,Jude.1.3,eager,N-ASF,M0.1.1,1,verse-reading,8,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
16,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The characteristic is called 'earnestness/zeal' (spoudē), signaling an essential nature of concentrated, effortful application -- the opposite of passive drift, marked by urgency, diligence, and focused exertion toward a goal or person.",24,16,M67,,G4710,Heb.6.11,earnestness,N-ASF,M0.1.1,1,verse-reading,9,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
17,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The Greek term spoudē (from speudō, 'to hasten') shows at the definitional level a root sense of physical haste or speed that extends metaphorically to zealous effort, diligence, and earnest engagement -- the term bridges literal urgency of movement and figurative urgency of disposition.",25,17,M67,,G4710,Mark.6.25,haste,N-GSF,M0.1.2,2,verse-reading,1,2026-09-17T09:29:01Z,M0.1.2,What do the primary Hebrew and Greek terms show at the definitional level?
17,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The Greek term spoudē (from speudō, 'to hasten') shows at the definitional level a root sense of physical haste or speed that extends metaphorically to zealous effort, diligence, and earnest engagement -- the term bridges literal urgency of movement and figurative urgency of disposition.",26,17,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.1.2,2,verse-reading,2,2026-09-17T09:29:01Z,M0.1.2,What do the primary Hebrew and Greek terms show at the definitional level?
18,strong_meaning_tree; strong_lexicon.lsj,"The name carries a relational implication: earnestness is directed -- toward a task, a person, or a cause (e.g. toward Paul in 2Cor.7.12, toward hope in Heb.6.11, toward zealous service of the Lord in Rom.12.11) -- constituting the person as actively invested rather than neutral or passive toward the object.",27,18,M67,,G4710,2Cor.7.12,earnestness,N-ASF,M0.1.3,3,verse-reading,1,2026-09-17T09:29:01Z,M0.1.3,"What directional, relational, or constitutional implication does the name carry?"
18,strong_meaning_tree; strong_lexicon.lsj,"The name carries a relational implication: earnestness is directed -- toward a task, a person, or a cause (e.g. toward Paul in 2Cor.7.12, toward hope in Heb.6.11, toward zealous service of the Lord in Rom.12.11) -- constituting the person as actively invested rather than neutral or passive toward the object.",28,18,M67,,G4710,Heb.6.11,earnestness,N-ASF,M0.1.3,3,verse-reading,2,2026-09-17T09:29:01Z,M0.1.3,"What directional, relational, or constitutional implication does the name carry?"
18,strong_meaning_tree; strong_lexicon.lsj,"The name carries a relational implication: earnestness is directed -- toward a task, a person, or a cause (e.g. toward Paul in 2Cor.7.12, toward hope in Heb.6.11, toward zealous service of the Lord in Rom.12.11) -- constituting the person as actively invested rather than neutral or passive toward the object.",29,18,M67,,G4710,Rom.12.11,zeal,N-DSF,M0.1.3,3,verse-reading,3,2026-09-17T09:29:01Z,M0.1.3,"What directional, relational, or constitutional implication does the name carry?"
19,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The primary Greek term is spoudē, from the verb speudō 'to hasten, hurry.' The root meaning shows physical haste transferred to moral/spiritual eagerness -- effort applied with urgency, whether in travel (Mark.6.25 'with haste'), in defense of oneself (2Cor.7.11), or in Christian service (Rom.12.11, Rom.12.8, Heb.6.11).",30,19,M67,,G4710,Mark.6.25,haste,N-GSF,M0.5.1,4,verse-reading,1,2026-09-17T09:29:01Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
19,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The primary Greek term is spoudē, from the verb speudō 'to hasten, hurry.' The root meaning shows physical haste transferred to moral/spiritual eagerness -- effort applied with urgency, whether in travel (Mark.6.25 'with haste'), in defense of oneself (2Cor.7.11), or in Christian service (Rom.12.11, Rom.12.8, Heb.6.11).",31,19,M67,,G4710,Rom.12.11,zeal,N-DSF,M0.5.1,4,verse-reading,2,2026-09-17T09:29:01Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
19,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The primary Greek term is spoudē, from the verb speudō 'to hasten, hurry.' The root meaning shows physical haste transferred to moral/spiritual eagerness -- effort applied with urgency, whether in travel (Mark.6.25 'with haste'), in defense of oneself (2Cor.7.11), or in Christian service (Rom.12.11, Rom.12.8, Heb.6.11).",32,19,M67,,G4710,Rom.12.8,zeal,N-DSF,M0.5.1,4,verse-reading,3,2026-09-17T09:29:01Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
19,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The primary Greek term is spoudē, from the verb speudō 'to hasten, hurry.' The root meaning shows physical haste transferred to moral/spiritual eagerness -- effort applied with urgency, whether in travel (Mark.6.25 'with haste'), in defense of oneself (2Cor.7.11), or in Christian service (Rom.12.11, Rom.12.8, Heb.6.11).",33,19,M67,,G4710,Heb.6.11,earnestness,N-ASF,M0.5.1,4,verse-reading,4,2026-09-17T09:29:01Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
20,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The full vocabulary arc for spoudē spans: physical haste/speed (Mark.6.25), earnest defensive zeal in a moral crisis (2Cor.7.11-12), a virtue commended as evidence of love and grace (2Cor.8.7-8), a disposition commanded in Christian conduct opposed to slothfulness (Rom.12.11), a manner of exercising a spiritual gift 'with zeal' (Rom.12.8), personal eagerness to write/contend for the faith (Jude.1.3), and a persevering disposition toward full assurance of hope (Heb.6.11) -- showing the term's range from literal speed to sustained moral-spiritual diligence.",34,20,M67,,G4710,Mark.6.25,haste,N-GSF,M0.5.10,13,verse-reading,1,2026-09-17T09:29:01Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
20,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The full vocabulary arc for spoudē spans: physical haste/speed (Mark.6.25), earnest defensive zeal in a moral crisis (2Cor.7.11-12), a virtue commended as evidence of love and grace (2Cor.8.7-8), a disposition commanded in Christian conduct opposed to slothfulness (Rom.12.11), a manner of exercising a spiritual gift 'with zeal' (Rom.12.8), personal eagerness to write/contend for the faith (Jude.1.3), and a persevering disposition toward full assurance of hope (Heb.6.11) -- showing the term's range from literal speed to sustained moral-spiritual diligence.",35,20,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.10,13,verse-reading,2,2026-09-17T09:29:01Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
20,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The full vocabulary arc for spoudē spans: physical haste/speed (Mark.6.25), earnest defensive zeal in a moral crisis (2Cor.7.11-12), a virtue commended as evidence of love and grace (2Cor.8.7-8), a disposition commanded in Christian conduct opposed to slothfulness (Rom.12.11), a manner of exercising a spiritual gift 'with zeal' (Rom.12.8), personal eagerness to write/contend for the faith (Jude.1.3), and a persevering disposition toward full assurance of hope (Heb.6.11) -- showing the term's range from literal speed to sustained moral-spiritual diligence.",36,20,M67,,G4710,2Cor.7.12,earnestness,N-ASF,M0.5.10,13,verse-reading,3,2026-09-17T09:29:01Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
20,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The full vocabulary arc for spoudē spans: physical haste/speed (Mark.6.25), earnest defensive zeal in a moral crisis (2Cor.7.11-12), a virtue commended as evidence of love and grace (2Cor.8.7-8), a disposition commanded in Christian conduct opposed to slothfulness (Rom.12.11), a manner of exercising a spiritual gift 'with zeal' (Rom.12.8), personal eagerness to write/contend for the faith (Jude.1.3), and a persevering disposition toward full assurance of hope (Heb.6.11) -- showing the term's range from literal speed to sustained moral-spiritual diligence.",37,20,M67,,G4710,2Cor.8.7,earnestness,N-DSF,M0.5.10,13,verse-reading,4,2026-09-17T09:29:01Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
20,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The full vocabulary arc for spoudē spans: physical haste/speed (Mark.6.25), earnest defensive zeal in a moral crisis (2Cor.7.11-12), a virtue commended as evidence of love and grace (2Cor.8.7-8), a disposition commanded in Christian conduct opposed to slothfulness (Rom.12.11), a manner of exercising a spiritual gift 'with zeal' (Rom.12.8), personal eagerness to write/contend for the faith (Jude.1.3), and a persevering disposition toward full assurance of hope (Heb.6.11) -- showing the term's range from literal speed to sustained moral-spiritual diligence.",38,20,M67,,G4710,2Cor.8.8,earnestness,N-GSF,M0.5.10,13,verse-reading,5,2026-09-17T09:29:01Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
20,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The full vocabulary arc for spoudē spans: physical haste/speed (Mark.6.25), earnest defensive zeal in a moral crisis (2Cor.7.11-12), a virtue commended as evidence of love and grace (2Cor.8.7-8), a disposition commanded in Christian conduct opposed to slothfulness (Rom.12.11), a manner of exercising a spiritual gift 'with zeal' (Rom.12.8), personal eagerness to write/contend for the faith (Jude.1.3), and a persevering disposition toward full assurance of hope (Heb.6.11) -- showing the term's range from literal speed to sustained moral-spiritual diligence.",39,20,M67,,G4710,Rom.12.11,zeal,N-DSF,M0.5.10,13,verse-reading,6,2026-09-17T09:29:01Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
20,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The full vocabulary arc for spoudē spans: physical haste/speed (Mark.6.25), earnest defensive zeal in a moral crisis (2Cor.7.11-12), a virtue commended as evidence of love and grace (2Cor.8.7-8), a disposition commanded in Christian conduct opposed to slothfulness (Rom.12.11), a manner of exercising a spiritual gift 'with zeal' (Rom.12.8), personal eagerness to write/contend for the faith (Jude.1.3), and a persevering disposition toward full assurance of hope (Heb.6.11) -- showing the term's range from literal speed to sustained moral-spiritual diligence.",40,20,M67,,G4710,Rom.12.8,zeal,N-DSF,M0.5.10,13,verse-reading,7,2026-09-17T09:29:01Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
20,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The full vocabulary arc for spoudē spans: physical haste/speed (Mark.6.25), earnest defensive zeal in a moral crisis (2Cor.7.11-12), a virtue commended as evidence of love and grace (2Cor.8.7-8), a disposition commanded in Christian conduct opposed to slothfulness (Rom.12.11), a manner of exercising a spiritual gift 'with zeal' (Rom.12.8), personal eagerness to write/contend for the faith (Jude.1.3), and a persevering disposition toward full assurance of hope (Heb.6.11) -- showing the term's range from literal speed to sustained moral-spiritual diligence.",41,20,M67,,G4710,Jude.1.3,eager,N-ASF,M0.5.10,13,verse-reading,8,2026-09-17T09:29:01Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
20,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The full vocabulary arc for spoudē spans: physical haste/speed (Mark.6.25), earnest defensive zeal in a moral crisis (2Cor.7.11-12), a virtue commended as evidence of love and grace (2Cor.8.7-8), a disposition commanded in Christian conduct opposed to slothfulness (Rom.12.11), a manner of exercising a spiritual gift 'with zeal' (Rom.12.8), personal eagerness to write/contend for the faith (Jude.1.3), and a persevering disposition toward full assurance of hope (Heb.6.11) -- showing the term's range from literal speed to sustained moral-spiritual diligence.",42,20,M67,,G4710,Heb.6.11,earnestness,N-ASF,M0.5.10,13,verse-reading,9,2026-09-17T09:29:01Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
21,strong_meaning_tree; strong_lexicon.lsj,"Spoudē is grammatically a noun (feminine, first declension) occurring across cases (genitive, dative, accusative) depending on syntactic role -- it names the quality or state itself, functioning as the abstract head noun to which verbs of producing, showing, or having attach; the range shows the characteristic operates as a possessable/exhibitable quality rather than an action verb itself.",43,21,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.2,5,verse-reading,1,2026-09-17T09:29:01Z,M0.5.2,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
21,strong_meaning_tree; strong_lexicon.lsj,"Spoudē is grammatically a noun (feminine, first declension) occurring across cases (genitive, dative, accusative) depending on syntactic role -- it names the quality or state itself, functioning as the abstract head noun to which verbs of producing, showing, or having attach; the range shows the characteristic operates as a possessable/exhibitable quality rather than an action verb itself.",44,21,M67,,G4710,Heb.6.11,earnestness,N-ASF,M0.5.2,5,verse-reading,2,2026-09-17T09:29:01Z,M0.5.2,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
21,strong_meaning_tree; strong_lexicon.lsj,"Spoudē is grammatically a noun (feminine, first declension) occurring across cases (genitive, dative, accusative) depending on syntactic role -- it names the quality or state itself, functioning as the abstract head noun to which verbs of producing, showing, or having attach; the range shows the characteristic operates as a possessable/exhibitable quality rather than an action verb itself.",45,21,M67,,G4710,Rom.12.8,zeal,N-DSF,M0.5.2,5,verse-reading,3,2026-09-17T09:29:01Z,M0.5.2,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
22,strong_lexicon.lsj; strong_meaning_tree,"The semantic range of spoudē extends from literal physical haste/speed (Mark.6.25), through earnest effort/eagerness in personal relationships and tasks (2Cor.7.11-12, Jude.1.3), to zealous diligence in exercising spiritual gifts and Christian duty (Rom.12.8, 12.11, Heb.6.11) -- an idiomatic combination 'meta spoudēs' ('with haste/zeal') recurs, and the term can also carry a sense of esteem or goodwill for a person (LSJ), showing the range bridges speed, effort, and relational regard.",46,22,M67,,G4710,Mark.6.25,haste,N-GSF,M0.5.3,6,verse-reading,1,2026-09-17T09:29:01Z,M0.5.3,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
22,strong_lexicon.lsj; strong_meaning_tree,"The semantic range of spoudē extends from literal physical haste/speed (Mark.6.25), through earnest effort/eagerness in personal relationships and tasks (2Cor.7.11-12, Jude.1.3), to zealous diligence in exercising spiritual gifts and Christian duty (Rom.12.8, 12.11, Heb.6.11) -- an idiomatic combination 'meta spoudēs' ('with haste/zeal') recurs, and the term can also carry a sense of esteem or goodwill for a person (LSJ), showing the range bridges speed, effort, and relational regard.",47,22,M67,,G4710,Jude.1.3,eager,N-ASF,M0.5.3,6,verse-reading,2,2026-09-17T09:29:01Z,M0.5.3,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
22,strong_lexicon.lsj; strong_meaning_tree,"The semantic range of spoudē extends from literal physical haste/speed (Mark.6.25), through earnest effort/eagerness in personal relationships and tasks (2Cor.7.11-12, Jude.1.3), to zealous diligence in exercising spiritual gifts and Christian duty (Rom.12.8, 12.11, Heb.6.11) -- an idiomatic combination 'meta spoudēs' ('with haste/zeal') recurs, and the term can also carry a sense of esteem or goodwill for a person (LSJ), showing the range bridges speed, effort, and relational regard.",48,22,M67,,G4710,Rom.12.8,zeal,N-DSF,M0.5.3,6,verse-reading,3,2026-09-17T09:29:01Z,M0.5.3,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
23,strong_meaning_tree; strong_lexicon.lsj,"The cluster vocabulary distinguishes disposition (spoudē as an inward zeal/eagerness, Rom.12.11) from its outward manifestation/act (spoudē as proof demonstrated 'by the earnestness of others,' 2Cor.8.8) -- the same term functions both as inner quality and as evidenced act, though no separate lexeme marks the distinction.",49,23,M67,,G4710,Rom.12.11,zeal,N-DSF,M0.5.4,7,verse-reading,1,2026-09-17T09:29:01Z,M0.5.4,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
23,strong_meaning_tree; strong_lexicon.lsj,"The cluster vocabulary distinguishes disposition (spoudē as an inward zeal/eagerness, Rom.12.11) from its outward manifestation/act (spoudē as proof demonstrated 'by the earnestness of others,' 2Cor.8.8) -- the same term functions both as inner quality and as evidenced act, though no separate lexeme marks the distinction.",50,23,M67,,G4710,2Cor.8.8,earnestness,N-GSF,M0.5.4,7,verse-reading,2,2026-09-17T09:29:01Z,M0.5.4,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
24,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"The cluster vocabulary includes the structural opposite of earnestness: oknēros (G3636), 'slothful, lazy, idle, indolent,' explicitly contrasted with spoudē/zeal in Rom.12.11 ('do not be slothful in zeal') and applied to the wicked servant in Matt.25.26.",51,24,M67,,G4710,Rom.12.11,zeal,N-DSF,M0.5.5,8,verse-reading,1,2026-09-17T09:29:01Z,M0.5.5,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
