database,name,grain,use,active,,
iba,candidate_seed,one row per assessed lemma — the over-inclusive Axis-A candidate assessment,"L4b seed decision (potential, not definite); the lexical stage is the real test. registry_match NULL on a candidate = a candidate MISSING registry word (the double control)",1,,
iba,span_candidate,one row per CANDIDATE span (existence = candidate) — the L4b stamp over the L4a span,over-inclusive candidate stamp; the lexical stage later tests each in context,1,,
iba,passage,"one row per passage — a reading frame (global, per book)",extends a characteristic's context to adjacent verses for assessing movement/process/qualifying spans; NOT a thematic unit,1,,
iba,verse_passage,"one row per verse-in-a-passage — passage membership (L4b), keeps the raw verse pristine",which passage a verse belongs to; a verse is in at most one passage,1,,
iba,cfg_change_detail,one row per configmaint.propose write,row-level audit of every cfg_* change actually applied — what cfg_change_log's whole-reload shape could not record,1,,
iba,strong_meaning_parsed,one row per gloss segment of a strong_meaning_tree lemma (2026-07-25 corrected parse),"L2b — the parsed meaning layer over strong_meaning_tree (raw). Segment-scoped: refs/note belong to the exact <b> span they followed, not pooled across the whole source row (the original extract's bug, fixed before this table existed). Comma/semicolon are NOT sense separators here — only a literal line break splits a gloss further.",1,,
iba,strong_lsj_parsed,one row per LSJ sense of a strong_lexicon.lsj entry (2026-07-25 corrected parse),"L2b — the parsed classical-Greek lexicon layer over strong_lexicon.lsj (raw). Sense blocks split on LSJ's own <LevelN>/<br> structure; gloss kept whole within a block, not exploded on internal commas.",1,,
iba,strong_mounce_parsed,one row per Mounce sense of a strong_lexicon.mounce entry (2026-07-25 corrected parse),"L2b — the parsed Greek lexicon layer over strong_lexicon.mounce (raw). Split ONLY on <br> (the source's real line breaks); comma/semicolon within one line are punctuation inside a sense, not sense separators.",1,,
iba,strong_related,"one row per (strong, related strong) pair STEP's getInfo returned (fetched 2026-07-25)","L2b — NOT derived from any raw table; fetched live from STEP per full strong code (lib.stepapi.Step.call2_getInfo, vocabInfos[0].relatedNos) since no raw table captures this. related_strong is unconstrained — STEP can name a code this app has never onboarded via raw.detail.",1,,
iba,verse_lexical,"one row per Strong's code within a span (span_id, code_ordinal) — a compound span yields several rows, one per component code","L4b — DERIVED, version-aware. The mechanical T1-T3 reading: role classification + stem/voice-selected sense + named-not-resolved ambiguity, per code. Read by report.verse_lexical and, downstream, by T4-T9 — never by re-deriving from span/strong/strong_meaning_parsed directly.",1,,
iba,hib,hib,"one row per Human Inner Being identified in a scope (debate digest Step 1) -- scope-wide, not passage-scoped: the same HIB recurs across many passages of a book.",1,,
iba,hib_referent_option,hib_referent_option,"one row per grammatically-live referent-crux reading (T4), child of hib.",1,,
iba,verse_hib,verse_hib,one row per HIB present/a presumptive candidate in a given verse (Step 1's per-verse sweep) -- the input B4's future HIB-continuity passage-boundary rule reads from.,1,,
iba,phenomenon,phenomenon,the phenomena register (Step 3 output) -- one row per HIB per verse per passage.,1,,
iba,operation,operation,the operation for a registered phenomenon (Step 4-5 output) -- phenomenon_id NOT NULL enforces Part B.12 at the DB level.,1,,
iba,operation_party,operation_party,"one row per source/target of an operation (plural-capable, v1.5 step1 note a), child of operation.",1,,
iba,passage_linkage,passage_linkage,"Part C section 4 (Q7) -- linkages between two specific, already-registered operations in the same passage, and surfaced non-linkages.",1,,
iba,passage_insufficiency,passage_insufficiency,"Part C section 5 (Q9/B.7) -- data the base extract does not carry, named not filled.",1,,
iba,passage_emergent_question,passage_emergent_question,"Part C section 6 (Q10/B.9/B.12) -- interpretive forks and genuine literary/structural observations, tracked per passage, never merged across passages.",1,,
iba,passage_validation_note,passage_validation_note,"Part C section 7 (Phase 3) -- the closing re-examination of the passage's own phenomena/operations, corrected before the debate is considered filled.",1,,
iba,cfg_method_rule,cfg_method_rule,"One row per discrete, nameable analytical rule governing a debate-pipeline step -- config, not only prose docs (researcher, 2026-08-06).",1,,
iba,cfg_quality_check,cfg_quality_check,"Config-defined reasonability/existence self-check questions per debate-pipeline step (researcher, 2026-08-06). Draft content, not yet wired to any writer's enforcement.",1,,
iba,cfg_index,cfg_index,"Secondary (non-unique) indexes to build per data table -- closes the gap left by build_data_tables() only ever emitting FK/UNIQUE, never plain indexes (schema-remediation-design-20260807.md).",1,,
iba,debate_change_detail,hib_change_detail,"one row per hib/hib_referent_option/verse_hib/passage/verse_passage/phenomenon/operation/operation_party/passage_linkage/passage_insufficiency/passage_emergent_question/passage_validation_note row inserted, updated, or soft-deleted by hib.set/passage.build/phenomenon.set/operation.set/closing.set -- the per-run CRUD audit trail shared by every debate writer (researcher direction 2026-08-08).",1,,
iba,cluster,one row per cluster (M01-M46 + FLAG + T2) — the inner-being dimension taxonomy,"Migrated from the old project's bible_research.db `cluster` table, 2026-08-11. cluster_code is the canonical key referenced everywhere else (cluster_strong, and any future dimension work). T2 is the landing zone for codes not included in analysis; FLAG is unresolved/needs-review; M01-M46 are the named inner-being characteristics.",1,,
iba,cluster_strong,"one row per (strong, cluster_code) assignment","The strong<->cluster link. Cluster membership is a property of the Strong's code itself, independent of word_strong/word_registry — deliberately has no FK/dependency on either. `source` tracks provenance (old-system-migration now; future allocation passes get their own source value, never overwriting a prior row in place).",1,,
iba,cfg_escalation,cfg_escalation,"One row per discrete, nameable rule governing the escalation utility itself -- config, not prose (researcher, 2026-08-16 iba-table-review reset). Parallel to cfg_method_rule but scoped to escalation.py, not the debate pipeline.",1,,
bible_research,book_code_variants,one row per code,"Alias table mapping the many book abbreviation forms encountered in source data onto a single books row, so that '1Chr', '1Ki' and '1Kgs' all resolve to the same book. 112 aliases cover all 66 books, with the busiest books carrying up to three variants each.",1,,
bible_research,books,one row per id,"The 66 books of the Bible as canonical reference data: name, testament, canonical order and several code forms used to parse and render verse references. Fully populated and stable — every row was written in a single load on 2026-03-16 and none has been touched since.",1,,
bible_research,characteristic,one row per id,"The named characteristics belonging to each cluster — the distinct inner-being traits a cluster resolves into, each with a definition. 277 rows across 35 clusters, layered from several eras: 53 backfilled 1:1 from sub-groups in May, and 78 added in July as explicitly PROVISIONAL top-down exemplars. Note that cluster_code has indexes but no foreign key to cluster.",1,,
bible_research,characteristic_subgroup,one row per id,"The many-to-many join between a characteristic and the cluster sub-groups that carry it, recording why the pairing holds. In practice it is near 1:1 — 145 distinct sub-groups over 146 rows — and its qualifier notes confirm most rows are single-sub-group representations rather than genuine fan-out.",1,,
bible_research,cluster,one row per cluster_code,"The 49 top-level thematic groupings of the study (47 M-codes plus FLAG and T2), each naming a domain of the inner life such as Anger, Wisdom or Peace. Keyed on the M-code itself rather than a surrogate id, so the code is the stable identifier used across the cluster tables.",1,,
bible_research,cluster_finding,one row per id,"The catalogue-prompted findings layer: one row per observation question asked of a cluster (or of a characteristic, sub-group or verse-context group within it), holding the answer text. At ~20k rows across only 15 clusters it is the bulk output of the pre-reset method, and 1,633 rows are delete-flagged following the 2026-06-11 catalogue restructure.",1,,
bible_research,cluster_observation,one row per id,"Write-on-discovery notes made while working a cluster — design rationales, verdicts, synthesis notes and carry-forwards — each addressed to a later phase that should consume it. Unlike cluster_finding these are not prompted by a question; 229 of 276 rows come from the M10 work alone.",1,,
bible_research,cluster_subgroup,one row per id,"Sub-divisions of a cluster (for example M01-A, M01-BOUNDARY), each carrying a label and a core description that scopes which sense of the cluster theme it covers. Only 17 of the 49 clusters have been subdivided, and 19 rows are delete-flagged, so the table records the sub-group design history as well as its live state.",1,,
bible_research,engine_run_log,one row per id,"One row per engine or patch execution (875 rows, March to July), recording mode, timing, outcome and roll-up counts of what was written. It is the parent audit record that word_run_state, engine_stream_checkpoint and term_fetch_log hang off, and it logs patch applications as well as engine runs.",1,,
bible_research,engine_stream_checkpoint,one row per id,"Per-stream progress within a run (1,948 rows over 347 runs) — a stream is usually a single term, e.g. 'term:H8637'. It exists to allow resumable, granular progress tracking, and in practice 1,938 of 1,948 streams show complete.",1,,
bible_research,finding,one row per id,"The universal finding store: one row per typed analytical finding, at VERSE, CLUSTER or GLOBAL level, with VERSE dominating (over 430k of 438k rows). The critical fact in the data is that roughly 92% of rows carry delete_flagged=1 — every l2_api and l2_mechanical row and most l2_meaning rows are soft-deleted, leaving only about 35k live findings; the table is therefore mostly a retained legacy substrate rather than an active corpus.",1,,
bible_research,finding_citation,one row per id,"Extracted citations found inside cluster-level narrative text — the pointer that a given cluster_finding or cluster_observation quotes a particular verse, Strong's number, cross-characteristic or verse-context group. Despite the name it does not cite rows in the finding table; its CHECK constraint binds it to cluster_finding and cluster_observation only, and every row was written in a single batch on 3 June 2026.",1,,
bible_research,finding_question_link,one row per id,"Joins findings to the observation questions in wa_obs_question_catalogue that they answer — the mechanism by which the question catalogue is scored against the evidence. At 332k rows it is one of the largest tables, but only 31 distinct questions are ever linked, so the link exercises a small fraction of the 424-row catalogue.",1,,
bible_research,finding_revision,one row per id,"Declared as a field-level audit trail for changes to findings — recording which field moved from what value to what, why, and by whom — but it holds 0 rows. It was created and indexed but never written to, so finding history has no record here.",1,,
bible_research,finding_verse_link,one row per id,"Links findings to the verses they rest on, distinguishing the anchor verse from supporting ones. The table is small and lopsided: 3,586 of 3,659 rows are 'anchor' rows that carry only a textual reference and no verse_record_id, while the 73 'SUPPORT' rows are the only ones actually resolved to a verse record.",1,,
bible_research,ib_characteristic,one row per id,"The live meaning-keyed inner-being characteristic index: one row per distinct sense of a Hebrew term as read in a book, keyed on lemma plus English reading rather than on the lemma alone. 1,634 rows, all provenance 'ib-char-index-v3-meaning-keyed-2026' and all status 'surfaced', covering only Psalms (877) and Proverbs (757). Seven columns inherited from the older registry shape are 100% NULL.",1,,
bible_research,ib_characteristic_legacy,no declared primary key — see cfg_column for ib_characteristic_legacy's real columns,"The superseded 29-row inner-being characteristic registry from 2026-07-03, retained as a backup after ib_characteristic was rebuilt on a meaning key. Its rows are richly hand-authored — gist, colour_range, junctions, open_questions all fully populated — which is exactly the material the live table declares but leaves 100% NULL. It has no primary key and its seven meaning-keyed columns are entirely NULL, confirming it predates that model.",1,,
bible_research,ib_observation,one row per id,"A small transitional store of 81 observations from the fan-out reads of nine focus verses (chiefly Lev 25:43, Exo 1:13 and Gen 6:5), each tying a dimension to a term anchor with a narrative. Per the method reset these fold into ve_lexical items; the store is not linked to the lexical tables and covers only a handful of verses.",1,,
bible_research,lemma_faculty_map,one row per strongs_number,"Maps 1,717 Strong's lemmas to the inner-being faculty or faculties they engage (affect, cognition, volition, moral evaluation and combinations), with a stated basis and a confidence. Machine-generated in a single run on 2026-06-24 under model faculty-map-v1: every row shares one model version and one timestamp, so the whole table is one pass with no incremental maintenance since.",0,,
bible_research,lexicon,one row per strong,"A flat reference lexicon of 11,666 Strong's entries harvested wholesale from STEP on 2026-06-16 — original-script lemma, transliteration, gloss, medium definition and corpus occurrence count. It is a background reference covering the whole biblical vocabulary, not just the study's terms, and is independent of mti_terms (which indexes only 4,221 distinct Strong's).",0,,
bible_research,mti_term_cross_refs,one row per id,"Records the registry words that reference a term other than its owning one — the XREF side of term ownership, held as a junction between mti_terms and word_registry. Small at 462 rows over 279 terms, and skewed to affect vocabulary (wrath, sorrow, terror), so it maps only a fraction of the cross-referencing implied by the ~3,380 XREF rows in wa_term_inventory.",0,,
bible_research,mti_term_flags,"one row per (mti_term_id, flag_id)","Junction attaching Phase 2 triage flags from phase2_flag_types to terms in mti_terms; 1,005 assignments across 785 terms. In practice it uses a very narrow slice of the flag vocabulary — 994 of the 1,005 rows are just GOD_AS_SUBJECT and SOMATIC_INNER_LINK.",0,,
bible_research,mti_term_subgroup,one row per id,"The many-to-many placement of terms into cluster sub-groups, replacing the old single-valued column on mti_terms. 1,196 placements over 740 distinct terms, so a term can sit in several sub-groups, with the placement note distinguishing primary from secondary. 173 placements are delete-flagged.",0,,
bible_research,mti_terms,one row per id,"The master term index: one row per Hebrew/Greek/Aramaic term drawn into the study, carrying the term's identity (Strong's, transliteration, gloss, language), which English registry word owns it, its extraction status and its Verse Context progress. Intended as one row per Strong's, but the data does not bear that out: 7,861 rows cover only 4,221 distinct Strong's numbers, and the 5,131 delete-flagged rows still repeat 2,567 Strong's; only the 2,730 live rows are genuinely one-per-Strong's. Extraction dates cluster in March 2026, so the bulk of the table is an early-programme intake that has since been pruned by flagging rather than deletion.",0,,
bible_research,passage,one row per id,"The passage register (4,296 rows): a passage is a maximal run of consecutive verses forming the reading unit, anchored on its first verse. Notably no passage crosses a chapter boundary (start_chapter equals end_chapter on all 4,296 rows), so passages are chapter-bounded in practice. Referenced by verse.passage_id, though no FK is declared in either direction.",1,,
bible_research,phase2_flag_types,one row per id,"Lookup of the 25 Phase 2 flag codes an analyst may raise against a term, each with a prose definition of when it applies — e.g. thin datasets, God as subject of an inner state, or cross-testament pairs. A clean, small controlled list: every code and every description is distinct.",1,,
bible_research,prose_section,one row per id,"The DB-canonical store of authored prose: one row per titled section of narrative — chapter readings, cluster essays, synthesis passages and programme documentation — with its full body text, version lineage and approval state. Almost all of it is machine-authored (claude_code or claude_ai); exactly one row is attributed to the researcher.",1,,
bible_research,prose_section_dimension_link,"one row per (prose_section_id, dimension_id, link_type)","Declared as a many-to-many link between prose sections and dimensions, with a link_type qualifying the relationship, but it holds 0 rows. It was created, keyed and uniquely indexed, and never used — a plausible casualty of the dimension layer's retirement.",1,,
bible_research,prose_section_finding_link,"one row per (prose_section_id, finding_id, link_type)","Declared as a many-to-many link between prose sections and findings, so that a passage could be traced to the evidence behind it, but it holds 0 rows. Its FK points at the legacy wa_session_b_findings rather than the live finding table, so it was superseded before it was ever populated.",1,,
bible_research,prose_section_fts,no declared primary key — see cfg_column for prose_section_fts's real columns,"An SQLite FTS5 virtual table providing full-text search over prose_section. Its columns mirror the source table one-for-one and hold no independent data; the underlying storage lives in the prose_section_fts_data/idx/content/docsize/config shadow tables. Because FTS5 columns are untyped, every column reports as type '?'.",1,,
bible_research,prose_section_fts_config,one row per k,"An FTS5-managed shadow table holding the configuration of the prose_section_fts index as key/value pairs. It is internal machinery written by SQLite, not by the study; the single row records the FTS5 format version in use.",1,,
bible_research,prose_section_fts_content,one row per id,"An FTS5-managed shadow table storing the raw column values of each indexed row, so the virtual table can return original text and support content-requiring operations. It is SQLite's internal copy of prose_section's indexed columns, positionally numbered c0..c6, not a hand-designed table.",1,,
bible_research,prose_section_fts_data,one row per id,An FTS5-managed shadow table holding the inverted index itself as opaque binary segment blobs. It is SQLite internal machinery — the contents are not human-readable and must never be written or interpreted directly; the index is maintained automatically as prose_section changes.,1,,
bible_research,prose_section_fts_docsize,one row per id,"An FTS5-managed shadow table recording, per indexed document, the token count of each column in a packed binary form. FTS5 uses it for relevance ranking; it is internal machinery with one row per prose_section row.",1,,
bible_research,prose_section_fts_idx,"one row per (segid, term)","An FTS5-managed shadow table mapping index segments and term prefixes to the pages within prose_section_fts_data where their postings live — the b-tree lookup layer of the index. Internal machinery; the 'term' values are binary prefix keys, not words from the prose.",1,,
bible_research,prose_section_type,one row per id,"The controlled vocabulary of prose section kinds — 108 codes spanning programme documentation, per-session outputs, cluster findings and lexical prose — each with a label, the stage that produces it, and expected length bounds. It is the only real enforcement behind prose_section.section_type_id, and it has grown by accretion: over half the types belong to 'programme' rather than to any analytical stage.",1,,
bible_research,reread_worklist,one row per id,"The chapter-by-chapter worklist for the Psalms re-read, one row per chapter with the gate counts recorded at completion. It is single-purpose and finished: all 150 rows are book 19 (Psalms), all provenance 'reread-psalms-2026', and all status 'done'.",1,,
bible_research,schema_version,one row per id,"Migration ledger: one row per schema version applied to the database, each carrying the cumulative migration history as JSON. 16 rows spanning 3.15.0 to later versions, written between April and the present — it is an append-only audit trail, not a single-row current-version marker.",1,,
bible_research,segment_unit,one row per id,"Reading segments above the verse: 877 named units of text (a thread, discourse or scene) each summarised by the characteristics it carries and a gist. Coverage is narrow and uneven — only 22 books appear, with Proverbs (323) and Job (101) dominating — so this is a partially rolled-out layer, not a canon-wide segmentation. 89 rows are soft-deleted.",1,,
bible_research,segment_unit_verse,"one row per (unit_id, verse_id)","The membership junction resolving each segment_unit to its verses (11,276 rows over 877 units and 10,330 distinct verses). Verses can belong to more than one unit — 11,276 memberships against 10,330 verses — which is consistent with threads overlapping bounded segments.",1,,
bible_research,session_d_observations,one row per id,"Declared and never used: 0 rows. Part of the four-table Session D scaffolding, intended to hold observations raised by a Session D run (typed, with implicated registries/terms and a gate). Session D was abandoned before any data was written, so nothing here has been exercised — all column purposes below are read from names and constraints only.",1,,
bible_research,session_d_runs,one row per id,"Declared and never used: 0 rows. Intended as the header table for Session D runs (one row per run, with its cluster and registry scope), the parent that the other three session_d_* tables' run_id points at. Session D was abandoned before any run was recorded.",1,,
bible_research,session_d_term_links,one row per id,"Declared and never used: 0 rows. Intended to record the terms a Session D run implicated, together with a divergence marker between the term's registry entries. Abandoned with the rest of the Session D scaffolding.",1,,
bible_research,session_d_verse_links,one row per id,"Declared and never used: 0 rows. Intended to record verses where several Session D registries overlapped, with an overlap count tested against a threshold — the mechanism for spotting verses that multiple study words converge on. Abandoned with the rest of the Session D scaffolding.",1,,
bible_research,sources,one row per id,"Declared to hold bibliographic sources keyed to Zotero, but it has 0 rows — it was created and never used. No secondary-literature citation is recorded through this table.",1,,
bible_research,term_collection_lexical,one row per id,"Holds collection-level lexical judgements about a term — properties asserted of the term across its whole verse set rather than in any one verse (mutability, transitivity, object type, valence register, membership scope, faculty). All 1,081 rows were written mechanically in a single burst on 2026-06-24 under model 01b-PartC-v3, covering 188 terms in six clusters (M12-M20) only.",0,,
bible_research,term_fetch_log,one row per id,"Per-Strong's-number record of STEP API fetches (2,377 rows), showing what was requested, what it resolved to, and how many verses came back and were stored. It is a closed historical log: every row falls between 2026-03-18 and 2026-05-14 and 90 per cent of it belongs to five March bulk gap-fill runs.",0,,
bible_research,themes,one row per id,Declared as a lookup of thematic labels but has 0 rows — created and never used. Nothing in the live model links to it; theme-like grouping is done through the cluster and characteristic tables instead.,0,,
bible_research,vcg_term,one row per id,"The many-to-many link between verse-context groups and terms, replacing the old single mti_term_id column on verse_context_group. Notably 3,093 of 5,091 rows are delete-flagged — more than are live — so the majority of this table is retired M47-backfill history rather than current membership.",1,,
bible_research,ve_dimension_scoreboard,one row per ve_nr,"The rule-validation scoreboard for the 18 VE-lexical dimensions (ve_nr 101-118), holding each dimension's rule, its validation verdict and the first verse where it broke. As of the single 2026-07-14 update no dimension has passed: 8 are FAILED and 10 IN-PROGRESS — this table is the record of the lexical layer failing rule-validation.",1,,
bible_research,ve_lexical,one row per id,"The live lexical-analysis store: one row per analytical item read off a verse, keyed to a verse span and a dimension number (ve_nr 101-118 for the verse-level dimensions, 201-211 for a smaller second band). 620,151 rows, all created between 2026-07-02 and 2026-07-14, with ids starting at 7123085 — exactly where ve_lexical_legacy stops, so the two tables are disjoint generations of the same store, cut over on 2026-07-02.",0,,
bible_research,ve_lexical_divinv_pre_reverse_20260626,no declared primary key — see cfg_column for ve_lexical_divinv_pre_reverse_20260626's real columns,"A snapshot of 860 divine-involvement items (ve_nr 8, tier T0.1.2) produced by the divine_involvement_read_api pass on 2026-06-16, taken before their reversal on 2026-06-26. All 860 ids resolve in ve_lexical_legacy with identical values and all are now delete_flagged=1, so this is the exact set the reversal withdrew. It holds the fine-grained role readings (agent, possessor, addressee, giver, object) that the parallel premap table shows were being collapsed at the same time.",0,,
bible_research,ve_lexical_divinv_roles_premap_20260626,no declared primary key — see cfg_column for ve_lexical_divinv_roles_premap_20260626's real columns,"A snapshot of 5,187 divine-involvement items (ve_nr 8) taken before the 2026-06-26 remap collapsed them. Comparing it against ve_lexical_legacy row by row shows exactly what the remap did: every one of the five role values — object (1,995), agent (1,696), possessor, addressee, giver — was overwritten with the single value 'present'. The legacy rows survive and are not delete_flagged, so this table is the only remaining record of which role God held in those verses.",0,,
bible_research,ve_lexical_faculty_backup,no declared primary key — see cfg_column for ve_lexical_faculty_backup's real columns,"A snapshot of 29,031 faculty items (ve_nr 7, tier T3) as produced by the v2_engine_iter1 run and dated 2026-06-16, holding the engine's term-meaning derivation of faculty (affect, cognition, perception, volition, moral_evaluation, conscience). Unlike every other backup here, its rows are gone: only 2 of the 29,031 ids still exist in ve_lexical_legacy and none in ve_lexical, so the rows it preserves were hard-deleted when faculty was rebuilt from the lemma map. It is the only surviving copy of that earlier derivation.",0,,
bible_research,ve_lexical_faculty_pre_reset_20260626,no declared primary key — see cfg_column for ve_lexical_faculty_pre_reset_20260626's real columns,"A snapshot of all 29,203 faculty items (ve_nr 7) as they stood immediately before the 2026-06-26 faculty reset. Every id still resolves in ve_lexical_legacy with an identical value, and every one of those legacy rows now carries delete_flagged=1 — so this preserves exactly the set that the reset withdrew. It captures two derivations side by side: 26,386 rows mapped from lemma_faculty_map and 2,817 fallback rows derived from the gloss.",0,,
bible_research,ve_lexical_faculty_seat_reverse_20260626,no declared primary key — see cfg_column for ve_lexical_faculty_seat_reverse_20260626's real columns,"A snapshot of 1,492 faculty items created on 2026-06-26 by the inferred-seat rule, which assigned a faculty by reading faculty-words elsewhere in the verse rather than from the term itself. All 1,492 ids resolve in ve_lexical_legacy and all are now delete_flagged=1 — this table preserves precisely the output that was reversed, and the reversal is consistent with the rule that a faculty may only be read off the term, not imputed from the verse's other words.",0,,
bible_research,ve_lexical_legacy,one row per id,"The previous generation of the lexical store, retired at the 2026-07-02 cutover and kept whole. 507,651 rows, ids 2351222 to 7123084 (no overlap with ve_lexical), created 2026-06-16 to 2026-06-26. It uses the older dimension numbering (ve_nr 0-29: compound, faculty, valence, divine-involvement, object-type and so on) and the T-tier scheme, both of which the live table abandoned. Every dated backup table in this group resolves against this table by id.",0,,
bible_research,ve_lexical_objtype_premap_20260626,no declared primary key — see cfg_column for ve_lexical_objtype_premap_20260626's real columns,"A snapshot of 9,534 object-type items (ve_nr 16) taken before the 2026-06-26 remap. The comparison against ve_lexical_legacy is unambiguous: all three source values — thing/abstract (4,443), abstract (3,910) and thing (1,181) — were overwritten with the single value 'impersonal'. The legacy rows survive un-flagged, so this table holds the only surviving distinction between a thing and an abstract for those verses.",0,,
bible_research,ve_lexical_origin_quarantine_20260626,no declared primary key — see cfg_column for ve_lexical_origin_quarantine_20260626's real columns,"A snapshot of 3,623 origin items (ve_nr 6, tier T2.9.1) quarantined on 2026-06-26. Every row is identical: the value 'received-from-outside' asserted purely because a 'from' preposition (min/apo/ek) stood near the term. All 3,623 ids resolve in ve_lexical_legacy and all are now delete_flagged=1, so the whole rule output was withdrawn — the surface preposition was evidently not accepted as evidence of origin.",0,,
bible_research,ve_lexical_overlay_reverse_20260626,no declared primary key — see cfg_column for ve_lexical_overlay_reverse_20260626's real columns,"A snapshot of 1,387 items reversed on 2026-06-26, mixing two dimensions: object-type (ve_nr 16, 1,128 rows) and cause (ve_nr 17, 259 rows), both produced by read-API passes on 2026-06-16. All 1,387 ids resolve in ve_lexical_legacy and all are now delete_flagged=1. Unlike the objtype premap table, the values here are free prose naming the specific object or cause, which suggests the reversal targeted these overlaid narrative readings rather than the categorical ones.",0,,
bible_research,ve_lexical_valence_quarantine_20260626,no declared primary key — see cfg_column for ve_lexical_valence_quarantine_20260626's real columns,"A snapshot of 26,993 valence items (ve_nr 21, tier T0.3.1) quarantined on 2026-06-26 — the largest withdrawal recorded in this group. All 26,993 ids resolve in ve_lexical_legacy and all are now delete_flagged=1. The dimension itself was subsequently dropped: no valence item exists in the live ve_lexical, which has no equivalent dimension in its 101-118 band.",0,,
bible_research,ve_lexical_verification,one row per id,"A small manual verification log: 46 hand-checked ve_lexical items, all of dimension 101 (sense) and all checked on 2026-07-14, recording whether the stored reading was right. Five of the 46 were judged wrong. Only 13 of the 46 also appear in ve_verification_sample, so this check was not drawn solely from that sampling frame.",0,,
bible_research,ve_verification_sample,"one row per (ve_nr, verse_span_id)","The drawn sampling frame for verifying the lexical layer: 3,332 (ve_nr, verse_span_id) pairs selected across 18 dimensions from Psalms (book 19) and Proverbs (book 20). Capped at 200 items per dimension — 16 dimensions hit the cap, while 103 yielded 123 and 113 only 9, so those two are under-sampled by availability rather than by design.",0,,
bible_research,verse,one row per id,"The master verse table and the anchor of the whole verse layer: one row per verse of the ESV text (25,634 rows, all 66 books), each with its text, canonical identifiers and the passage/genre/process fields that drive the reading method. Every other verse-layer table keys back to verse.id.",0,,
bible_research,verse_analysis_progress,one row per id,"A 33-row scratch tracker for the fan-out reading of a small researcher-curated verse set (fear-of-God versus oppression of the dependent), recording which verses were reached, by which observation, and on which dimensions. Its cross-reference targets are just two verses (Exo 1:13 and Lev 25:43), so it tracks one narrow investigation from late June 2026, not the programme's reading state.",1,,
bible_research,verse_context,one row per id,"The term-in-verse classification record (55,775 rows): for one verse-record and one MTI term it holds whether that occurrence is relevant to the study, which verse-context group and cluster subgroup it belongs to, and the L1/L2 verse-read fields (keywords, analysis note, meaning). Unique on (verse_record_id, mti_term_id, group_id, cluster_subgroup_id). Several columns declared for a sense/pole model were never populated.",0,,
bible_research,verse_context_group,one row per id,"The catalogue of verse-context groups (VCGs) — named groupings of term-in-verse occurrences that share a context, referenced by verse_context.group_id. Only 1,088 of the 4,155 rows are live: 3,067 (74%) are soft-deleted, mostly by two documented bulk clearances in May 2026.",0,,
bible_research,verse_coverage,one row per verse_id,"A derived, materialised roll-up of study coverage per verse — how many spans, study terms and lexical units each verse carries, and whether it is in scope. It is a stale snapshot: all 23,593 rows were built at one instant on 2026-06-27 and it covers verse_id 1..23593 only, so 2,041 of the master table's 25,634 verses are absent. The scope_basis column itself declares the underlying anchor 'debunked'.",0,,
