key,value,new_value,use,new_use,module,inactive
lexicon.linebreak_pattern,"""[\\r\\n]+""",,the only recognised sense-separator in strong_meaning_tree.sense_text/strong_lexicon.lsj/mounce — commas/semicolons/colons are NOT separators (STEP itself displays them as one sense).,,lexicon,0
lexicon.lsj_level_tags,"[""level1"", ""level2"", ""level3"", ""level4""]",,LSJ's own HTML tag names marking an explicit outline-level boundary (<LevelN>).,,lexicon,0
lexicon.lsj_top_level_label_pattern,"""^[IVXLCDM]+$""",,"LSJ top-level sense labels are Roman numerals (I, II, III, ...) — matched to track the current top-level for building compound sublabels like 'I.2'.",,lexicon,0
lexicon.lsj_sublabel_pattern,"""^\\d+[a-z]*$""",,"LSJ sublabels are a bare number + optional letter (e.g. '2', '2a') — combined with the current top-level Roman numeral into 'I.2a'.",,lexicon,0
lexicon.bracket_pairs,"{""("": "")"", ""["": ""]"", ""{"": ""}""}",,open->close bracket pairs classify_row/strip_bracketed treat as nestable — a gloss that is wholly one bracketed aside (e.g. '(obsolete)') classifies as 'not applicable'.,,lexicon,0
method.narrative_hard_constraints_path,"""iba/docs/WA-inner-being-narrative-hard-constraints-v1-2026-07-30.md""",,"current version of the book-agnostic hard constraints (nothing invented, open threads stay open, no forced unity, plain language, no self-reference) every generated narrative must follow — bump this setting (not memory) when the doc revises",,narrative,0
narrative.generate_model,"""claude-sonnet-5""",,the Anthropic model narrative.generate submits the package to,,narrative,0
narrative.generate_max_output_tokens,16000,,max_tokens on the Messages API call — the ceiling on how long the generated narrative can be,,narrative,0
narrative.generate_max_cost,3,,"USD cost cap (from the pre-call ESTIMATE) — over this, report.book_narrative_generate refuses outright (cost-cap-exceeded) rather than pausing for approval; raise it deliberately for a book large enough to need it",,narrative,0
narrative.rate_input_per_million,3,,"USD per million input tokens, at narrative.generate_model's current rate — used for both the pre-call estimate and the real post-call cost; edit if the model default changes to a different price tier",,narrative,0
narrative.rate_output_per_million,15,,"USD per million output tokens, at narrative.generate_model's current rate",,narrative,0
narrative.output_pattern,"""WA-{book}-inner-being-narrative.md""",,"filename pattern for the generated narrative, written under report.verse_analysis_output_dir/<book_label>/ — same folder its source debates live in",,narrative,0
narrative.usage_log_path,"""iba/app/reports/export/narrative-generate-usage.csv""",,"append-only on-disk ledger of every LIVE call's real tokens/cost — scripts/cost_ledger.py (repo root) only ingests Console CSV exports, not this app's own calls, so this is the audit trail for those",,narrative,0
governance.past_precedent_investigation_signals_missing_config,"""If executing an already-registered standard instruction (a cfg_work_package/cfg_step routine) requires FIRST INVESTIGATING HOW IT WAS DONE IN THE PAST -- reading BUILD.md/session-log history, diffing prior/archived output files, or otherwise reverse-engineering a missing step from precedent -- rather than being told directly by a live cfg_step/cfg_setting row what to run and what rules apply, that investigation is itself the signal that a required config/mechanism is MISSING, not a puzzle to solve from precedent. STOP the instruction immediately the moment this is recognised -- do not proceed by reconstructing the missing rule from historical output and presenting it as the standard process. The gap must be closed first: the missing step/setting registered in cfg_* and its code built (governance.build_md_on_code_change/governance.governance_md_on_rule_change both apply), config validated clean, and only then may the original instruction be resubmitted.""",,researcher ruling 2026-07-30: a live session investigated BUILD.md history and archived output files to infer an undocumented passage.debate_status filled transition (report.passage_debate has no registered mechanism for marking a manually-filled scaffold complete) instead of finding that transition in cfg_step/cfg_setting -- doc/output archaeology substituting for a missing config is exactly the inconsistency pattern blamed for this study lacking repeatable results over its 7-month history,,governance,0
passage.debate_session_chapter_guideline,3,,"Advisory session-scope guideline (not hard-enforced) for report.passage_debate fill-in work: recommended max chapters per Claude Code session before clearing context and starting a fresh one. See iba/app/reports/token-consumption-diagnostic-20260802.md for the incident this responds to (Micah+Hosea, 21 chapters in one unbroken session, ~1.13M tokens moved, exhausted daily+weekly caps).",,passage,0
report.verse_lexical_output_pattern,"""{book}-{range}-verse-lexical.md""",,"filename pattern for report.verse_lexical ({book}/{range} substituted) — reuses report.verse_analysis_output_dir for the base folder, same as report.verse_span_meaning did",,report,0
report.version_on_regenerate,TRUE,,"app-wide: when true, reportkit.write_report never overwrites or archives-and-replaces an existing report -- every write gets a fresh, never-reused filename (stem-v{n}-{date}.ext, n = 1 + the highest existing version for that exact stem). Set false to fall back to the old archive-before-overwrite behaviour. Researcher direction 2026-08-05 (debate-analytic-process-digest, B2/Q6): reports must never be overwritten, and this must be one app-wide setting, not a per-step convention.",,report,0
passage.debate_run_sequence,"[{""work_package"": ""operations-ingest"", ""step"": ""hib.set""}, {""work_package"": ""build-passages"", ""step"": ""passage.build""}, {""work_package"": ""operations-ingest"", ""step"": ""phenomenon.set""}, {""work_package"": ""operations-ingest"", ""step"": ""operation.set""}, {""work_package"": ""operations-ingest"", ""step"": ""closing.set""}]",,"Ordered step sequence Debate-Run.ps1 walks for one debate scope -- work_package+step pairs against the EXISTING active registrations (no new cfg_step rows; cfg_step.step must be globally unique across work_package). Excludes lexical.build deliberately -- separate, book-scoped, run-ahead-of-time prerequisite.",,passage,0
passage.debate_staging_path_pattern,"""iba/app/staging/operations/{book_lower}-{scope}-{step}.json""",,Predictable path Debate-Run.ps1 checks for each step payload JSON before pausing.,,passage,0
governance.oneoff_report_archive_dir,"""archive""",,"archive subfolder (relative to governance.oneoff_report_dir) that oneoff_path() moves a superseded one-off report version into before writing the next one -- same shape as write_report/cfg_report.archive_dir, added 2026-08-08 (BUILD.md sec83) once oneoff_path was found to have versioned without ever archiving.",,governance,0
report.word_registry_span_output_dir,"""iba/app/verse-analysis/word_registry""",,base folder for report.word_registry_span output — one file per registry word,,report,0
report.strong_verse_output_dir,"""iba/app/verse-analysis/word_registry""",,"base folder for report.strong_verse output -- one file per word/strong pair, filed under <base>/<word>/",,report,0
report.cluster_path,"""iba/app/reports/cluster.md""",,where report.cluster persists its output,,report,0
cluster.assign.exclude_flag_gloss_from_voting,TRUE,,"the cluster-allocation session pitfall: cluster.csv FLAG gloss list is an uncertainty bag, never a positive P2 precedent-match signal",,cluster,0
cluster.quality_report_path,"""iba/app/reports/cluster-assign.md""",,"report path for cluster.validate, same convention as lexicon.quality_report_path",,cluster,0
cluster.assign.word_optional_clusters,"[""T2"", ""T3""]",,"cluster codes exempt from the needs-a-word_registry-link rule (Q2.4.1 exception 1) -- researcher correction 2026-08-12: a word generates the verse, it does not need to own every strong later found in it; T3 is inherently not word-specific",,cluster,0
report.cluster_stem_suffixes,"[""ically"", ""iously"", ""ously"", ""ingly"", ""edness"", ""fulness"", ""tion"", ""sion"", ""ness"", ""ings"", ""ing"", ""edly"", ""ed"", ""ly"", ""ies"", ""es"", ""s"", ""able"", ""ible"", ""tive"", ""ive"", ""ful"", ""ous"", ""al"", ""ic""]",,one-pass longest-match suffix strip for report.cluster's meaning-stemming grouping aid (grace/gracious/graciously -> one group),,report,0
report.cluster_stem_prefix_len,4,,"prefix length used as the final grouping key after suffix-stripping, report.cluster's meaning-stemming aid",,report,0
report.cluster_top_meanings,10,,how many stem-grouped meaning groups to show per cluster in report.cluster's new summary section,,report,0
manifest.skip_dirs,"["".git"", ""__pycache__"", ""venv"", "".venv"", ""env"", ""node_modules"", "".claude"", "".idea"", "".vscode"", "".pytest_cache"", "".mypy_cache"", "".ruff_cache""]",,"directories excluded from a manifest.rebuild scan (VCS/build/cache machinery only — everything else in the project tree, including every archive/ folder, is indexed)",,manifest,0
manifest.exclude_exts,"["".pyc"", "".pyo"", "".pyd"", "".tmp"", "".swp"", "".lock""]",,file extensions excluded from a manifest.rebuild scan (compiled/transient junk only),,manifest,0
manifest.report_path,"""iba/app/reports/file-manifest.md""",,where manifest.rebuild writes its summary report,,manifest,0
governance.scope_iba_app,,"""IBA App is the central process control mechanism for all operations in the entire project""",,"Prior to 2026-08-14 the project operations was controlled through the Chat window.  IBA App was developed to regulate the operations better and tested as a platform. From 2026-08-15 the scope of IBA App is changed by decree to include all operations.  When ever an previous operation is encountered through chat, the first thing that must happen, is to conform with the new governance",governance,0
governance.scope_project,,,,added 2026-08-15,governance,0
governance.startup,,,,added 2026-08-15,governance,0
governance.project_databases,,,,added 2026-08-15,governance,0
governance.tables,,"""each table in the project must be listed in the cfg_table with a proper use text. This applies to all databases. Tables no longer in use must be set as inactive""",,"2026-08-15.  The research_db table was not previously included, by definition the table should cover it from here on.  ",governance,0
governance.table_columns,,"""each column in each table in the project must be listed in the cfg_column with a proper use text. This applies to all databases Tables and all tables. Updating a column in any routine must validate the use of the column against this config. Deviation from the rules must be escalated""",,"2026-08-15.  The research_db table was not previously included, by definition the table columns should cover it from here on.   The accuracy, and maintenance of the column usage description is vital.",governance,0
governance.scope_research_db,,"""The research_db is the home for prose and findings with all the related enabling tables.""",,"2026-08-15. Prior to this date, research_db held the entire project tables. However the project is now split and all the tables that have moved to IBA.db must be retired and be inactive in research-db",governance,0
governance.scope_iba_db,,"""The iba_db is the home for all project processes control and base data including all related tables from STEP through Strongs, verses, meaning, and lexicals""",,"2026-08-15 the IBA_db was recently formed to rework and redefine the project. This DB is now the primary for all processes, and the base data. There are currently a few analysis tables (debate passage control, that will migrate back to research_db)",governance,0
governance.project_change_rule,,"""Any change of operations, methodologies or approach must channel through the IBA App""",,"2026-08-15 this rule is effective from today. Any operation defined in the past, that is not in the IBA app, must be migrated to the app",governance,0
governance.project_lookups_and_naming_convensions,,"""project specific naming in lookups, stages, terms with specific meaning must be defined in cfg_enum. See cfg_settings.naming.*""",,"Specific nomenclature and naming that is project specific must be included in the table. This applies to all terminology previously used, and new terminology. Terminology must be specifically checked when ever a operations is executed to ensure that it is used in accordance with its definition. No definition must be escalated.",governance,0
governance.escalation.scope,,"""all open items, discovery of anomalies, clarifications and other forms of escalation must be recorded in escalation using escalation rules""",,added 2026-08-15,governance,0
governance.utility.config,,"""each utility must have its own config table in the cfg_* series to control all aspects of the utility""",,added 2026-08-15,governance,0
governance.module.config,,"""each operating module must have config table or table n the cfg_* series to control all aspects of the operation module""",,added 2026-08-15,governance,0
governance,,,,,,
naming.,,"""different names for the same things must be avoided - conflicts must be reported through escalation""",,,naming,0
naming.,,"""Naming of things that is no longer used must be set to inactive with a reference to the new naming if applicable, if in doubt, use escalation""",,,naming,0
escalation.control_objectives,,"""the escalation table manage all open items, irrespective of source or reason - AI or researcher raise the escallation when discovered or raised using the escalation module""",,added 2026-08-15,escalation,0
escalation.control_process,,"""escalations are raised, processed, and completed using the escalation utility module""",,added 2026-08-15,escalation,0
,,,,added 2026-08-15,escalation,0
,,,,added 2026-08-15,escalation,0
governance.config_control,,"""every configuration entry in any cgf_* table is controlled by the cfg.configmaint rules""",,added 2026-08-15,governance,0
governance.confmaint_configs,,"""all the rules that govern the maintenance operations of the configs are set in the cfg_configmaint""",,added 2026-08-15,governance,0
governance.primary_responsibility,,"""Claude is responsible for the coding of, and maintenance of the integrity to ensure that all project operations are coded, controlled and maintained in the IBA application. This include back filling operations that is currently outside the application""",,added 2026-08-15,governance,0
governance.project_operations,,"""A project operation is regarded as any activity to perform research, development, explorations, investigations, running scripts related actions to achieve the project objectives.""",,added 2026-08-15,governance,0
governance.User_Guide_scope,,"""The user guide must reflect the latest state of all the tools and details on the use of the tools that is geared towards user interaction for the entire project""",,added 2026-08-15,governance,0
governance.scripts_and_routines,,"""All scripts and routines must either belong to a module, utility, library, or temporary script. "" temporary scripts must be prefixed with temp_. """,,added 2026-08-15,governance,0
governance.redundancy_archiving,,"""one off reports, scripts, or other artifacts that is no longer in use or relevant must be archived on a daily basis.""",,added 2026-08-15,governance,0
governance.programme_stages,,"""the research program has three main stages:  Base_data (from STEP to lexical); Analysis (deriving understanding of the inner being) ; Publishing (developing essays and output for the results)""",,added 2026-08-15: These three stages was previously referred to as Session A (base data) Session B and D (analytics)  and Session C (Publishing).  The methodologies and processes have changed materially over time across all these stages.,governance,0
