id,no,word,source_list,category_hint,phase1_input_file,phase1_status,phase1_output_file,phase2_datasets,notes,automation_eligible,last_automation_run,automation_run_id,phase1_term_count,phase1_verse_count,strongs_list
34,34,covenant,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,13,1486,"[{""strong"": ""H1285"", ""count"": 244}, {""strong"": ""H0853"", ""count"": 52}, {""strong"": ""G1242"", ""count"": 28}, {""strong"": ""H0854"", ""count"": 6}, {""strong"": ""H3772"", ""count"": 3}, {""strong"": ""H1961"", ""count"": 2}, {""strong"": ""H0637"", ""count"": 2}, {""strong"": ""H0859"", ""count"": 1}, {""strong"": ""H5973"", ""count"": 1}, {""strong"": ""H0423"", ""count"": 1}, {""strong"": ""H8033"", ""count"": 1}, {""strong"": ""H0548"", ""count"": 1}, {""strong"": ""H1697"", ""count"": 1}, {""strong"": ""H2063"", ""count"": 1}, {""strong"": ""G2537"", ""count"": 1}]"
35,35,covetousness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,1,5,"[{""strong"": ""G4124"", ""count"": 4}, {""strong"": ""G1939"", ""count"": 1}]"
36,36,cowardice,See word_confidence_split,,,In Progress,,,"PARTIAL — Research required. Covered partially by fear (#61) — G1167 (deilia, cowardice/timidity) and H4116 (mahar, to be afraid/hasty) both appear in the fear semantic field. G1167 (used distinctively in 2 Tim 1:7) is a specific inner-being quality. Recommend confirming the fear registry explicitly includes G1167 as a cowardice sub-sense rather than treating it as a peripheral term. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
37,37,darkening,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #207 (""blindness (spiritual)"").",0,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
38,38,deadness,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #210 (""deadness"").",0,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
39,39,debauchery,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,1,1,"[{""strong"": ""G0810"", ""count"": 3}]"
40,40,deceit,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,8,430,"[{""strong"": ""H4820"", ""count"": 17}, {""strong"": ""G1388"", ""count"": 8}, {""strong"": ""H7423"", ""count"": 4}, {""strong"": ""H8649"", ""count"": 3}, {""strong"": ""H8267"", ""count"": 2}, {""strong"": ""H5921"", ""count"": 1}, {""strong"": ""G2532"", ""count"": 1}, {""strong"": ""G0539"", ""count"": 1}]"
41,41,defilement,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,1,1,"[{""strong"": ""G3436"", ""count"": 1}]"
42,42,delight,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,17,723,"[{""strong"": ""H2654"", ""count"": 20}, {""strong"": ""H6026"", ""count"": 7}, {""strong"": ""H2656"", ""count"": 6}, {""strong"": ""H8191"", ""count"": 6}, {""strong"": ""H7797"", ""count"": 5}, {""strong"": ""H2655"", ""count"": 5}, {""strong"": ""H7522"", ""count"": 4}, {""strong"": ""H8173"", ""count"": 3}, {""strong"": ""H2530"", ""count"": 3}, {""strong"": ""H4261"", ""count"": 3}, {""strong"": ""H3588"", ""count"": 2}, {""strong"": ""H8588"", ""count"": 2}, {""strong"": ""H7306"", ""count"": 2}, {""strong"": ""H0853"", ""count"": 2}, {""strong"": ""H8378"", ""count"": 1}, {""strong"": ""H4100"", ""count"": 1}, {""strong"": ""H7521"", ""count"": 1}, {""strong"": ""H0227"", ""count"": 1}, {""strong"": ""H1523"", ""count"": 1}, {""strong"": ""H5965"", ""count"": 1}, {""strong"": ""H1961"", ""count"": 1}, {""strong"": ""H5276"", ""count"": 1}, {""strong"": ""H4574"", ""count"": 1}, {""strong"": ""H6027"", ""count"": 1}, {""strong"": ""H2657"", ""count"": 1}, {""strong"": ""H8057"", ""count"": 1}, {""strong"": ""G4913"", ""count"": 1}]"
43,43,desire,High Confidence,,word_desire_Part1.md,Complete,"WA-043-desire-data-part1-2026-03-14.json, WA-043-desire-data-part2-2026-03-14.json",2.0,116 terms (116 extracted). 2 parts. Session A Instruction v7. MTI: extracted.,1,,,,,
44,44,despair,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,6,595,"[{""strong"": ""H2976"", ""count"": 2}, {""strong"": ""H3808"", ""count"": 1}, {""strong"": ""H0539"", ""count"": 1}, {""strong"": ""H5136"", ""count"": 1}, {""strong"": ""H0589"", ""count"": 1}, {""strong"": ""H0954"", ""count"": 1}, {""strong"": ""H8077"", ""count"": 1}, {""strong"": ""G1820"", ""count"": 1}]"
45,45,determination,See word_confidence_split,,,In Progress,,,"PARTIAL — Research required. Partially covered by resolve (#137) and will (#173). The Hebrew concept of a set heart (H3559 kun) and Greek prothesis (purpose/resolve) appear in related registries. Recommend confirming resolve (#137) covers H3559 (kun, to be firm/determined; ~219 occurrences) and G4286 (prothesis, purpose/resolve; 12 occurrences). Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
46,46,devotion,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,3,58,"[{""strong"": ""H7521"", ""count"": 1}, {""strong"": ""H2617"", ""count"": 1}, {""strong"": ""G0563"", ""count"": 1}, {""strong"": ""G0572"", ""count"": 1}]"
47,47,dignity,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,3,25,"[{""strong"": ""H7613"", ""count"": 2}, {""strong"": ""G4587"", ""count"": 2}, {""strong"": ""H1363"", ""count"": 1}, {""strong"": ""H1926"", ""count"": 1}]"
48,48,diligence,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,2,12,"[{""strong"": ""H0629"", ""count"": 4}, {""strong"": ""H3660"", ""count"": 1}]"
49,49,discernment,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:35,RUN-20260318_134133-BULK_GAP_FILL,3,6,"[{""strong"": ""H0998"", ""count"": 2}, {""strong"": ""H2940"", ""count"": 1}, {""strong"": ""H8394"", ""count"": 1}, {""strong"": ""H3808"", ""count"": 1}, {""strong"": ""G4907"", ""count"": 1}, {""strong"": ""G0144"", ""count"": 1}, {""strong"": ""G0145"", ""count"": 1}]"
50,50,disobedience,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:36,RUN-20260318_134133-BULK_GAP_FILL,2,9,"[{""strong"": ""G0543"", ""count"": 6}, {""strong"": ""G3876"", ""count"": 3}]"
51,51,distress,See word_confidence_split,,,Complete,"02-wa-051-distress-data-part1-patch-20260317-v1.json, 03-wa-051-distress-data-part2-patch-20260317-v1.json, 04-wa-051-distress-data-part3-patch-20260317-v1.json",,42 terms (42 extracted). 1 part. MTI: extracted.,1,,,,,
52,52,division,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:36,RUN-20260318_134133-BULK_GAP_FILL,9,307,"[{""strong"": ""H4256"", ""count"": 18}, {""strong"": ""H5921"", ""count"": 12}, {""strong"": ""G4978"", ""count"": 4}, {""strong"": ""G2183"", ""count"": 2}, {""strong"": ""H6304"", ""count"": 1}, {""strong"": ""H2515"", ""count"": 1}, {""strong"": ""G1267"", ""count"": 1}, {""strong"": ""G0141"", ""count"": 1}, {""strong"": ""G3311"", ""count"": 1}]"
53,53,dread,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:36,RUN-20260318_134133-BULK_GAP_FILL,5,406,"[{""strong"": ""H6343"", ""count"": 10}, {""strong"": ""H6206"", ""count"": 6}, {""strong"": ""H6973"", ""count"": 2}, {""strong"": ""H6342"", ""count"": 2}, {""strong"": ""H3025"", ""count"": 2}, {""strong"": ""H2844"", ""count"": 1}, {""strong"": ""H1481"", ""count"": 1}, {""strong"": ""H4172"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""H0367"", ""count"": 1}, {""strong"": ""H1672"", ""count"": 1}, {""strong"": ""H1368"", ""count"": 1}]"
54,54,emotion,See word_confidence_split,,,In Progress,,,"SPECIAL HANDLING — No further action required. ""Emotion"" is a programme-level category descriptor, not a lexical concept. Hebrew and Greek have no word for emotion as an abstraction — they name specific emotional states. Marked automation_eligible=0; used only as a category label in programme documentation. Meta-concept — not a lexical entry. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:36,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
55,55,endurance,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:36,RUN-20260318_134133-BULK_GAP_FILL,1,18,"[{""strong"": ""G5281"", ""count"": 14}, {""strong"": ""H5331"", ""count"": 1}]"
56,56,envy,High Confidence,,word_envy.md,Complete,WA-056-envy-data-2026-03-12.json,1.0,9 terms (9 extracted). 1 part. Session A Instruction v6. MTI: extracted.,1,,,,,
57,57,evil,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:36,RUN-20260318_134133-BULK_GAP_FILL,31,2216,"[{""strong"": ""H7451"", ""count"": 300}, {""strong"": ""G4190"", ""count"": 60}, {""strong"": ""G2556"", ""count"": 30}, {""strong"": ""H0853"", ""count"": 16}, {""strong"": ""H7489"", ""count"": 15}, {""strong"": ""H7455"", ""count"": 10}, {""strong"": ""H0205"", ""count"": 8}, {""strong"": ""H5921"", ""count"": 4}, {""strong"": ""H2154"", ""count"": 3}, {""strong"": ""H4209"", ""count"": 3}, {""strong"": ""G5337"", ""count"": 3}, {""strong"": ""G4189"", ""count"": 3}, {""strong"": ""G2551"", ""count"": 2}, {""strong"": ""G2555"", ""count"": 2}, {""strong"": ""G0987"", ""count"": 2}, {""strong"": ""G2549"", ""count"": 2}, {""strong"": ""G2635"", ""count"": 2}, {""strong"": ""G2554"", ""count"": 2}, {""strong"": ""H4100"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""H0518"", ""count"": 1}, {""strong"": ""H4994"", ""count"": 1}, {""strong"": ""H0413"", ""count"": 1}, {""strong"": ""H7562"", ""count"": 1}, {""strong"": ""H2161"", ""count"": 1}, {""strong"": ""H2483"", ""count"": 1}, {""strong"": ""H1992"", ""count"": 1}, {""strong"": ""H3808"", ""count"": 1}, {""strong"": ""H1931"", ""count"": 1}, {""strong"": ""H3605"", ""count"": 1}, {""strong"": ""H4310"", ""count"": 1}, {""strong"": ""H1942"", ""count"": 1}, {""strong"": ""G4191"", ""count"": 1}, {""strong"": ""G0093"", ""count"": 1}, {""strong"": ""G2560"", ""count"": 1}, {""strong"": ""G0824"", ""count"": 1}, {""strong"": ""G0420"", ""count"": 1}, {""strong"": ""G0091"", ""count"": 1}]"
58,58,experience,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:36,RUN-20260318_134133-BULK_GAP_FILL,2,286,"[{""strong"": ""H7200"", ""count"": 1}, {""strong"": ""G1754"", ""count"": 1}]"
59,59,faith,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:36,RUN-20260318_134133-BULK_GAP_FILL,13,515,"[{""strong"": ""G4102"", ""count"": 103}, {""strong"": ""H4604"", ""count"": 11}, {""strong"": ""H4603"", ""count"": 5}, {""strong"": ""H0571"", ""count"": 4}, {""strong"": ""G3640"", ""count"": 4}, {""strong"": ""H0518"", ""count"": 3}, {""strong"": ""H0539"", ""count"": 3}, {""strong"": ""G6066"", ""count"": 2}, {""strong"": ""G4100"", ""count"": 2}, {""strong"": ""H0898"", ""count"": 1}, {""strong"": ""H4100"", ""count"": 1}, {""strong"": ""H0413"", ""count"": 1}, {""strong"": ""H0529"", ""count"": 1}, {""strong"": ""H0530"", ""count"": 1}, {""strong"": ""G1722"", ""count"": 1}, {""strong"": ""G4103"", ""count"": 1}]"
60,60,faithfulness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,6,1001,"[{""strong"": ""H0571"", ""count"": 44}, {""strong"": ""H0530"", ""count"": 27}, {""strong"": ""G4102"", ""count"": 3}, {""strong"": ""H0413"", ""count"": 2}, {""strong"": ""H0529"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""H0637"", ""count"": 1}, {""strong"": ""H5921"", ""count"": 1}, {""strong"": ""H2617"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""H5414"", ""count"": 1}]"
61,61,fear,High Confidence,,word_fear.md,Complete,"WA-061-fear-data-part1-2026-03-11.json, WA-061-fear-data-part2-2026-03-11.json, WA-061-fear-data-part3-2026-03-11.json",3.0,165 terms (147 extracted). 18 excluded. 3 parts. Session A Instruction v6. MTI: extracted.,1,,,,,
62,62,fellowship,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,1,9,"[{""strong"": ""G2842"", ""count"": 9}]"
63,63,foolishness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,5,32,"[{""strong"": ""H5531"", ""count"": 2}, {""strong"": ""G0877"", ""count"": 2}, {""strong"": ""H5528"", ""count"": 1}, {""strong"": ""H0200"", ""count"": 1}, {""strong"": ""G3474"", ""count"": 1}]"
64,64,forgiveness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,2,6,"[{""strong"": ""G0859"", ""count"": 15}, {""strong"": ""H5547"", ""count"": 2}]"
65,65,generosity,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,1,31,"[{""strong"": ""G0572"", ""count"": 3}, {""strong"": ""H3027"", ""count"": 1}, {""strong"": ""G0018"", ""count"": 1}]"
66,66,gentleness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,2,7,"[{""strong"": ""G4236"", ""count"": 5}, {""strong"": ""H6038"", ""count"": 1}, {""strong"": ""H6037"", ""count"": 1}, {""strong"": ""G1932"", ""count"": 1}, {""strong"": ""G4239"", ""count"": 1}, {""strong"": ""G4240"", ""count"": 1}]"
67,67,goodness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,5,421,"[{""strong"": ""H2898"", ""count"": 13}, {""strong"": ""H2896"", ""count"": 4}, {""strong"": ""G0019"", ""count"": 2}, {""strong"": ""H5921"", ""count"": 1}, {""strong"": ""H0413"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""G5544"", ""count"": 1}, {""strong"": ""G0018"", ""count"": 1}, {""strong"": ""G2570"", ""count"": 1}]"
68,68,grace,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,3,87,"[{""strong"": ""G5485"", ""count"": 80}, {""strong"": ""H2580"", ""count"": 6}, {""strong"": ""H8469"", ""count"": 1}, {""strong"": ""G2532"", ""count"": 1}]"
69,69,gratitude,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,1,9,"[{""strong"": ""G2169"", ""count"": 1}]"
70,70,greed,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,2,5,"[{""strong"": ""G4124"", ""count"": 3}, {""strong"": ""H5315"", ""count"": 2}, {""strong"": ""G0724"", ""count"": 2}, {""strong"": ""G4123"", ""count"": 1}]"
71,71,grief,High Confidence,,word grief.md,Complete,"WA-071-grief-data-part1-2026-03-08-updated.json, WA-071-grief-data-part2-2026-03-08-updated.json, WA-071-grief-data-part3-2026-03-08-updated.json",3.0,60 terms (60 extracted). 3 parts. Session A Instruction v5. MTI: extracted.,1,,,,,
